DateTime,Entries,UniqueIPs
1495937209,110,110
1495940835,112,112
1495944414,112,112
1495948033,113,113
1495951640,106,106
1495958814,111,111
1495962430,113,113
1495966018,111,111
1495969618,111,111
1495973239,114,114
1495976818,116,116
1495980425,116,116
1495984029,109,109
1495987626,107,107
1495991230,107,107
1495994828,107,107
1495998437,99,99
1496002017,110,110
1496005623,111,111
1496009230,112,112
1496012822,114,114
1496016469,115,115
1496020041,109,109
1496023639,112,112
1496027257,108,108
1496030841,109,109
1496034439,109,109
1496038031,110,110
1496045237,114,114
1496048859,113,113
1496052454,110,110
1496056057,104,104
1496059642,86,86
1496063245,102,102
1496066834,108,108
1496070440,112,112
1496074054,109,109
1496077649,109,109
1496081261,86,86
1496084835,109,109
1496088443,108,108
1496092045,105,105
1496095654,101,101
1496099227,107,107
1496102861,114,114
1496106444,115,115
1496110030,118,118
1496113647,115,115
1496117236,113,113
1496120851,112,112
1496124440,110,110
1496128042,109,109
1496131649,97,97
1496135235,109,109
1496138863,109,109
1496142448,109,109
1496146061,109,109
1496149640,94,94
1496153244,93,93
1496156843,109,109
1496160458,107,107
1496164048,108,108
1496167660,109,109
1496171239,86,86
1496174871,87,87
1496178448,84,84
1496182053,82,82
1496185631,88,88
1496189274,88,88
1496192836,97,97
1496196455,96,96
1496200040,97,97
1496203664,94,94
1496207246,103,103
1496210829,106,106
1496214446,103,103
1496221657,89,89
1496225260,80,80
1496228832,94,94
1496232446,96,96
1496236057,97,97
1496239628,104,104
1496243268,100,100
1496246853,104,104
1496250467,103,103
1496254063,98,98
1496257652,96,96
1496261218,100,100
1496264838,102,102
1496268433,105,105
1496272045,109,109
1496275674,108,108
1496282845,106,106
1496286428,107,107
1496290047,104,104
1496293655,103,103
1496297257,103,103
1496300858,92,92
1496304436,103,103
1496308059,104,104
1496311627,104,104
1496315275,103,103
1496318821,106,106
1496326052,106,106
1496329668,107,107
1496333241,86,86
1496336844,85,85
1496340453,78,78
1496344052,82,82
1496347642,96,96
1496358438,96,96
1496362087,91,91
1496365641,102,102
1496369250,104,104
1496372857,108,108
1496376423,108,108
1496380056,107,107
1496383635,107,107
1496387234,108,108
1496390849,108,108
1496394453,111,111
1496398048,109,109
1496401661,87,87
1496405262,85,85
1496408834,99,99
1496412439,106,106
1496416038,105,105
1496419633,109,109
1496423226,109,109
1496426836,106,106
1496430426,107,107
1496434035,104,104
1496437665,103,103
1496441240,94,94
1496444851,83,83
1496448467,105,105
1496452007,103,103
1496459211,108,108
1496462832,98,98
1496466434,99,99
1496470030,102,102
1496473632,91,91
1496477215,105,105
1496480836,104,104
1496484425,101,101
1496488000,106,106
1496491621,100,100
1496495205,106,106
1496498809,109,109
1496502414,108,108
1496506025,108,108
1496509627,107,107
1496513221,101,101
1496516816,88,88
1496520418,88,88
1496524029,87,87
1496527619,89,89
1496531242,93,93
1496534840,106,106
1496538424,105,105
1496542025,107,107
1496545628,106,106
1496549244,102,102
1496552836,104,104
1496556442,90,90
1496560030,93,93
1496563636,88,88
1496567218,104,104
1496570834,104,104
1496574417,109,109
1496578030,109,109
1496581635,106,106
1496585222,104,104
1496588833,91,91
1496592420,102,102
1496596003,108,108
1496603227,107,107
1496606839,102,102
1496610435,87,87
1496614006,92,92
1496617638,87,87
1496621271,83,83
1496624835,82,82
1496628453,70,70
1496632041,76,76
1496635657,77,77
1496639240,80,80
1496642821,80,80
1496646435,78,78
1496650033,75,75
1496653628,74,74
1496657221,70,70
1496660831,88,88
1496664440,89,89
1496668034,86,86
1496671654,87,87
1496675216,82,82
1496678813,79,79
1496682443,79,79
1496686025,82,82
1496689630,83,83
1496693216,87,87
1496696826,86,86
1496700432,74,74
1496704016,89,89
1496707680,85,85
1496711224,88,88
1496714826,104,104
1496718434,96,96
1496722054,98,98
1496725653,97,97
1496729241,83,83
1496732826,105,105
1496736454,106,106
1496740024,106,106
1496743640,106,106
1496747211,100,100
1496750825,103,103
1496754415,107,107
1496758035,109,109
1496761646,104,104
1496765241,96,96
1496768832,80,80
1496772436,80,80
1496776056,75,75
1496779631,79,79
1496783222,93,93
1496786819,91,91
1496790446,89,89
1496794070,87,87
1496797617,79,79
1496801243,84,84
1496804833,78,78
1496808436,80,80
1496812022,103,103
1496815617,97,97
1496819251,96,96
1496822824,106,106
1496826419,104,104
1496830028,109,109
1496837207,109,109
1496840838,107,107
1496844434,103,103
1496848041,96,96
1496851629,83,83
1496855239,74,74
1496858842,71,71
1496862424,75,75
1496866051,71,71
1496869641,74,74
1496873240,73,73
1496876806,104,104
1496880433,109,109
1496884068,108,108
1496887667,108,108
1496891260,104,104
1496894845,82,82
1496898450,82,82
1496902026,103,103
1496905661,103,103
1496909252,104,104
1496912842,107,107
1496916459,95,95
1496920068,97,97
1496923639,95,95
1496927244,95,95
1496930849,96,96
1496934448,104,104
1496938036,101,101
1496941650,100,100
1496945262,99,99
1496948873,94,94
1496952469,94,94
1496956035,90,90
1496959654,90,90
1496963246,72,72
1496966905,71,71
1496970423,74,74
1496974054,68,68
1496977624,100,100
1496981257,98,98
1496984837,106,106
1496988426,105,105
1496992054,99,99
1496999237,102,102
1497002842,100,100
1497006445,100,100
1497010043,102,102
1497013668,73,73
1497017246,69,69
1497020864,67,67
1497024430,95,95
1497028013,106,106
1497031644,110,110
1497038834,110,110
1497042444,109,109
1497046056,100,100
1497049639,84,84
1497053289,74,74
1497056854,91,91
1497060429,106,106
1497064033,108,108
1497067642,109,109
1497071214,108,108
1497074850,107,107
1497078442,105,105
1497082061,105,105
1497085611,105,105
1497089242,103,103
1497092846,105,105
1497096440,108,108
1497100024,106,106
1497103624,107,107
1497107264,106,106
1497110820,103,103
1497114454,101,101
1497118033,99,99
1497121644,103,103
1497125234,104,104
1497128834,110,110
1497132428,109,109
1497136045,105,105
1497143252,101,101
1497146877,95,95
1497150431,105,105
1497154041,98,98
1497157635,106,106
1497161252,106,106
1497164860,103,103
1497168445,105,105
1497172032,106,106
1497175636,107,107
1497182848,105,105
1497186455,103,103
1497190059,104,104
1497193631,101,101
1497197269,101,101
1497200853,102,102
1497204450,94,94
1497208035,104,104
1497211664,105,105
1497215253,107,107
1497218854,106,106
1497222446,102,102
1497226087,104,104
1497229654,67,67
1497233233,102,102
1497236821,107,107
1497240444,108,108
1497247650,106,106
1497251219,107,107
1497254847,107,107
1497258462,108,108
1497265645,108,108
1497269255,105,105
1497272837,103,103
1497276463,100,100
1497280037,95,95
1497283645,95,95
1497287232,108,108
1497290831,109,109
1497294441,110,110
1497298058,109,109
1497301629,108,108
1497305243,109,109
1497308856,109,109
1497312473,111,111
1497316021,110,110
1497319655,106,106
1497323241,104,104
1497326851,92,92
1497330436,87,87
1497334047,92,92
1497337623,103,103
1497341250,103,103
1497344850,99,99
1497348446,94,94
1497352051,76,76
1497355639,70,70
1497359220,70,70
1497362832,56,56
1497366429,62,62
1497370036,70,70
1497373636,72,72
1497377238,77,77
1497380846,76,76
1497384419,79,79
1497388050,79,79
1497391643,77,77
1497395226,79,79
1497398872,80,80
1497402439,78,78
1497406022,106,106
1497409628,105,105
1497413230,103,103
1497416849,99,99
1497420436,73,73
1497424040,96,96
1497427628,95,95
1497431238,96,96
1497434816,102,102
1497438442,103,103
1497442022,105,105
1497445633,106,106
1497449208,107,107
1497452842,106,106
1497456427,101,101
1497460039,105,105
1497463636,85,85
1497467247,87,87
1497470841,87,87
1497474436,79,79
1497478054,76,76
1497481651,71,71
1497485270,76,76
1497488834,74,74
1497492439,80,80
1497496029,82,82
1497499619,77,77
1497503236,75,75
1497506850,73,73
1497510424,80,80
1497514027,77,77
1497517636,74,74
1497521208,102,102
1497528433,104,104
1497532032,105,105
1497535626,82,82
1497539215,79,79
1497542812,98,98
1497546423,98,98
1497550044,102,102
1497553639,106,106
1497557257,104,104
1497564423,99,99
1497568049,74,74
1497571667,68,68
1497575226,64,64
1497578818,64,64
1497582425,73,73
1497586012,72,72
1497589635,92,92
1497593218,93,93
1497596843,90,90
1497600414,88,88
1497604030,82,82
1497607625,80,80
1497611217,84,84
1497614827,82,82
1497618432,86,86
1497622007,104,104
1497625619,103,103
1497629226,107,107
1497632838,105,105
1497636415,98,98
1497640044,96,96
1497643637,95,95
1497647230,94,94
1497650823,69,69
1497654437,74,74
1497658057,70,70
1497661622,69,69
1497665222,72,72
1497668843,71,71
1497672420,79,79
1497676026,77,77
1497679619,73,73
1497683228,90,90
1497686823,83,83
1497690425,82,82
1497694020,105,105
1497697633,98,98
1497701207,104,104
1497704800,106,106
1497708430,105,105
1497715645,105,105
1497719234,107,107
1497722832,99,99
1497726415,105,105
1497730013,109,109
1497733615,105,105
1497737227,106,106
1497740830,103,103
1497744457,91,91
1497748033,105,105
1497751655,101,101
1497755248,104,104
1497758833,107,107
1497762433,105,105
1497766044,104,104
1497769658,107,107
1497773251,105,105
1497776851,100,100
1497780453,81,81
1497784066,74,74
1497787639,101,101
1497791247,98,98
1497794844,102,102
1497798439,107,107
1497802036,108,108
