DateTime,AddedIPs,RemovedIPs
1495408109,0,2
1495411931,0,1
1495415439,2,4
1495422483,1,5
1495426091,2,1
1495429709,1,1
1495433278,1,0
1495440481,0,1
1495444078,3,0
1495447707,0,2
1495458477,1,3
1495462098,3,0
1495465689,1,0
1495469296,1,0
1495472883,1,1
1495476470,0,1
1495483670,0,3
1495487297,0,2
1495498118,2,1
1495501645,1,0
1495505246,1,0
1495512469,2,2
1495516061,1,0
1495519644,1,1
1495526854,0,1
1495530442,1,1
1495534044,0,1
1495537681,1,1
1495541264,1,1
1495544844,0,1
1495552074,0,1
1495559264,1,0
1495562830,1,1
1495573657,0,2
1495577244,1,1
1495580847,3,0
1495591665,1,0
1495595247,0,1
1495602447,0,2
1495606050,1,1
1495609673,2,0
1495613262,1,0
1495620468,0,1
1495631262,0,3
1495634885,0,2
1495642050,2,0
1495645650,1,0
1495656445,0,1
1495660078,1,1
1495670928,1,1
1495674848,2,0
1495678451,6,0
1495682120,0,2
1495685817,1,0
1495692612,1,2
1495696434,3,1
1495699868,4,0
1495703567,1,1
1495707161,1,0
1495711044,2,2
1495714382,2,2
1495717782,2,0
1495721279,0,1
1495724875,1,1
1495728478,1,1
1495732067,0,3
1495735659,1,2
1495739285,3,3
1495742881,1,3
1495750083,0,1
1495753691,1,3
1495757300,1,1
1495760849,1,0
1495764459,0,5
1495768064,5,2
1495771662,1,1
1495782456,1,2
1495796860,1,1
1495804059,1,0
1495818466,0,3
1495822069,0,2
1495825660,1,0
1495829252,1,1
1495832866,1,0
1495836451,2,0
1495840062,1,1
1495843706,1,0
1495847256,0,1
1495850874,0,2
1495858072,3,1
1495865263,2,0
1495868869,1,0
1495872467,0,4
1495876064,1,0
1495883281,0,1
1495890457,0,1
1495894073,0,1
1495897666,4,0
1495904850,2,0
1495908467,4,0
1495919258,0,5
1495922875,0,3
1495926463,2,0
1495930416,2,0
1495933675,1,0
1495940870,0,1
1495944453,1,0
1495948068,0,1
1495951676,2,2
