DateTime,Entries,UniqueIPs
1494382211,90,90
1494385823,65,65
1494389417,64,64
1494393032,63,63
1494396611,64,64
1494461441,76,76
1494465029,81,81
1494468632,80,80
1494472236,63,63
1494475820,57,57
1494479445,54,54
1494486627,53,53
1494490237,52,52
1494493822,53,53
1494504647,52,52
1494508210,51,51
1494515441,52,52
1494519039,53,53
1494533409,52,52
1494540991,51,51
1494547842,76,76
1494551437,78,78
1494558604,62,62
1494591019,61,61
1494601843,60,60
1494605461,61,61
1494612630,63,63
1494616216,62,62
1494619826,63,63
1494627034,62,62
1494634266,88,88
1494637830,87,87
1494641429,89,89
1494645042,75,75
1494652211,76,76
1494655839,74,74
1494670228,73,73
1494673801,72,72
1494677449,74,74
1494691845,73,73
1494702626,74,74
1494713435,73,73
1494717017,74,74
1494720678,89,89
1494724225,88,88
1494731435,79,79
1494735015,77,77
1494753008,78,78
1494763807,79,79
1494767407,78,78
1494778229,77,77
1494785435,79,79
1494792626,78,78
1494799838,78,78
1494807018,97,97
1494814245,97,97
1494817804,71,71
1494821419,72,72
1494828645,71,71
1494835806,70,70
1494843021,69,69
1494846588,70,70
1494861038,69,69
1494864629,68,68
1494868203,70,70
1494882597,69,69
1494886223,70,70
1494893450,97,97
1494900615,98,98
1494904234,78,78
1494907827,77,77
1494911399,76,76
1494915034,75,75
1494918605,74,74
1494922219,73,73
1494925813,74,74
1494929435,73,73
1494936629,74,74
1494940210,73,73
1494951014,73,73
1494961821,74,74
1494965405,73,73
1494976222,72,72
1494979883,81,81
1494983432,82,82
1494990641,69,69
1494997807,68,68
1495005000,67,67
1495015834,68,68
1495041010,69,69
1495055426,68,68
1495066265,86,86
1495069857,88,88
1495077052,70,70
1495080636,69,69
1495084247,70,70
1495087827,69,69
1495091461,68,68
1495095025,67,67
1495098593,69,69
1495102217,68,68
1495105827,69,69
1495109444,67,67
1495113023,68,68
1495116641,68,68
1495120245,67,67
1495123835,69,69
1495127467,67,67
1495131059,67,67
1495138279,69,69
1495145457,68,68
1495149059,67,67
1495152674,83,83
1495156218,84,84
1495159837,83,83
1495163439,53,53
1495167041,53,53
1495174249,53,53
1495177845,51,51
1495181456,53,53
1495185060,53,53
1495188636,54,54
1495192199,54,54
1495195845,53,53
1495199443,52,52
1495203078,51,51
1495206639,51,51
1495210255,53,53
1495213812,54,54
1495221056,54,54
1495224645,53,53
1495228209,52,52
1495231831,51,51
1495239067,70,70
1495242634,71,71
1495246223,72,72
1495249849,66,66
1495253444,62,62
1495257042,63,63
1495260631,59,59
1495264226,60,60
1495267826,61,61
1495271423,62,62
1495275020,64,64
1495278641,64,64
1495282227,62,62
1495285824,62,62
1495289438,62,62
1495293024,59,59
1495296644,61,61
1495300235,62,62
1495303814,62,62
1495307426,62,62
1495311003,63,63
1495314616,62,62
1495318239,62,62
1495321848,62,62
1495325517,75,75
1495329032,73,73
1495332665,71,71
1495336230,48,48
1495339859,47,47
1495365041,48,48
1495379447,46,46
1495383032,47,47
1495412277,57,57
1495422627,42,42
1495426240,41,41
1495437040,41,41
1495440640,41,41
1495444215,42,42
1495447848,43,43
1495451433,42,42
1495455020,43,43
