DateTime,Entries,UniqueIPs
1493103701,6,6
1493107302,7,7
1493110899,6,6
1493114504,5,5
1493121702,3,3
1493139702,4,4
1493154097,4,4
1493168498,3,3
1493200900,3,3
1493204498,4,4
1493208100,6,6
1493211701,7,7
1493215299,6,6
1493218898,6,6
1493222501,3,3
1493226104,2,2
1493229695,3,3
1493233302,2,2
1493236900,3,3
1493251305,3,3
1493254903,4,4
1493269304,3,3
1493276504,2,2
1493283696,3,3
1493298102,2,2
1493305298,3,3
1493319703,3,3
1493323303,4,4
1493330503,7,7
1493344903,4,4
1493348501,4,4
1493352104,5,5
1493362904,4,4
1493366502,4,4
1493373699,6,6
1493380902,5,5
1493388101,3,3
1493402502,4,4
1493406102,5,5
1493413300,6,6
1493416899,5,5
1493424100,6,6
1493427699,4,4
1493438503,3,3
1493445700,4,4
1493449299,3,3
1493452901,4,4
1493460105,3,3
1493467303,4,4
1493488905,5,5
1493492501,6,6
1493496097,5,5
1493503302,3,3
1493506897,4,4
1493532100,5,5
1493535705,4,4
1493539302,3,3
1493542901,4,4
1493546497,3,3
1493557299,4,4
1493560904,3,3
1493571701,2,2
1493575303,4,4
1493589700,4,4
1493604099,3,3
1493607698,4,4
1493622103,3,3
1493636503,4,4
1493643700,3,3
1493650903,3,3
1493654501,4,4
1493665301,5,5
1493672504,4,4
1493679700,4,4
1493683302,3,3
1493690502,4,4
1493694097,6,6
1493704903,6,6
1493708502,4,4
1493730103,5,5
1493744503,3,3
1493758902,4,4
1493762501,5,5
1493769703,4,4
1493773296,4,4
1493776891,4,4
1493784283,5,5
1493791294,4,4
1493798491,5,5
1493812892,3,3
1493830892,4,4
1493845292,3,3
1493859701,4,4
1493863301,5,5
1493874100,4,4
1493877702,3,3
1493895702,4,4
1493902898,5,5
1493910242,4,4
1493913733,3,3
1493920932,4,4
1493924505,4,4
1493931733,6,6
1493935298,5,5
1493946099,4,4
1493953295,2,2
1493960498,3,3
1493971300,4,4
1493982099,5,5
1493985702,4,4
1493989299,5,5
1493992901,4,4
1493996500,4,4
1494003697,3,3
1494036101,4,4
1494043300,5,5
1494050500,4,4
1494057699,3,3
1494061297,5,5
1494064898,5,5
1494075698,4,4
1494090100,3,3
1494093695,3,3
1494097302,4,4
1494100901,5,5
1494111698,4,4
1494115304,3,3
1494118897,4,4
1494126102,4,4
1494133299,4,4
1494140501,3,3
1494144095,4,4
1494147702,3,3
1494172898,2,2
1494176500,3,3
1494183700,2,2
1494187299,3,3
1494190899,2,2
1494219699,3,3
1494234099,2,2
1494252099,3,3
1494255694,4,4
1494266498,3,3
1494270101,2,2
1494280893,3,3
1494295291,2,2
1494302494,1,1
1494306092,3,3
1494320493,2,2
1494324092,3,3
1494334892,4,4
1494338490,3,3
1494356491,3,3
1494363692,3,3
1494367292,4,4
1494370890,3,3
1494374496,4,4
1494378091,3,3
1494381692,5,5
1494388890,4,4
1494392491,3,3
1494399687,4,4
1494403294,5,5
1494414092,3,3
1494417692,2,2
1494421292,1,1
1494428494,2,2
1494432094,3,3
1494435690,5,5
1494442892,4,4
1494450090,2,2
1494464501,3,3
1494489701,4,4
1494493298,3,3
1494507701,2,2
1494511298,1,1
1494518499,2,2
1494543826,2,2
1494554494,3,3
1494558100,4,4
1494568895,3,3
1494572494,2,2
1494586899,3,3
1494594099,4,4
1494601301,3,3
1494608503,2,2
1494612096,3,3
1494619295,4,4
1494622900,5,5
1494626498,4,4
1494633700,3,3
1494637301,3,3
1494640898,2,2
1494648099,3,3
1494651700,4,4
1494658894,5,5
1494662498,4,4
1494666096,5,5
1494673299,3,3
1494676902,4,4
1494680501,3,3
1494687701,3,3
1494691299,4,4
1494698501,5,5
1494702101,4,4
1494705703,4,4
1494709302,3,3
1494712902,4,4
1494720099,3,3
1494723701,4,4
1494727298,4,4
1494730899,5,5
1494734503,4,4
1494741699,3,3
1494745302,2,2
1494748898,3,3
1494763297,2,2
1494774100,2,2
1494777702,3,3
1494784897,5,5
1494788500,4,4
1494792098,3,3
1494799303,3,3
1494810102,2,2
1494820896,1,1
1494824496,2,2
1494831696,3,3
1494846099,3,3
1494860496,2,2
1494874899,3,3
1494889299,2,2
1494892901,3,3
1494896490,4,4
1494900094,3,3
1494907291,5,5
1494910890,3,3
1494918091,4,4
1494921691,3,3
1494925294,4,4
1494928892,5,5
1494932490,4,4
1494943291,4,4
1494946891,3,3
1494950491,2,2
1494957690,2,2
1494968489,3,3
1494972091,2,2
1494986491,2,2
1494993691,3,3
1495000888,4,4
1495011690,3,3
1495015292,2,2
1495072901,3,3
1495094500,1,1
1495101696,3,3
1495116100,2,2
1495119701,1,1
1495134096,2,2
1495141297,3,3
1495155699,2,2
1495166500,3,3
1495180901,2,2
1495188096,3,3
1495202500,3,3
1495224096,4,4
1495227701,3,3
1495231304,3,3
1495238501,2,2
1495252901,3,3
1495260097,4,4
1495274496,3,3
1495278099,2,2
1495288897,3,3
1495303296,2,2
1495317701,3,3
1495332101,3,3
1495346500,2,2
1495353700,1,1
1495357290,2,2
1495364495,3,3
1495368098,4,4
1495378900,3,3
1495382498,2,2
1495389701,3,3
1495396897,4,4
1495404096,3,3
1495411432,2,2
1495414900,1,1
1495418501,2,2
1495429303,4,4
1495432898,3,3
1495443702,1,1
1495447300,2,2
1495461699,3,3
1495472498,4,4
1495476096,3,3
1495486898,2,2
1495494097,1,1
1495501290,2,2
1495515691,2,2
1495519291,3,3
1495522891,4,4
1495530091,3,3
1495537294,2,2
1495548090,4,4
1495562490,2,2
1495566090,3,3
1495580492,2,2
1495587689,3,3
1495598488,4,4
1495602090,2,2
1495605693,3,3
1495609290,4,4
1495612891,3,3
1495623692,2,2
1495652492,1,1
1495659695,2,2
1495677825,3,3
1495692102,4,4
1495706499,2,2
1495717312,3,3
1495731700,2,2
1495764095,4,4
1495774899,3,3
1495778498,2,2
1495785698,4,4
1495792901,3,3
1495800097,3,3
1495814495,2,2
1495818101,1,1
1495821698,2,2
1495904497,1,1
1495926097,2,2
1495994498,1,1
1496005299,3,3
1496016101,4,4
1496019702,3,3
1496030501,2,2
1496041301,3,3
1496044901,2,2
1496055701,1,1
1496059300,2,2
1496091699,3,3
1496102502,4,4
1496106098,3,3
1496116899,2,2
1496160098,4,4
1496163698,3,3
1496170899,4,4
1496174501,3,3
1496185300,2,2
1496239298,3,3
1496242903,4,4
1496253703,3,3
1496257300,2,2
1496264498,1,1
1496268096,2,2
1496368896,1,1
1496376099,2,2
1496397699,1,1
1496401300,2,2
1496415698,1,1
1496419298,2,2
1496433699,1,1
1496440900,2,2
1496455291,1,1
1496458890,2,2
1496480495,3,3
1496494892,2,2
1496505692,3,3
1496509293,2,2
1496512889,3,3
1496520092,2,2
1496534492,3,3
1496538099,4,4
1496545296,6,6
1496548903,5,5
1496552498,4,4
1496556099,5,5
1496559699,4,4
1496566899,3,3
1496570499,2,2
1496574099,2,2
1496635300,3,3
1496638895,4,4
1496649700,3,3
1496653296,2,2
1496664099,3,3
1496667701,4,4
1496671303,5,5
1496678498,4,4
1496682102,3,3
1496685702,2,2
1496689299,3,3
1496703699,2,2
1496710900,3,3
1496718097,2,2
1496725299,1,1
1496728898,2,2
1496743297,1,1
1496746898,2,2
1496761302,1,1
1496768500,2,2
1496779298,3,3
1496782899,2,2
1496793702,1,1
1496797301,2,2
1496800899,3,3
1496811697,2,2
1496815296,1,1
1496833301,2,2
1496854898,3,3
1496869301,2,2
1496872899,1,1
1496887301,2,2
1496894497,3,3
1496898096,4,4
1496908898,3,3
1496912500,2,2
1496941300,3,3
1496955698,2,2
1496970089,3,3
1496984494,2,2
1497013293,3,3
1497027692,2,2
1497038492,3,3
1497042093,2,2
1497045691,3,3
1497052897,3,3
1497060091,2,2
1497074491,1,1
1497078089,2,2
1497103291,3,3
1497106889,4,4
1497110489,3,3
1497117691,3,3
1497121293,2,2
1497142898,1,1
1497153697,2,2
1497189700,3,3
1497196901,2,2
1497200502,3,3
1497204100,2,2
1497211301,3,3
1497225701,2,2
1497229299,3,3
1497240100,2,2
1497243703,2,2
1497247297,3,3
1497261699,2,2
1497272496,3,3
1497286899,2,2
1497304893,3,3
1497312102,4,4
1497319301,3,3
1497326500,2,2
1497348100,3,3
1497351699,2,2
1497355302,4,4
1497362500,3,3
1497369702,2,2
1497384098,3,3
1497398500,2,2
1497438099,2,2
1497441700,3,3
1497452502,2,2
1497474100,3,3
1497481298,4,4
1497488500,3,3
1497495701,2,2
1497520901,3,3
1497535293,2,2
1497553301,1,1
1497556897,3,3
1497571297,1,1
1497574890,2,2
1497596490,3,3
1497610890,2,2
1497625293,3,3
1497636091,2,2
1497639694,2,2
1497668496,1,1
1497672092,2,2
1497675690,3,3
1497686495,2,2
1497690092,1,1
1497697291,2,2
1497718893,1,1
1497726092,2,2
1497762096,2,2
1497772900,3,3
1497776496,2,2
1497780100,3,3
1497790901,2,2
1497794501,1,1
1497798100,3,3
1497808900,4,4
1497812498,3,3
1497819701,4,4
1497823303,3,3
