DateTime,AddedIPs,RemovedIPs
1496802764,8,3
1496804681,1,4
1496806633,2,0
1496808513,64,6
1496810447,9,4
1496812355,2,2
1496814294,1,4
1496816181,5,1
1496818124,4,2
1496820046,1,2
1496821958,1,1
1496823850,4,3
1496825806,0,2
1496827714,1,1
1496829767,2,3
1496831815,1,2
1496833700,5,6
1496835652,2,0
1496837533,3,3
1496839489,2,15
1496841372,5,1
1496843348,1,1
1496845238,3,3
1496847212,3,1
1496849066,4,4
1496851079,5,11
1496852932,1,3
1496855093,1,2
1496856979,1,1
1496859035,30,1
1496861051,3,2
1496863269,2,1
1496865161,2,1
1496867057,0,2
1496868989,1,2
1496870908,5,0
1496872909,1,1
1496874850,6,5
1496876682,6,0
1496878588,5,6
1496880531,9,3
1496882438,4,3
1496884353,8,4
1496886283,4,1
1496888174,1,3
1496890119,8,6
1496892041,8,2
1496893968,5,2
1496895871,4,5
1496897792,7,3
1496899711,2,2
1496901706,3,4
1496903570,3,3
1496905485,7,0
1496907390,6,3
1496909335,6,3
1496911235,3,3
1496913168,7,3
1496915070,2,1
1496916980,4,0
1496918916,5,0
1496920840,1,4
1496922751,4,1
1496924661,3,2
1496926589,5,5
1496928529,12,6
1496930500,3,2
1496932348,6,3
1496934565,4,3
1496936432,5,3
1496938359,2,3
1496940270,4,1
1496942184,1,2
1496944370,6,1
1496946257,0,2
1496948196,5,4
1496950109,0,2
1496952137,3,1
1496953962,3,2
1496956144,5,0
1496958035,3,5
1496960360,6,4
1496962335,4,5
1496964267,4,6
1496966204,4,10
1496968114,3,7
1496970107,3,8
1496971971,25,3
1496973884,1,2
1496975794,2,5
1496977725,5,3
1496979614,10,9
1496981557,1,6
1496983616,3,6
1496985648,2,4
1496987607,4,1
1496989463,4,4
1496991387,2,7
1496993574,4,8
1496995482,0,4
1496997423,2,1
1496999341,4,8
1497001261,1,5
1497003180,3,3
1497005070,41,4
1497007021,10,3
1497008933,2,4
1497010871,8,5
1497012774,2,5
1497014685,3,7
1497016597,1,8
