DateTime,Entries,UniqueIPs
1496855093,291,291
1496856979,291,291
1496859035,320,320
1496861051,321,321
1496863269,322,322
1496865161,323,323
1496867057,321,321
1496868989,320,320
1496870908,325,325
1496872909,325,325
1496874850,326,326
1496876682,332,332
1496878588,331,331
1496880531,337,337
1496882438,338,338
1496884353,342,342
1496886283,345,345
1496888174,343,343
1496890119,345,345
1496892041,351,351
1496893968,354,354
1496895871,353,353
1496897792,357,357
1496899711,357,357
1496901706,356,356
1496903570,356,356
1496905485,363,363
1496907390,366,366
1496909335,369,369
1496911235,369,369
1496913168,373,373
1496915070,374,374
1496916980,378,378
1496918916,383,383
1496920840,380,380
1496922751,383,383
1496924661,384,384
1496926589,384,384
1496928529,390,390
1496930500,391,391
1496932348,394,394
1496934565,395,395
1496936432,397,397
1496938359,396,396
1496940270,399,399
1496942184,398,398
1496944370,403,403
1496946257,401,401
1496948196,402,402
1496950109,400,400
1496952137,402,402
1496953962,403,403
1496956144,408,408
1496958035,406,406
1496960360,408,408
1496962335,407,407
1496964267,405,405
1496966204,399,399
1496968114,395,395
1496970107,390,390
1496971971,412,412
1496973884,411,411
1496975794,408,408
1496977725,410,410
1496979614,411,411
1496981557,406,406
1496983616,403,403
1496985648,401,401
1496987607,404,404
1496989463,404,404
1496991387,399,399
1496993574,395,395
1496995482,391,391
1496997423,392,392
1496999341,388,388
1497001261,384,384
1497003180,384,384
1497005070,421,421
1497007021,428,428
1497008933,426,426
1497010871,429,429
1497012774,426,426
1497014685,422,422
1497016597,415,415
1497018535,410,410
1497020585,407,407
1497022595,404,404
1497024513,342,342
1497026441,338,338
1497028362,339,339
1497030275,1752,1752
1497032185,1751,1751
1497034128,1749,1749
1497036031,1749,1749
1497037982,1749,1749
1497039915,1751,1751
1497041795,1755,1755
1497043743,1755,1755
1497045772,1755,1755
1497047576,1753,1753
1497049486,1752,1752
1497051416,1748,1748
1497053347,1748,1748
1497055266,1748,1748
1497057171,1729,1729
1497059098,1727,1727
1497061006,1728,1728
1497062935,1736,1736
1497064876,1737,1737
1497066784,1745,1745
1497068692,1755,1755
1497070628,1753,1753
1497072550,1750,1750
1497074589,1746,1746
1497076592,1745,1745
1497078507,1740,1740
1497080427,1738,1738
1497082370,1727,1727
1497084266,1728,1728
1497086193,1727,1727
1497088118,1729,1729
1497090027,1722,1722
1497091935,1697,1697
1497093862,1694,1694
1497095781,1690,1690
1497097704,1688,1688
1497099710,1690,1690
1497101594,1691,1691
1497103726,1694,1694
1497105631,1700,1700
1497107555,1702,1702
1497109454,1707,1707
1497111387,1713,1713
1497113331,1715,1715
1497115281,1719,1719
1497117150,308,308
1497119093,313,313
1497120998,315,315
1497123194,321,321
1497125078,327,327
1497127022,328,328
1497128924,330,330
1497130858,332,332
1497132897,336,336
1497134894,341,341
1497136824,341,341
1497138741,344,344
1497140656,344,344
1497142922,346,346
1497146685,345,345
1497148585,341,341
1497150520,336,336
1497152432,329,329
1497154355,313,313
1497156274,313,313
1497158190,321,321
1497160112,321,321
1497162026,320,320
1497163939,321,321
1497165872,320,320
1497167797,321,321
1497169716,325,325
1497171720,336,336
1497173551,339,339
1497175476,337,337
1497177392,334,334
1497179303,328,328
1497181221,329,329
1497183175,331,331
1497185068,332,332
1497186981,329,329
1497188928,325,325
1497190858,323,323
1497192756,316,316
1497194677,314,314
1497196594,305,305
1497198771,303,303
1497200680,302,302
1497202602,300,300
1497204523,295,295
1497206431,294,294
1497208357,296,296
1497210274,294,294
1497212176,290,290
1497214463,288,288
1497216277,299,299
1497218187,293,293
1497220362,290,290
1497222274,288,288
1497224204,284,284
1497226106,283,283
1497228023,281,281
1497229967,283,283
1497231852,282,282
1497234043,280,280
1497235950,282,282
1497237878,282,282
1497239792,281,281
1497241706,278,278
1497243724,279,279
1497245549,280,280
1497247770,282,282
1497249643,281,281
1497251605,280,280
1497253487,276,276
1497255682,270,270
1497257554,267,267
