DateTime,AddedIPs,RemovedIPs
1497037971,1,0
1497040089,2,0
1497040830,1,0
1497049691,2,0
1497050450,1,0
1497053321,1,0
1497054018,1,0
1497054754,1,0
1497055447,1,0
1497056186,1,0
1497057634,2,0
1497059066,1,0
1497061956,0,1
1497062646,1,0
1497063383,2,1
1497064091,1,0
1497064846,3,0
1497066264,0,1
1497068663,1,0
1497070874,1,0
1497071559,0,1
1497072992,2,0
1497075862,2,0
1497076576,1,0
1497080205,1,0
1497080900,3,0
1497081707,1,0
1497083789,2,0
1497084502,4,0
1497085300,1,0
1497085945,1,0
1497093153,1,0
1497093850,0,1
1497099699,1,0
1497100354,1,0
1497101773,1,0
1497102509,1,0
1497104660,1,0
1497106884,1,0
1497108263,2,0
1497110483,1,0
1497111155,0,1
1497113321,2,0
1497114748,2,0
1497115452,0,1
1497116187,4,0
1497117706,0,1
1497122649,1,0
1497123379,1,0
1497124887,2,0
1497126254,2,0
1497126997,1,0
1497129140,1,0
1497129868,1,0
1497132096,1,0
1497135150,1,0
1497138023,2,0
1497139467,1,1
1497140909,1,0
1497143067,1,0
1497145447,1,0
1497146892,4,0
1497148344,1,0
1497149769,1,0
1497151219,1,0
1497159403,3,0
1497160102,1,0
1497161549,1,0
1497162260,2,0
1497162976,1,0
1497170193,1,0
1497176449,2,0
1497177136,1,0
1497177858,0,1
1497179292,3,0
1497180052,1,0
1497182545,2,1
1497190348,2,0
1497191790,1,0
1497195375,1,1
1497196112,1,0
1497196907,1,0
1497197549,1,0
1497198249,1,0
1497201146,3,0
1497207387,1,0
1497208829,0,1
1497214887,2,0
1497219847,2,0
1497222086,2,0
1497225711,0,1
1497228502,1,0
1497231384,0,1
1497242899,1,0
1497243715,2,0
1497251555,1,0
1497256593,2,0
1497258733,2,0
1497262596,1,0
1497263296,3,0
1497264730,12,0
1497265726,1,0
1497267847,1,0
1497270745,2,0
1497271479,1,0
1497273625,1,0
1497274357,0,1
1497275323,1,0
1497278200,1,0
1497279874,1,0
1497284916,1,0
1497286346,0,28
1497287315,1,0
1497288019,1,1
1497297875,0,1
1497298578,0,3
1497299316,0,1
1497302450,1,3
1497303398,0,2
1497304095,0,2
1497305532,1,1
1497306264,0,1
1497306976,0,4
1497307714,0,1
1497308488,0,4
1497309151,0,8
1497309923,0,5
1497310585,0,5
1497311313,2,0
1497312106,3,5
1497313462,1,14
1497314175,0,5
1497314901,0,4
1497315702,2,12
1497316348,1,6
1497317048,1,8
1497317775,1,8
1497318524,0,4
1497319291,1,9
1497319947,0,3
1497320650,0,3
1497321389,0,1
1497322363,0,2
1497323309,1,2
1497324019,0,4
1497325447,0,3
1497326211,1,7
1497327632,0,8
1497329776,1,4
1497330517,0,2
1497331961,0,5
1497333381,0,9
1497334833,0,9
1497335548,0,1
1497336260,2,0
1497336969,3,3
1497337704,0,3
1497338414,0,3
