DateTime,Entries,UniqueIPs
1497231384,2016,2024
1497242899,2017,2025
1497243715,2019,2027
1497251555,2020,2028
1497256593,2022,2030
1497258733,2024,2032
1497262596,2025,2033
1497263296,2028,2036
1497264730,2040,2048
1497265726,2041,2049
1497267847,2042,2050
1497270745,2044,2052
1497271479,2045,2053
1497273625,2046,2054
1497274357,2045,2053
1497275323,2046,2054
1497278200,2047,2055
1497279874,2048,2056
1497284916,2049,2057
1497286346,2021,2029
1497287315,2022,2030
1497288019,2022,2030
1497297875,2021,2029
1497298578,2018,2026
1497299316,2017,2025
1497302450,2015,2023
1497303398,2013,2021
1497304095,2011,2019
1497305532,2011,2019
1497306264,2010,2018
1497306976,2006,2014
1497307714,2005,2013
1497308488,2001,2009
1497309151,1993,2001
1497309923,1988,1996
1497310585,1983,1991
1497311313,1985,1993
1497312106,1983,1991
1497313462,1970,1978
1497314175,1965,1973
1497314901,1961,1969
1497315702,1951,1959
1497316348,1946,1954
1497317048,1940,1947
1497317775,1933,1940
1497318524,1929,1936
1497319291,1921,1928
1497319947,1918,1925
1497320650,1915,1922
1497321389,1914,1921
1497322363,1912,1919
1497323309,1911,1918
1497324019,1907,1914
1497325447,1904,1911
1497326211,1898,1905
1497327632,1890,1897
1497329776,1887,1894
1497330517,1885,1892
1497331961,1880,1887
1497333381,1871,1878
1497334833,1862,1869
1497335548,1861,1868
1497336260,1863,1870
1497336969,1863,1870
1497337704,1860,1867
1497338414,1857,1864
1497339149,1854,1861
1497339846,1855,1862
1497340596,1852,1859
1497342041,1849,1856
1497342745,1847,1854
1497343464,1844,1851
1497344917,1845,1852
1497345622,1846,1853
1497347787,1845,1852
1497348498,1846,1853
1497349237,1845,1852
1497349935,1847,1854
1497351378,1845,1852
1497352828,1843,1850
1497354268,1840,1847
1497356432,1839,1846
1497357144,1838,1845
1497357863,1837,1844
1497358578,1837,1844
1497360007,1834,1841
1497360773,1832,1839
1497361447,1833,1840
1497362894,1832,1839
1497363637,1831,1838
1497366114,1829,1836
1497367457,1825,1832
1497368912,1824,1831
1497370366,1817,1824
1497371786,1817,1824
1497372756,1814,1821
1497373720,1815,1822
1497374411,1814,1821
1497376583,1814,1821
1497377291,1812,1819
1497378046,1810,1817
1497378739,1811,1818
1497380483,1813,1820
1497381159,1814,1821
1497381846,1813,1820
1497383294,1811,1818
1497385694,1811,1818
1497386427,1809,1816
1497387877,1805,1812
1497388581,1803,1810
1497389307,1800,1807
1497390018,1797,1804
1497391723,1794,1801
1497392423,1796,1803
1497393138,1794,1801
1497393858,1792,1799
1497394575,1791,1798
1497396043,1794,1801
1497396849,1793,1800
1497398186,1794,1801
1497398917,1796,1803
1497399628,1798,1805
1497400607,1799,1806
1497402104,1798,1805
1497402998,1799,1806
1497403697,1798,1805
1497404426,1799,1806
1497405137,1797,1804
1497405872,1798,1805
1497406840,1798,1805
1497408263,1796,1803
1497408975,1258,1262
1497409718,1257,1261
1497411168,1256,1260
1497412619,1257,1261
1497414741,1244,1248
1497416180,1243,1247
1497416903,1245,1249
1497417626,1246,1250
1497418341,1239,1243
1497419781,1227,1231
1497421241,1219,1223
1497421943,1218,1222
1497422664,1214,1218
1497423376,1214,1217
1497424106,1208,1211
1497424830,1209,1212
1497425542,1204,1207
1497426258,1194,1197
1497427955,1191,1194
1497429388,1189,1192
1497430101,1190,1193
1497430882,1189,1192
1497431548,1187,1190
1497432972,1188,1191
1497433708,1186,1189
1497434485,1184,1187
1497435158,1183,1186
1497436111,1186,1189
1497436814,1185,1188
1497437556,1182,1185
1497438511,1178,1181
1497439953,1177,1180
1497441382,1173,1176
1497442090,1175,1178
1497442851,1176,1179
1497443542,1177,1180
1497444971,1180,1183
1497445698,1178,1181
1497446433,1178,1181
1497447147,1178,1181
1497447858,1178,1181
1497448578,1179,1182
1497449297,1178,1181
1497450029,1176,1179
1497450739,1181,1184
1497451466,1178,1181
1497453418,1177,1180
1497454100,1177,1180
1497454826,1175,1178
1497455528,1177,1180
1497456270,1178,1181
1497456970,1177,1180
1497457706,1178,1181
1497458419,1178,1181
1497459170,1176,1179
1497460115,1177,1180
1497460811,1173,1176
1497461554,1168,1171
1497462252,1166,1169
1497463349,1165,1168
1497464194,1163,1166
1497464896,1160,1163
1497465624,1162,1165
1497466370,1161,1164
1497467072,1158,1161
1497468502,1157,1160
1497470921,1156,1159
1497472350,1155,1158
1497473047,1156,1159
1497473816,1154,1157
1497475948,1152,1155
1497477382,1148,1151
1497478847,1147,1150
1497479544,1146,1149
1497480255,1146,1149
1497481694,1145,1148
1497482435,1145,1148
1497483150,1144,1147
1497485795,1152,1155
1497486489,1152,1155
1497487229,1151,1154
1497487935,1148,1151
1497488673,1149,1152
1497490103,1148,1151
1497491561,1147,1150
1497492266,1146,1149
1497492983,1145,1148
1497495134,1144,1147
1497495869,1143,1146
1497497314,1222,1226
1497498761,1224,1228
1497500177,1222,1226
1497500909,1278,1283
1497501613,1281,1286
1497502350,1284,1289
1497503073,1289,1294
1497504507,1296,1301
1497505210,1371,1378
1497505956,1435,1443
1497506671,1461,1470
1497507374,1499,1508
1497508101,1555,1565
1497508816,1574,1585
1497509547,1580,1591
1497510277,1638,1649
1497510973,1644,1655
1497511727,1659,1670
1497512422,1698,1709
1497513149,1728,1739
1497513867,1734,1745
1497514587,1741,1752
1497515303,1750,1761
1497516019,1751,1762
1497516744,1762,1773
1497517471,1764,1775
1497519161,1763,1774
1497525639,1762,1773
1497526346,1763,1774
1497527059,1761,1772
1497529250,1762,1773
1497530666,1763,1774
1497535691,1762,1773
1497538572,1761,1772
1497540019,1759,1770
1497542920,1758,1769
1497545786,1757,1768
1497546496,1758,1769
1497547229,1758,1769
1497550120,1757,1768
1497550817,1758,1769
1497553472,1758,1769
1497554183,1765,1776
1497554911,1764,1775
1497565214,1763,1774
1497567400,1762,1773
1497568834,1761,1772
1497569811,1760,1771
1497571938,1759,1770
1497573399,1760,1771
1497574918,1759,1770
1497577705,1760,1771
1497580089,1756,1767
1497581547,1758,1769
1497583957,1757,1768
1497587565,1758,1769
1497589695,1758,1769
1497590449,1756,1767
1497591412,1757,1768
1497593791,1758,1769
1497598105,1757,1768
1497598849,1757,1768
1497599555,1757,1768
1497602659,1755,1766
1497609858,1756,1767
1497612065,1757,1768
1497612765,1759,1770
1497614171,1758,1769
1497614916,1758,1769
1497616359,1757,1768
1497618176,1756,1767
1497619690,1754,1765
1497620454,1755,1766
1497621150,1754,1765
1497621872,1753,1764
1497623559,1753,1764
1497626435,1752,1763
1497627169,1751,1762
1497627856,1749,1760
1497628960,1748,1759
1497631250,1747,1758
1497633677,1750,1761
1497635311,1748,1759
1497639155,1747,1758
1497640111,1750,1761
1497640834,1749,1760
1497644649,1748,1759
1497645389,1746,1757
1497646372,1744,1755
1497651472,1743,1754
1497652378,1744,1755
1497657811,1743,1754
1497660049,1743,1754
1497660756,1742,1753
1497663648,1741,1752
1497664353,1740,1751
1497665074,1740,1752
1497666773,1738,1750
1497668170,1742,1754
1497668924,1740,1752
1497676091,1741,1753
1497676861,1740,1752
1497677564,1739,1751
1497680709,1736,1748
1497684511,1736,1748
1497685233,1735,1747
1497685993,1734,1746
1497688378,1733,1745
1497689787,1732,1744
1497691961,1731,1743
1497692660,1732,1744
1497694122,1731,1743
1497697691,1730,1742
1497705623,1728,1740
1497707051,1727,1739
1497707790,1728,1740
1497708489,1727,1739
1497713577,1728,1740
1497717159,1731,1743
1497720770,1729,1741
1497724094,1728,1740
1497726272,1729,1741
1497729370,1729,1741
1497730835,1727,1739
1497731570,1726,1738
1497732990,1729,1741
1497735863,1728,1740
1497736572,1728,1740
1497737306,1729,1741
1497739029,1728,1740
1497742605,1728,1740
1497744108,1728,1740
1497746916,1730,1742
1497747704,1731,1743
1497749579,1730,1743
1497750247,1732,1745
1497751691,1732,1744
1497752456,1730,1742
1497753157,1732,1744
1497754570,1728,1740
1497755325,1726,1738
1497756770,1727,1739
1497758189,1728,1740
1497760359,1729,1741
1497763262,1728,1740
1497764219,1727,1739
1497764897,1728,1740
1497765705,1727,1739
1497766352,1726,1738
1497767100,1726,1738
1497771382,1727,1739
1497774253,1727,1739
1497776517,1729,1741
1497780106,1728,1740
1497780767,1730,1742
1497781448,1728,1740
1497782169,1731,1743
1497783692,1732,1744
1497785796,1731,1743
1497786493,1732,1744
1497790118,1731,1743
1497793705,1732,1744
1497794510,1731,1743
1497795851,1733,1745
1497796582,1734,1746
1497797295,1733,1745
1497799473,1732,1744
1497800905,1731,1743
1497801717,1730,1742
1497803049,1733,1745
1497803770,1735,1747
1497804508,1736,1748
1497805294,1735,1747
1497811449,1738,1750
1497812180,1740,1752
1497814358,1741,1753
1497817273,1744,1756
1497818658,1745,1759
1497819370,1744,1758
1497820109,1743,1757
1497820837,1742,1756
1497822261,1743,1757
1497824712,1742,1756
1497826353,1741,1755
1497827076,1743,1757
1497828056,1742,1756
1497828762,1744,1758
1497832622,1744,1758
1497835451,1745,1759
1497843371,1748,1762
1497844943,1749,1763
