DateTime,Entries,UniqueIPs
1497346361,25691,25842
1497347050,25691,25842
1497347790,25689,25840
1497348501,25687,25838
1497349240,25690,25841
1497349939,25692,25843
1497350667,25690,25841
1497351381,25691,25842
1497352101,25697,25848
1497352831,25695,25846
1497353544,25707,25858
1497354271,25707,25858
1497354979,25715,25866
1497355712,25714,25865
1497356435,25719,25870
1497357147,25716,25867
1497357867,25721,25872
1497358582,25719,25870
1497359320,25724,25875
1497360010,25721,25872
1497360776,25723,25874
1497361451,25729,25880
1497362190,25727,25878
1497362898,25724,25875
1497363640,25721,25871
1497364618,25722,25872
1497365306,25720,25870
1497366118,25724,25874
1497366748,25728,25878
1497367460,25720,25870
1497368183,25723,25873
1497368915,25717,25867
1497369675,25721,25871
1497370369,25721,25871
1497371053,25727,25877
1497371789,25730,25881
1497372759,25731,25882
1497373723,25730,25881
1497374414,25728,25879
1497375162,25725,25876
1497375853,25729,25880
1497376586,25727,25878
1497377295,25726,25877
1497378049,25726,25877
1497378742,25723,25874
1497379723,25722,25873
1497380487,25729,25880
1497381163,25733,25884
1497381850,25734,25885
1497382592,25734,25885
1497383297,25736,25887
1497384157,25735,25886
1497384996,25731,25882
1497385698,25733,25884
1497386431,25731,25882
1497387135,25726,25877
1497387881,25722,25873
1497388584,25726,25877
1497389310,25724,25875
1497390021,25730,25881
1497390756,25730,25881
1497391727,25734,25885
1497392426,25731,25882
1497393141,25729,25880
1497393861,25727,25878
1497394578,25725,25876
1497395319,25726,25877
1497396047,25724,25875
1497396853,25728,25879
1497397455,25730,25881
1497398189,25725,25876
1497444753,25661,25810
1497445467,25663,25812
1497446178,25666,25815
1497446904,25671,25820
1497447627,25673,25822
1497448350,25664,25813
1497449069,25669,25818
1497449783,25670,25819
1497450518,25668,25817
1497451215,25667,25816
1497451946,25668,25817
1497452918,25673,25822
1497453617,25674,25823
1497454355,25671,25820
1497455050,25676,25825
1497455795,25673,25822
1497456498,25671,25820
1497457250,25673,25822
1497457946,25677,25826
1497458672,25682,25831
1497459372,25682,25831
1497460118,25683,25832
1497460814,25682,25831
1497462255,25680,25829
1497463353,25676,25825
1497464197,25671,25820
1497464899,25675,25824
1497465627,25668,25817
1497466373,25665,25814
1497467075,25671,25820
1497467775,25674,25823
1497468505,25678,25827
1497469221,25676,25825
1497469952,25672,25821
1497470924,25669,25818
1497471615,25675,25824
1497472354,25672,25821
1497473051,25672,25821
1497473819,25665,25814
1497474499,25667,25816
1497475240,25669,25818
1497475951,25668,25817
1497476659,25662,25811
1497477385,25658,25807
1497478094,25654,25803
1497478850,25659,25808
1497479548,25656,25805
1497480258,25656,25805
1497480994,25657,25806
1497481697,25657,25806
1497482438,25656,25805
1497483154,25654,25803
1497483952,25655,25804
1497484953,25648,25797
1497485798,25647,25796
1497486492,25648,25797
1497487233,25650,25799
1497487938,25649,25798
1497488676,25650,25799
1497489383,25649,25798
1497490106,25660,25809
1497490820,25656,25805
1497491563,25656,25805
1497492269,25660,25809
1497492986,25666,25815
1497493710,25668,25817
1497494440,25665,25814
1497495138,25667,25816
1497495872,25665,25814
1497496576,25665,25814
1497497317,25661,25810
1497498019,25660,25809
1497498765,25658,25807
1497499467,25658,25807
1497500181,25658,25807
1497500913,25655,25804
1497501616,25657,25806
1497502353,25648,25797
1497503076,25653,25802
1497503786,25654,25803
1497504511,25659,25808
1497505214,25660,25809
1497505960,25659,25808
1497506675,25659,25808
1497507377,25658,25807
1497508104,25660,25809
1497508819,25659,25808
1497509550,25661,25810
1497510280,25661,25810
1497510976,25661,25810
1497511730,25663,25813
1497512425,25663,25813
1497513152,25661,25811
1497513870,25662,25812
1497514590,25660,25810
1497515307,25659,25809
1497516022,25664,25814
1497516747,25665,25815
1497517474,25664,25814
1497518183,25671,25821
1497519164,25669,25819
1497519853,25673,25823
1497520590,25676,25826
1497521302,25677,25826
1497522039,25679,25828
1497522744,25683,25832
1497523468,25686,25835
1497524178,25694,25844
1497524902,25697,25847
1497525642,25697,25847
1497526349,25701,25851
1497527062,25704,25854
1497527784,25709,25859
1497528499,25710,25860
1497529253,25716,25866
1497529937,25713,25863
1497530669,25714,25864
1497531380,25716,25866
1497532123,25713,25863
1497532820,25718,25868
1497533555,25726,25876
1497534249,25720,25870
1497534995,25724,25874
1497535694,25727,25877
1497536440,25729,25879
1497537148,25726,25876
1497537864,25729,25879
1497538575,25736,25886
1497539315,25732,25882
1497540022,25735,25885
1497540769,25729,25879
1497541450,25724,25874
1497542185,25723,25873
1497542923,25719,25869
1497543626,25721,25871
1497544352,25727,25877
1497545053,25727,25877
1497545789,25728,25878
1497546499,25723,25873
1497547232,25726,25877
1497547940,25729,25880
1497548687,25729,25880
1497549382,25731,25883
1497550124,25732,25884
1497550821,25730,25882
1497552044,25720,25872
1497552732,25718,25870
1497553475,25718,25870
1497554186,25720,25872
1497554914,25720,25872
1497555618,25720,25872
1497556363,25717,25869
1497557317,25716,25868
1497558021,25718,25870
1497558752,25715,25867
1497559448,25714,25866
1497560190,25709,25861
1497560894,25708,25860
1497561648,25717,25869
1497562343,25719,25871
1497563065,25716,25868
1497563791,25714,25866
1497564528,25712,25864
1497565217,25709,25861
1497565953,25705,25857
1497566650,25704,25856
1497567403,25705,25857
1497568114,25706,25858
1497568837,25710,25862
1497569814,25707,25859
1497570521,25707,25859
1497571329,25708,25860
1497571941,25711,25863
1497572659,25706,25858
1497573402,25707,25859
1497574121,25702,25854
1497574921,25703,25855
1497575559,25705,25857
1497576266,25706,25858
1497576973,25710,25862
1497577708,25704,25856
1497578572,25704,25856
1497579402,25699,25851
1497580092,25702,25854
1497580844,25707,25859
1497581550,25697,25849
1497582270,25701,25853
1497583260,25695,25847
1497583960,25695,25847
1497584678,25691,25843
1497585404,25689,25841
1497586114,25693,25845
1497586835,25694,25846
1497587568,25699,25851
1497588255,25698,25849
1497588993,25693,25844
1497589698,25695,25846
1497590452,25687,25838
1497591415,25692,25843
1497592096,25688,25839
1497592985,25688,25839
1497593794,25692,25843
1497594492,25690,25841
1497595249,25691,25842
1497595963,25690,25841
1497596675,25695,25846
1497597374,25698,25849
1497598108,25706,25857
1497598852,25708,25859
1497599558,25711,25862
1497600276,25708,25859
1497601256,25710,25861
1497601957,25719,25870
1497602662,25722,25873
1497603380,25730,25881
1497604116,25732,25883
1497604835,25741,25892
1497605569,25738,25889
1497606253,25742,25893
1497606983,25741,25892
1497607694,25740,25891
1497608455,25736,25887
1497609165,25744,25895
1497609861,25746,25897
1497610572,25749,25900
1497611296,25750,25901
1497612068,25747,25899
