DateTime,Entries,UniqueIPs
1497603380,6043,6043
1497604116,6053,6053
1497604835,6075,6075
1497605569,6069,6069
1497606253,6045,6045
1497606983,6059,6059
1497607694,6037,6037
1497608455,6060,6060
1497609165,6075,6075
1497609861,6087,6087
1497610572,6091,6091
1497611296,6097,6097
1497612068,6085,6085
1497612768,6091,6091
1497613461,6104,6104
1497614175,6089,6089
1497614919,6103,6103
1497615646,6109,6109
1497616363,6116,6116
1497617066,6126,6126
1497618179,6112,6112
1497618999,6110,6110
1497619694,6120,6120
1497620457,6116,6116
1497621153,6123,6123
1497621875,6122,6122
1497622864,6116,6116
1497623562,6109,6109
1497624266,6115,6115
1497624973,6114,6114
1497625717,6102,6102
1497626438,6115,6115
1497627173,6102,6102
1497627859,6106,6106
1497628963,6112,6112
1497629837,6113,6113
1497630495,6106,6106
1497631253,6111,6111
1497631961,6116,6116
1497632674,6144,6144
1497633680,6136,6136
1497634365,6131,6131
1497635315,6136,6136
1497636107,6138,6138
1497637015,6143,6143
1497637698,6139,6139
1497638449,6129,6129
1497639159,6138,6138
1497640115,6135,6135
1497640838,6128,6128
1497641577,6115,6115
1497642516,6136,6136
1497643305,6152,6152
1497643976,6137,6137
1497644653,6133,6133
1497645392,6110,6110
1497646375,6123,6123
1497647334,6120,6120
1497648037,6103,6103
1497648762,6108,6108
1497649460,6108,6108
1497650556,6109,6109
1497651476,6121,6121
1497652381,6112,6112
1497653325,6112,6112
1497654111,6105,6105
1497654771,6112,6112
1497655453,6107,6107
1497656185,6102,6102
1497657185,6080,6080
1497657814,6084,6084
1497658590,6071,6071
1497659293,6069,6069
1497660052,6066,6066
1497660759,6075,6075
1497661385,6069,6069
1497662193,6068,6068
1497662896,6065,6065
1497663651,6064,6064
1497664356,6062,6062
1497665077,6054,6054
1497666063,6054,6054
1497666776,6048,6048
1497667464,6048,6048
1497668173,6042,6042
1497668927,6043,6043
1497669617,6042,6042
1497670372,6050,6050
1497671074,6056,6056
1497671799,6062,6062
1497672492,6057,6057
