DateTime,Entries,UniqueIPs
1497364241,9345,9345
1497364972,9345,9345
1497366343,9347,9347
1497367186,9350,9350
1497368148,9344,9344
1497368977,9349,9349
1497369792,9331,9331
1497370669,9330,9330
1497371308,9331,9331
1497372349,9308,9308
1497373830,9308,9308
1497375325,9315,9315
1497376528,9312,9312
1497377431,9311,9311
1497378239,9310,9310
1497379231,9307,9307
1497380183,9309,9309
1497381271,9310,9310
1497382130,9313,9313
1497382955,9315,9315
1497383782,9316,9316
1497384646,9314,9314
1497385832,9306,9306
1497386574,9310,9310
1497387536,9280,9280
1497388528,9283,9283
1497389459,9254,9254
1497391770,9247,9247
1497393082,9248,9248
1497394863,9227,9227
1497395724,9225,9225
1497396646,9207,9207
1497397361,9210,9210
1497398337,9210,9210
1497399260,9213,9213
1497400120,9212,9212
1497401102,9219,9219
1497402183,9220,9220
1497403125,9223,9223
1497405324,9221,9221
1497406236,9221,9221
1497407454,9218,9218
1497408335,9227,9227
1497409268,9228,9228
1497410125,9243,9243
1497411048,9245,9245
1497411945,9245,9245
1497412789,9245,9245
1497413738,9247,9247
1497414884,9242,9242
1497416124,9245,9245
1497417033,9248,9248
1497418132,9248,9248
1497419140,9245,9245
1497419942,9243,9243
1497421214,9241,9241
1497422183,9239,9239
1497423072,9240,9240
1497423987,9239,9239
1497424834,9244,9244
1497426870,9242,9242
1497427840,9246,9246
1497428803,9255,9255
1497429635,9256,9256
1497431227,9253,9253
1497432031,9254,9254
1497433242,9285,9285
1497434332,9304,9304
1497435538,9318,9318
1497437693,9317,9317
1497438683,9316,9316
1497439524,9318,9318
1497440559,9314,9314
1497441379,9317,9317
1497442213,9324,9324
1497443320,9350,9350
1497445240,9356,9356
1497446076,9358,9358
1497447740,9371,9371
1497449507,9379,9379
1497450503,9383,9383
1497451571,9382,9382
1497453024,9381,9381
1497454834,9387,9387
1497455778,9388,9388
1497456645,9382,9382
1497457713,9385,9385
1497458751,9378,9378
1497459937,9378,9378
1497460830,9379,9379
1497461699,9371,9371
1497462933,9375,9375
1497464101,9375,9375
1497465056,9395,9395
1497465937,9420,9420
1497468180,9434,9434
1497469233,9392,9392
1497470123,9393,9393
1497471026,9393,9393
1497472261,9383,9383
1497473135,9385,9385
1497474934,9388,9388
1497475827,9386,9386
