DateTime,AddedIPs,RemovedIPs
1497128727,1,0
1497129673,0,1
1497130825,1,3
1497131728,1,0
1497132669,1,1
1497134333,0,1
1497136223,1,1
1497137189,2,0
1497138171,4,0
1497139589,2,0
1497140631,2,0
1497141813,1,1
1497143736,0,2
1497144899,1,0
1497146121,1,0
1497147145,1,1
1497148102,0,1
1497149959,1,3
1497150927,1,0
1497151964,0,2
1497153137,2,1
1497154227,1,2
1497158130,1,0
1497159375,1,3
1497159740,1,0
1497165597,1,0
1497166941,2,1
1497168396,1,1
1497169221,1,1
1497170625,1,1
1497171929,1,0
1497174017,3,5
1497174930,1,0
1497177676,3,5
1497180761,1,8
1497181840,0,1
1497182674,0,1
1497184866,0,2
1497186871,3,0
1497188242,0,1
1497189332,1,1
1497191309,0,4
1497192428,2,3
1497194315,3,0
1497195519,0,6
1497198930,0,2
1497200336,1,0
1497201329,1,0
1497202829,1,6
1497205259,1,3
1497206499,1,2
1497207899,3,0
1497208890,1,1
1497210131,1,1
1497213060,1,3
1497215117,1,1
1497216077,2,0
1497217346,0,1
1497218523,0,4
1497219645,1,0
1497220902,1,0
1497222505,1,2
1497224541,2,2
1497226468,1,2
1497227436,0,4
1497230432,3,1
1497231325,2,1
1497232187,2,0
1497233427,0,5
1497234502,1,1
1497235342,1,4
1497236543,0,4
1497237630,1,0
1497238113,1,1
1497239144,1,2
1497240297,1,0
1497242563,2,0
1497244829,1,1
1497246147,0,2
1497247240,3,2
1497249757,1,3
1497250756,1,2
1497252515,0,1
1497253535,1,0
1497256107,1,0
1497257146,2,4
1497257963,0,1
1497258822,1,0
1497260568,2,3
1497261447,1,0
1497262457,1,1
1497263448,1,3
1497265450,1,1
1497267048,0,1
1497267941,1,0
1497268921,0,2
1497270931,2,4
1497272278,2,1
1497273269,1,4
1497274946,0,3
1497276625,0,1
1497277708,1,0
1497278680,0,1
1497279388,1,1
1497280469,0,1
1497281333,1,0
1497282287,2,5
1497283355,1,2
1497284337,1,0
1497285638,0,1
1497287106,3,0
1497288036,2,0
1497289126,0,4
1497290140,1,0
1497291273,1,2
1497292128,1,0
1497293543,1,4
1497295231,2,1
1497295717,3,0
1497296749,1,0
1497297718,0,2
1497300200,2,2
1497301832,4,2
1497302909,2,0
1497303960,0,2
1497305164,0,1
1497306633,0,3
1497308753,1,0
1497310528,1,3
1497311793,2,0
1497312626,1,2
1497313728,1,1
1497314721,2,1
1497316233,1,1
1497317432,1,0
1497318985,0,1
1497319824,0,2
1497320751,1,0
1497323160,2,2
1497324043,1,0
1497326180,1,0
1497327171,1,0
1497328535,0,1
1497330371,1,0
1497332748,2,0
1497334477,1,1
1497335459,1,3
1497337063,1,1
1497338315,2,2
1497339779,0,1
1497341164,2,0
1497341671,0,1
1497344018,3,2
1497346442,1,2
1497347733,1,1
1497348705,3,2
1497349716,2,1
1497350792,1,2
1497351695,2,1
1497352538,1,1
1497353395,3,0
1497356136,3,1
1497356946,3,1
1497357761,3,1
1497359464,2,0
1497361686,1,1
1497362185,2,0
1497363132,0,1
1497364246,2,2
1497368983,0,1
1497369824,1,0
1497370674,1,2
1497372376,1,3
1497373834,2,0
1497375332,2,1
1497377458,0,2
1497378304,1,0
1497379257,3,1
1497380189,1,0
1497381275,0,1
1497382188,1,0
1497384679,1,0
1497385837,0,3
1497386605,2,0
1497387540,3,1
1497388532,1,0
1497389486,0,1
1497391798,2,2
1497393107,2,0
1497394888,0,2
1497395727,1,0
1497396658,1,1
1497400172,0,2
1497401127,1,1
1497402208,1,2
1497403128,1,0
1497405329,2,0
1497406258,1,1
1497407483,0,3
1497410129,1,0
1497411058,1,2
1497411966,1,0
1497412793,1,1
1497413743,1,0
1497414891,0,1
1497416128,1,1
1497417057,1,1
1497419960,0,1
1497422189,0,2
1497423077,2,0
1497424017,2,3
1497424838,1,0
1497426874,2,2
1497427845,2,1
1497428836,0,1
1497429639,1,0
1497431275,1,1
1497433266,2,1
1497434337,0,1
1497435549,0,1
1497437698,2,2
1497440584,2,2
1497442235,0,2
1497443325,0,1
1497445251,3,0
1497447744,12,2
1497449525,8,1
1497450507,4,0
1497451590,6,2
1497453032,8,6
1497453262,2,0
1497454860,3,0
1497455781,3,0
1497456677,7,2
1497457718,14,1
1497458779,9,1
1497459956,7,1
1497460855,7,0
1497461713,3,1
1497462940,7,0
1497464114,8,2
1497465090,3,2
1497465943,6,0
1497468184,18,1
1497469260,1,1
1497470128,2,0
1497471030,3,3
1497473140,6,0
1497474941,18,1
1497475831,4,0
1497476760,5,0
1497477904,5,1
1497478471,1,0
1497480029,12,2
1497480992,7,0
1497481878,7,3
1497482724,6,0
1497483799,15,1
1497485431,8,4
1497487613,8,1
1497488777,7,1
1497489659,1,1
1497490475,3,1
1497491728,4,0
1497492930,3,1
1497494127,6,1
1497495066,2,1
1497496874,6,3
1497498927,4,0
1497499871,2,1
1497501026,4,0
1497501977,0,1
1497502879,1,0
1497503948,2,1
1497504841,5,0
1497506132,2,0
1497507312,2,0
1497509192,5,2
1497510671,4,1
1497511473,4,0
1497512276,2,0
1497514596,6,1
1497515689,5,0
1497517150,7,4
1497518018,3,1
1497520231,15,3
1497521238,4,2
1497522042,3,0
1497522954,3,2
1497524305,7,0
1497525339,3,0
1497526947,3,6
1497528388,4,2
1497529237,1,0
1497531681,6,5
1497532465,4,1
1497533448,2,1
1497536189,2,1
1497537045,1,0
1497539321,0,1
1497541344,3,1
1497542182,0,1
1497543045,0,1
1497544108,1,0
1497545274,0,2
1497546622,1,1
1497548814,2,1
1497550370,0,1
1497551449,1,2
1497552383,1,1
1497553815,3,2
1497555644,5,1
1497556591,4,1
1497557872,3,3
1497558775,3,0
1497560276,5,0
1497561345,5,0
1497562952,1,5
1497563838,3,0
1497565065,5,0
1497566132,2,2
1497568226,10,1
1497570151,5,1
1497570975,2,0
1497571890,1,2
1497573023,3,0
1497573974,4,0
1497575121,6,0
1497576039,6,0
1497577342,7,1
1497578258,4,0
1497579389,2,2
1497580108,1,1
1497581019,3,2
1497581820,12,0
1497582868,1,2
1497583898,2,0
1497585343,6,0
1497587302,4,1
1497588399,2,0
1497589742,11,0
1497591754,5,1
1497592679,5,0
1497593831,4,2
1497594834,4,1
1497595957,6,0
1497597003,7,1
1497598249,4,3
1497599148,4,0
1497599804,1,0
1497601345,6,2
1497602145,6,0
1497603081,3,0
1497603935,7,1
1497604517,8,0
1497606441,11,3
1497608088,10,3
1497609023,1,2
1497610319,2,2
1497611258,4,1
1497612117,2,0
1497612936,2,2
1497614196,2,1
1497615053,1,1
1497615946,3,1
1497616895,3,6
1497618647,4,6
1497620343,6,4
1497621753,6,3
1497623270,5,0
1497624870,4,8
1497626153,2,3
1497627273,3,7
1497628342,3,2
1497629614,2,5
1497630511,6,0
1497631700,4,2
1497632734,7,1
1497633265,4,0
1497635136,9,19
1497636409,8,6
1497637248,3,0
1497638680,6,1
1497639940,2,0
1497640889,3,0
1497642358,7,10
1497642989,1,0
1497644295,4,7
1497644912,2,0
1497646042,9,0
1497647684,8,18
1497648907,1,7
1497650192,4,4
1497651192,4,9
1497652023,1,0
1497653090,14,0
1497654867,5,5
1497656669,2,22
1497657916,10,8
1497658751,3,0
1497660137,8,0
1497662139,9,9
1497663472,4,6
1497664531,4,0
1497665830,7,5
1497666514,2,0
1497667611,5,2
1497668728,2,0
1497669705,5,1
1497671023,5,9
1497671878,1,0
1497673526,8,2
1497674492,3,5
1497675385,3,0
1497676229,1,3
1497678141,2,3
1497679336,5,4
1497680439,3,0
1497681696,2,5
1497683661,7,5
1497684879,5,12
1497687724,12,7
1497688606,1,6
1497690286,3,0
1497690875,2,0
1497692762,4,4
1497693384,1,0
1497695148,4,5
