DateTime,AddedIPs,RemovedIPs
1497192445,1,20
1497193259,3,0
1497194322,1,1
1497195530,4,3
1497198934,17,9
1497200340,15,1
1497201333,17,2
1497202835,7,7
1497205270,6,10
1497206543,3,4
1497207912,7,2
1497208928,2,1
1497210135,5,7
1497210987,3,1
1497213065,13,30
1497214269,4,1
1497215121,2,1
1497216109,0,2
1497217350,43,18
1497218556,9,2
1497219655,20,0
1497220930,18,39
1497222512,1,2
1497224545,6,16
1497226472,37,5
1497227441,4,1
1497228147,0,1
1497229534,4,5
1497230436,1,1
1497231329,3,1
1497232193,3,2
1497233431,1,3
1497234506,3,4
1497235346,4,5
1497236547,3,2
1497237634,3,2
1497239148,4,18
1497240301,5,12
1497242567,1,2
1497244833,3,4
1497245312,1,1
1497246151,0,12
1497247246,0,18
1497248075,3,0
1497248913,1,1
1497249761,0,22
1497250762,2,2
1497251734,5,2
1497252520,2,4
1497253539,3,4
1497254191,0,4
1497255044,0,5
1497256114,3,2
1497257153,0,2
1497257969,3,4
1497258828,4,0
1497260573,6,6
1497261453,5,2
1497262463,4,4
1497263455,2,16
1497264636,2,9
1497265462,2,13
1497267056,4,5
1497268936,1,2
1497269672,0,2
1497270937,1,2
1497272325,4,4
1497273275,1,0
1497274951,2,1
1497275791,0,2
1497276630,1,3
1497277719,0,1
1497278687,3,5
1497279394,1,3
1497280475,2,7
1497281338,1,1
1497282294,1,4
1497283364,3,4
1497284342,2,2
1497285643,2,2
1497287111,3,6
1497288040,3,1
1497289130,0,3
1497290145,0,3
1497291278,1,3
1497292136,2,0
1497293552,3,4
1497294469,3,0
1497296761,3,4
1497297737,0,7
1497298844,2,0
1497300231,3,11
1497301836,5,1
1497302924,4,0
1497303974,0,7
1497305182,1,5
1497306637,2,4
1497307756,3,0
1497308766,3,4
1497309635,0,2
1497310532,5,4
1497310976,2,1
1497311797,0,2
1497312630,2,15
1497313773,3,24
1497314743,4,0
1497315393,0,2
1497316238,2,23
1497317437,2,19
1497318367,2,0
1497318988,3,0
1497319828,0,3
1497320788,2,4
1497321789,9,3
1497323173,12,2
1497324055,4,0
1497325164,5,10
1497326184,6,1
1497327175,1,3
1497328539,2,2
1497330388,7,9
1497331271,2,1
1497331772,1,43
1497332758,16,1
1497334482,44,9
1497335470,14,12
1497337067,34,3
1497338319,1,14
1497339790,3,14
1497341190,4,7
1497341675,1,1
1497344023,7,8
1497344502,1,6
1497345448,1,0
1497346464,1,4
1497347738,2,2
1497348718,2,4
1497349721,3,1
1497350817,2,5
1497351703,2,0
1497352543,1,4
1497353413,2,4
1497354154,2,0
1497356142,49,7
1497356992,26,3
1497357766,17,1
1497359482,2,3
1497360678,1,2
1497361700,2,2
1497362190,9,1
1497363156,17,2
1497364252,9,6
1497365073,0,2
1497366353,6,6
1497367196,3,2
1497368172,0,6
1497368989,3,1
1497369846,0,20
1497370681,0,1
1497371319,1,0
1497372395,0,23
1497373839,2,3
1497375356,8,2
1497377479,4,8
1497379289,1,3
1497380194,2,0
1497381281,1,1
1497382208,3,1
1497382963,1,0
1497383790,2,1
1497384700,4,4
1497385843,4,14
1497386635,5,0
1497387561,3,32
1497388537,1,0
1497389511,5,31
1497391817,4,11
1497393123,4,4
1497394908,3,25
1497395732,0,3
1497396664,2,21
1497397400,3,0
1497398345,2,4
1497399268,2,1
1497400186,0,2
1497401148,8,1
1497402238,1,1
1497403132,0,1
1497405333,1,6
1497406278,3,2
1497407496,1,5
1497408379,12,3
1497409316,11,7
1497410134,13,0
1497411067,3,1
1497411985,2,1
1497412797,1,1
1497413749,1,0
1497414896,1,3
1497416132,2,3
1497417075,3,0
1497418213,2,5
1497419172,1,3
1497419964,1,1
1497421283,2,5
1497422199,1,5
1497423082,2,1
1497424034,3,1
1497424843,4,1
1497426886,4,5
1497427851,4,2
1497428867,7,1
1497429659,3,2
1497431299,4,4
1497432310,10,2
1497433280,25,1
1497434341,25,8
1497435573,15,2
1497437714,4,6
1497438735,3,4
1497439533,2,2
1497440602,0,4
1497441389,3,1
1497442261,15,3
1497443332,25,0
1497445261,17,6
1497446084,3,1
1497447749,19,4
1497449543,16,2
1497450518,3,0
1497451606,2,4
1497453037,7,7
1497454881,7,1
1497455785,2,2
1497456696,1,2
1497457722,3,1
1497458800,4,5
1497459977,4,0
1497460874,2,1
1497461727,2,6
1497462944,4,2
1497464125,4,4
1497465118,25,1
1497465949,22,0
1497468188,17,4
1497469281,3,0
1497470133,3,3
1497471035,2,2
1497473146,3,5
1497474949,11,5
1497475837,3,5
1497476775,5,0
1497477925,4,1
1497478477,2,0
1497480034,4,7
1497480996,6,1
1497481897,1,1
1497482728,2,0
1497483824,1,3
1497485435,4,2
1497487617,4,2
1497488803,3,1
1497489682,2,0
1497490484,1,2
1497491732,1,1
1497492936,2,3
1497494131,3,3
1497495086,16,2
1497496892,28,5
1497497726,13,3
1497498931,18,3
1497499891,11,5
1497501030,23,4
1497501998,13,8
1497502898,2,22
1497503953,3,1
1497504864,3,25
1497506136,3,13
1497507316,3,9
1497508133,1,2
1497509216,1,3
1497510679,0,3
1497511477,5,2
1497514609,3,5
1497515716,0,3
1497517154,26,8
1497518023,1,0
1497520235,2,10
1497521274,2,5
1497522186,1,1
1497523221,2,1
1497524331,4,2
1497525344,5,2
1497526952,7,54
1497528421,5,15
1497529242,5,1
1497531691,3,21
1497532470,1,2
1497533466,2,18
1497534336,2,3
1497535285,0,2
1497536229,4,2
1497537051,3,3
1497538221,2,3
1497539326,2,2
1497541348,3,1
1497542187,2,1
1497543066,1,3
1497544117,1,1
1497545304,5,3
1497546627,5,0
1497548821,5,7
1497550413,4,3
1497551456,4,3
1497552408,2,0
1497553821,6,2
1497555656,10,4
1497556596,2,1
1497557902,4,6
1497558797,1,4
1497560281,3,3
1497561351,2,1
1497562957,0,7
1497563842,0,2
1497565074,3,1
1497566139,2,3
1497568231,3,7
1497570155,3,3
1497570979,3,0
