DateTime,Entries,UniqueIPs
1497344502,645,645
1497345448,646,646
1497346464,643,643
1497347738,643,643
1497348718,641,641
1497349721,643,643
1497350817,640,640
1497351703,642,642
1497352543,639,639
1497353413,637,637
1497354154,639,639
1497356142,681,681
1497356992,704,704
1497357766,720,720
1497359482,719,719
1497360678,718,718
1497361700,718,718
1497362190,726,726
1497363156,741,741
1497364252,744,744
1497365073,742,742
1497366353,742,742
1497367196,743,743
1497368172,737,737
1497368989,739,739
1497369846,719,719
1497370681,718,718
1497371319,719,719
1497372395,696,696
1497373839,695,695
1497375356,701,701
1497377479,697,697
1497379289,695,695
1497380194,697,697
1497381281,697,697
1497382208,699,699
1497382963,700,700
1497383790,701,701
1497384700,701,701
1497385843,691,691
1497386635,696,696
1497387561,667,667
1497388537,668,668
1497389511,642,642
1497391817,635,635
1497393123,635,635
1497394908,613,613
1497395732,610,610
1497396664,591,591
1497397400,594,594
1497398345,592,592
1497399268,593,593
1497400186,591,591
1497401148,598,598
1497402238,598,598
1497403132,597,597
1497405333,592,592
1497406278,593,593
1497407496,589,589
1497408379,598,598
1497409316,602,602
1497410134,615,615
1497411067,617,617
1497411985,618,618
1497412797,618,618
1497413749,619,619
1497414896,617,617
1497416132,616,616
1497417075,619,619
1497418213,616,616
1497419172,614,614
1497419964,614,614
1497421283,611,611
1497422199,607,607
1497423082,608,608
1497424034,610,610
1497424843,613,613
1497426886,612,612
1497427851,614,614
1497428867,620,620
1497429659,621,621
1497431299,621,621
1497432310,629,629
1497433280,653,653
1497434341,670,670
1497435573,683,683
1497437714,681,681
1497438735,680,680
1497439533,680,680
1497440602,676,676
1497441389,678,678
1497442261,690,690
1497443332,715,715
1497445261,726,726
1497446084,728,728
1497447749,743,743
1497449543,757,757
1497450518,760,760
1497451606,758,758
1497453037,758,758
1497454881,764,764
1497455785,764,764
1497456696,763,763
1497457722,765,765
1497458800,764,764
1497459977,768,768
1497460874,769,769
1497461727,765,765
1497462944,767,767
1497464125,767,767
1497465118,791,791
1497465949,813,813
1497468188,826,826
1497469281,829,829
1497470133,829,829
1497471035,829,829
1497473146,827,827
1497474949,833,833
1497475837,831,831
1497476775,836,836
1497477925,839,839
1497478477,841,841
1497480034,838,838
1497480996,843,843
1497481897,843,843
1497482728,845,845
1497483824,843,843
1497485435,845,845
1497487617,847,847
1497488803,849,849
1497489682,851,851
1497490484,850,850
1497491732,850,850
1497492936,849,849
1497494131,849,849
1497495086,863,863
1497496892,886,886
1497497726,896,896
1497498931,911,911
1497499891,917,917
1497501030,936,936
1497501998,941,941
1497502898,921,921
1497503953,923,923
1497504864,901,901
1497506136,891,891
1497507316,885,885
1497508133,884,884
1497509216,882,882
1497510679,879,879
1497511477,882,882
1497514609,880,880
1497515716,877,877
1497517154,895,895
1497518023,896,896
1497520235,888,888
1497521274,885,885
1497522186,885,885
1497523221,886,886
1497524331,888,888
1497525344,891,891
1497526952,844,844
1497528421,834,834
1497529242,838,838
1497531691,820,820
1497532470,819,819
1497533466,803,803
1497534336,802,802
1497535285,800,800
1497536229,802,802
1497537051,802,802
1497538221,801,801
1497539326,801,801
1497541348,803,803
1497542187,804,804
1497543066,802,802
1497544117,802,802
1497545304,804,804
1497546627,809,809
1497548821,807,807
1497550413,808,808
1497551456,809,809
1497552408,811,811
1497553821,815,815
1497555656,821,821
1497556596,822,822
