DateTime,Entries,UniqueIPs
1497186845,43409,43409
1497188148,42286,42286
1497189305,42439,42439
1497191286,42409,42409
1497192330,42033,42033
1497193219,42241,42241
1497194294,42423,42423
1497195500,42062,42062
1497198906,41893,41893
1497200319,42154,42154
1497201305,42312,42312
1497202808,41798,41798
1497205215,41668,41668
1497206416,41622,41622
1497207881,41847,41847
1497208806,42006,42006
1497210906,41761,41761
1497210965,41770,41770
1497213035,41759,41759
1497214151,41938,41938
1497214957,42047,42047
1497216015,42241,42241
1497217325,42024,42024
1497218444,41929,41929
1497219626,42044,42044
1497220817,42089,42089
1497222480,42302,42302
1497224525,42173,42173
1497225805,42138,42138
1497226446,42206,42206
1497227405,42170,42170
1497228126,42271,42271
1497229505,42293,42293
1497230405,42427,42427
1497231306,42409,42409
1497232171,42511,42511
1497233406,42498,42498
1497234485,42677,42677
1497235325,42644,42644
1497236513,42619,42619
1497237307,42708,42708
1497238085,42798,42798
1497239106,42691,42691
1497240281,42725,42725
1497242545,42838,42838
1497244805,43039,43039
1497245285,43135,43135
1497246125,43028,43028
1497247199,43071,43071
1497248046,43215,43215
1497248885,43379,43379
1497249734,43225,43225
1497250712,43207,43207
1497251705,43333,43333
1497252485,43451,43451
1497253506,43382,43382
1497254166,43486,43486
1497255007,43492,43492
1497256087,43714,43714
1497257108,43744,43744
1497257940,43741,43741
1497258775,43939,43939
1497260527,44043,44043
1497261409,44190,44190
1497262207,44120,44120
1497263409,44148,44148
1497264607,44359,44359
1497265421,44399,44399
1497267008,44542,44542
1497267907,44737,44737
1497268895,44670,44670
1497269646,44790,44790
1497270907,44678,44678
1497272256,44834,44834
1497273246,44779,44779
1497274927,44689,44689
1497275766,44860,44860
1497276606,44772,44772
1497277686,44984,44984
1497278636,44861,44861
1497279366,44998,44998
1497280447,44789,44789
1497281307,44901,44901
1497282256,44639,44639
1497283324,44526,44526
1497284310,44699,44699
1497285612,44552,44552
1497287070,44604,44604
1497288010,44767,44767
1497289103,44704,44704
1497290107,45033,45033
1497291246,44866,44866
1497292087,44977,44977
1497293505,44749,44749
1497294306,44656,44656
1497295209,44837,44837
1497295686,44935,44935
1497296706,44841,44841
1497297670,44725,44725
1497298808,45036,45036
1497300131,44937,44937
1497301806,45073,45073
1497302861,45211,45211
1497303911,45089,45089
1497305115,44946,44946
1497306606,44878,44878
1497307711,45038,45038
1497308712,44915,44915
1497309515,45025,45025
1497310505,44921,44921
1497310926,44996,44996
1497311765,45112,45112
1497312605,44940,44940
1497313687,45069,45069
1497314684,44970,44970
1497315365,45097,45097
1497316206,44955,44955
1497317406,44829,44829
1497318307,44886,44886
1497318964,44992,44992
1497319804,44917,44917
1497320709,45020,45020
1497321730,44927,44927
1497323116,44830,44830
1497324010,44952,44952
1497325145,44834,44834
1497326165,44977,44977
1497327155,44797,44797
1497328506,44755,44755
1497330314,44784,44784
1497331204,44971,44971
1497331689,45069,45069
1497332690,44963,44963
1497334461,45080,45080
1497335417,44978,44978
1497337045,45228,45228
1497338292,45119,45119
1497339560,45031,45031
1497339733,45063,45063
1497341110,44939,44939
1497341646,45061,45061
1497342907,44982,44982
1497343997,45166,45166
1497344441,45047,45047
1497345405,45419,45419
1497346420,45521,45521
1497347706,45933,45933
1497348625,45912,45912
1497349687,46288,46288
1497350717,46492,46492
1497351644,46567,46567
1497352505,46916,46916
1497353296,47188,47188
1497354125,47098,47098
1497356106,47320,47320
1497356894,47625,47625
1497357735,47440,47440
1497359414,47874,47874
1497360634,48013,48013
1497361638,48354,48354
1497362166,48526,48526
1497363077,48292,48292
1497364208,48280,48280
1497364936,48473,48473
1497367169,48880,48880
1497368116,48950,48950
1497368945,49229,49229
1497369753,49193,49193
1497370634,49507,49507
1497371287,49750,49750
1497372311,49831,49831
1497373807,50110,50110
1497375309,50309,50309
1497376506,50599,50599
1497377407,50686,50686
1497378221,50817,50817
1497379205,50711,50711
1497380166,50871,50871
1497381246,50727,50727
1497382102,50870,50870
1497382927,50735,50735
1497383766,50866,50866
1497384613,50731,50731
1497385808,50631,50631
1497386537,50745,50745
1497387485,50877,50877
1497388506,50803,50803
1497389427,50627,50627
1497391740,50682,50682
1497393054,50655,50655
1497394838,50642,50642
1497395705,50790,50790
1497396623,50658,50658
1497397334,50772,50772
1497398311,50671,50671
1497399247,50788,50788
1497400091,50887,50887
1497401084,50764,50764
1497402155,50588,50588
1497403108,50691,50691
1497405305,50724,50724
1497406208,50587,50587
1497407428,50537,50537
1497408311,50644,50644
1497409240,50513,50513
1497410105,50654,50654
1497411025,50589,50589
1497411914,50646,50646
1497412777,50569,50569
1497413706,50696,50696
1497414861,50554,50554
1497416106,50755,50755
1497417005,50551,50551
1497418105,50677,50677
1497419113,50545,50545
1497419929,50399,50399
