DateTime,Entries,UniqueIPs
1497184844,3057,3057
1497185950,3070,3070
1497186869,3087,3087
1497188219,3063,3063
1497189329,3082,3082
1497191307,3083,3083
1497192404,3069,3069
1497193249,3082,3082
1497194313,3097,3097
1497195517,3064,3064
1497198928,3044,3044
1497200334,3052,3052
1497201327,3061,3061
1497202826,2982,2982
1497205250,2882,2882
1497206466,2888,2888
1497207897,2906,2906
1497208857,2915,2915
1497210129,2874,2874
1497210980,2883,2883
1497213058,2884,2884
1497214208,2894,2894
1497215001,2903,2903
1497216048,2911,2911
1497217344,2898,2898
1497218493,2902,2902
1497219643,2906,2906
1497220868,2881,2881
1497222497,2893,2893
1497224539,2867,2867
1497226466,2867,2867
1497227434,2855,2855
1497228141,2858,2858
1497229527,2854,2854
1497230430,2874,2874
1497231323,2867,2867
1497232186,2878,2878
1497233425,2863,2863
1497234500,2860,2860
1497235340,2841,2841
1497236538,2835,2835
1497237628,2848,2848
1497238110,2854,2854
1497239133,2848,2848
1497240295,2843,2843
1497242561,2842,2842
1497244827,2847,2847
1497245305,2850,2850
1497246146,2832,2832
1497247238,2835,2835
1497248069,2841,2841
1497248906,2846,2846
1497249755,2838,2838
1497250743,2837,2837
1497251728,2846,2846
1497252511,2860,2860
1497253533,2849,2849
1497254186,2858,2858
1497255036,2862,2862
1497256105,2865,2865
1497257143,2854,2854
1497257961,2844,2844
1497258813,2858,2858
1497260566,2856,2856
1497261434,2868,2868
1497262455,2877,2877
1497263445,2881,2881
1497264628,2882,2882
1497265445,2875,2875
1497267046,2878,2878
1497267938,2892,2892
1497268919,2893,2893
1497269665,2901,2901
1497270930,2900,2900
1497272276,2909,2909
1497273267,2911,2911
1497274944,2914,2914
1497275783,2927,2927
1497276623,2921,2921
1497277706,2942,2942
1497278672,2943,2943
1497279386,2945,2945
1497280467,2935,2935
1497281330,2944,2944
1497282284,2931,2931
1497283353,2926,2926
1497284334,2937,2937
1497285636,2924,2924
1497287103,2940,2940
1497288034,2952,2952
1497289124,2970,2970
1497290138,3150,3150
1497291271,3154,3154
1497292125,3162,3162
1497293525,3113,3113
1497294333,3098,3098
1497295228,3107,3107
1497295712,3107,3107
1497296737,3094,3094
1497297704,3087,3087
1497298835,3094,3094
1497300175,3078,3078
1497301829,3077,3077
1497302893,3087,3087
1497303944,3084,3084
1497305138,3064,3064
1497306631,3059,3059
1497307742,3082,3082
1497308739,3076,3076
1497309531,3094,3094
1497310526,3075,3075
1497310951,3086,3086
1497311791,3089,3089
1497312625,3057,3057
1497313715,3059,3059
1497314707,3044,3044
1497315387,3044,3044
1497316232,3029,3029
1497317430,3003,3003
1497318336,3000,3000
1497318983,3007,3007
1497319823,2995,2995
1497320738,3000,3000
1497321760,2980,2980
1497323140,2967,2967
1497324033,2977,2977
1497325159,2953,2953
1497326179,2961,2961
1497327169,2941,2941
1497328533,2932,2932
1497330356,2908,2908
1497331239,2919,2919
1497331718,2929,2929
1497332728,2919,2919
1497334475,2913,2913
1497335444,2898,2898
1497337061,2913,2913
1497338311,2885,2885
1497339763,2879,2879
1497341149,2852,2852
1497341669,2857,2857
1497344014,2845,2845
1497344476,2830,2830
1497345422,2835,2835
1497346439,2804,2804
1497347731,2821,2821
1497348683,2801,2801
1497349712,2812,2812
1497350770,2786,2786
1497351675,2754,2754
1497352536,2764,2764
1497353338,2772,2772
1497354148,2741,2741
1497356133,2709,2709
1497356929,2713,2713
1497357758,2663,2663
1497359449,2648,2648
1497360668,2618,2618
1497361672,2629,2629
1497362183,2640,2640
1497363116,2597,2597
1497364244,2560,2560
1497365005,2567,2567
1497366345,2546,2546
1497367188,2557,2557
1497368155,2554,2554
1497368981,2566,2566
1497369796,2548,2548
1497370672,2564,2564
1497371311,2571,2571
1497372359,2580,2580
1497373832,2567,2567
1497375328,2557,2557
1497376530,2560,2560
1497377438,2552,2552
1497378242,2558,2558
1497379236,2556,2556
1497380186,2567,2567
1497381273,2559,2559
1497382140,2569,2569
1497382957,2562,2562
1497383784,2573,2573
1497384652,2558,2558
1497385835,2545,2545
1497386582,2546,2546
1497387538,2522,2522
1497388530,2534,2534
1497389466,2525,2525
1497391779,2543,2543
1497393088,2543,2543
1497394870,2545,2545
1497395726,2549,2549
1497396653,2546,2546
1497397368,2550,2550
1497398339,2543,2543
1497399262,2554,2554
1497400126,2564,2564
1497401108,2545,2545
1497402194,2535,2535
1497403127,2544,2544
1497405326,2551,2551
1497406242,2548,2548
1497407464,2560,2560
1497408340,2570,2570
1497409275,2558,2558
1497410127,2556,2556
1497411056,2544,2544
1497411950,2540,2540
1497412792,2542,2542
1497413741,2554,2554
1497414886,2546,2546
1497416126,2557,2557
1497417040,2550,2550
1497418140,2557,2557
1497419146,2544,2544
1497419944,2538,2538
1497421224,2553,2553
1497422188,2541,2541
1497423074,2548,2548
1497423996,2528,2528
1497424836,2535,2535
1497426872,2543,2543
1497427842,2536,2536
1497428811,2544,2544
1497429637,2531,2531
1497431238,2519,2519
1497432034,2529,2529
1497433251,2509,2509
1497434334,2499,2499
1497435540,2503,2503
1497437695,2509,2509
1497438692,2490,2490
1497439526,2501,2501
1497440565,2483,2483
1497441381,2486,2486
1497442220,2478,2478
1497443323,2481,2481
1497445245,2465,2465
1497446078,2469,2469
1497447742,2466,2466
1497449515,2457,2457
1497450505,2463,2463
1497451577,2451,2451
1497453029,2431,2431
1497453260,2432,2432
1497454842,2423,2423
1497455779,2435,2435
1497456651,2428,2428
