DateTime,AddedIPs,RemovedIPs
1497185944,131,0
1497186862,129,0
1497188192,180,1113
1497189322,78,2
1497191303,195,235
1497192365,105,306
1497193241,94,0
1497194305,110,2
1497195513,111,318
1497198923,391,527
1497200330,191,8
1497201321,91,11
1497202820,137,458
1497205239,199,319
1497206444,154,164
1497207892,132,0
1497208835,107,2
1497210125,120,366
1497210976,99,1
1497213050,186,88
1497214186,100,1
1497214982,75,0
1497216030,91,0
1497217340,92,160
1497218471,52,66
1497219639,51,11
1497220845,162,86
1497222491,90,1
1497224535,134,138
1497226462,113,104
1497227426,59,67
1497228137,51,0
1497229523,108,73
1497230422,83,0
1497231318,78,64
1497232181,60,1
1497233421,108,71
1497234496,99,1
1497235336,79,58
1497236525,84,60
1497237617,53,0
1497238103,27,1
1497239126,66,70
1497240291,69,46
1497242557,145,58
1497244823,241,50
1497245301,69,0
1497246142,84,89
1497247234,111,59
1497248065,106,0
1497248902,112,0
1497249751,72,116
1497250735,84,95
1497251718,75,9
1497252507,59,0
1497253527,105,85
1497254181,66,0
1497255032,105,37
1497256100,158,1
1497257135,152,54
1497257955,152,68
1497258799,160,10
1497260557,226,62
1497261423,87,0
1497262449,117,52
1497263436,132,67
1497264622,236,26
1497265437,148,53
1497267035,268,67
1497267930,149,1
1497268913,104,88
1497269660,67,0
1497270923,122,183
1497272271,151,51
1497273262,113,145
1497274939,171,243
1497275778,85,0
1497276619,112,181
1497277701,133,1
1497278651,147,195
1497279381,85,0
1497280462,87,236
1497281325,61,2
1497282279,95,253
1497283338,78,160
1497284329,87,2
1497285631,134,192
1497287096,182,103
1497288029,100,1
1497289119,131,142
1497290132,242,0
1497291267,85,185
1497292114,64,0
1497293520,110,261
1497294325,93,133
1497295224,114,0
1497295708,57,0
1497296722,103,125
1497297687,125,152
1497298830,133,1
1497300161,152,158
1497301824,205,92
1497302879,60,0
1497303930,73,120
1497305128,81,165
1497306626,106,159
1497307733,87,0
1497308731,65,147
1497309527,63,0
1497310522,93,151
1497310944,43,0
1497311785,57,2
1497312620,58,157
1497313706,75,0
1497314700,85,127
1497315383,76,1
1497316228,75,122
1497317424,57,155
1497318324,96,39
1497318979,66,0
1497319819,51,84
1497320727,48,1
1497321748,49,125
1497323131,93,171
1497324024,70,1
1497325155,55,147
1497326175,68,0
1497327165,59,188
1497328528,138,162
1497330336,219,182
1497331223,120,1
1497331708,70,0
1497332703,135,188
1497334471,191,121
1497335438,87,147
1497337057,125,14
1497338307,136,192
1497339571,152,196
1497339750,20,0
1497341132,229,320
1497341664,83,0
1497342930,171,213
1497344008,204,62
1497344464,93,142
1497345418,278,0
1497346434,298,160
1497347727,323,1
1497348659,232,151
1497349707,308,0
1497350754,395,161
1497351662,334,213
1497352530,283,0
1497353328,246,0
1497354143,240,277
1497356127,444,275
1497356915,225,5
1497357754,213,328
1497359435,518,105
1497360653,328,170
1497361655,271,1
1497362179,137,2
1497363102,200,234
1497364234,223,204
1497364960,155,0
1497366336,385,202
1497367183,221,0
1497368140,311,206
1497368970,224,1
1497369788,251,213
1497370662,247,0
1497371305,198,2
1497372339,284,145
1497373827,430,160
1497375323,368,166
1497376526,297,66
1497377425,218,102
1497378236,68,0
1497379226,97,181
1497380180,84,1
1497381269,126,188
1497382126,83,1
1497382949,95,168
1497383779,81,0
1497384648,96,178
1497385828,84,132
1497386564,55,2
1497387530,59,117
1497388523,88,6
1497389451,48,148
1497391771,189,142
1497393075,94,107
1497394856,148,147
1497395719,93,0
1497396641,71,101
1497397354,60,1
1497398333,72,142
1497399258,57,10
1497400113,41,2
1497401098,57,165
1497402172,50,156
1497403123,57,0
1497405322,139,152
1497406229,66,145
1497407446,76,94
1497408330,56,3
1497409269,66,125
1497410123,69,1
1497411043,85,109
1497411938,84,53
1497412787,55,117
1497413733,102,20
1497414878,90,182
1497416122,119,0
1497417025,42,193
1497418128,61,1
1497419135,75,189
1497419940,53,138
1497421204,127,15
1497422177,72,126
1497423069,83,1
1497423974,122,171
1497424831,93,2
1497426867,275,205
1497427834,77,260
1497428784,52,0
1497429632,66,140
1497431221,76,184
1497432029,24,1
1497433232,27,221
1497434329,38,328
1497435535,37,27
1497437690,65,293
1497438677,28,263
1497439521,34,0
1497440553,52,216
1497441377,62,0
1497442209,51,236
1497443313,83,4
1497445205,98,337
1497446074,31,22
1497447738,109,184
1497449497,82,230
1497450500,40,1
1497451566,34,109
1497453026,64,141
1497453256,19,0
1497454827,67,140
1497455776,39,0
1497456640,23,189
1497457708,30,2
1497458741,18,278
1497459929,19,266
1497460825,20,0
1497461697,18,121
1497462929,43,0
1497464099,33,157
1497465051,23,182
1497465932,59,3
1497468178,211,192
1497469228,16,258
1497470121,22,0
1497471023,20,170
1497472256,25,107
1497473128,18,0
1497474929,45,126
1497475824,23,122
1497476735,29,0
1497477877,34,148
1497478464,13,1
1497480023,73,235
1497480986,24,0
1497481846,21,106
1497482717,31,2
1497483764,28,141
1497485423,45,208
1497487603,56,182
1497488734,39,135
1497489627,18,0
1497490453,25,90
1497491723,32,1
1497492924,42,118
1497494121,33,107
1497495032,28,1
1497496824,47,118
1497497716,18,151
1497498922,29,3
1497499833,26,244
1497501018,21,232
1497501943,19,84
1497502848,11,130
1497503942,28,1
1497504799,18,160
1497506124,19,53
1497507283,25,114
1497508123,17,1
1497509157,19,225
1497510634,31,298
1497511444,18,1
1497512270,18,240
1497514547,57,390
1497515657,44,415
1497517143,95,411
1497518008,63,21
1497519314,83,548
1497520212,185,0
1497521202,87,715
1497522032,56,1
1497522936,48,679
1497524253,81,1
1497525327,26,0
1497526941,49,952
1497528358,114,570
1497529227,49,2
1497531659,84,1060
1497532459,22,1
1497533402,31,344
1497534323,32,0
1497535204,32,459
1497536146,34,41
1497537034,32,524
1497538159,35,0
1497539311,39,582
1497541338,66,729
1497542177,25,0
1497543019,20,409
1497544101,22,1
1497545208,25,434
1497546616,42,537
1497547874,43,261
1497548797,27,1
1497550321,32,202
1497551425,42,259
1497552347,38,0
1497553808,56,276
1497555623,81,191
1497556584,29,1
1497557830,31,158
1497558767,27,185
1497560237,43,1
1497561324,33,1
1497562944,50,397
1497563817,28,0
1497565039,27,215
1497566117,33,232
1497567324,23,90
1497568214,21,133
1497570140,43,131
1497570970,15,1
1497571845,23,116
1497572642,15,1
1497573635,20,128
1497574525,30,0
1497575422,15,190
1497577336,51,156
1497578252,26,0
1497579343,31,180
1497580102,24,1
1497580965,23,269
1497581814,24,2
1497582859,34,132
1497583868,36,266
1497585337,49,0
1497587296,51,232
1497588338,29,174
1497589735,42,176
1497591745,64,222
1497592673,15,1
1497593786,24,306
1497594819,207,267
1497595912,187,2
1497596729,155,345
1497597644,263,2
