DateTime,AddedIPs,RemovedIPs
1496924092,0,1
1496925406,0,2
1496926320,0,1
1496927130,1,2
1496933853,2,0
1496935699,0,1
1496937713,1,1
1496941491,1,0
1496946630,0,1
1496948735,1,2
1496950419,1,0
1496952363,0,2
1496954590,1,1
1496955437,1,0
1496958151,0,1
1496959324,3,0
1496960172,2,0
1496961030,0,3
1496963128,1,2
1496965544,1,0
1496967631,1,0
1496970926,1,2
1496971856,0,1
1496974507,0,1
1496975428,1,2
1496976984,1,0
1496979126,1,0
1496982027,1,0
1496983395,1,0
1496984324,1,2
1496986300,1,0
1496988684,0,2
1496996429,2,0
1496999147,0,1
1497004867,0,1
1497005936,0,1
1497008126,0,1
1497011430,2,2
1497015141,1,0
1497018636,0,2
1497020728,1,0
1497022313,0,3
1497025029,0,1
1497028254,2,0
1497030031,2,2
1497033035,0,2
1497034609,2,0
1497035660,2,0
1497038868,1,1
1497039919,4,0
1497044278,1,4
1497046224,1,0
1497047433,1,0
1497048385,1,0
1497050461,1,0
1497051580,2,2
1497053182,1,3
1497054357,1,2
1497056141,3,3
1497057031,0,1
1497058943,1,6
1497060364,1,2
1497062459,0,1
1497065472,1,0
1497069026,1,0
1497069984,1,0
1497072057,1,0
1497072980,1,1
1497076786,1,0
1497078926,1,2
1497080425,2,2
1497081324,0,1
1497083436,0,6
1497084382,1,0
1497085254,1,1
1497086062,0,1
1497087172,1,0
1497089182,1,0
1497092109,0,4
1497093024,0,1
1497094825,0,1
1497096685,0,2
1497097834,0,1
1497098616,2,0
1497100465,1,1
1497102150,2,0
1497103779,1,0
1497107251,0,1
1497111640,2,1
1497113954,3,0
1497114927,0,2
1497116321,3,1
1497117385,0,1
1497119736,0,1
1497121285,2,0
1497122133,1,1
1497123013,0,1
1497124597,1,0
1497125484,0,2
1497126628,2,1
1497128726,2,1
1497130824,0,1
1497132659,0,1
1497138170,0,1
1497139587,3,0
1497140630,1,0
1497141802,2,3
1497144888,2,2
1497146120,1,0
1497148101,1,0
1497149955,1,3
1497150927,2,0
1497151954,0,1
1497154224,1,2
1497155994,0,1
1497157160,6,0
1497158129,1,0
1497161230,0,1
1497163597,2,1
1497164734,1,2
1497165596,1,1
1497168386,1,2
1497169217,1,0
1497177665,2,0
1497179663,1,0
1497180745,0,1
1497184855,1,0
1497188240,0,1
1497189331,1,0
1497191308,0,1
1497193250,1,0
1497194313,0,1
1497198929,0,1
1497200335,1,0
1497201328,2,0
1497206485,1,1
1497207898,0,2
1497210130,0,2
1497210981,1,0
1497213059,1,3
1497214225,2,0
1497215113,1,0
1497217345,0,3
1497218512,0,1
1497220890,1,0
1497224540,2,1
1497226467,0,3
1497227435,0,1
1497229528,0,1
1497231324,0,1
1497235341,1,0
1497237629,1,0
1497239141,1,1
1497240296,1,0
1497244828,3,1
1497246147,0,1
1497248070,1,0
1497248907,1,1
1497249756,1,1
1497250749,1,0
1497252514,2,0
1497253534,0,1
1497257145,0,1
1497257962,2,0
1497258821,0,1
1497260567,1,0
1497261446,1,0
1497263447,1,0
1497267940,1,0
1497268920,1,2
1497269666,0,1
1497270931,1,1
1497272277,0,1
1497276624,0,2
1497277707,2,0
1497278679,0,1
1497282286,0,1
1497283354,2,1
1497284336,2,0
1497285637,0,3
1497287105,1,0
1497289125,0,1
1497291273,0,2
1497292127,1,0
1497293533,0,2
1497294334,0,2
1497295230,0,1
1497295716,2,0
1497296744,2,4
1497297712,0,3
1497301831,1,0
1497303955,2,0
1497305156,1,0
1497307743,2,0
1497308749,1,3
1497309612,1,0
1497310527,1,1
1497312626,0,1
1497314716,1,2
1497316233,1,0
1497319824,3,0
1497321768,0,3
1497324041,1,0
1497325160,2,0
1497326180,1,0
1497327170,0,3
1497328534,0,1
1497330366,0,2
1497332743,0,1
1497335452,2,1
1497337062,1,0
1497338314,0,1
1497339774,2,1
1497344017,0,1
1497344486,1,0
1497346441,2,1
1497348698,0,2
1497351690,0,1
1497359458,2,0
1497366346,0,1
1497368982,2,0
1497369816,0,1
1497370673,2,0
1497371312,1,0
1497373833,1,2
1497377452,1,0
1497380188,1,0
1497382958,1,0
1497384666,0,3
1497385836,0,1
1497386597,1,0
1497387539,1,0
1497388531,1,1
1497389479,0,1
1497391792,1,1
1497393100,1,1
1497394881,1,0
1497396657,0,2
1497397379,1,0
1497399263,2,0
1497401121,1,1
1497403127,0,1
1497405328,0,1
1497407480,2,0
1497408352,1,0
1497409290,1,0
1497410128,2,0
1497411057,0,1
1497412793,1,0
1497414889,1,1
1497416127,0,1
1497417051,0,1
1497419955,0,1
1497422189,1,1
1497424009,1,0
1497424837,1,1
1497426873,1,0
1497427844,1,0
1497428826,1,0
1497429638,0,2
1497431267,0,2
1497434336,0,2
1497437697,0,1
1497440577,0,1
1497441383,1,0
1497447743,1,0
1497449522,1,0
1497451589,1,0
1497453031,1,1
1497454853,1,1
1497456670,0,2
1497457717,1,0
1497459950,1,0
1497461706,1,0
1497462939,1,0
1497464109,0,1
1497465082,1,2
1497465942,1,0
1497470127,2,0
1497471029,0,1
1497472288,0,3
1497473139,1,1
1497474940,1,1
1497475830,4,1
1497480028,2,0
1497480991,1,0
1497483793,1,1
1497485430,3,2
1497487612,2,1
1497488770,1,0
1497489652,2,1
1497490471,0,3
1497491728,1,0
1497492929,2,1
1497494126,2,0
1497496867,2,1
1497498926,0,1
1497501025,1,0
1497501971,0,2
1497502872,1,0
1497504833,1,2
1497506131,2,1
1497507311,1,0
1497508128,1,0
1497509191,1,1
1497510663,1,0
1497511472,1,0
1497512275,0,1
1497514588,1,1
1497515687,1,2
1497517149,1,1
1497518017,0,1
1497520230,3,0
1497521227,1,0
1497522041,2,0
1497524295,1,0
1497525338,1,0
1497528379,1,2
1497531680,2,0
1497532464,3,0
1497533441,0,2
1497534331,1,0
1497535254,1,1
1497536181,3,0
1497537044,1,0
1497538189,1,0
1497539320,1,1
1497541343,2,2
1497542182,2,0
1497543034,0,1
1497545263,1,0
1497546621,2,0
1497548813,4,0
1497550360,1,1
1497551448,2,0
1497553813,1,0
1497555636,4,0
1497556590,2,0
1497557862,1,1
1497558774,1,1
1497560271,2,1
1497561344,0,1
1497562952,3,2
1497565064,1,1
1497566131,1,0
1497568225,1,1
1497570150,2,3
