DateTime,Entries,UniqueIPs
1496869188,405,405
1496870983,404,404
1496873778,403,403
1496875352,402,402
1496876192,401,401
1496878190,402,402
1496881411,403,403
1496882458,403,403
1496883822,402,402
1496884858,404,404
1496885752,405,405
1496888011,408,408
1496889000,409,409
1496890344,410,410
1496892696,413,413
1496894767,412,412
1496896441,410,410
1496898372,128,128
1496902102,127,127
1496904169,124,124
1496905080,123,123
1496907749,124,124
1496909770,123,123
1496910643,123,123
1496911682,124,124
1496912678,126,126
1496914776,126,126
1496916643,125,125
1496918635,124,124
1496920503,125,125
1496922141,126,126
1496924092,125,125
1496925406,123,123
1496926320,122,122
1496927130,121,121
1496933853,123,123
1496935699,122,122
1496937713,122,122
1496941491,123,123
1496946630,122,122
1496948735,121,121
1496950419,122,122
1496952363,120,120
1496954590,120,120
1496955437,121,121
1496958151,120,120
1496959324,123,123
1496960172,125,125
1496961030,122,122
1496963128,121,121
1496965544,122,122
1496967631,123,123
1496970926,122,122
1496971856,121,121
1496974507,120,120
1496975428,119,119
1496976984,120,120
1496979126,121,121
1496982027,122,122
1496983395,123,123
1496984324,122,122
1496986300,123,123
1496988684,121,121
1496996429,123,123
1496999147,122,122
1497004867,121,121
1497005936,120,120
1497008126,119,119
1497011430,119,119
1497015141,120,120
1497018636,118,118
1497020728,119,119
1497022313,116,116
1497025029,115,115
1497028254,117,117
1497030031,117,117
1497033035,115,115
1497034609,117,117
1497035660,119,119
1497038868,119,119
1497039919,123,123
1497044278,120,120
1497046224,121,121
1497047433,122,122
1497048385,123,123
1497050461,124,124
1497051580,124,124
1497053182,122,122
1497054357,121,121
1497056141,121,121
1497057031,120,120
1497058943,115,115
1497060364,114,114
1497062459,113,113
1497065472,114,114
1497069026,115,115
1497069984,116,116
1497072057,117,117
1497072980,117,117
1497076786,118,118
1497078926,117,117
1497080425,117,117
1497081324,116,116
1497083436,110,110
1497084382,111,111
1497085254,111,111
1497086062,110,110
1497087172,111,111
1497089182,112,112
1497092109,108,108
1497093024,107,107
1497094825,106,106
1497096685,104,104
1497097834,103,103
1497098616,105,105
1497100465,105,105
1497102150,107,107
1497103779,108,108
1497107251,107,107
1497111640,108,108
1497113954,111,111
1497114927,109,109
1497116321,111,111
1497117385,110,110
1497119736,109,109
1497121285,111,111
1497122133,111,111
1497123013,110,110
1497124597,111,111
1497125484,109,109
1497126628,110,110
1497128726,111,111
1497130824,110,110
1497132659,109,109
1497138170,108,108
1497139587,111,111
1497140630,112,112
1497141802,111,111
1497144888,111,111
1497146120,112,112
1497148101,113,113
1497149955,111,111
1497150927,113,113
1497151954,112,112
1497154224,111,111
1497155994,110,110
1497157160,116,116
1497158129,117,117
1497161230,116,116
1497163597,117,117
1497164734,116,116
1497165596,116,116
1497168386,115,115
1497169217,116,116
1497177665,118,118
1497179663,119,119
1497180745,118,118
1497184855,119,119
1497188240,118,118
1497189331,119,119
1497191308,118,118
1497193250,119,119
1497194313,118,118
1497198929,117,117
1497200335,118,118
1497201328,120,120
1497206485,120,120
1497207898,118,118
1497210130,116,116
1497210981,117,117
1497213059,115,115
1497214225,117,117
1497215113,118,118
1497217345,115,115
1497218512,114,114
1497220890,115,115
1497224540,116,116
1497226467,113,113
1497227435,112,112
1497229528,111,111
1497231324,110,110
1497235341,111,111
1497237629,112,112
1497239141,112,112
1497240296,113,113
1497244828,115,115
1497246147,114,114
1497248070,115,115
1497248907,115,115
1497249756,115,115
1497250749,116,116
1497252514,118,118
1497253534,117,117
