DateTime,Entries,UniqueIPs
1497232178,14532,14532
1497233415,14490,14490
1497234493,14564,14564
1497235332,14517,14517
1497236522,14470,14470
1497237609,14527,14527
1497238094,14562,14562
1497239118,14480,14480
1497240288,14497,14497
1497242553,14520,14520
1497244817,14525,14525
1497245295,14549,14549
1497246134,14463,14463
1497247206,14469,14469
1497248061,14512,14512
1497248895,14556,14556
1497249744,14474,14474
1497250729,14471,14471
1497251713,14521,14521
1497252498,14576,14576
1497253517,14491,14491
1497254177,14530,14530
1497255019,14473,14473
1497256096,14533,14533
1497257125,14466,14466
1497257950,14382,14382
1497258785,14428,14428
1497260544,14375,14375
1497261419,14430,14430
1497262444,14337,14337
1497263420,14275,14275
1497264617,14287,14287
1497265432,14243,14243
1497267022,14187,14187
1497267919,14229,14229
1497268909,14154,14154
1497269656,14201,14201
1497270917,14149,14149
1497272266,14175,14175
1497273257,14150,14150
1497274935,14135,14135
1497275774,14220,14220
1497276615,14203,14203
1497277696,14278,14278
1497278646,14207,14207
1497279376,14252,14252
1497280456,14194,14194
1497281316,14250,14250
1497282274,14152,14152
1497283332,14121,14121
1497284324,14203,14203
1497285626,14118,14118
1497287088,14087,14087
1497288021,14148,14148
1497289111,14084,14084
1497290124,14155,14155
1497291259,14089,14089
1497292101,14129,14129
1497293515,14058,14058
1497294316,14005,14005
1497295219,14068,14068
1497295697,14105,14105
1497296715,14032,14032
1497297679,13958,13958
1497298820,14051,14051
1497300150,13960,13960
1497301817,13979,13979
1497302870,14045,14045
1497303926,13979,13979
1497305124,13919,13919
1497306620,13911,13911
1497307725,13980,13980
1497308723,13940,13940
1497309522,13985,13985
1497310515,13941,13941
1497310937,13972,13972
1497311777,14023,14023
1497312612,13964,13964
1497313699,14017,14017
1497314692,13976,13976
1497315377,14025,14025
1497316219,13955,13955
1497317417,13941,13941
1497318315,13944,13944
1497318974,13979,13979
1497319813,13932,13932
1497320720,13985,13985
1497321740,13968,13968
1497323124,13944,13944
1497324019,13994,13994
1497325151,13975,13975
1497326172,14039,14039
1497327161,13993,13993
1497328522,13979,13979
1497330328,13977,13977
1497331213,14034,14034
1497331701,14065,14065
1497332699,14041,14041
1497334468,14049,14049
1497335429,14015,14015
1497337053,14109,14109
1497338304,14073,14073
1497339567,14034,14034
1497339742,14045,14045
1497341123,14007,14007
1497341657,14041,14041
1497342918,14007,14007
1497344004,14039,14039
1497344456,13982,13982
1497345413,14050,14050
1497346429,14011,14011
1497347717,14098,14098
1497348645,14003,14003
1497349699,14060,14060
1497350742,14033,14033
1497351654,13982,13982
1497352523,14041,14041
