DateTime,AddedIPs,RemovedIPs
1495048837,2,0
1495059289,1,0
1495061970,0,1
1495071756,1,0
1495073144,1,0
1495088073,1,0
1495090025,1,0
1495091147,0,1
1495092870,0,1
1495103155,1,0
1495115405,0,1
1495118445,1,2
1495127148,1,0
1495137980,0,1
1495142124,0,1
1495144468,0,1
1495145436,0,1
1495146266,1,0
1495175416,0,1
1495177152,0,1
1495178151,2,0
1495179765,0,2
1495182602,0,2
1495198874,0,1
1495200633,0,1
1495201472,0,1
1495203029,0,1
1495204236,0,5
1495212385,1,1
1495214325,1,0
1495215648,1,0
1495222858,0,1
1495224630,1,0
1495228464,1,1
1495229388,1,0
1495232068,2,0
1495232994,1,1
1495234523,0,1
1495235422,1,1
1495236626,0,1
1495240109,1,0
1495240978,0,1
1495253736,1,0
1495257036,0,1
1495258230,0,2
1495258973,0,1
1495270316,0,1
1495272634,0,1
1495274788,0,1
1495275918,3,0
1495279799,1,0
1495287028,0,2
1495289664,0,2
1495290636,0,2
1495293129,0,2
1495297834,0,2
1495298767,1,0
1495300215,2,0
1495301431,1,1
1495302363,0,1
1495304978,0,1
1495307912,1,0
1495313178,0,1
1495318314,1,1
1495325670,0,1
1495333831,1,0
1495346759,0,1
1495348854,0,1
1495351827,1,0
1495362335,1,0
1495371968,0,3
1495384536,1,0
1495387948,0,1
1495399956,1,0
1495404724,1,3
1495407334,1,1
1495408469,1,0
1495411832,1,0
1495429828,0,1
1495443107,1,0
1495443933,1,1
1495446145,1,0
1495447837,0,1
1495456997,1,0
1495458172,1,0
1495460432,1,0
1495461925,2,0
1495464223,0,1
1495467334,1,1
1495470572,2,5
1495471375,1,0
1495484088,1,1
1495494336,1,0
1495498223,1,0
1495508731,0,1
1495519832,3,0
1495531563,1,0
1495538914,1,0
1495539937,1,0
1495552464,0,1
1495553522,0,1
1495556138,1,0
1495557940,1,0
1495573830,3,0
1495579233,0,1
1495585545,1,0
1495620313,0,1
1495631428,2,4
1495635346,0,1
1495643549,2,0
1495646430,1,0
1495664440,1,0
1495689635,1,0
1495695328,1,0
1495697432,5,0
1495700444,1,0
1495703416,1,0
1495719107,1,0
1495724460,3,0
1495740632,0,1
1495743274,0,1
1495744984,0,3
1495746872,0,1
1495777539,1,0
1495784555,1,0
1495786465,0,1
1495791826,0,2
1495799935,0,1
1495804228,0,1
1495812634,0,1
1495815274,1,0
1495833634,1,0
1495836629,1,0
1495839394,2,0
1495840206,0,1
1495865140,0,9
1495875467,1,0
1495876527,8,0
1495877725,1,1
1495881937,1,0
1495888229,0,1
1495889784,1,0
1495890626,0,1
1495893736,0,4
1495902044,1,0
1495902950,1,0
1495904404,1,0
1495911941,1,0
1495920504,2,0
1495930839,1,0
1495950333,1,0
1495953936,1,0
1495955146,0,1
1495959026,0,1
1495966469,0,1
1495967461,1,0
1495969548,0,1
1495976754,0,1
1495980064,1,0
1495981836,0,1
1495987132,0,1
1495994746,1,0
1495996528,1,1
1496002002,1,0
1496003733,0,1
1496009666,1,1
1496010625,1,2
1496012743,1,1
1496016194,3,1
1496018334,1,1
1496019525,1,1
1496020536,1,1
1496023288,1,1
1496024384,1,1
1496025416,0,1
1496027127,1,0
1496034333,0,3
1496041496,1,0
1496042432,1,0
1496046629,0,1
1496048701,0,1
1496049268,1,0
1496054567,1,0
1496059533,0,1
1496063429,2,0
1496065356,1,0
1496068111,1,0
1496076149,1,1
1496077530,2,0
1496078430,2,1
1496082633,1,0
1496083551,0,1
1496084727,1,1
1496086833,1,0
1496089836,0,2
1496091538,1,0
1496092536,5,0
1496093438,4,0
1496094149,1,0
1496110835,1,0
1496113833,0,1
1496114990,0,1
1496117428,1,0
1496119531,1,0
1496126209,3,0
1496131175,0,1
1496141167,1,0
1496158106,1,0
1496160896,0,1
1496165742,1,1
1496173186,0,1
1496182467,1,0
1496184167,1,0
1496195220,0,1
1496196328,0,1
1496200233,0,1
1496209364,1,0
1496210749,1,1
1496221830,1,0
1496233791,0,1
1496244003,1,0
1496245247,1,0
1496248617,0,3
1496252552,0,1
1496253754,1,0
1496254598,1,0
1496260590,1,0
1496264901,0,2
1496265929,1,0
1496269827,4,0
1496286145,0,1
1496289940,0,1
1496292055,0,1
1496305836,1,0
1496339145,0,1
1496342567,0,1
1496344472,0,1
1496350075,2,0
1496376348,0,3
1496379947,0,5
1496382990,1,0
1496383788,1,0
1496387664,0,1
1496391023,2,0
1496402465,0,1
1496407960,3,1
1496410954,0,2
1496414444,1,0
1496421030,1,0
1496428231,0,1
1496429408,1,0
1496435437,0,1
1496439325,0,1
1496441146,0,1
1496443371,1,0
1496445329,1,0
1496449251,1,0
1496457945,0,1
1496459663,1,0
1496465146,1,0
1496466926,1,0
1496480708,1,0
1496486755,0,1
1496487926,0,2
1496490344,0,3
1496491283,0,1
1496492077,4,0
1496507578,0,1
1496512601,1,2
1496514630,1,0
1496519148,0,1
1496524464,0,1
1496526344,0,1
1496544350,1,2
1496549671,0,1
1496550631,0,2
1496552756,0,1
1496554844,0,1
1496556634,0,2
1496558573,0,2
1496561433,5,2
1496564073,1,2
1496569542,0,1
1496570757,0,4
1496575159,0,3
1496576197,0,2
1496578470,1,0
1496579416,1,1
1496586630,0,1
1496589652,1,0
1496593786,0,6
1496596468,2,0
1496601036,1,0
1496610631,1,0
1496614237,1,1
1496615164,1,0
1496617834,1,2
1496620130,1,1
1496627723,3,0
1496634131,0,2
1496637631,0,1
1496641345,1,0
1496642187,1,0
1496643028,1,0
1496647595,1,0
1496650229,0,1
1496655752,1,0
1496661633,1,0
1496662523,2,0
1496663519,2,0
1496675128,1,0
1496695476,0,1
1496713351,1,0
1496714735,1,0
1496716943,0,1
1496727744,1,1
1496732616,0,1
1496739838,1,1
1496743742,19,0
1496744658,9,1
1496745596,6,0
1496746431,1,0
1496747351,1,0
1496749189,2,1
1496751873,1,0
1496752947,0,1
1496754334,4,0
1496755236,1,0
1496756435,0,1
1496761523,1,0
1496772627,0,1
1496795725,0,6
1496801462,0,1
1496810543,0,3
1496811972,0,5
1496813372,0,2
1496823272,0,1
1496831436,0,1
1496837336,0,1
1496842873,0,1
1496848475,0,2
1496853037,2,0
1496858346,9,0
1496875356,0,1
1496878206,1,0
1496898386,0,3
1496904188,2,0
1496905084,1,0
1496916663,1,0
1496920818,0,1
1496921709,0,3
1496924097,0,2
1496928936,0,1
1496931031,1,1
1496933856,1,0
1496935703,1,0
1496937727,0,2
1496943749,0,1
1496950442,0,1
1496952378,0,2
1496954611,0,42
1496958155,0,1
1496962014,1,0
1496970930,0,1
1496984327,0,1
1496990830,1,0
1496993478,1,0
1497000815,0,1
1497003637,2,0
1497005939,0,1
1497012252,1,0
1497022326,0,4
1497025036,0,1
1497030035,2,0
1497033821,4,0
1497034613,2,0
1497037826,0,1
1497070003,1,0
1497071134,1,0
1497073000,0,2
1497107256,0,1
1497111644,1,2
1497113958,1,0
1497119742,0,1
1497125514,1,0
1497138174,1,1
1497149962,0,1
1497153140,2,0
1497155112,1,0
1497157165,6,0
1497158133,1,0
1497159382,1,0
1497166944,0,1
1497169228,1,0
1497174020,0,1
1497180774,0,1
1497192432,0,1
1497198933,0,2
1497200339,1,0
1497205269,0,5
1497213064,1,0
1497217349,0,1
1497218535,1,0
1497219651,1,1
1497220910,1,1
1497226471,0,1
1497228146,1,0
1497230435,3,1
1497232190,1,1
1497240300,1,1
1497244832,0,1
1497251733,1,1
1497257968,1,0
1497260572,2,0
1497270935,1,0
1497273273,0,1
1497274950,1,0
1497282290,1,1
1497283359,1,1
1497285641,1,0
1497289129,0,2
1497290144,4,0
1497291277,1,0
1497297727,0,1
1497298842,1,0
1497300223,1,0
1497303968,0,1
1497305171,0,1
1497317435,0,1
1497327174,0,1
1497328538,0,1
1497352542,1,0
1497366351,0,1
1497375345,1,0
1497391812,0,1
1497397393,1,0
1497401141,1,0
1497411061,0,1
1497417066,0,1
1497426877,0,1
1497428849,4,0
1497433276,0,1
1497439532,1,0
1497459965,0,4
1497468187,5,0
1497471033,0,1
1497473144,1,0
1497481887,1,0
1497485434,1,0
1497487616,0,1
1497488792,1,0
1497496883,1,0
1497509203,1,1
1497514603,1,0
1497515694,0,1
1497517153,1,0
1497521252,1,0
1497528400,0,1
1497536203,1,0
1497548818,1,0
1497550385,0,1
1497551454,0,1
1497558782,1,0
1497560280,1,0
1497562956,2,0
1497563841,1,0
1497565069,6,0
1497566136,4,0
1497570154,1,0
1497582054,1,0
1497593844,0,1
1497598263,0,1
1497606455,1,0
1497609039,0,1
1497616910,0,1
1497626157,0,1
1497629628,1,0
1497631715,1,0
1497638692,0,1
1497642362,0,4
1497663483,1,0
1497683664,7,0
1497687729,0,1
1497690298,2,0
1497702524,4,0
1497705268,1,0
1497707138,0,2
1497723846,0,1
1497728750,0,1
1497747563,0,1
1497753300,0,1
1497762804,1,0
1497766846,0,1
1497772260,0,1
1497776872,0,1
1497788737,1,1
1497791078,0,1
1497791891,2,0
1497810532,0,1
1497817721,1,0
