DateTime,Entries,UniqueIPs
1495128963,6948,6948
1495133044,7007,7007
1495138803,7021,7021
1495143843,7016,7016
1495149603,6947,6947
1495153442,6957,6957
1495157283,6954,6954
1495163042,6971,6971
1495164963,6939,6939
1495170724,6926,6926
1495176482,6947,6947
1495182244,6957,6957
1495186085,6967,6967
1495192082,6968,6968
1495197844,6980,6980
1495201922,7009,7009
1495209843,7022,7022
1495217523,7026,7026
1495223523,7064,7064
1495225445,7049,7049
1495231225,7044,7044
1495239124,7023,7023
1495242965,7010,7010
1495247043,7008,7008
1495251123,6982,6982
1495254963,6994,6994
1495260724,6999,6999
1495264563,7004,7004
1495268645,7008,7008
1495274425,7015,7015
1495280404,7025,7025
1495290484,7052,7052
1495296243,7054,7054
1495302243,7055,7055
1495306085,7048,7048
1495312325,7026,7026
1495318085,7021,7021
1495323844,6995,6995
1495327685,6998,6998
1495329603,6995,6995
1495335364,6975,6975
1495344963,6976,6976
1495350724,6974,6974
1495356483,6997,6997
1495360323,7010,7010
1495368010,7027,7027
1495375684,7041,7041
1495381444,7054,7054
1495387204,7031,7031
1495394884,7048,7048
1495400643,7045,7045
1495407366,6986,6986
1495415524,6967,6967
1495419365,6977,6977
1495423204,6990,6990
1495428964,6977,6977
1495430885,6968,6968
1495434725,6978,6978
1495438565,6991,6991
1495442406,6983,6983
1495446245,6979,6979
1495450085,6999,6999
1495455844,6998,6998
1495461615,7029,7029
1495467604,7031,7031
1495473607,7046,7046
1495479364,7055,7055
1495485125,7048,7048
1495490885,7030,7030
1495496885,7005,7005
1495504564,6958,6958
1495512485,6940,6940
1495516325,6947,6947
1495524005,6955,6955
1495529765,6939,6939
1495535525,6941,6941
1495539364,6986,6986
1495548963,6999,6999
1495550888,6999,6999
1495556644,7005,7005
1495560484,7012,7012
1495566245,7028,7028
1495568164,7031,7031
1495573926,6990,6990
1495579923,6959,6959
1495585684,6942,6942
1495591443,6936,6936
1495597203,6927,6927
1495599124,6931,6931
1495606804,6925,6925
1495610643,6937,6937
1495616419,6938,6938
1495620244,6942,6942
1495626008,6943,6943
1495631764,6969,6969
1495635608,6981,6981
1495641364,6989,6989
1495645444,7000,7000
1495653604,7001,7001
1495657443,6998,6998
1495661284,6992,6992
1495663221,6988,6988
1495668964,6948,6948
1495672805,6955,6955
1495676644,6946,6946
1495682404,6923,6923
1495686244,6929,6929
1495690084,6911,6911
1495695844,6933,6933
1495697764,6933,6933
1495705683,6935,6935
1495707603,6955,6955
1495711444,6960,6960
1495715284,6960,6960
1495721045,6978,6978
1495726807,7013,7013
1495732564,7001,7001
1495736404,7010,7010
1495740245,7020,7020
1495746020,7024,7024
1495751763,6951,6951
1495759444,6968,6968
1495761364,6952,6952
1495767124,6929,6929
1495774819,6932,6932
1495776723,6919,6919
1495778643,6924,6924
1495784405,6943,6943
1495788249,6951,6951
1495797845,6960,6960
1495803621,6977,6977
1495811524,6971,6971
1495819205,7012,7012
1495827124,6991,6991
1495830963,6977,6977
1495836725,6929,6929
1495840565,6917,6917
1495848244,6899,6899
1495852084,6909,6909
1495855924,6893,6893
1495859764,6895,6895
1495863607,6908,6908
1495869364,6905,6905
1495875124,6933,6933
1495882820,6926,6926
1495888805,6930,6930
1495892644,6945,6945
1495898644,6949,6949
1495904419,6963,6963
1495910644,6975,6975
1495914484,6960,6960
1495920243,6956,6956
1495924084,6948,6948
1495929844,6933,6933
1495935604,6936,6936
1495945205,6895,6895
1495950963,6897,6897
1495958884,6898,6898
1495964644,6926,6926
1495974485,6940,6940
1495978324,6939,6939
1495982163,6943,6943
1495986005,6958,6958
1495991764,6954,6954
1495995843,6947,6947
1496003524,6953,6953
1496007605,6951,6951
1496009524,6927,6927
1496017204,6893,6893
1496021044,6864,6864
1496026818,6821,6821
1496030642,6829,6829
1496038324,6832,6832
1496044323,6829,6829
1496048164,6840,6840
1496053923,6841,6841
1496060164,6833,6833
1496064003,6852,6852
1496069765,6867,6867
1496075763,6873,6873
1496083444,6867,6867
1496089204,6871,6871
1496096883,6829,6829
1496102643,6820,6820
1496110323,6817,6817
1496116084,6796,6796
1496121844,6795,6795
1496125683,6803,6803
1496129523,6811,6811
1496133603,6822,6822
1496141523,6838,6838
1496147283,6842,6842
1496153283,6860,6860
1496159283,6890,6890
1496165044,6887,6887
1496170820,6889,6889
1496176563,6874,6874
1496180403,6859,6859
1496186644,6836,6836
1496192418,6819,6819
1496198405,6820,6820
1496202244,6795,6795
1496204404,6805,6805
1496210165,6794,6794
1496215924,6808,6808
1496219764,6804,6804
1496225524,6804,6804
1496229363,6828,6828
1496235365,6837,6837
1496237288,6839,6839
1496241123,6841,6841
1496247123,6885,6885
1496250963,6902,6902
1496254806,6881,6881
1496260564,6880,6880
1496266323,6880,6880
1496271123,6818,6818
1496276883,6836,6836
1496280723,6851,6851
1496290323,6852,6852
1496296082,6846,6846
1496299922,6867,6867
1496301844,6861,6861
1496305683,6873,6873
1496309763,6880,6880
1496315523,6891,6891
1496321283,6900,6900
1496323203,6901,6901
1496327044,6911,6911
1496332332,6932,6932
1496334966,6908,6908
1496339525,6952,6952
1496345046,6953,6953
1496353206,6951,6951
1496358016,6907,6907
1496364243,6903,6903
1496372644,6903,6903
1496376483,6890,6890
1496382245,6886,6886
1496384163,6891,6891
1496389924,6910,6910
1496394044,6913,6913
1496396165,6890,6890
1496403844,6898,6898
1496411526,6889,6889
1496415844,6882,6882
1496419683,6894,6894
1496423524,6915,6915
1496429284,6943,6943
1496438884,6924,6924
1496444884,6899,6899
1496452563,6905,6905
1496460247,6877,6877
1496463364,6866,6866
1496469618,6867,6867
1496472964,6890,6890
1496478724,6897,6897
1496482805,6923,6923
1496489284,6924,6924
1496497923,6941,6941
1496505616,6968,6968
1496509683,6975,6975
1496517603,6962,6962
1496521685,6947,6947
1496525523,6936,6936
1496529363,6928,6928
1496531283,6924,6924
1496538963,6926,6926
1496544723,6921,6921
1496550484,6917,6917
1496556484,6903,6903
1496564163,6920,6920
1496571845,6948,6948
1496575684,6954,6954
1496585284,6975,6975
1496589124,6980,6980
1496594884,6980,6980
1496596804,6988,6988
1496604483,7003,7003
1496608323,6981,6981
1496612164,6969,6969
1496616004,6946,6946
1496623684,6943,6943
1496631618,6964,6964
1496635444,6929,6929
1496639284,6925,6925
1496645044,6928,6928
1496648884,6923,6923
1496654645,6959,6959
1496664244,6969,6969
1496668084,6994,6994
1496673844,6990,6990
1496683450,6995,6995
1496689215,6995,6995
1496696883,6985,6985
1496704564,6947,6947
1496706483,6942,6942
1496712245,6915,6915
1496718015,6913,6913
1496725684,6920,6920
1496733364,6936,6936
1496737206,6944,6944
1496741045,6961,6961
1496746813,6975,6975
1496754488,6972,6972
1496762407,7018,7018
1496770324,7005,7005
1496774163,7031,7031
1496783763,7034,7034
1496787605,6984,6984
1496793365,6937,6937
1496797217,6920,6920
1496804884,6927,6927
1496808726,6912,6912
1496814723,6916,6916
1496820724,6932,6932
1496824564,6942,6942
1496828407,6948,6948
1496832244,6963,6963
1496836323,6962,6962
1496838247,6972,6972
1496845924,6967,6967
1496850005,6970,6970
1496853844,6974,6974
1496859844,7040,7040
1496863684,7034,7034
1496867524,7032,7032
1496871364,7010,7010
1496875208,7001,7001
1496877123,6988,6988
1496880963,6971,6971
1496888644,6956,6956
1496890564,6949,6949
1496898244,6936,6936
1496905924,6960,6960
1496911683,6930,6930
1496915523,6931,6931
1496923219,6966,6966
1496930883,6965,6965
1496936644,6962,6962
1496940483,6986,6986
1496946244,6988,6988
1496952011,7013,7013
1496958005,7000,7000
1496961844,6968,6968
1496963764,6960,6960
1496971443,6961,6961
1496973364,6927,6927
1496979124,6907,6907
1496984883,6907,6907
1496988723,6923,6923
1496992563,6916,6916
1497002164,6930,6930
1497010084,6947,6947
1497015844,6941,6941
1497019683,6954,6954
1497025445,6984,6984
1497033124,6991,6991
1497036964,6988,6988
1497042723,6997,6997
1497048484,6944,6944
1497056164,6956,6956
1497061923,6960,6960
1497063842,6941,6941
1497069605,6933,6933
1497075363,6945,6945
1497079204,6944,6944
1497084964,6960,6960
1497090724,6977,6977
1497098404,6993,6993
1497106084,7016,7016
1497111845,7004,7004
1497115683,6998,6998
1497121444,6992,6992
1497127206,6967,6967
1497135123,6913,6913
1497140884,6934,6934
1497148563,6938,6938
1497150485,6910,6910
1497154326,6899,6899
1497162004,6908,6908
1497163923,6936,6936
1497169684,6935,6935
1497175445,6954,6954
1497179283,6961,6961
1497185044,6972,6972
1497186963,6973,6973
1497192723,6988,6988
1497198724,6983,6983
1497200646,7000,7000
1497206406,6999,6999
1497212164,6998,6998
1497218165,6987,6987
1497222243,6936,6936
1497226084,6945,6945
1497231844,6921,6921
1497241684,6907,6907
1497245524,6904,6904
1497249605,6924,6924
1497257523,6943,6943
1497263523,6945,6945
1497269523,6953,6953
1497277206,6963,6963
1497281043,6966,6966
1497286816,6980,6980
1497292808,6985,6985
1497298803,7002,7002
1497306723,6987,6987
1497310563,6948,6948
1497318483,6941,6941
1497320405,6951,6951
1497324244,6932,6932
1497328084,6920,6920
1497331923,6918,6918
1497335764,6927,6927
1497341523,6938,6938
1497345363,6940,6940
1497349206,6943,6943
1497354965,6963,6963
1497360730,6957,6957
1497366484,6976,6976
1497374163,6975,6975
1497380165,6986,6986
1497382084,6996,6996
1497389763,6991,6991
1497395764,6939,6939
1497401523,6957,6957
1497405364,6937,6937
1497409214,6930,6930
1497414963,6926,6926
1497420724,6925,6925
1497426484,6947,6947
1497432244,6939,6939
1497438017,6968,6968
1497445684,6967,6967
1497449523,6991,6991
1497455283,7022,7022
1497465131,6992,6992
1497468964,6998,6998
1497470884,7002,7002
1497474723,6998,6998
1497478807,6953,6953
1497482884,6935,6935
1497486723,6936,6936
1497490563,6917,6917
1497492483,6919,6919
1497500163,6906,6906
1497505923,6910,6910
1497513617,6928,6928
1497521523,6941,6941
1497525363,6948,6948
1497533045,6961,6961
1497538814,6969,6969
1497544807,6977,6977
1497548645,6992,6992
1497552493,7008,7008
1497556323,7003,7003
1497560164,6993,6993
1497567844,6917,6917
1497575524,6918,6918
1497577443,6922,6922
1497583204,6903,6903
1497587044,6886,6886
1497590883,6885,6885
1497596643,6894,6894
1497602406,6911,6911
1497604324,6909,6909
1497608163,6906,6906
1497616085,6931,6931
1497619924,6947,6947
1497623763,6953,6953
1497627605,6955,6955
1497629765,6964,6964
1497633610,6969,6969
1497637683,6962,6962
1497643447,6949,6949
1497651366,6948,6948
1497659045,6934,6934
1497665043,6914,6914
1497668889,6905,6905
1497674643,6894,6894
1497682564,6920,6920
1497686414,6928,6928
1497690244,6956,6956
1497694084,6960,6960
1497697925,6967,6967
1497703924,6990,6990
1497709685,6990,6990
1497715444,6988,6988
1497723124,6996,6996
1497729124,6966,6966
1497736818,6958,6958
1497738964,6933,6933
1497744724,6928,6928
1497752403,6917,6917
1497758165,6917,6917
1497764164,6898,6898
1497768004,6925,6925
1497774004,6936,6936
1497777844,6949,6949
