DateTime,Entries,UniqueIPs
1496718112,1013,1028
1496719960,996,1010
1496725694,935,948
1496727619,931,944
1496731465,907,919
1496733403,914,926
1496735314,916,928
1496737236,925,936
1496739144,918,929
1496741051,903,914
1496742979,894,905
1496744912,903,914
1496746910,928,939
1496748757,933,946
1496750669,934,947
1496752595,930,944
1496754515,938,952
1496756433,939,953
1496758366,933,947
1496760253,935,948
1496762447,942,955
1496764356,951,964
1496766263,963,976
1496768194,959,973
1496770364,961,975
1496772282,961,975
1496774191,954,968
1496776122,948,962
1496779936,923,937
1496781851,945,959
1496783795,944,958
1496785714,951,965
1496787720,946,960
1496789563,945,960
1496791455,941,956
1496795303,925,939
1496797303,940,955
1496799157,945,960
1496801066,947,962
1496802991,942,958
1496804900,941,957
1496808753,943,959
1496810664,968,986
1496812587,976,997
1496814762,981,1002
1496816920,1019,1043
1496818901,1012,1036
1496820759,1012,1036
1496822672,999,1024
1496824587,982,1008
1496826514,980,1005
1496830357,955,980
1496832260,940,965
1496834194,937,962
1496836358,937,962
1496838271,944,968
1496840193,934,959
1496842111,941,964
1496844087,941,962
1496845940,941,963
1496848138,941,964
1496850043,944,967
1496851956,942,965
1496855808,932,955
1496857718,931,954
1496861794,928,949
1496863713,939,960
1496865725,952,974
1496867547,965,983
1496869470,972,990
1496873551,949,966
1496877378,939,953
1496879302,942,956
1496881220,961,975
1496883135,969,985
1496887314,961,978
1496891073,967,984
1496892991,972,991
1496894917,995,1014
1496896846,1005,1023
1496898753,1013,1031
1496900660,1012,1031
1496902597,1015,1034
1496906440,986,1004
1496908357,977,996
1496912187,972,991
1496914107,980,1000
1496916085,1000,1022
1496917959,993,1016
1496919869,993,1016
1496921784,993,1018
1496923712,998,1022
1496925623,984,1009
1496927551,989,1013
1496929458,984,1008
1496931372,987,1012
1496933294,995,1020
1496935212,1011,1035
1496937139,999,1023
1496939047,998,1022
1496940969,1005,1029
1496942907,995,1018
1496944889,987,1009
1496946749,993,1015
1496948670,990,1012
1496952492,974,996
1496954419,955,978
1496956337,948,970
1496958251,972,995
1496960343,978,1001
1496962332,995,1018
1496964265,1008,1029
1496966193,1009,1029
1496968111,1024,1043
1496970096,1028,1046
1496971955,1046,1064
1496973881,1048,1067
1496975790,1076,1095
1496977713,1072,1090
1496979611,1073,1090
1496981554,1064,1081
1496983459,1064,1081
1496985378,1063,1080
1496987560,1065,1083
1496989461,1074,1092
1496991376,1103,1122
1496993567,1100,1118
1496995479,1118,1136
1496999324,1124,1143
1497001236,1121,1140
1497003158,1121,1141
1497005063,1129,1152
1497007001,1135,1158
1497008908,1136,1157
1497012758,1118,1139
1497014658,1125,1147
1497016585,1123,1145
1497018518,1120,1144
1497020540,1119,1144
1497022363,1106,1131
1497024271,1113,1137
1497026182,1102,1126
1497028105,1103,1127
1497030023,1102,1126
1497031949,1103,1127
1497033858,1102,1126
1497035780,1099,1123
1497037970,1110,1134
1497039886,1118,1141
1497043712,1109,1131
1497045747,1102,1124
1497047559,1097,1119
1497049481,1103,1126
1497051390,1086,1109
1497053319,1077,1099
1497055233,1055,1075
1497057165,1034,1054
1497059065,1037,1057
1497061001,1032,1053
1497062908,1024,1045
1497064844,1018,1039
1497066761,1008,1029
1497068661,1011,1031
1497070588,1000,1022
1497072521,997,1018
1497074527,1003,1024
1497076357,993,1014
1497078272,981,1001
1497080203,987,1007
1497082096,1001,1021
1497084025,1037,1057
1497085944,1029,1049
1497087860,1028,1049
1497089782,1023,1044
1497091722,1015,1035
1497093653,1016,1036
1497095558,1003,1023
1497097465,1022,1042
1497099399,1023,1042
1497101566,1019,1038
1497103723,1023,1042
1497105628,1014,1033
1497107543,1017,1037
1497111385,1011,1031
1497113319,1012,1030
1497115265,1022,1041
1497117148,1014,1033
1497119077,1009,1029
1497120996,1011,1031
1497123179,1011,1031
1497125075,1012,1032
1497126996,1006,1026
1497128921,1028,1048
1497130843,1026,1044
1497132878,1035,1053
1497134684,1039,1057
1497136600,1035,1054
1497138526,1043,1062
1497140432,1054,1073
1497142356,1059,1078
1497144255,1064,1084
1497146198,1077,1097
1497148111,1092,1112
1497150162,1096,1116
1497151962,1091,1110
1497153879,1100,1120
1497155793,1106,1126
1497157714,1121,1141
1497159615,1115,1135
1497161547,1107,1128
1497165386,1097,1118
1497167310,1091,1112
1497171152,1063,1085
1497173073,1071,1092
1497174991,1074,1095
1497176914,1082,1103
1497178927,1079,1101
1497180752,1076,1098
1497183162,1072,1094
1497185065,1067,1088
1497186978,1063,1083
1497188918,1065,1088
1497190845,1063,1087
1497192754,1072,1096
1497194665,1063,1088
1497196591,1082,1107
1497198769,1068,1093
1497200677,1066,1090
1497204520,1050,1073
1497206427,1049,1072
1497208354,1043,1065
1497210262,1046,1070
1497218184,1006,1030
1497220359,1019,1042
1497222271,1016,1039
1497224192,1033,1056
1497226104,1033,1056
1497228021,1032,1054
1497229955,1030,1052
1497231849,1040,1061
1497234041,1030,1051
1497235947,1025,1045
1497239790,1010,1030
1497241703,1000,1020
1497243713,998,1017
1497245546,997,1016
1497247712,1003,1021
1497249626,1011,1029
1497251554,1039,1057
1497255644,1016,1034
1497257551,1054,1072
1497259468,1051,1070
1497261768,1020,1038
1497263776,1020,1039
1497265724,1034,1053
1497267635,1026,1045
1497269539,1056,1075
1497271478,1030,1048
1497273407,1029,1046
1497275322,1033,1050
1497277241,1054,1071
1497279177,1040,1057
1497281083,1042,1059
1497282989,1060,1077
1497284914,1053,1068
1497286936,1054,1069
1497288753,1059,1074
1497290935,1060,1075
1497292841,1061,1076
1497295005,1066,1081
1497296915,1070,1086
1497298834,1083,1099
1497300752,1103,1120
1497302915,1118,1136
1497304904,1113,1133
1497306751,1140,1161
1497308673,1122,1143
1497310583,1139,1160
1497312523,1105,1122
1497318523,1051,1069
1497320435,1061,1079
1497322362,1025,1043
1497324274,1037,1055
1497326197,1027,1044
1497328114,1039,1056
1497330140,1033,1050
1497333873,1017,1035
1497335787,1011,1030
1497337702,1000,1019
1497339629,988,1006
1497341548,1015,1033
1497343463,1000,1018
1497345390,984,1001
1497347314,988,1005
1497349236,967,985
1497351147,959,977
1497353053,935,952
1497354975,931,948
1497356914,919,937
1497358930,922,940
1497360772,920,937
1497362677,926,943
1497364614,919,936
1497366504,924,941
1497368435,923,939
1497370363,915,931
1497372270,914,930
1497374196,912,928
1497376113,907,923
1497378044,902,918
1497380200,901,917
1497382113,902,918
1497384153,899,915
1497385958,903,919
1497387876,906,922
1497391722,889,904
1497393613,889,904
1497395809,894,909
1497397750,900,915
1497399626,902,916
1497401548,917,931
1497403467,940,954
1497405393,942,956
1497407318,954,969
1497409341,954,969
1497411167,968,984
1497413074,970,986
1497414999,955,971
1497416902,952,968
1497418818,970,986
1497420756,978,994
1497424601,961,977
1497426508,971,987
1497428438,971,988
1497430349,975,992
1497432257,994,1011
1497434193,975,992
1497438145,958,975
1497439951,961,974
1497441875,960,973
1497443792,951,964
1497445696,938,951
1497447624,935,948
1497449554,932,945
1497451465,955,968
1497453406,963,976
1497455334,970,983
1497457246,972,983
1497459169,969,980
1497461080,979,990
1497463348,968,979
1497465167,967,978
1497467070,973,983
1497468986,969,979
1497470919,983,993
1497472830,997,1007
1497476654,1001,1012
1497478581,1022,1033
1497480510,1032,1043
1497482433,1031,1043
1497484354,1031,1043
1497486261,1037,1048
1497490101,1028,1039
1497492076,1048,1061
1497493942,1056,1069
1497495867,1070,1084
1497497785,1079,1093
1497499694,1089,1103
1497501610,1094,1111
1497503545,1114,1131
1497505460,1128,1145
1497507373,1150,1167
1497509294,1195,1212
1497511235,1203,1220
1497515045,1185,1203
1497516974,1171,1191
1497519159,1158,1177
1497521068,1159,1178
1497522992,1174,1193
1497524898,1164,1183
1497526818,1179,1199
1497528746,1190,1210
1497530665,1208,1228
1497532592,1219,1239
1497534513,1230,1250
1497536436,1221,1241
1497538348,1224,1242
1497540263,1217,1235
