DateTime,AddedIPs,RemovedIPs
1496750669,14,1
1496752595,10,11
1496754515,9,0
1496756433,10,13
1496758366,5,5
1496760253,5,0
1496762447,6,0
1496764356,7,5
1496766263,5,13
1496768194,10,8
1496770364,5,12
1496772282,4,6
1496774191,2,3
1496776122,1,7
1496779936,8,12
1496781851,6,4
1496783795,11,20
1496785714,13,14
1496787720,5,13
1496789563,6,10
1496791455,8,16
1496795303,2,15
1496797303,6,20
1496799157,6,11
1496801066,4,8
1496802991,12,7
1496804900,4,6
1496808753,7,23
1496810664,12,15
1496812587,13,0
1496814762,9,27
1496816920,16,21
1496818901,6,11
1496820759,15,20
1496822672,7,14
1496824587,10,24
1496826514,10,0
1496830357,10,31
1496832260,12,16
1496834194,7,24
1496836358,10,10
1496838271,14,12
1496840193,5,12
1496842111,15,11
1496844087,6,10
1496845940,10,11
1496848138,9,10
1496850043,8,18
1496851956,8,0
1496855808,15,6
1496857718,8,7
1496861794,7,10
1496863713,4,0
1496865725,11,8
1496867547,17,13
1496869470,15,5
1496873551,9,15
1496877378,11,26
1496879302,9,18
1496881220,8,16
1496883135,8,7
1496887314,14,35
1496891073,15,42
1496892991,12,0
1496894917,14,10
1496896846,10,24
1496898753,19,16
1496900660,9,16
1496902597,15,10
1496906440,19,36
1496908357,6,0
1496912187,12,27
1496914107,12,12
1496916085,13,6
1496917959,7,17
1496919869,12,18
1496921784,16,11
1496923712,13,3
1496925623,13,9
1496927551,9,13
1496929458,12,10
1496931372,12,9
1496933294,11,11
1496935212,19,10
1496937139,4,15
1496939047,12,13
1496940969,4,7
1496942907,4,11
1496944889,2,8
1496946749,5,2
1496948670,4,11
1496952492,5,5
1496954419,5,6
1496956337,8,9
1496958251,10,21
1496960343,16,31
1496962332,13,13
1496964265,13,9
1496966193,12,8
1496968111,16,17
1496970096,15,13
1496971955,7,10
1496973881,7,7
1496975790,13,11
1496977713,13,10
1496979611,13,9
1496981554,3,0
1496983459,9,6
1496985378,21,19
1496987560,11,13
1496989461,18,12
1496991376,15,0
1496993567,19,17
1496995479,13,0
1496999324,16,28
1497001236,11,26
1497003158,12,7
1497005063,15,8
1497007001,20,12
1497008908,5,5
1497012758,10,22
1497014658,9,11
1497016585,11,6
1497018518,14,0
1497020540,9,12
1497022363,8,12
1497024271,12,7
1497026182,3,0
1497028105,4,2
1497030023,4,3
1497031949,3,7
1497033858,3,3
1497035780,3,0
1497037970,2,4
1497039886,8,7
1497043712,9,11
1497045747,5,0
1497047559,6,8
1497049481,13,3
1497051390,7,9
1497053319,4,16
1497055233,6,8
1497057165,5,11
1497059065,13,10
1497061001,8,4
1497062908,8,14
1497064844,11,18
1497066761,3,18
1497068661,8,9
1497070588,1,11
1497072521,27,10
1497074527,22,8
1497076357,12,19
1497078272,12,15
1497080203,18,21
1497082096,25,13
1497084025,20,16
1497085944,5,0
1497087860,17,0
1497089782,11,2
1497091722,6,8
1497093653,12,5
1497095558,5,4
1497097465,11,5
1497099399,9,12
1497101566,8,13
1497103723,9,27
1497105628,3,0
1497107543,14,3
1497111385,13,19
1497113319,5,20
1497115265,5,10
1497117148,3,0
1497119077,4,6
1497120996,4,7
1497123179,4,0
1497125075,6,14
1497126996,5,6
1497128921,11,14
1497130843,8,0
1497132878,12,0
1497134684,14,8
1497136600,15,0
1497138526,11,7
1497140432,11,4
1497142356,11,11
1497144255,11,0
1497146198,17,10
1497148111,15,0
1497150162,14,9
1497151962,11,3
1497153879,16,10
1497155793,14,11
1497157714,12,18
1497159615,11,14
1497161547,8,15
1497165386,14,36
1497167310,17,13
1497171152,24,27
1497173073,13,5
1497174991,16,4
1497176914,11,15
1497178927,11,6
1497180752,12,11
1497183162,12,24
1497185065,9,8
1497186978,8,0
1497188918,12,22
1497190845,9,0
1497192754,8,17
1497194665,10,9
1497196591,9,11
1497198769,5,8
1497200677,5,7
1497204520,4,7
1497206427,4,1
1497208354,0,5
1497210262,4,3
1497218184,13,20
1497220359,15,0
1497222271,11,12
1497224192,18,14
1497226104,10,0
1497228021,11,10
1497229955,10,13
1497231849,13,11
1497234041,9,9
1497235947,14,21
1497239790,12,20
1497241703,11,13
1497243713,11,18
1497245546,10,16
1497247712,17,15
1497249626,23,9
1497251554,14,13
1497255644,12,18
1497257551,21,0
1497259468,18,6
1497261768,19,0
1497263776,12,8
1497265724,17,8
1497267635,8,11
1497269539,17,15
1497271478,8,16
1497273407,15,9
1497275322,17,5
1497277241,11,15
1497279177,13,0
1497281083,10,6
1497282989,8,11
1497284914,5,12
1497286936,6,13
1497288753,4,14
1497290935,5,7
1497292841,5,3
1497295005,2,2
1497296915,7,3
1497298834,6,4
1497300752,10,5
1497302915,3,10
1497304904,5,13
1497306751,17,11
1497308673,12,0
1497310583,7,0
1497312523,7,8
1497318523,8,27
1497320435,5,5
1497322362,7,11
1497324274,4,11
1497326197,8,0
1497328114,18,8
1497330140,9,11
1497333873,11,8
1497335787,20,11
1497337702,11,12
1497339629,10,7
1497341548,15,15
1497343463,13,11
1497345390,10,14
1497347314,15,15
1497349236,6,15
1497351147,8,0
1497353053,4,8
1497354975,4,12
1497356914,10,13
1497358930,11,7
1497360772,9,10
1497362677,13,10
1497364614,6,12
1497366504,12,11
1497368435,8,9
1497370363,4,9
1497372270,5,4
1497374196,4,7
1497376113,9,8
1497378044,2,3
1497382113,7,3
1497384153,3,3
1497385958,7,7
1497387876,13,7
1497391722,6,17
1497393613,12,10
1497395809,15,12
1497397750,15,13
1497399626,10,6
1497401548,10,14
1497403467,17,8
1497405393,14,0
1497407318,13,11
1497409341,13,14
1497411167,18,14
1497413074,7,10
1497414999,10,17
1497416902,7,9
1497418818,7,11
1497420756,14,13
1497424601,15,30
1497426508,18,12
1497428438,17,12
1497430349,15,9
1497432257,21,18
1497434193,9,8
1497438145,5,23
1497439951,6,14
1497441875,3,6
1497443792,3,10
1497445696,2,14
1497447624,6,13
1497449554,12,16
1497451465,15,0
1497453406,14,8
1497455334,8,18
1497457246,11,17
1497459169,9,0
1497461080,9,6
1497463348,1,11
1497465167,4,2
1497467070,2,0
1497468986,8,0
1497470919,14,0
1497472830,15,12
1497476654,16,36
1497478581,13,16
1497480510,13,13
1497482433,11,29
1497484354,11,12
1497486261,6,12
1497490101,10,16
1497492076,17,7
1497493942,17,15
1497495867,18,6
1497497785,19,18
1497499694,12,9
1497501610,12,19
1497503545,16,17
1497505460,20,37
1497507373,27,0
1497509294,21,19
1497511235,25,25
1497515045,23,22
1497516974,10,20
1497519159,5,11
1497521068,9,21
1497522992,4,11
1497524898,10,11
1497526818,11,22
1497528746,10,0
