DateTime,Entries,UniqueIPs
1496712268,39,39
1496714184,47,47
1496716109,58,58
1496718112,43,43
1496719960,41,41
1496725694,40,40
1496727619,50,50
1496731465,59,59
1496733403,61,61
1496735314,59,59
1496737236,58,58
1496739144,37,37
1496741051,26,26
1496742979,60,60
1496744912,69,69
1496746910,56,56
1496748757,52,52
1496750669,58,58
1496752595,69,69
1496754515,52,52
1496756433,52,52
1496758366,48,48
1496760253,46,46
1496762447,55,55
1496764356,56,56
1496766263,38,38
1496768194,44,44
1496770364,50,50
1496772282,29,29
1496774191,24,24
1496776122,19,19
1496779936,46,46
1496781851,48,48
1496783795,49,49
1496785714,57,57
1496787720,47,47
1496789563,50,50
1496791455,50,50
1496795303,52,52
1496797303,45,45
1496799157,47,47
1496801066,43,43
1496802991,48,48
1496804900,42,42
1496808753,38,38
1496810664,60,60
1496812587,51,51
1496814762,49,49
1496816920,73,73
1496818901,45,45
1496820759,52,52
1496822672,45,45
1496824587,54,54
1496826514,44,44
1496830357,43,43
1496832260,52,52
1496834194,49,49
1496836358,47,47
1496838271,61,61
1496840193,35,35
1496842111,61,61
1496844087,37,37
1496845940,41,41
1496848138,40,40
1496850043,55,55
1496851956,44,44
1496855808,46,46
1496857718,38,38
1496861794,24,24
1496863713,31,31
1496865725,30,30
1496867547,61,61
1496869470,54,54
1496873551,58,58
1496877378,48,48
1496879302,55,55
1496881220,49,49
1496883135,56,56
1496887314,50,50
1496891073,62,62
1496892991,61,61
1496894917,53,53
1496896846,49,49
1496898753,70,70
1496900660,55,55
1496902597,65,65
1496906440,58,58
1496908357,41,41
1496912187,50,50
1496914107,63,63
1496916085,44,44
1496917959,49,49
1496919869,54,54
1496921784,55,55
1496923712,54,54
1496925623,49,49
1496927551,59,59
1496929458,51,51
1496931372,53,53
1496933294,52,52
1496935212,60,60
1496937139,37,37
1496939047,38,38
1496940969,28,28
1496942907,33,33
1496944889,27,27
1496946749,15,15
1496948670,17,17
1496952492,35,35
1496954419,34,34
1496956337,44,44
1496958251,57,57
1496960343,59,59
1496962332,37,37
1496964265,63,63
1496966193,58,58
1496968111,63,63
1496970096,60,60
1496971955,45,45
1496973881,56,56
1496975790,63,63
1496977713,61,61
1496979611,54,54
1496981554,45,45
1496983459,53,53
1496985378,66,66
1496987560,52,52
1496989461,59,59
1496991376,61,61
1496993567,57,57
1496995479,64,64
1496999324,64,64
1497001236,55,55
