DateTime,AddedIPs,RemovedIPs
1492311689,6,8
1492322364,9,11
1492333289,9,5
1492344484,9,5
1492355526,9,11
1492366540,5,12
1492377535,2,8
1492388591,6,6
1492399662,11,8
1492410549,10,3
1492421519,8,13
1492432526,5,14
1492443562,7,11
1492454859,7,4
1492465744,7,8
1492476604,8,11
1492487457,3,12
1492498548,5,14
1492509548,6,5
1492520434,6,9
1492531605,4,11
1492542658,6,13
1492553773,7,9
1492564705,16,9
1492575468,6,8
1492586448,6,6
1492597209,6,4
1492608226,6,7
1492619137,8,12
1492630033,8,6
1492641088,8,10
1492652130,7,10
1492663165,11,12
1492674060,5,10
1492684913,7,6
1492695532,8,7
1492706558,11,10
1492717701,9,11
1492728728,9,10
1492739775,10,8
1492750850,2,11
1492761809,18,13
1492772845,4,17
1492783888,9,12
1492795196,12,19
1492806235,8,10
1492817240,17,11
1492828117,6,11
1492839086,6,11
1492850057,6,13
1492861478,6,12
1492872315,6,8
1492883292,8,13
1492894330,5,15
1492905778,5,8
1492916737,6,17
1492927580,3,9
1492938442,9,3
1492949514,9,4
1492960048,10,15
1492971122,6,14
1492982141,7,12
1492993216,10,9
1493004217,2,8
1493015081,18,11
1493026095,12,8
1493037159,5,13
1493048131,3,13
1493059180,6,10
1493070233,5,17
1493081304,8,6
1493092211,7,15
1493103151,8,11
1493114175,11,9
1493125188,13,9
1493136216,12,14
1493147320,7,2
1493158246,7,16
1493169312,8,12
1493180412,8,6
1493191323,10,10
1493202244,6,8
1493213281,11,13
1493224327,5,8
1493235384,6,13
1493246270,9,7
1493257118,9,16
1493267694,3,10
1493278432,8,10
1493289354,14,13
1493300598,4,10
1493311728,11,6
1493322654,8,3
1493333770,12,10
1493344847,11,5
1493356125,4,9
1493367078,8,12
1493378197,6,8
1493388975,7,8
1493399422,11,9
1493410597,3,11
1493421546,6,11
1493432466,11,11
1493443484,5,10
1493454377,8,14
1493465323,13,17
1493476332,8,13
1493487330,6,8
1493498352,5,14
1493509388,5,13
1493520316,9,9
1493531266,6,8
1493542343,7,12
