DateTime,Entries,UniqueIPs
1497334846,57762,57762
1497335793,57791,57791
1497336762,57760,57760
1497337717,57802,57802
1497338665,57779,57779
1497339634,57781,57781
1497340607,57774,57774
1497341554,57811,57811
1497342512,57772,57772
1497343478,57766,57766
1497344524,57779,57779
1497345634,57792,57792
1497346584,57770,57770
1497347548,57798,57798
1497348511,57788,57788
1497349450,57768,57768
1497350421,57774,57774
1497351392,57781,57781
1497352350,57760,57760
1497353309,57750,57750
1497354280,57743,57743
1497355325,57803,57803
1497356444,57771,57771
1497357388,57749,57749
1497358347,57704,57704
1497359329,57656,57656
1497360268,57738,57738
1497361237,57714,57714
1497362200,57701,57701
1497363161,57682,57682
1497364629,57651,57651
1497365568,57699,57699
1497366510,57684,57684
1497367470,57641,57641
1497368442,57636,57636
1497369395,57620,57620
1497370379,57674,57674
1497371314,57698,57698
1497372275,57678,57678
1497373351,57682,57682
1497374425,57677,57677
1497375375,57701,57701
1497376345,57697,57697
1497377304,57678,57678
1497378251,57653,57653
1497379732,57663,57663
1497380678,57629,57629
1497381634,57679,57679
1497382602,57622,57622
1497383552,57665,57665
1497384539,57645,57645
1497385464,57627,57627
1497386440,57639,57639
1497387390,57629,57629
1497388350,57658,57658
1497389320,57664,57664
1497390263,57660,57660
1497391301,57673,57673
1497392440,57670,57670
1497393391,57647,57647
1497394345,57659,57659
1497395329,57661,57661
1497396267,57637,57637
1497397236,57650,57650
1497398199,57634,57634
1497399138,57613,57613
1497400101,57627,57627
1497401067,57626,57626
1497402109,57647,57647
1497403220,57636,57636
1497404180,57607,57607
1497405142,57609,57609
1497406099,57601,57601
1497407058,57589,57589
1497408014,57573,57573
1497408981,57542,57542
1497409938,57505,57505
1497410894,57486,57486
1497411852,57480,57480
1497412886,57484,57484
1497414035,57499,57499
1497415005,57476,57476
1497415955,57470,57470
1497416908,57452,57452
1497417852,57433,57433
1497418823,57447,57447
1497419785,57403,57403
1497420762,57386,57386
1497421711,57391,57391
1497422670,57269,57269
1497423701,57313,57313
1497424612,57340,57340
1497425547,57374,57374
1497426512,57404,57404
1497427512,57418,57418
1497428443,57473,57473
1497429392,57489,57489
1497430354,57513,57513
1497431303,57536,57536
1497432263,57554,57554
1497433233,57579,57579
1497434198,57614,57614
1497435164,57644,57644
1497436116,57685,57685
1497437062,57707,57707
1497438150,57742,57742
1497439219,57787,57787
1497440180,57807,57807
1497441139,57840,57840
1497442095,57856,57856
1497443051,57874,57874
1497444021,57910,57910
1497444977,57936,57936
1497445955,57967,57967
1497446913,58001,58001
1497447864,58008,58008
1497448896,58029,58029
1497450034,58051,58051
1497450993,58073,58073
1497451956,58101,58101
1497452928,58128,58128
1497453870,58135,58135
1497454831,58151,58151
1497455804,58099,58099
1497456758,58116,58116
1497457712,58142,58142
1497458681,58139,58139
1497459705,58176,58176
1497460823,58225,58225
1497461779,58233,58233
1497462762,58264,58264
1497463715,58280,58280
1497464667,58312,58312
1497465637,58348,58348
1497466574,58373,58373
1497467556,58353,58353
1497468514,58371,58371
1497469463,58330,58330
1497470515,58354,58354
1497471624,58331,58331
1497472583,58333,58333
1497473536,58325,58325
1497474509,58244,58244
1497475454,58255,58255
1497476438,58296,58296
1497477396,58264,58264
1497478586,58241,58241
1497479558,58220,58220
1497480515,58231,58231
1497481473,58222,58222
1497482446,58203,58203
1497483386,58189,58189
1497484359,58218,58218
1497485311,58188,58188
1497486266,58185,58185
1497487242,58200,58200
1497488185,58159,58159
1497489156,58166,58166
1497490115,58191,58191
1497491065,58169,58169
1497492082,58150,58150
1497492995,58148,58148
1497493948,58117,58117
1497494916,58120,58120
1497495883,58064,58064
1497496840,58069,58069
1497497790,58044,58044
1497498774,57989,57989
1497499699,57985,57985
1497500655,57954,57954
1497501624,57921,57921
1497502580,57923,57923
1497503551,57908,57908
1497504520,57917,57917
1497505465,57858,57858
1497506475,57804,57804
1497507386,57780,57780
1497508359,57695,57695
1497509299,57641,57641
1497510291,57610,57610
1497511240,57556,57556
1497512193,57525,57525
1497513161,57492,57492
1497514098,57479,57479
1497515050,57412,57412
1497516031,57347,57347
1497516980,57331,57331
1497517949,57305,57305
1497519176,57315,57315
1497520112,57330,57330
1497521076,57335,57335
1497522048,57367,57367
1497522996,57353,57353
1497523950,57349,57349
1497524912,57336,57336
1497525850,57347,57347
1497526823,57383,57383
1497527794,57400,57400
1497528752,57381,57381
1497529710,57418,57418
1497530679,57380,57380
1497531704,57403,57403
1497532828,57441,57441
1497533780,57421,57421
1497534733,57410,57410
1497535704,57370,57370
1497536651,57357,57357
1497537627,57403,57403
1497538584,57356,57356
1497539548,57312,57312
1497540492,57355,57355
1497541462,57306,57306
1497542500,57297,57297
