DateTime,Entries,UniqueIPs
1497340607,2708,2708
1497341554,2710,2710
1497342512,2711,2711
1497343478,2720,2720
1497344524,2726,2726
1497345634,2735,2735
1497346584,2729,2729
1497347548,2723,2723
1497348511,2726,2726
1497349450,2723,2723
1497350421,2731,2731
1497351392,2727,2727
1497352350,2736,2736
1497353309,2718,2718
1497354280,2712,2712
1497355325,2757,2757
1497356444,2748,2748
1497357388,2751,2751
1497358347,2743,2743
1497359329,2722,2722
1497360268,2672,2672
1497361237,2675,2675
1497362200,2674,2674
1497363161,2660,2660
1497364629,2642,2642
1497365568,2588,2588
1497366510,2635,2635
1497367470,2630,2630
1497368442,2624,2624
1497369395,2629,2629
1497370379,2595,2595
1497371314,2569,2569
1497372275,2570,2570
1497373351,2570,2570
1497374425,2594,2594
1497375375,2553,2553
1497376345,2535,2535
1497377304,2570,2570
1497378251,2566,2566
1497379732,2502,2502
1497380678,2506,2506
1497381634,2515,2515
1497382602,2511,2511
1497383552,2521,2521
1497384539,2514,2514
1497385464,2510,2510
1497386440,2507,2507
1497387390,2506,2506
1497388350,2500,2500
1497389320,2494,2494
1497390263,2487,2487
1497391301,2470,2470
1497392440,2476,2476
1497393391,2476,2476
1497394345,2478,2478
1497395329,2472,2472
1497396267,2477,2477
1497397236,2473,2473
1497398199,2481,2481
1497399138,2471,2471
1497400101,2460,2460
1497401067,2448,2448
1497402109,2450,2450
1497403220,2465,2465
1497404180,2464,2464
1497405142,2472,2472
1497406099,2469,2469
1497407058,2479,2479
1497408014,2477,2477
1497408981,2481,2481
1497409938,2485,2485
1497410894,2492,2492
1497411852,2495,2495
1497412886,2509,2509
1497414035,2508,2508
1497415005,2512,2512
1497415955,2508,2508
1497416908,2509,2509
1497417852,2511,2511
1497418823,2499,2499
1497419785,2501,2501
1497420762,2493,2493
1497421711,2475,2475
1497422670,2471,2471
1497423701,2460,2460
1497424612,2451,2451
1497425547,2444,2444
1497426512,2453,2453
1497427512,2461,2461
1497428443,2476,2476
1497429392,2484,2484
1497430354,2479,2479
1497431303,2484,2484
1497432263,2477,2477
1497433233,2478,2478
1497434198,2478,2478
1497435164,2481,2481
1497436116,2474,2474
1497437062,2475,2475
1497438150,2476,2476
1497439219,2486,2486
1497440180,2486,2486
1497441139,2492,2492
1497442095,2499,2499
1497443051,2502,2502
1497444021,2503,2503
1497444977,2505,2505
1497445955,2503,2503
1497446913,2496,2496
1497447864,2489,2489
1497448896,2494,2494
1497450034,2491,2491
1497450993,2492,2492
1497451956,2481,2481
1497452928,2487,2487
1497453870,2491,2491
1497454831,2503,2503
1497455804,2494,2494
1497456758,2485,2485
1497457712,2482,2482
1497458681,2482,2482
1497459705,2482,2482
1497460823,2472,2472
1497461779,2461,2461
1497462762,2462,2462
1497463715,2453,2453
1497464667,2452,2452
1497465637,2448,2448
1497466574,2439,2439
1497467556,2437,2437
1497468514,2436,2436
1497469463,2432,2432
1497470515,2433,2433
1497471624,2435,2435
1497472583,2434,2434
1497473536,2431,2431
1497474509,2427,2427
1497475454,2427,2427
1497476438,2422,2422
1497477396,2425,2425
1497478586,2421,2421
1497479558,2407,2407
1497480515,2399,2399
1497481473,2397,2397
1497482446,2395,2395
1497483386,2404,2404
1497484359,2408,2408
1497485311,2413,2413
1497486266,2419,2419
1497487242,2416,2416
1497488185,2419,2419
1497489156,2418,2418
1497490115,2416,2416
1497491065,2416,2416
1497492082,2422,2422
1497492995,2422,2422
1497493948,2428,2428
1497494916,2437,2437
1497495883,2445,2445
1497496840,2446,2446
1497497790,2446,2446
1497498774,2461,2461
1497499699,2473,2473
1497500655,2478,2478
1497501624,2478,2478
1497502580,2510,2510
1497503551,2514,2514
1497504520,2536,2536
1497505465,2548,2548
1497506475,2571,2571
1497507386,2562,2562
1497508359,2550,2550
1497509299,2542,2542
1497510291,2530,2530
1497511240,2523,2523
1497512193,2512,2512
1497513161,2506,2506
1497514098,2483,2483
1497515050,2496,2496
1497516031,2538,2538
1497516980,2573,2573
1497517949,2571,2571
1497519176,2573,2573
1497520112,2570,2570
1497521076,2566,2566
1497522048,2563,2563
1497522996,2568,2568
1497523950,2571,2571
1497524912,2561,2561
1497525850,2564,2564
1497526823,2565,2565
1497527794,2576,2576
1497528752,2579,2579
1497529710,2582,2582
1497530679,2583,2583
1497531704,2588,2588
1497532828,2599,2599
1497533780,2604,2604
1497534733,2618,2618
1497535704,2620,2620
1497536651,2612,2612
1497537627,2646,2646
1497538584,2647,2647
1497539548,2649,2649
1497540492,2621,2621
1497541462,2617,2617
1497542500,2607,2607
1497543635,2600,2600
1497544582,2603,2603
1497545540,2605,2605
1497546508,2599,2599
1497547456,2634,2634
1497548696,2630,2630
1497549705,2624,2624
1497550830,2621,2621
1497552053,2635,2635
1497552995,2636,2636
1497553955,2638,2638
1497554923,2639,2639
1497555868,2638,2638
1497556901,2609,2609
1497558030,2635,2635
1497558983,2633,2633
1497559945,2607,2607
1497560903,2614,2614
1497561851,2611,2611
1497562821,2601,2601
1497563801,2591,2591
1497564741,2581,2581
1497565713,2581,2581
1497566660,2583,2583
1497567671,2584,2584
1497568592,2571,2571
1497569824,2570,2570
1497570834,2570,2570
1497571952,2572,2572
1497572925,2581,2581
1497573862,2584,2584
1497574937,2586,2586
1497576038,2590,2590
1497576985,2590,2590
1497577957,2580,2580
1497578907,2569,2569
1497579862,2575,2575
1497580854,2577,2577
1497581789,2580,2580
1497582772,2583,2583
1497583703,2589,2589
1497584687,2582,2582
1497585694,2586,2586
1497586844,2591,2591
1497588050,2603,2603
1497589002,2596,2596
1497589970,2596,2596
1497590923,2592,2592
1497591864,2593,2593
1497592997,2590,2590
1497594035,2592,2592
1497594977,2590,2590
1497595972,2599,2599
1497596901,2584,2584
1497597854,2584,2584
1497598866,2593,2593
1497599785,2590,2590
1497600773,2597,2597
1497601707,2605,2605
1497602672,2618,2618
1497603704,2598,2598
1497604843,2590,2590
1497605782,2578,2578
1497606760,2581,2581
1497607702,2574,2574
1497608661,2580,2580
1497609635,2568,2568
1497610581,2567,2567
1497611573,2568,2568
1497612508,2571,2571
1497613471,2566,2566
1497614539,2555,2555
1497615655,2549,2549
1497616601,2557,2557
1497617567,2553,2553
1497618509,2553,2553
1497619463,2540,2540
1497620466,2535,2535
1497621417,2543,2543
1497622380,2543,2543
1497623306,2551,2551
1497624277,2557,2557
1497625336,2565,2565
1497626447,2558,2558
1497627382,2567,2567
1497628359,2571,2571
1497629341,2589,2589
1497630265,2591,2591
1497631263,2569,2569
1497632185,2552,2552
1497633177,2549,2549
1497634110,2534,2534
1497635324,2523,2523
1497636271,2536,2536
1497637241,2529,2529
1497638181,2524,2524
1497639168,2524,2524
1497640126,2525,2525
1497641064,2534,2534
1497642055,2529,2529
1497642991,2546,2546
1497643986,2546,2546
1497644907,2556,2556
1497645869,2554,2554
1497646936,2573,2573
1497648047,2578,2578
1497648990,2580,2580
1497649979,2589,2589
1497650918,2590,2590
1497651896,2614,2614
1497652851,2609,2609
1497653785,2606,2606
1497654781,2593,2593
1497655707,2604,2604
1497656667,2584,2584
1497657826,2606,2606
1497658841,2615,2615
1497659775,2617,2617
1497660769,2605,2605
1497661709,2601,2601
1497662666,2625,2625
1497663661,2618,2618
1497664585,2629,2629
1497665578,2619,2619
1497666507,2629,2629
1497667473,2630,2630
1497668534,2648,2648
1497669626,2648,2648
1497670586,2650,2650
1497671558,2662,2662
1497672502,2662,2662
1497673451,2666,2666
1497674444,2667,2667
1497675387,2674,2674
1497676382,2676,2676
1497677345,2694,2694
1497678275,2689,2689
1497679300,2694,2694
1497680221,2688,2688
1497681181,2698,2698
1497682114,2703,2703
1497683082,2693,2693
1497684065,2693,2693
1497684990,2694,2694
1497686011,2677,2677
1497686923,2671,2671
1497687868,2693,2693
1497688858,2694,2694
1497689799,2715,2715
1497690778,2731,2731
1497691705,2745,2745
1497692674,2745,2745
1497693728,2740,2740
1497694850,2739,2739
1497695778,2735,2735
1497696757,2736,2736
1497697704,2745,2745
1497698651,2734,2734
1497699637,2731,2731
1497700586,2716,2716
1497701558,2693,2693
1497702493,2671,2671
1497703467,2667,2667
1497704498,2667,2667
1497705419,2644,2644
1497706363,2647,2647
1497707312,2614,2614
1497708277,2611,2611
1497709264,2596,2596
1497710190,2596,2596
1497711171,2576,2576
1497712109,2571,2571
1497713088,2572,2572
1497714050,2571,2571
1497714997,2575,2575
1497715971,2566,2566
1497716907,2556,2556
1497717871,2557,2557
1497718927,2535,2535
1497720024,2543,2543
1497720988,2540,2540
1497721961,2550,2550
1497722907,2554,2554
1497723864,2563,2563
1497724859,2561,2561
1497725789,2552,2552
1497726784,2554,2554
1497727703,2555,2555
1497728672,2556,2556
1497729730,2529,2529
1497730846,2524,2524
1497731774,2526,2526
1497732756,2525,2525
1497733704,2515,2515
1497734655,2517,2517
1497735640,2511,2511
1497736585,2519,2519
1497737560,2532,2532
1497739043,2528,2528
1497739947,2516,2516
1497740928,2528,2528
1497741860,2523,2523
1497742824,2521,2521
1497743803,2520,2520
1497744861,2514,2514
1497745938,2500,2500
1497746928,2501,2501
1497748134,2495,2495
1497749100,2496,2496
1497750049,2510,2510
1497750994,2496,2496
1497751973,2489,2489
1497752908,2485,2485
1497753871,2490,2490
1497754914,2490,2490
1497756026,2494,2494
1497756983,2495,2495
1497757956,2507,2507
1497758904,2506,2506
1497759851,2507,2507
1497760838,2517,2517
1497761783,2524,2524
1497762773,2532,2532
1497763704,2529,2529
1497764698,2538,2538
1497765718,2544,2544
1497766816,2533,2533
1497767787,2526,2526
1497768759,2521,2521
1497769699,2524,2524
1497770661,2525,2525
1497771638,2516,2516
1497772581,2512,2512
1497773583,2529,2529
1497774504,2540,2540
1497775462,2540,2540
1497776536,2554,2554
1497777638,2564,2564
1497778589,2563,2563
1497779557,2565,2565
1497780494,2563,2563
1497781462,2557,2557
1497782457,2543,2543
1497783385,2534,2534
1497784386,2543,2543
1497785303,2543,2543
1497786270,2534,2534
1497787342,2528,2528
1497788449,2516,2516
1497789384,2507,2507
1497790357,2500,2500
1497791313,2504,2504
1497792271,2498,2498
1497793249,2492,2492
1497794186,2494,2494
1497795184,2492,2492
1497796107,2477,2477
1497797065,2478,2478
1497798133,2471,2471
1497799241,2475,2475
1497800189,2469,2469
1497801162,2460,2460
1497802093,2450,2450
1497803063,2437,2437
1497804050,2446,2446
1497804990,2449,2449
1497805994,2456,2456
1497806903,2448,2448
1497807892,2451,2451
1497808929,2442,2442
1497810047,2437,2437
1497810983,2442,2442
1497811966,2439,2439
1497812905,2444,2444
1497813857,2445,2445
1497814838,2444,2444
1497815785,2443,2443
1497816773,2437,2437
1497817705,2436,2436
1497818670,2437,2437
1497819728,2442,2442
1497820850,2433,2433
1497821789,2429,2429
1497822772,2432,2432
1497823708,2433,2433
1497824725,2427,2427
1497825665,2423,2423
1497826591,2420,2420
1497827575,2428,2428
1497828511,2430,2430
1497829473,2426,2426
1497830580,2427,2427
1497831647,2424,2424
