DateTime,Entries,UniqueIPs
1497493945,1100,1103
1497494914,1109,1112
1497495881,1113,1116
1497496838,1123,1126
1497497788,1122,1125
1497498772,1132,1135
1497499697,1142,1145
1497500653,1147,1150
1497501622,1154,1157
1497502578,1174,1177
1497503549,1183,1186
1497504518,1204,1207
1497505463,1212,1215
1497506472,1225,1229
1497507384,1216,1220
1497508357,1216,1220
1497509297,1208,1212
1497510289,1196,1200
1497511238,1194,1198
1497512184,1196,1200
1497513159,1195,1199
1497514097,1198,1202
1497515048,1194,1198
1497516029,1194,1198
1497516977,1197,1201
1497517946,1197,1201
1497519175,1197,1201
1497520110,1198,1202
1497521074,1198,1202
1497522046,1199,1203
1497522995,1203,1207
1497523948,1198,1202
1497524910,1193,1197
1497525847,1192,1196
1497526821,1191,1195
1497527791,1204,1208
1497528750,1212,1216
1497529708,1220,1224
1497530677,1224,1228
1497531702,1235,1239
1497532826,1245,1248
1497533778,1246,1249
1497534731,1251,1254
1497535702,1257,1260
1497536649,1252,1255
1497537625,1263,1265
1497538582,1262,1264
1497539546,1269,1271
1497540491,1274,1275
1497541458,1267,1268
1497542496,1260,1261
1497543633,1254,1255
1497544580,1256,1257
1497545538,1258,1259
1497546506,1262,1263
1497547454,1261,1262
1497548694,1272,1273
1497549702,1270,1271
1497550828,1279,1280
1497552051,1268,1270
1497552993,1265,1267
1497553953,1275,1277
1497554921,1266,1268
1497555866,1261,1263
1497556899,1271,1273
1497558028,1268,1270
1497558981,1272,1274
1497559943,1268,1270
1497560901,1285,1287
1497561849,1288,1290
1497562820,1289,1292
1497563799,1268,1271
1497564739,1275,1278
1497565711,1276,1280
1497566658,1264,1268
1497567669,1267,1271
1497568590,1260,1264
1497569822,1260,1265
1497570832,1264,1269
1497571950,1271,1276
1497572923,1278,1284
1497573859,1283,1289
1497574935,1282,1289
1497576036,1283,1290
1497576982,1288,1295
1497577955,1286,1293
1497578905,1282,1289
1497579859,1282,1289
1497580852,1294,1301
1497581787,1302,1309
1497582770,1303,1310
1497583701,1313,1320
1497584685,1318,1326
1497585692,1327,1335
1497586842,1337,1345
1497588048,1331,1342
1497589000,1335,1346
1497589966,1334,1345
1497590921,1337,1348
1497591862,1344,1355
1497592995,1346,1357
1497594033,1348,1359
1497594975,1343,1354
1497595970,1350,1361
1497596898,1352,1363
1497597852,1353,1364
1497598864,1353,1364
1497599783,1351,1362
1497600770,1358,1369
1497601705,1368,1379
1497602669,1370,1381
1497603702,1367,1378
1497604842,1371,1382
1497605771,1365,1376
1497606758,1371,1382
1497607700,1366,1377
1497608659,1372,1383
1497609633,1374,1385
1497610579,1369,1379
1497611570,1374,1384
1497612506,1383,1393
1497613469,1386,1396
1497614538,1390,1400
1497615653,1394,1404
1497616598,1395,1405
1497617565,1392,1402
1497618507,1395,1405
1497619461,1396,1406
1497620464,1402,1412
1497621414,1407,1417
1497622378,1409,1419
1497623304,1414,1425
1497624275,1418,1429
1497625334,1430,1441
1497626446,1430,1441
1497627380,1432,1443
1497628357,1429,1440
1497629339,1425,1436
1497630263,1431,1442
1497631261,1435,1446
1497632183,1426,1437
1497633174,1437,1448
1497634108,1426,1437
1497635322,1417,1428
1497636269,1407,1418
1497637239,1418,1429
1497638174,1423,1434
1497639166,1426,1437
1497640124,1426,1437
1497641062,1424,1435
1497642052,1425,1436
1497642989,1431,1442
1497643983,1423,1434
1497644905,1441,1452
1497645867,1436,1447
1497646934,1454,1465
1497648045,1466,1477
1497648988,1454,1465
1497649977,1461,1472
1497650917,1454,1465
1497651894,1455,1466
1497652849,1460,1471
1497653783,1456,1467
1497654779,1452,1463
1497655705,1461,1472
1497656664,1450,1461
1497657824,1473,1484
1497658839,1488,1499
1497659773,1501,1512
1497660767,1507,1518
1497661707,1513,1524
1497662663,1528,1539
1497663659,1528,1539
1497664583,1533,1544
1497665576,1540,1551
1497666505,1541,1552
1497667471,1545,1556
1497668532,1559,1570
1497669624,1564,1575
1497670580,1569,1580
1497671556,1574,1585
1497672500,1564,1575
1497673449,1560,1571
1497674442,1575,1586
1497675385,1570,1581
1497676380,1574,1585
1497677343,1590,1601
1497678273,1591,1602
1497679297,1604,1615
1497680219,1600,1611
