DateTime,AddedIPs,RemovedIPs
1497325932,8,20
1497326906,15,21
1497327850,7,10
1497328814,17,3
1497329786,8,6
1497330740,11,19
1497331693,11,6
1497332660,8,6
1497333696,12,7
1497334844,3,12
1497335791,12,7
1497336760,6,8
1497337715,11,7
1497338663,7,4
1497339632,13,8
1497340605,8,7
1497341552,7,5
1497342510,11,11
1497343476,9,7
1497344522,11,15
1497345632,13,11
1497346582,9,6
1497347546,10,13
1497348509,14,10
1497349448,3,9
1497350419,10,10
1497351390,14,12
1497352348,8,8
1497353307,8,18
1497354278,4,7
1497355323,4,10
1497356442,10,19
1497357386,7,4
1497358345,6,14
1497359327,13,34
1497360266,0,7
1497361235,5,45
1497362198,9,10
1497363158,3,17
1497364627,4,22
1497365566,4,10
1497366508,6,7
1497367468,2,7
1497368440,9,15
1497369392,10,5
1497370377,15,12
1497371312,9,30
1497372273,2,7
1497373350,11,13
1497374423,7,17
1497375373,4,13
1497376343,5,23
1497377302,13,10
1497378249,5,9
1497379730,10,24
1497380676,4,10
1497381632,14,15
1497382600,7,17
1497383550,13,11
1497384537,5,9
1497385462,8,8
1497386438,7,11
1497387388,7,8
1497388347,5,14
1497389318,9,16
1497390260,5,7
1497391299,6,12
1497392438,13,13
1497393389,9,12
1497394343,10,13
1497395326,11,14
1497396264,9,3
1497397234,9,16
1497398196,7,5
1497399135,7,9
1497400100,11,11
1497401065,3,6
1497402107,7,6
1497403218,11,6
1497404178,5,10
1497405141,10,5
1497406097,13,8
1497407056,9,1
1497408012,8,9
1497408979,10,10
1497409936,4,3
1497410893,14,6
1497411850,4,5
1497412885,20,5
1497414034,19,12
1497415003,7,3
1497415953,10,12
1497416906,8,10
1497417850,6,5
1497418821,5,7
1497419784,5,6
1497420760,5,6
1497421709,6,13
1497422668,3,6
1497423698,7,14
1497424610,3,13
1497425545,3,10
1497426510,4,5
1497427510,3,7
1497428441,10,7
1497429390,7,6
1497430352,4,6
1497431301,6,5
1497432261,5,3
1497433231,9,7
1497434196,10,8
1497435162,5,6
1497436114,6,8
1497437060,7,4
1497438149,7,11
1497439217,10,8
1497440178,2,5
1497441137,6,5
1497442094,15,3
1497443049,6,1
1497444019,3,1
1497444975,3,4
1497445953,6,8
1497446911,4,5
1497447861,5,5
1497448894,6,7
1497450032,5,6
1497450990,3,6
1497451954,7,6
1497452926,11,8
1497453868,1,1
1497454829,14,10
1497455802,4,9
1497456756,3,10
1497457710,5,9
1497458679,1,4
1497459703,12,14
1497460821,6,12
1497461776,2,9
1497462760,10,3
1497463713,4,11
1497464664,4,7
1497465635,3,15
1497466572,5,13
1497467554,14,11
1497468512,6,12
1497469460,6,10
1497470510,6,11
1497471622,12,10
1497472581,1,5
1497473534,5,8
1497474508,7,6
1497475451,5,1
1497476436,11,12
1497477393,9,9
1497478584,11,18
1497479556,3,12
1497480513,8,18
1497481471,4,6
1497482444,7,9
1497483384,11,3
1497484357,9,6
1497485309,8,6
1497486264,3,2
1497487240,7,5
1497488183,6,2
1497489154,9,8
1497490113,8,9
1497491063,4,4
1497492079,16,9
1497492993,11,8
1497493945,6,7
1497494914,18,3
1497495881,7,2
1497496838,16,8
1497497788,4,4
1497498772,14,5
1497499697,22,8
1497500653,8,4
1497501622,19,19
1497502578,30,2
1497503549,13,4
1497504518,28,8
1497505463,13,0
1497506472,20,5
1497507384,4,6
1497508357,5,3
1497509297,6,9
1497510289,1,3
1497511238,8,3
1497512184,6,5
1497513159,6,5
1497514097,10,9
1497515048,2,4
1497516029,6,2
1497516977,7,8
1497517946,3,9
1497519175,7,6
1497520110,9,9
1497521074,6,4
1497522046,9,12
1497522995,8,1
1497523948,6,9
1497524910,3,12
1497525847,4,5
1497526821,4,6
1497527791,16,1
1497528750,9,7
1497529708,9,5
1497530677,8,6
1497531702,19,8
1497532826,14,3
1497533778,6,4
1497534731,12,3
1497535702,12,6
1497536649,1,6
1497537625,16,6
1497538582,7,6
1497539546,8,6
1497540491,14,14
1497541458,2,3
1497542496,3,10
1497543633,3,16
1497544580,6,6
1497545538,16,13
1497546506,16,17
1497547454,8,4
1497548694,14,18
1497549702,9,15
1497550828,16,19
1497552051,18,4
1497552993,8,7
1497553953,10,8
1497554921,13,12
1497555866,6,7
1497556899,10,10
1497558028,12,15
1497558981,4,6
1497559943,10,8
1497560901,17,12
1497561849,4,5
1497562820,14,17
1497563799,6,14
1497564739,7,16
1497565711,14,17
1497566658,6,3
1497567669,9,14
1497568590,2,12
1497569822,10,13
1497570832,10,12
1497571950,9,7
1497572923,13,8
1497573859,7,3
1497574935,8,8
1497576036,10,6
1497576982,9,5
1497577955,7,10
1497578905,4,11
1497579859,7,3
1497580852,15,16
1497581787,10,4
1497582770,9,5
1497583701,14,14
1497584685,11,6
1497585692,17,11
1497586842,14,17
1497588048,18,14
1497589000,8,15
1497589966,7,1
1497590921,3,8
1497591862,7,5
1497592995,13,5
1497594033,5,5
1497594975,4,8
1497595970,10,4
1497596898,5,15
1497597852,6,6
1497598864,5,2
1497599783,7,8
1497600770,11,11
1497601705,12,5
1497602669,10,7
1497603702,6,22
1497604842,10,14
1497605771,3,11
1497606758,10,8
1497607700,7,15
1497608659,7,5
1497609633,11,16
1497610579,6,10
1497611570,10,7
1497612506,15,15
1497613469,4,8
1497614538,11,22
1497615653,9,14
1497616598,7,6
1497617565,5,9
1497618507,6,9
1497619461,5,10
1497620464,9,7
1497621414,11,7
1497622378,8,8
1497623304,12,9
1497624275,10,2
1497625334,18,11
1497626446,14,16
1497627380,5,2
1497628357,7,4
1497629339,12,1
1497630263,12,3
1497631261,17,28
1497632183,8,23
1497633174,15,22
1497634108,7,21
1497635322,6,16
1497636269,9,7
1497637239,15,15
1497638174,5,6
1497639166,10,14
1497640124,8,14
1497641062,10,5
1497642052,8,8
1497642989,16,2
1497643983,7,12
1497644905,24,8
1497645867,3,3
1497646934,30,10
1497648045,17,8
1497648988,5,4
1497649977,21,8
1497650917,9,9
1497651894,18,6
1497652849,8,12
1497653783,10,11
1497654779,8,10
1497655705,22,14
1497656664,1,13
1497657824,30,18
1497658839,23,20
1497659773,16,13
1497660767,14,12
1497661707,12,6
1497662663,20,13
1497663659,10,12
1497664583,16,7
1497665576,10,14
1497666505,17,15
1497667471,8,6
1497668532,19,6
1497669624,19,13
1497670580,11,2
1497671556,16,12
1497672500,7,5
1497673449,10,8
1497674442,15,10
1497675385,10,4
1497676380,13,5
1497677343,21,7
1497678273,6,4
1497679297,13,6
1497680219,1,6
1497681179,13,4
1497682112,4,5
1497683080,3,4
1497684063,14,4
1497684984,5,5
1497686009,13,15
1497686921,11,7
1497687866,10,2
1497688856,5,11
1497689797,8,4
1497690776,9,7
1497691703,14,8
1497692671,2,5
1497693717,7,11
1497694848,12,12
1497695776,7,9
1497696755,16,8
1497697702,18,10
1497698649,8,22
1497699635,16,23
1497700583,4,14
1497701556,3,19
1497702491,5,29
1497703464,2,7
1497704496,13,19
1497705417,1,29
1497706361,12,15
1497707310,1,26
1497708275,12,11
1497709262,6,21
1497710188,7,10
1497711170,5,21
1497712107,4,9
1497713086,10,12
1497714048,9,15
1497714994,14,12
1497715969,2,9
1497716905,13,17
1497717869,10,10
1497718925,4,20
1497720022,12,8
1497720986,2,8
1497721959,14,4
1497722905,12,12
1497723861,14,8
1497724857,8,6
1497725787,4,9
1497726782,9,8
1497727701,7,12
1497728670,5,4
1497729728,13,30
1497730844,10,10
1497731772,6,10
1497732754,6,10
1497733702,3,10
1497734653,7,10
1497735638,12,11
1497736583,7,2
1497737557,8,3
1497739041,9,15
1497739945,2,8
1497740926,12,2
1497741858,5,13
1497742822,8,11
1497743800,7,13
1497744859,7,6
1497745936,7,20
1497746926,10,5
1497748133,5,10
1497749097,9,10
1497750047,13,2
1497750992,3,8
1497751971,6,12
1497752906,3,10
1497753868,7,10
1497754912,11,9
1497756024,11,9
1497756980,3,2
1497757954,14,7
1497758902,12,7
1497759849,10,7
1497760836,11,5
1497761781,7,5
1497762771,21,7
1497763702,9,7
1497764696,4,2
1497765716,12,8
1497766814,10,10
1497767785,8,7
1497768757,7,6
1497769697,12,5
1497770659,6,6
1497771636,6,11
1497772579,6,9
1497773581,10,8
1497774502,9,8
1497775460,4,3
1497776534,11,5
1497777636,17,6
1497778587,5,6
1497779555,11,7
1497780493,9,17
1497781460,4,11
1497782455,7,16
1497783383,9,11
1497784384,7,2
1497785301,11,7
1497786268,1,6
1497787340,6,12
1497788447,5,12
1497789382,2,14
1497790355,4,14
1497791311,10,11
1497792268,4,17
1497793247,11,13
1497794184,8,7
1497795181,5,5
1497796105,1,14
1497797063,6,4
1497798131,10,15
1497799239,7,4
1497800182,4,9
1497801160,10,18
1497802091,2,6
1497803060,7,5
1497804048,7,12
1497804988,6,9
1497805992,5,5
1497806901,5,13
1497807890,3,3
1497808927,5,11
1497810045,6,9
1497810981,6,3
1497811964,10,12
1497812903,7,5
1497813855,7,4
1497814836,7,14
1497815783,3,8
1497816771,8,6
