DateTime,Entries,UniqueIPs
1497493948,28653,31832
1497494916,28662,31843
1497495883,28604,31773
1497496840,28631,31827
1497497790,28618,31833
1497498774,28571,31802
1497499699,28488,31709
1497500655,28530,31772
1497501624,28536,31802
1497502580,28549,31833
1497503551,28509,31792
1497504520,28472,31750
1497505465,28454,31724
1497506475,28465,31745
1497507386,28393,31661
1497508359,28420,31698
1497509299,28383,31630
1497510291,28370,31611
1497511240,28369,31598
1497512193,28240,31460
1497513161,28318,31547
1497514098,28267,31480
1497515050,28274,31479
1497516031,28274,31469
1497516980,28237,31422
1497517949,28259,31437
1497519176,28284,31457
1497520112,28284,31472
1497521076,28236,31411
1497522048,28241,31417
1497522996,28241,31419
1497523950,28217,31384
1497524912,28187,31346
1497525850,28231,31394
1497526823,28231,31406
1497527794,28219,31385
1497528752,28267,31439
1497529710,28339,31508
1497530679,28366,31535
1497531704,28400,31572
1497532828,28476,31635
1497533780,28493,31657
1497534733,28515,31682
1497535704,28464,31632
1497536651,28597,31780
1497537627,29011,32251
1497538584,28903,32124
1497539548,28846,32058
1497540492,29062,32321
1497541462,29038,32297
1497542500,29059,32319
1497543635,29079,32346
1497544582,29082,32345
1497545540,29115,32379
1497546508,29061,32295
1497547456,29153,32394
1497548696,29050,32279
1497549705,28985,32206
1497550830,28878,32085
1497552053,28563,31701
1497552995,28458,31573
1497553955,28487,31609
1497554923,28246,31319
1497555868,28100,31152
1497556901,28488,31598
1497558030,28307,31378
1497558983,28323,31395
1497559945,28375,31465
1497560903,28460,31567
1497561851,28527,31640
1497562821,28515,31615
1497563801,28397,31472
1497564741,28520,31624
1497565713,28490,31566
1497566660,28458,31538
1497567671,28494,31591
1497568592,28450,31527
1497569824,28441,31491
1497570834,28484,31534
1497571952,28560,31614
1497572925,28584,31647
1497573862,28623,31688
1497574937,28738,31815
1497576038,28787,31886
1497576985,28780,31872
1497577957,28842,31935
1497578907,28898,31989
1497579862,28975,32044
1497580854,29034,32096
1497581789,29121,32199
1497582772,29157,32183
1497583703,29251,32271
1497584687,29256,32257
1497585694,29377,32363
1497586844,29466,32423
1497588050,29372,32290
1497589002,29456,32378
1497589970,29463,32378
1497590923,29541,32471
1497591864,29662,32624
1497592997,29629,32575
1497594035,29649,32571
1497594977,29622,32536
1497595972,29732,32672
1497596901,29678,32618
1497597854,29697,32651
1497598866,29711,32680
1497599785,29634,32592
1497600773,29669,32655
1497601707,29595,32592
1497602672,29557,32556
1497603704,29597,32612
1497604843,29599,32594
1497605782,29535,32512
1497606760,29602,32600
1497607702,29514,32511
1497608661,29557,32570
1497609635,29509,32524
1497610581,29546,32557
1497611573,29550,32565
1497612508,29546,32564
1497613471,29523,32532
1497614539,29570,32596
1497615655,29581,32609
1497616601,29584,32617
1497617567,29535,32570
1497618509,29412,32427
1497619463,29543,32564
1497620466,29505,32532
1497621417,29467,32499
1497622380,29385,32395
1497623306,29099,32041
1497624277,29209,32179
1497625336,29376,32359
1497626447,29493,32508
1497627382,29540,32570
1497628359,29561,32596
1497629341,29491,32507
1497630265,29587,32627
1497631263,29588,32632
1497632185,29605,32653
1497633177,29447,32480
1497634110,29563,32621
1497635324,29823,32937
1497636271,29903,33033
1497637241,30150,33318
1497638181,30278,33463
1497639168,30396,33595
1497640126,30532,33755
1497641064,30669,33910
1497642055,30817,34075
1497642991,30961,34251
1497643986,30714,33982
1497644907,30843,34131
1497645869,30621,33894
1497646936,30748,34034
1497648047,30818,34123
1497648990,30810,34121
1497649979,30805,34116
1497650918,30820,34142
1497651896,30850,34184
1497652851,30897,34238
1497653785,30975,34314
1497654781,30983,34309
1497655707,31038,34366
1497656667,31013,34345
1497657826,31116,34452
1497658841,31112,34453
1497659775,31150,34486
1497660769,31266,34622
1497661709,31247,34607
1497662666,31322,34685
1497663661,31277,34639
1497664585,31345,34702
1497665578,31281,34632
1497666507,31307,34683
1497667473,31235,34584
1497668534,31319,34678
1497669626,31230,34582
1497670586,31299,34655
1497671558,31260,34624
1497672502,31201,34563
1497673451,31302,34674
1497674444,31412,34810
1497675387,31358,34741
1497676382,31280,34636
1497677345,31313,34658
1497678275,31275,34623
1497679300,31432,34800
1497680221,31368,34732
1497681181,31434,34808
1497682114,31407,34746
1497683082,31409,34761
1497684065,31440,34805
1497684990,31390,34729
1497686011,31480,34829
1497686923,31462,34796
1497687868,31511,34860
1497688858,31518,34877
1497689799,31476,34816
1497690778,31433,34783
1497691705,31521,34888
1497692674,31478,34843
1497693728,31558,34942
1497694850,31551,34941
1497695778,31551,34937
1497696757,31595,34994
1497697704,31570,34964
1497698651,31571,34959
1497699637,31600,34979
1497700586,31549,34927
1497701558,31527,34905
1497702493,31560,34941
1497703467,31484,34852
1497704498,31528,34914
1497705419,31452,34824
1497706363,31510,34899
1497707312,31542,34922
1497708277,31486,34864
1497709264,31547,34936
1497710190,31528,34927
1497711171,31563,34960
1497712109,31512,34905
1497713088,31547,34948
1497714050,31483,34866
1497714997,31525,34919
1497715971,31415,34797
1497716907,31399,34788
1497717871,31391,34777
1497718927,31444,34843
