DateTime,AddedIPs,RemovedIPs
1497340607,51,63
1497341554,61,0
1497342512,54,108
1497343478,44,64
1497344524,63,36
1497345634,56,59
1497346584,38,70
1497347548,45,5
1497348511,44,68
1497349450,41,44
1497350421,48,47
1497351392,35,35
1497352350,55,53
1497353309,48,55
1497354280,32,47
1497355325,137,52
1497356444,9,60
1497357388,7,57
1497358347,6,76
1497359329,10,94
1497360268,123,2
1497361237,25,58
1497362200,12,43
1497363161,16,68
1497364629,10,60
1497365568,152,54
1497366510,17,58
1497367470,14,57
1497368442,7,30
1497369395,9,48
1497370379,152,58
1497371314,57,38
1497372275,33,54
1497373351,57,34
1497374425,65,65
1497375375,99,66
1497376345,55,45
1497377304,15,54
1497378251,12,44
1497379732,138,101
1497380678,39,58
1497381634,60,0
1497382602,37,117
1497383552,64,0
1497384539,49,73
1497385464,37,59
1497386440,52,27
1497387390,35,54
1497388350,86,40
1497389320,44,41
1497390263,54,44
1497391301,63,52
1497392440,76,78
1497393391,22,60
1497394345,60,49
1497395329,73,56
1497396267,24,62
1497397236,52,33
1497398199,51,66
1497399138,43,78
1497400101,64,42
1497401067,50,44
1497402109,80,39
1497403220,65,78
1497404180,25,57
1497405142,56,58
1497406099,41,45
1497407058,44,53
1497408014,47,66
1497408981,38,53
1497409938,36,79
1497410894,45,64
1497411852,41,59
1497412886,49,54
1497414035,60,50
1497415005,25,61
1497415955,59,52
1497416908,21,57
1497417852,48,69
1497418823,63,39
1497419785,43,81
1497420762,55,69
1497421711,64,38
1497422670,43,193
1497423701,71,10
1497424612,45,6
1497425547,63,14
1497426512,67,10
1497427512,27,5
1497428443,77,10
1497429392,29,5
1497430354,53,9
1497431303,48,14
1497432263,32,6
1497433233,53,16
1497434198,43,5
1497435164,50,5
1497436116,59,6
1497437062,42,8
1497438150,59,15
1497439219,64,10
1497440180,35,13
1497441139,47,17
1497442095,49,14
1497443051,41,3
1497444021,56,7
1497444977,46,11
1497445955,58,11
1497446913,65,5
1497447864,37,5
1497448896,53,13
1497450034,48,8
1497450993,44,6
1497451956,51,11
1497452928,30,5
1497453870,32,6
1497454831,43,15
1497455804,43,137
1497456758,53,14
1497457712,59,6
1497458681,23,12
1497459705,54,5
1497460823,77,6
1497461779,31,9
1497462762,70,14
1497463715,46,6
1497464667,57,12
1497465637,63,9
1497466574,44,14
1497467556,52,93
1497468514,58,27
1497469463,44,103
1497470515,64,16
1497471624,62,119
1497472583,32,13
1497473536,51,60
1497474509,49,154
1497475454,40,8
1497476438,62,12
1497477396,25,68
1497478586,36,55
1497479558,58,64
1497480515,52,69
1497481473,44,69
1497482446,59,70
1497483386,31,61
1497484359,65,43
1497485311,39,88
1497486266,44,43
1497487242,57,37
1497488185,41,79
1497489156,48,52
1497490115,57,34
1497491065,36,61
1497492082,60,100
1497492995,23,34
1497493948,56,76
1497494916,58,40
1497495883,21,87
