DateTime,Entries,UniqueIPs
1495652406,28,28
1495663205,27,27
1495717206,28,28
1495728005,27,27
1495756805,28,28
1495774806,27,27
1495796406,26,26
1495828813,29,29
1495854006,28,28
1495872005,27,27
1495911606,28,28
1495962005,27,27
1495965605,26,26
1495969205,25,25
1495972805,24,24
1495980006,25,25
1496012406,24,24
1496034007,25,25
1496044805,24,24
1496048406,23,23
1496080806,22,22
1496120406,21,21
1496134806,22,22
1496138406,24,24
1496163605,23,23
1496196006,22,22
1496206806,21,21
1496210405,22,22
1496232005,21,21
1496242805,20,20
1496293205,21,21
1496300406,23,23
1496304006,24,24
1496332805,23,23
1496376005,24,24
1496379605,23,23
1496390405,24,24
1496415605,23,23
1496422805,22,22
1496437205,23,23
1496448005,21,21
1496469606,21,21
1496523606,23,23
1496527206,28,28
1496538006,29,29
1496602806,30,30
1496638806,29,29
1496685606,30,30
1496728806,31,31
1496732406,32,32
1496746806,33,33
1496761206,32,32
1496772006,30,30
1496800807,31,31
1496822406,30,30
1496836807,31,31
1496898006,33,33
1496905206,32,32
1496908806,31,31
1496919606,32,32
1496955606,31,31
1496959206,31,31
1496962806,33,33
1496995206,32,32
1497009607,31,31
1497042006,30,30
1497085206,29,29
1497088806,30,30
1497117606,31,31
1497124806,32,32
1497128406,31,31
1497132005,25,25
1497135606,27,27
1497182405,26,26
1497272406,27,27
1497337206,26,26
1497348005,25,25
1497366005,24,24
1497376806,24,24
1497387606,25,25
1497423606,24,24
1497427206,25,25
1497441606,24,24
1497466805,26,26
1497484805,25,25
1497488406,24,24
1497502806,24,24
1497510006,23,23
1497528006,25,25
1497567605,23,23
1497585606,22,22
1497600006,23,23
1497610806,24,24
1497636005,25,25
1497690005,25,25
1497729606,26,26
1497740405,25,25
