DateTime,AddedIPs,RemovedIPs
1495674029,7,9
1495677628,1,1
1495681230,4,0
1495684829,3,0
1495688429,1,0
1495695647,1,0
1495699229,0,1
1495702831,2,1
1495706429,1,1
1495710054,1,0
1495713629,9,1
1495717234,1,0
1495720832,2,0
1495724450,3,2
1495728039,0,1
1495731630,1,1
1495735231,4,0
1495738831,2,2
1495742449,1,1
1495746030,0,1
1495749632,1,1
1495753229,2,5
1495756829,3,1
1495760430,3,0
1495764049,1,2
1495767629,7,2
1495771248,0,1
1495774831,0,1
1495782032,0,1
1495789229,2,1
1495803652,1,1
1495807230,1,2
1495810830,1,2
1495825746,0,2
1495828887,5,10
1495832485,5,1
1495836084,4,1
1495839683,2,4
1495843283,1,1
1495846881,2,2
1495850483,10,0
1495854076,2,0
1495857678,0,1
1495868479,0,1
1495875682,1,0
1495886467,1,0
1495890068,4,1
1495893664,0,1
1495900862,3,1
1495904459,1,0
1495908063,3,2
1495911659,0,3
1495915269,1,3
1495918849,1,1
1495922446,4,2
1495926047,0,3
1495929639,1,1
1495933238,2,0
1495936846,1,1
1495940439,0,4
1495944042,2,1
1495947636,0,1
1495951232,0,1
1495958443,3,3
1495965629,0,2
1495972829,1,1
1495976458,0,1
1495980048,2,0
1495983637,1,2
1495990838,0,1
1495994447,0,1
1495998040,0,3
1496001646,4,0
1496005239,12,1
1496008848,12,1
1496012440,9,2
1496016046,11,0
1496019635,3,4
1496023236,7,1
1496026834,3,1
1496030435,3,1
1496034048,2,1
1496037634,2,0
1496041235,2,0
1496044834,1,0
1496048433,0,1
1496055642,2,0
1496059268,1,3
1496066448,1,0
1496073631,0,1
1496077231,0,1
1496080836,1,0
1496084469,1,2
1496088074,1,1
1496091690,0,3
1496095289,1,3
1496098887,3,3
1496102487,1,2
1496106086,2,1
1496109686,0,1
1496113286,7,1
1496116885,1,0
1496120486,0,1
1496127689,0,1
1496131286,0,1
1496134884,1,1
1496138477,1,0
1496142082,0,3
1496145676,1,2
1496149273,0,1
1496152884,2,0
1496156471,3,2
1496160068,0,1
1496167275,5,2
1496170890,2,0
1496174456,1,2
1496178074,1,1
1496181671,1,1
1496185259,6,1
1496188857,1,3
1496192464,2,3
1496196085,0,2
1496199672,1,0
1496203283,2,1
1496206897,0,3
1496214083,1,0
1496217685,1,1
1496221286,2,1
1496228485,2,1
1496232084,3,2
1496239284,2,0
1496250084,2,1
1496253683,0,1
1496257286,1,0
1496260875,1,0
1496268082,6,0
1496271677,3,0
1496275277,3,0
1496278882,3,0
1496282484,0,1
1496286074,1,4
1496289673,1,0
1496293274,1,0
1496300478,1,0
1496304082,2,2
1496307674,1,1
1496311273,2,2
1496314883,1,2
1496318473,0,3
1496322076,1,1
1496325680,1,1
1496329279,0,2
1496332884,2,1
1496340086,3,2
1496343688,0,2
1496347290,3,1
1496350889,3,0
1496354487,2,2
1496358088,0,5
1496361689,1,1
1496365289,3,1
1496368890,0,5
1496372446,1,0
1496376045,2,6
1496379643,2,1
1496383243,0,2
1496386858,2,1
1496390449,1,1
1496394036,1,2
1496397640,0,1
1496401241,0,1
1496408435,1,2
1496415634,1,2
1496422832,0,4
1496426432,2,1
1496430071,0,1
1496433633,0,2
1496437235,1,7
1496440845,2,4
1496444432,1,1
1496448032,5,1
1496451633,0,1
1496455234,2,16
1496458831,3,0
1496462431,0,2
1496466032,4,0
1496469632,3,1
1496476832,1,0
1496484050,1,0
1496487640,1,0
1496491232,1,1
1496494832,0,1
1496498436,0,1
1496505634,0,1
1496509231,1,0
1496512832,13,1
1496516433,1,2
1496520032,1,0
1496523632,0,2
1496527251,0,1
1496530832,5,1
1496534431,2,1
1496538048,0,4
1496541631,0,2
1496548832,1,1
1496552433,0,2
