DateTime,AddedIPs,RemovedIPs
1495902001,118,117
1495905615,141,131
1495909215,142,133
1495912807,144,129
1495916403,130,129
1495920010,114,127
1495923615,118,124
1495927211,114,124
1495930808,129,122
1495934415,128,99
1495938017,129,126
1495941618,118,109
1495945207,113,125
1495948805,115,121
1495952409,106,101
1495956017,124,114
1495959605,110,113
1495963205,121,126
1495966808,113,115
1495970411,101,126
1495974009,117,106
1495977645,132,110
1495981247,119,129
1495984800,145,111
1495988401,123,125
1495992002,122,129
1495995762,138,108
1495999301,110,106
1496002817,136,95
1496006405,110,120
1496010006,126,103
1496013622,136,96
1496017235,122,101
1496020853,105,120
1496024409,97,95
1496028005,88,105
1496031606,97,103
1496035238,94,97
1496038970,95,96
1496042437,85,95
1496046002,106,183
1496049595,108,262
1496053189,98,222
1496056820,125,133
1496060496,106,110
1496064181,135,116
1496067597,136,111
1496071189,117,110
1496074791,121,111
1496078409,114,105
1496081998,140,101
1496085613,144,101
1496089192,155,86
1496092798,108,100
1496096401,130,109
1496100034,125,111
1496103793,116,104
1496107249,137,107
1496110803,115,82
1496114405,104,83
1496118006,125,97
1496121639,137,90
1496125219,104,74
1496128860,98,59
1496132413,95,84
1496136014,119,70
1496139615,87,65
1496143248,94,61
1496146832,121,82
1496150468,123,77
1496154074,94,62
1496157626,108,67
1496161230,118,59
1496164830,103,89
1496168467,100,68
1496172096,99,85
1496175636,147,86
1496179236,119,97
1496182836,124,88
1496186471,114,108
1496190050,96,115
1496193815,105,129
1496197249,108,99
1496200834,76,102
1496204434,94,102
1496208042,122,86
1496211785,100,97
1496215257,114,102
1496218834,100,104
1496222435,124,107
1496226039,140,92
1496229676,119,99
1496233245,109,115
1496236888,127,105
1496240443,134,116
1496244046,119,118
1496247647,119,95
1496251278,130,106
1496255010,121,119
1496258499,111,126
1496262046,109,137
1496265648,143,111
1496269246,149,127
1496272879,121,108
1496276611,152,103
1496280103,109,106
1496283699,102,108
1496287254,125,114
1496290850,130,113
1496294448,109,115
1496298080,123,101
1496301684,110,121
1496305253,114,111
1496308850,106,110
1496312449,100,115
1496316072,105,106
1496319789,116,118
1496323346,111,96
1496326849,131,118
1496330443,137,126
1496334043,112,122
