DateTime,Entries,UniqueIPs
1495898404,22674,22674
1495902001,22675,22675
1495905615,22685,22685
1495909215,22694,22694
1495912807,22709,22709
1495916403,22710,22710
1495920010,22697,22697
1495923615,22691,22691
1495927211,22681,22681
1495930808,22688,22688
1495934415,22717,22717
1495938017,22720,22720
1495941618,22729,22729
1495945207,22717,22717
1495948805,22711,22711
1495952409,22716,22716
1495956017,22726,22726
1495959605,22723,22723
1495963205,22718,22718
1495966808,22716,22716
1495970411,22691,22691
1495974009,22702,22702
1495977645,22724,22724
1495981247,22714,22714
1495984800,22748,22748
1495988401,22746,22746
1495992002,22739,22739
1495995762,22769,22769
1495999301,22773,22773
1496002817,22814,22814
1496006405,22804,22804
1496010006,22827,22827
1496013622,22867,22867
1496017235,22888,22888
1496020853,22873,22873
1496024409,22875,22875
1496028005,22858,22858
1496031606,22852,22852
1496035238,22849,22849
1496038970,22848,22848
1496042437,22838,22838
1496046002,22761,22761
1496049595,22607,22607
1496053189,22483,22483
1496056820,22475,22475
1496060496,22471,22471
1496064181,22490,22490
1496067597,22515,22515
1496071189,22522,22522
1496074791,22532,22532
1496078409,22541,22541
1496081998,22580,22580
1496085613,22623,22623
1496089192,22692,22692
1496092798,22700,22700
1496096401,22721,22721
1496100034,22735,22735
1496103793,22747,22747
1496107249,22777,22777
1496110803,22810,22810
1496114405,22831,22831
1496118006,22859,22859
1496121639,22906,22906
1496125219,22936,22936
1496128860,22975,22975
1496132413,22986,22986
1496136014,23035,23035
1496139615,23057,23057
1496143248,23090,23090
1496146832,23129,23129
1496150468,23175,23175
1496154074,23207,23207
1496157626,23248,23248
1496161230,23307,23307
1496164830,23321,23321
1496168467,23353,23353
1496172096,23367,23367
1496175636,23428,23428
1496179236,23450,23450
1496182836,23486,23486
1496186471,23492,23492
1496190050,23473,23473
1496193815,23449,23449
1496197249,23458,23458
1496200834,23432,23432
1496204434,23424,23424
1496208042,23460,23460
1496211785,23463,23463
1496215257,23475,23475
1496218834,23471,23471
1496222435,23488,23488
1496226039,23536,23536
1496229676,23556,23556
1496233245,23550,23550
1496236888,23572,23572
1496240443,23590,23590
1496244046,23591,23591
