DateTime,AddedIPs,RemovedIPs
1495963164,115,112
1495966773,110,106
1495970379,91,113
1495973973,105,92
1495977597,113,91
1495981202,109,115
1495984768,125,97
1495988371,108,112
1495991969,107,121
1495995734,120,90
1495999263,88,83
1496002783,116,83
1496006373,93,110
1496009974,110,96
1496013591,118,95
1496017194,110,94
1496020807,96,107
1496024369,88,83
1496027969,74,93
1496031570,92,98
1496035202,84,90
1496038930,89,90
1496042390,80,84
1496045967,93,179
1496049565,91,243
1496053159,95,202
1496056789,107,123
1496060462,98,102
1496064130,115,108
1496067554,118,92
1496071150,98,92
1496074751,105,98
1496078376,102,96
1496081959,125,86
1496085575,129,89
1496089219,133,72
1496092765,100,78
1496096365,124,94
1496100001,109,93
1496103754,105,90
1496107200,126,89
1496110766,102,70
1496114370,91,74
1496117967,116,82
1496121604,131,81
1496125177,92,66
1496128805,89,46
1496132373,83,75
1496135979,109,58
1496139580,81,60
1496143217,84,46
1496146791,107,69
1496150425,109,62
1496154032,83,52
1496157591,93,54
1496161197,110,53
1496164799,91,70
1496168439,84,57
1496172041,87,73
1496175601,114,68
1496179199,109,85
1496182796,110,74
1496186431,102,97
1496190004,85,106
1496193775,90,110
1496197205,99,86
1496200789,75,96
1496204394,86,89
1496207990,109,75
1496211740,96,87
1496215210,110,93
1496218799,96,87
1496222403,115,96
1496226009,130,80
1496229639,113,86
1496233205,102,101
1496236841,115,97
1496240407,121,110
1496244011,107,103
1496247617,111,88
1496251250,115,97
1496254976,109,106
1496258460,107,107
1496262022,99,116
1496265621,131,96
1496269220,138,115
1496272849,107,95
1496276574,136,94
1496280058,101,89
1496283655,93,102
1496287217,111,95
1496290818,122,102
1496294415,101,107
1496298035,109,91
1496301643,101,111
1496305218,107,102
1496308818,98,102
1496312419,88,100
1496316042,96,94
1496319759,105,105
1496323322,99,84
1496326866,115,98
1496330463,122,120
1496334063,100,113
1496337686,94,127
1496341495,93,157
1496344946,122,143
1496348457,104,135
1496352025,82,148
1496355616,89,168
1496359211,69,164
1496362827,75,158
1496366509,46,155
1496369993,64,168
1496373585,47,149
1496377178,61,169
1496380788,57,146
1496384368,48,135
1496387978,38,174
1496391570,36,152
1496395147,47,137
1496398742,35,175
1496402339,35,147
1496409557,90,251
1496415989,41,105
1496420315,49,166
1496423922,36,19
1496431197,42,39
1496434722,17,73
1496438321,28,94
1496441915,23,104
1496445521,34,103
1496449120,40,99
1496452816,45,163
1496456295,54,147
1496459901,80,111
1496463494,68,116
1496467111,85,121
1496470696,82,125
1496474291,118,124
1496477885,118,115
1496481501,119,121
1496485110,107,124
1496488695,108,104
1496492278,82,118
1496495900,92,118
1496499514,90,115
1496503102,113,94
1496506697,103,103
1496510294,96,123
1496513899,99,104
1496517505,112,117
1496521098,103,107
1496524698,103,101
1496528295,116,97
1496531896,96,93
1496535480,85,116
1496539077,86,125
1496542679,74,127
1496546281,89,111
1496549882,88,99
1496553479,96,113
1496557086,81,98
1496560713,82,119
1496564283,80,94
1496567885,97,115
1496571483,88,109
1496575080,89,95
1496578678,106,110
1496582272,162,116
1496585868,170,114
1496589475,116,130
1496593084,157,99
1496596685,142,117
1496600288,145,113
1496603907,142,95
1496607504,118,123
1496611098,113,97
1496614696,110,109
1496618290,113,124
1496621887,110,130
1496625486,101,99
1496629086,109,96
1496632683,93,75
1496636291,89,85
1496639896,101,90
1496643489,110,88
1496647242,112,85
1496650698,79,99
1496654287,98,89
1496657894,92,101
1496661483,86,125
1496665106,110,120
1496668680,88,124
1496672306,112,112
1496675882,102,109
1496679484,99,107
1496683085,105,107
1496686705,127,123
1496690291,89,140
1496693881,102,148
1496697479,103,110
1496701100,109,142
1496726923,81,122
1496729849,233,808
1496733454,111,85
1496737074,102,91
1496740651,102,99
1496744253,114,88
1496747856,103,92
1496751473,105,112
1496755095,111,100
1496758656,92,82
1496762246,89,90
1496765845,86,111
1496769456,98,89
1496773058,101,90
1496776650,100,83
1496780246,110,94
1496783845,110,119
1496787464,112,95
1496791060,97,107
1496794649,90,68
1496798249,121,85
1496801864,111,88
1496805455,105,83
1496809053,110,84
1496812656,98,105
1496816265,84,103
1496819864,100,96
1496823469,89,92
1496827060,85,119
1496830666,115,117
1496834269,96,112
1496837860,105,91
1496841447,78,128
1496845058,163,118
1496852277,234,192
1496855853,113,100
1496859455,83,104
1496863053,103,125
1496866688,84,125
1496870255,99,106
1496873849,91,141
1496877448,83,113
1496881066,97,120
1496884660,80,114
1496888253,98,97
1496891855,96,116
1496895451,85,121
1496899054,69,109
1496902648,88,103
1496906244,99,114
1496909849,89,110
1496913458,82,105
1496917052,90,86
1496920674,98,97
1496924247,96,126
1496927853,91,95
1496952407,24,111
1496956612,314,704
1496960220,193,80
1496963818,183,75
1496967446,176,79
1496971059,168,58
1496974636,154,64
1496978233,98,61
1496981839,92,69
1496985457,103,55
1496989039,84,62
1496992649,81,50
1496996246,84,61
1496999857,96,55
1497003466,93,50
1497007075,89,54
1497010651,95,66
1497014255,86,50
1497017857,88,54
1497021486,99,20
1497025067,101,33
1497028668,117,33
1497032277,117,30
1497035891,104,37
1497039489,96,26
1497043078,70,38
1497046682,103,29
1497050288,71,43
1497053901,70,36
1497057491,77,43
1497061085,90,58
1497064694,94,59
1497068302,81,65
1497071899,86,76
1497075497,85,74
1497079096,82,85
1497082711,82,89
1497086305,121,110
1497089902,133,98
1497093508,115,102
1497097111,136,81
1497100710,125,91
1497104307,111,90
1497107907,102,105
1497111509,109,97
1497115120,113,104
1497118717,126,93
1497122311,99,106
1497125909,113,101
1497129514,131,89
1497133116,107,112
1497136710,106,82
1497140310,109,97
1497143911,89,94
1497147512,100,90
1497151109,114,94
1497154711,87,90
1497158321,87,91
1497161929,96,71
1497165524,78,73
1497169123,76,84
1497172723,94,99
1497176324,88,83
1497179927,103,81
1497183517,81,116
1497187113,79,98
1497190711,64,119
1497194303,77,100
1497201500,165,231
1497205097,76,120
1497208696,85,125
1497212309,89,104
1497215911,80,106
1497219496,89,109
1497223093,91,118
1497226700,114,115
1497230302,82,104
1497233888,90,106
1497237487,95,87
1497241087,77,85
1497244706,94,108
1497248298,79,127
1497251880,79,103
1497255489,84,93
1497259089,100,97
1497262695,101,100
1497266287,82,104
1497269889,98,96
1497273608,92,101
1497277104,84,104
1497280682,139,110
1497284290,82,109
1497287891,81,114
1497291510,98,123
1497295164,83,98
1497298714,90,104
1497302289,80,111
1497305888,73,100
1497309480,89,106
1497313104,91,43
1497316686,80,26
1497320290,106,22
1497323891,98,22
1497327508,95,21
1497331119,103,12
1497334704,86,67
1497338309,90,94
1497341920,103,91
1497345522,84,90
1497349106,71,98
1497352711,67,89
1497356419,86,104
1497359899,82,105
1497363494,78,93
1497367095,88,95
1497370712,83,90
1497374307,89,100
1497377900,93,104
1497381503,103,96
1497385100,91,117
1497388714,81,114
1497392295,91,113
1497395893,79,103
1497399492,84,91
1497403105,84,112
1497406698,82,127
1497410286,69,102
1497413889,79,112
1497417492,82,107
1497421093,75,90
1497424686,82,78
1497428282,83,86
1497431883,103,81
1497435486,85,122
1497439083,74,102
1497442680,83,106
1497446301,85,92
1497449895,73,104
1497453472,123,107
1497457077,92,104
1497460675,87,122
1497464303,97,98
1497467882,120,103
1497471481,85,96
1497475083,91,110
1497478687,87,99
1497482289,82,82
1497485881,92,97
1497489479,75,74
1497493079,72,92
1497496682,86,92
1497500272,67,97
1497503867,90,94
1497507470,78,98
1497511089,83,100
1497514678,85,93
1497518269,88,95
1497521877,84,102
1497525475,68,88
1497529083,86,121
1497532668,75,97
1497536271,74,49
1497539878,77,30
1497543491,79,26
1497547088,106,19
1497550687,98,19
1497554292,72,15
1497557898,98,40
1497561499,98,134
1497565088,94,169
1497568680,92,186
1497572277,91,205
1497575870,68,209
1497579465,82,215
1497583055,70,112
1497586660,92,85
1497590259,84,87
1497593860,67,89
1497597453,85,78
1497601055,61,90
1497604659,75,107
1497608255,86,104
1497611854,89,95
1497615452,94,99
1497619057,104,98
1497622656,94,86
1497626253,102,92
1497629853,100,93
1497633457,106,110
1497637064,107,95
1497640662,94,101
1497644262,79,94
1497647859,100,81
1497651463,88,104
1497655058,85,65
1497658656,87,68
1497662253,88,74
1497665859,100,88
1497669462,86,80
1497673057,80,87
1497676657,86,86
1497680255,91,81
1497683856,84,75
1497687463,85,84
1497691055,83,104
1497694659,89,122
1497698259,84,113
1497701854,75,128
1497705454,103,118
1497709052,91,106
1497712652,73,101
1497716253,76,113
1497719850,82,106
1497723446,88,115
1497727043,81,98
1497730645,71,105
1497734243,66,116
1497737838,89,107
1497741438,95,95
1497745043,72,103
1497748636,73,89
1497752237,73,90
1497755834,83,104
1497759438,73,82
1497763038,79,88
1497766631,64,88
1497770227,62,69
1497773849,83,75
1497777427,64,92
1497781026,79,87
1497784624,80,99
1497788241,73,90
1497791827,66,86
