DateTime,Entries,UniqueIPs
1495966773,20058,20058
1495970379,20036,20036
1495973973,20049,20049
1495977597,20071,20071
1495981202,20065,20065
1495984768,20093,20093
1495988371,20089,20089
1495991969,20075,20075
1495995734,20105,20105
1495999263,20110,20110
1496002783,20143,20143
1496006373,20126,20126
1496009974,20140,20140
1496013591,20163,20163
1496017194,20179,20179
1496020807,20168,20168
1496024369,20173,20173
1496027969,20154,20154
1496031570,20148,20148
1496035202,20142,20142
1496038930,20141,20141
1496042390,20137,20137
1496045967,20051,20051
1496049565,19899,19899
1496053159,19792,19792
1496056789,19776,19776
1496060462,19772,19772
1496064130,19779,19779
1496067554,19805,19805
1496071150,19811,19811
1496074751,19818,19818
1496078376,19824,19824
1496081959,19863,19863
1496085575,19903,19903
1496089219,19964,19964
1496092765,19986,19986
1496096365,20016,20016
1496100001,20032,20032
1496103754,20047,20047
1496107200,20084,20084
1496110766,20116,20116
1496114370,20133,20133
1496117967,20167,20167
1496121604,20217,20217
1496125177,20243,20243
1496128805,20286,20286
1496132373,20294,20294
1496135979,20345,20345
1496139580,20366,20366
1496143217,20404,20404
1496146791,20442,20442
1496150425,20489,20489
1496154032,20520,20520
1496157591,20559,20559
1496161197,20616,20616
1496164799,20637,20637
1496168439,20664,20664
1496172041,20678,20678
1496175601,20724,20724
1496179199,20748,20748
1496182796,20784,20784
1496186431,20789,20789
1496190004,20768,20768
1496193775,20748,20748
1496197205,20761,20761
1496200789,20740,20740
1496204394,20737,20737
1496207990,20771,20771
1496211740,20780,20780
1496215210,20797,20797
1496218799,20806,20806
1496222403,20825,20825
1496226009,20875,20875
1496229639,20902,20902
1496233205,20903,20903
1496236841,20921,20921
1496240407,20932,20932
1496244011,20936,20936
1496247617,20959,20959
1496251250,20977,20977
1496254976,20980,20980
1496258460,20980,20980
1496262022,20963,20963
1496265621,20998,20998
1496269220,21021,21021
1496272849,21033,21033
1496276574,21075,21075
1496280058,21087,21087
1496283655,21078,21078
1496287217,21094,21094
1496290818,21114,21114
1496294415,21108,21108
1496298035,21126,21126
1496301643,21116,21116
1496305218,21121,21121
1496308818,21117,21117
1496312419,21105,21105
1496316042,21107,21107
1496319759,21107,21107
1496323322,21122,21122
1496326866,21139,21139
1496330463,21141,21141
1496334063,21128,21128
1496337686,21095,21095
1496341495,21031,21031
1496344946,21010,21010
1496348457,20979,20979
1496352025,20913,20913
1496355616,20834,20834
1496359211,20739,20739
1496362827,20656,20656
1496366509,20547,20547
1496369993,20443,20443
1496373585,20341,20341
1496377178,20233,20233
1496380788,20144,20144
1496384368,20057,20057
1496387978,19921,19921
1496391570,19805,19805
1496395147,19715,19715
1496398742,19575,19575
1496402339,19463,19463
1496409557,19302,19302
1496415989,19238,19238
1496420315,19121,19121
1496423922,19138,19138
1496431197,19141,19141
1496434722,19085,19085
1496438321,19019,19019
1496441915,18938,18938
1496445521,18869,18869
1496449120,18810,18810
1496452816,18692,18692
1496456295,18599,18599
1496459901,18568,18568
1496463494,18520,18520
1496467111,18484,18484
1496470696,18441,18441
1496474291,18435,18435
1496477885,18438,18438
1496481501,18436,18436
1496485110,18419,18419
1496488695,18423,18423
