DateTime,Entries,UniqueIPs
1496083443,6868,6868
1496087283,6868,6868
1496091122,6860,6860
1496094963,6826,6826
1496098809,6811,6811
1496100722,6817,6817
1496104562,6807,6807
1496108404,6814,6814
1496110322,6811,6811
1496112242,6792,6792
1496116082,6793,6793
1496119922,6792,6792
1496121843,6793,6793
1496123763,6800,6800
1496127606,6808,6808
1496129522,6812,6812
1496133602,6819,6819
1496137442,6815,6815
1496141522,6835,6835
1496145363,6839,6839
1496149212,6843,6843
1496151122,6857,6857
1496157364,6877,6877
1496159282,6887,6887
1496163122,6884,6884
1496166963,6889,6889
1496170807,6886,6886
1496172723,6871,6871
1496176562,6891,6891
1496180402,6856,6856
1496184724,6833,6833
1496188563,6833,6833
1496192410,6816,6816
1496198404,6792,6792
1496202243,6802,6802
1496206322,6783,6783
1496208244,6833,6833
1496210163,6791,6791
1496214008,6805,6805
1496215923,6801,6801
1496219763,6801,6801
1496223604,6813,6813
1496227444,6825,6825
1496231283,6833,6833
1496235364,6835,6835
1496237287,6837,6837
1496241122,6852,6852
1496245204,6881,6881
1496249043,6899,6899
1496252882,6878,6878
1496256722,6864,6864
1496260563,6877,6877
1496264405,6877,6877
1496268242,6851,6851
1496270162,6815,6815
1496274003,6833,6833
1496278082,6798,6798
1496281922,6848,6848
1496285765,6855,6855
1496287682,6848,6848
1496289607,6849,6849
1496293443,6843,6843
1496295362,6864,6864
1496299202,6858,6858
1496303042,6870,6870
1496307122,6858,6858
1496309285,6877,6877
1496311207,6892,6892
1496313123,6888,6888
1496316963,6897,6897
1496320805,6898,6898
1496322722,6877,6877
1496324644,6908,6908
1496328724,6929,6929
1496332331,6905,6905
1496334965,6928,6928
1496339524,6949,6949
1496342404,6952,6952
1496345045,6928,6928
1496347444,6950,6950
1496350324,6948,6948
1496353205,6927,6927
1496358011,6904,6904
1496360404,6913,6913
1496364242,6900,6900
1496368808,6900,6900
1496370722,6885,6885
1496374562,6887,6887
1496378405,6883,6883
1496382244,6888,6888
1496386083,6907,6907
1496389923,6910,6910
1496394043,6898,6898
1496396163,6887,6887
1496400003,6895,6895
1496403843,6895,6895
1496407682,6886,6886
1496413924,6889,6889
1496415843,6878,6878
1496417762,6891,6891
1496419682,6889,6889
1496421603,6912,6912
1496427363,6917,6917
1496429282,6940,6940
1496433123,6930,6930
1496436963,6921,6921
1496440808,6902,6902
1496442722,6896,6896
1496446804,6908,6908
1496450643,6902,6902
1496454483,6892,6892
1496460246,6874,6874
1496463363,6863,6863
1496466724,6864,6864
1496469610,6880,6880
1496472963,6887,6887
1496475845,6894,6894
1496478723,6895,6895
1496482803,6919,6919
1496487363,6925,6925
1496489283,6894,6894
1496491206,6921,6921
1496493363,6929,6929
1496497922,6938,6938
1496501764,6962,6962
1496505610,6965,6965
1496507763,6971,6971
1496511603,6971,6971
1496515683,6959,6959
1496519522,6944,6944
1496523612,6933,6933
1496527442,6925,6925
1496529362,6921,6921
1496535122,6940,6940
1496537043,6923,6923
1496540882,6917,6917
1496544722,6917,6917
1496548563,6913,6913
1496550483,6917,6917
1496552406,6902,6902
1496554563,6899,6899
1496558404,6911,6911
1496562243,6916,6916
1496566082,6925,6925
1496569922,6944,6944
1496573763,6954,6954
1496579522,6964,6964
1496583362,6972,6972
1496587202,6977,6977
1496591043,6978,6978
1496594883,6985,6985
1496598722,6999,6999
1496602564,7000,7000
1496606406,6978,6978
1496608322,6966,6966
1496612163,6952,6952
1496616003,6943,6943
1496619843,6954,6954
1496621763,6940,6940
1496627764,6961,6961
1496633523,6920,6920
1496637362,6922,6922
1496641204,6925,6925
1496645043,6918,6918
1496648883,6920,6920
1496654644,6951,6951
1496656563,6956,6956
1496660406,6970,6970
1496662322,6966,6966
1496666162,6991,6991
1496670003,6992,6992
1496673842,6987,6987
1496677683,6984,6984
1496681523,6992,6992
1496685363,6996,6996
1496689212,6992,6992
1496691122,6982,6982
1496694962,6982,6982
1496698804,6944,6944
1496702643,6930,6930
1496706482,6939,6939
1496710323,6912,6912
1496714164,6931,6931
1496718006,6910,6910
1496719922,6924,6924
1496723762,6917,6917
1496727603,6945,6945
1496731443,6933,6933
1496735282,6941,6941
1496737203,6958,6958
1496739122,6941,6941
1496741044,6958,6958
1496742963,6959,6959
1496746806,6972,6972
1496748722,6978,6978
1496752563,6968,6968
1496756405,6980,6980
1496760243,7000,7000
1496764322,7015,7015
1496768163,7002,7002
1496770323,7019,7019
1496774162,7028,7028
1496778003,7031,7031
1496781843,7022,7022
1496785682,6981,6981
1496789522,6934,6934
1496793364,6968,6968
1496795283,6948,6948
1496797205,6917,6917
1496799123,6933,6933
1496802962,6924,6924
1496806803,6909,6909
1496810642,6913,6913
1496814722,6924,6924
1496818807,6929,6929
1496820723,6939,6939
1496824563,6945,6945
1496828402,6960,6960
1496830322,6945,6945
1496832243,6959,6959
1496836322,6969,6969
1496840164,6973,6973
1496844007,6964,6964
1496845923,6966,6966
1496850003,6971,6971
1496853843,6990,6990
1496857683,7037,7037
1496861763,7031,7031
1496865607,7029,7029
1496867523,7007,7007
1496871363,6998,6998
1496875204,6984,6984
1496879043,6967,6967
1496882883,6953,6953
1496886723,6964,6964
1496890563,6946,6946
1496894406,6949,6949
1496898243,6933,6933
1496900163,6954,6954
1496905923,6957,6957
1496907842,6927,6927
1496911682,6914,6914
1496915522,6928,6928
1496919363,6946,6946
1496923206,6963,6963
1496925123,6954,6954
1496928962,6962,6962
1496932803,6959,6959
1496936643,6972,6972
1496940482,6983,6983
1496946243,6985,6985
1496950083,7001,7001
1496952006,7010,7010
1496953922,6997,6997
1496958004,6965,6965
1496961843,6957,6957
1496965682,6958,6958
1496969522,6930,6930
1496973363,6924,6924
1496979123,6904,6904
1496982965,6904,6904
1496986803,6920,6920
1496990644,6918,6918
1496994483,6914,6914
1496998323,6926,6926
1497000244,6927,6927
1497007922,6944,6944
1497012002,6938,6938
1497015842,6926,6926
1497017763,6976,6976
1497019682,6951,6951
1497023522,6970,6970
1497027363,6981,6981
