DateTime,Entries,UniqueIPs
1496746209,316666,327692
1496746809,316667,327693
1496752214,316667,327692
1496759408,316666,327691
1496760609,316667,327692
1496761208,316668,327693
1496771408,316669,327694
1496772910,316671,327696
1496773208,316670,327695
1496776808,316671,327696
1496778310,316670,327695
1496779208,316671,327696
1496781010,316670,327695
1496786108,316669,327694
1496796008,316670,327695
1496798709,316669,327694
1496799909,316670,327695
1496800508,316672,327697
1496801108,316675,327700
1496801408,316677,327702
1496801708,316678,327703
1496823915,316677,327702
1496833209,316678,327703
1496841914,316677,327702
1496845516,316678,327703
1496847008,316680,327705
1496847608,316681,327706
1496852408,316682,327707
1496854808,316683,327708
1496858108,316684,327709
1496859609,316683,327708
1496868608,316684,327709
1496883009,316684,327708
1496886010,316685,327709
1496888110,316684,327708
1496897708,316683,327707
1496902808,316684,327708
1496905208,316685,327709
1496910008,316686,327710
1496910316,316685,327709
1496912108,316718,327742
1496912409,316744,327769
1496912708,316953,327979
1496913009,317140,328167
1496913309,317189,328216
1496913609,317263,328298
1496914209,317332,328367
1496914508,317363,328398
1496925308,317364,328399
1496931309,317363,328398
1496932209,317362,328397
1496939113,317363,328398
1496947508,317364,328399
1496950808,317365,328400
1496951108,317366,328401
1496952009,317367,328402
1496952309,317368,328403
1496953208,317369,328404
1496954108,317370,328405
1496954410,317369,328404
1496957116,317370,328405
1496958908,317371,328406
1496960108,317373,328408
1496962508,317372,328407
1496962809,317373,328408
1496964908,317374,328409
1496965209,317375,328410
1496965809,317376,328411
1496967008,317377,328412
1496967308,317379,328414
1496968209,317380,328415
1496976008,317379,328415
1496976909,317380,328416
1496977208,317381,328417
1496977510,317383,328419
1496978409,317384,328420
1496983512,317385,328421
1496989808,317384,328420
1496998808,317386,328422
1496999109,317387,328424
1496999409,317388,328425
1496999708,317389,328426
1497000908,317390,328427
1497001808,317391,328428
1497002109,317392,328429
1497004208,317392,328430
1497019808,317393,328431
1497020408,317394,328432
1497020709,317395,328433
1497022808,317394,328432
1497027609,317395,328433
1497027909,317396,328434
1497028809,317397,328435
1497030008,317399,328437
1497031209,317398,328435
1497038408,317399,328436
1497040810,317400,328437
1497041709,317401,328439
1497047112,317402,328440
1497048009,317404,328442
1497049208,317405,328443
1497049809,317406,328444
1497052208,317405,328443
1497054311,317406,328444
1497060009,317407,328445
1497061809,317408,328446
1497076208,317409,328447
1497076808,317408,328446
1497077409,317409,328447
1497080108,317410,328448
1497080408,317411,328449
1497081609,317412,328450
1497083708,317412,328451
1497084009,317411,328450
1497085809,317412,328451
1497090009,317413,328452
1497090608,317415,328454
1497096008,317414,328453
1497105609,317415,328454
1497108609,317415,328453
1497109809,317416,328454
1497120008,317415,328453
1497126311,317416,328454
1497126908,317416,328455
1497139509,317417,328456
1497146108,317416,328455
1497148809,317417,328456
1497156608,317418,328457
1497161409,317419,328458
1497163510,317420,328459
1497177609,317421,328460
1497179408,317420,328459
1497180909,317419,328458
1497182110,317412,328451
1497182408,317410,328449
1497183011,317404,328443
1497183609,317399,328438
1497183909,317396,328435
1497184209,317394,328433
1497187809,317393,328432
1497194108,317394,328433
1497194714,317395,328434
1497196810,317395,328435
1497198609,317394,328434
1497201609,317393,328433
1497201911,317394,328434
1497205513,317394,328435
1497207609,317394,328434
1497209111,317393,328433
1497210309,317395,328435
1497213308,317395,328434
1497213608,317394,328433
1497214809,317395,328434
1497221409,317396,328435
1497232209,317397,328436
1497234008,317396,328435
1497244809,317397,328436
1497245708,317398,328437
1497247208,317399,328438
1497253808,317401,328441
1497254709,317402,328443
1497258908,317403,328444
1497260109,317404,328445
1497263409,317406,328447
1497266109,317407,328448
1497270009,317408,328449
1497272408,317408,328450
1497273308,317409,328451
1497273609,317408,328450
1497280209,317407,328449
1497283208,317407,328450
1497283808,317406,328449
1497284409,317407,328450
1497288008,317406,328449
1497294009,317405,328448
1497294908,317406,328449
1497296709,317412,328455
1497302708,317414,328457
1497303309,317415,328458
1497312310,317414,328457
1497312908,317414,328458
1497319208,317413,328457
1497319509,317414,328458
1497325209,317415,328459
1497325509,317416,328460
1497328208,317417,328461
1497329408,317418,328462
1497333309,317418,328462
1497336008,317419,328463
1497336608,317421,328465
1497341408,317420,328464
1497342009,317421,328465
1497343209,317458,328502
1497357308,317457,328501
1497360909,317456,328500
1497364809,317457,328501
1497366610,317456,328500
1497368710,317458,328502
1497369008,317459,328503
1497370809,317460,328504
1497371114,317461,328505
1497371409,317462,328506
1497372610,317463,328507
1497373509,317462,328506
1497376208,317461,328505
1497379208,317462,328506
1497382209,317461,328505
1497394808,317462,328506
1497398108,317463,328507
1497399308,317465,328509
1497404108,317466,328510
1497421517,317465,328509
1497434108,317464,328508
1497435910,317465,328509
1497436508,317465,328508
1497437109,317466,328509
1497438008,317467,328510
1497438608,317467,328509
1497438908,317468,328510
1497439513,317470,328512
1497439809,317471,328513
1497440109,317472,328514
1497440709,317473,328515
1497441609,317474,328516
1497441908,317475,328517
1497448208,317475,328518
1497448508,317476,328519
1497450309,317477,328520
1497451808,317476,328519
1497452408,317478,328520
1497455108,317477,328519
1497458108,317476,328518
1497472208,317477,328519
1497473109,317478,328520
1497473409,317479,328521
1497473708,317482,328524
1497474009,317483,328525
1497474309,317484,328526
1497474609,317486,328528
1497475810,317487,328529
1497477009,317488,328530
1497480308,317487,328529
1497483608,317488,328530
1497484209,317489,328531
1497487209,317490,328532
1497489309,317490,328531
1497493208,317491,328532
1497498608,317490,328531
1497505509,317491,328532
1497506108,317492,328533
1497511209,317493,328534
1497514208,317495,328536
1497516608,317496,328537
1497519908,317495,328536
1497538208,317496,328537
1497538808,317495,328536
1497541210,317496,328537
1497541808,317498,328539
1497542408,317497,328538
1497544208,317496,328537
1497554408,317497,328538
1497560408,317498,328539
1497561009,317497,328538
1497564008,317499,328540
1497564909,317500,328541
1497565208,317501,328542
1497566709,317501,328541
1497568808,317501,328541
1497575709,317500,328540
1497582308,317502,328542
1497583209,317503,328543
1497583516,317504,328544
1497584108,317505,328545
1497584409,317506,328546
1497585308,317507,328547
1497585908,317508,328548
1497587116,317507,328547
1497588309,317508,328548
1497588609,317509,328549
1497604208,317508,328548
1497612008,317507,328547
1497613208,317508,328548
1497613808,317508,328548
1497614108,317519,328559
1497614409,317520,328560
1497614708,317710,328751
1497615009,317792,328833
1497615608,317797,328838
1497615909,317801,328842
1497617108,317802,328843
1497618309,317816,328857
1497618609,317839,328880
1497618908,317930,328972
1497619209,317927,328969
1497619509,317855,328889
1497619808,317839,328873
1497624609,317839,328874
1497625209,317840,328875
1497637209,317841,328876
1497638409,317842,328877
1497642009,317843,328878
1497642609,317844,328879
1497648010,317843,328878
1497653108,317844,328879
1497653409,317846,328881
1497655209,317849,328884
1497656108,317850,328885
1497656709,317852,328887
1497659111,317853,328888
1497659409,317854,328889
1497659709,317855,328890
1497660009,317856,328891
1497661209,317858,328893
1497664508,317860,328895
1497664809,317861,328896
1497665108,317862,328897
1497666609,317863,328898
1497667808,317862,328897
1497668711,317864,328899
1497670508,317865,328900
1497671408,317866,328901
1497672608,317866,328902
1497672909,317867,328903
1497673208,317868,328904
1497674109,317869,328905
1497677708,317870,328906
1497679509,317871,328907
1497680108,317873,328909
1497683409,317871,328906
1497696608,317870,328905
1497702608,317871,328906
1497729909,317871,328906
1497734108,317873,328908
1497735008,317877,328912
1497735908,317878,328913
1497736208,317879,328914
1497736508,317880,328915
1497736808,317881,328916
1497739209,317882,328917
1497744008,317882,328918
1497747608,317883,328919
1497751209,317885,328921
1497752408,317886,328922
1497758109,317923,328959
1497758408,317979,329017
1497758709,318051,329089
1497759009,318128,329167
1497759308,318202,329241
1497759608,318280,329320
1497759910,318357,329399
1497760209,318432,329475
1497760509,318500,329544
1497760808,318551,329595
1497761108,318627,329671
1497761408,318693,329737
1497761709,318774,329818
1497762009,318855,329900
1497762308,318931,329977
1497762608,319012,330058
1497763209,319162,330209
1497763520,319237,330284
1497764108,319387,330435
1497764709,319459,330508
1497764709,319527,330577
1497765008,319595,330647
1497765308,319667,330719
1497765608,319737,330790
1497765909,319809,330862
1497766209,319880,330933
1497766509,319945,331000
1497766809,320017,331072
1497767112,320086,331142
1497767408,320150,331206
1497767708,320218,331274
1497768009,320285,331341
1497768309,320352,331408
1497768608,320420,331476
1497769210,320553,331609
1497769508,320617,331673
1497769809,320682,331738
1497770108,320747,331803
1497770409,320812,331869
1497770715,320877,331934
1497771008,320941,331998
1497771308,321006,332062
1497771609,321067,332125
1497771910,321128,332186
1497772208,321188,332246
1497772508,321248,332306
1497772808,321308,332367
1497773108,321373,332432
1497773409,321442,332502
1497774008,321575,332635
1497774313,321641,332701
1497774609,321708,332768
1497774910,321776,332836
1497775209,321845,332905
1497775509,321910,332970
1497775809,321977,333037
1497776108,322045,333105
1497776409,322110,333172
1497776710,322179,333241
1497777009,322247,333309
1497777308,322312,333375
1497777609,322377,333440
1497777915,322436,333501
1497778208,322498,333563
1497778508,322562,333627
1497778810,322627,333692
1497779109,322692,333757
1497779409,322755,333820
1497779708,322790,333858
1497780009,322807,333875
1497780309,322823,333891
1497780609,322840,333908
1497780909,322857,333925
1497781209,322875,333943
1497781809,322897,333965
1497782109,322913,333981
1497782409,322930,333998
