DateTime,AddedIPs,RemovedIPs
1495971610,0,2
1495971909,0,1
1495978808,0,1
1495979409,0,2
1495980008,0,1
1495980609,0,1
1495981510,34,1
1495981808,31,2
1495982409,0,1
1495982709,0,1
1495983008,0,1
1495983308,21,1
1495983610,0,1
1495984208,0,1
1495985409,0,2
1495985709,0,1
1495986009,0,1
1495986608,0,1
1495989309,0,1
1495993808,20,0
1495994709,1,0
1495995009,0,1
1495995309,0,1
1495995609,0,2
1495996208,0,3
1495996508,15,1
1495996809,34,1
1495997109,0,2
1495997409,8,1
1495997709,0,1
1495998009,0,1
1495998310,0,2
1495998909,0,1
1496000108,12,0
1496000709,27,0
1496001909,26,0
1496002508,0,1
1496002809,1,0
1496003111,4,0
1496003709,9,0
1496004609,0,1
1496005209,9,1
1496005509,13,0
1496005809,20,0
1496006713,0,2
1496007008,0,4
1496007308,0,2
1496007609,0,2
1496008209,0,2
1496008509,0,2
1496010009,0,1
1496012108,0,1
1496012410,0,2
1496012709,0,5
1496013009,0,1
1496013909,0,5
1496014209,0,4
1496014508,0,2
1496014809,0,6
1496015109,0,3
1496043309,0,1
1496052008,0,1
1496052308,0,2
1496052909,0,1
1496055909,0,1
1496056209,0,1
1496056509,0,1
1496057114,0,2
1496058609,0,1
1496059508,0,2
1496061309,0,1
1496061609,0,3
1496061908,0,1
1496062209,0,1
1496062508,0,1
1496063709,0,1
1496064908,0,1
1496065209,0,1
1496065808,0,1
1496069108,0,1
1496070608,0,1
1496071808,5,0
1496077508,13,0
1496077809,0,1
1496078709,10,0
1496079309,35,0
1496081110,21,0
1496083809,1,0
1496085609,1,0
1496085916,4,0
1496086808,42,0
1496087409,12,0
1496089809,0,2
1496090108,0,2
1496091009,0,1
1496092508,0,1
1496096709,5,0
1496097609,5,0
1496097908,10,0
1496098208,20,0
1496100909,1,0
1496107516,0,1
1496107811,0,4
1496108108,0,4
1496109009,0,1
1496109309,0,1
1496109608,0,1
1496125208,0,1
1496132108,1,0
1496132408,18,0
1496133909,14,0
1496134509,0,1
1496138409,0,1
1496138709,3,0
1496139912,0,1
1496140508,0,1
1496141408,0,1
1496141708,0,1
1496142609,0,1
1496144108,0,1
1496145008,0,1
1496147112,0,1
1496148609,0,1
1496148908,0,2
1496156708,0,1
1496157308,0,2
1496159408,0,1
1496163009,0,2
1496165708,0,1
1496166008,0,2
1496166309,0,3
1496166608,0,3
1496166909,5,2
1496167208,0,3
1496167809,2,4
1496168710,0,1
1496170508,0,3
1496170809,5,3
1496171109,10,0
1496171408,0,1
1496172009,2,1
1496172309,14,2
1496172608,10,1
1496173208,0,2
1496173808,0,1
1496174109,0,1
1496174709,0,1
1496175009,18,2
1496175309,0,2
1496176209,15,0
1496176509,16,0
1496176809,4,0
1496178908,0,1
1496179209,0,1
1496180109,0,2
1496180709,0,1
1496181008,0,2
1496181309,0,1
1496181609,0,4
1496187308,0,1
1496187609,1,0
1496187909,2,0
1496188509,9,0
1496188808,6,0
1496189109,1,0
1496189409,4,0
1496190313,0,2
1496190608,0,2
1496190908,0,1
1496197208,0,1
1496198109,0,1
1496209209,0,1
1496225408,0,1
1496227208,0,1
1496252408,0,2
1496252709,0,1
1496263509,0,2
1496268908,0,1
1496272508,0,1
1496308811,0,3
1496309108,0,4
1496309709,0,7
1496310009,0,3
1496310309,0,5
1496310609,0,7
1496310909,0,2
1496311209,0,1
1496311808,0,12
1496312108,0,4
1496312409,0,4
1496312713,1,4
1496313009,0,5
1496313308,0,1
1496314208,0,1
1496321409,0,1
1496325609,0,1
1496331909,10,0
1496334310,21,0
1496337009,0,1
1496341809,2,0
1496346909,10,4
1496349609,15,5
1496352609,24,0
1496355008,0,1
1496359209,0,1
1496372409,0,1
1496385308,0,1
1496387413,0,1
1496396409,0,2
1496396709,0,1
1496414709,0,1
1496421308,0,1
1496421609,0,2
1496421909,0,1
1496428509,0,1
1496429409,0,1
1496429709,0,1
1496430309,0,3
1496430610,0,1
1496430909,0,1
1496431511,0,1
1496436008,0,1
1496444410,0,2
1496454908,0,1
1496470509,0,1
1496475308,0,4
1496476809,0,2
1496478309,0,3
1496479808,0,4
1496480409,0,3
1496482210,0,3
1496486109,0,1
1496487008,0,2
1496494508,0,1
1496494809,0,2
1496495408,0,5
1496496608,0,2
1496497509,0,2
1496498109,0,3
1496498408,0,1
1496499008,0,2
1496499609,0,3
1496503208,113,0
1496504709,10,0
1496505008,13,0
1496505608,2,0
1496505908,7,1
1496507408,12,0
1496509509,0,1
1496509808,0,2
1496510714,0,1
1496511309,16,0
1496511909,0,1
1496516408,18,0
1496529308,0,1
1496529608,0,1
1496531410,0,1
1496563209,0,1
1496566508,0,1
1496567109,0,1
1496570709,0,1
1496571009,0,1
1496571308,0,1
1496571609,0,2
1496571913,0,1
1496592909,15,0
1496594709,1,0
1496595909,9,0
1496596209,34,0
1496600716,44,0
1496601909,2,0
1496602209,1,0
1496602508,3,0
1496603108,1,0
1496603410,22,0
1496603708,3,1
1496604011,7,0
1496605809,0,1
1496607609,0,1
1496608809,0,1
1496616009,0,1
1496619309,0,1
1496622009,0,1
1496646609,0,1
1496649609,3,1
1496650209,0,1
1496651409,0,1
1496668209,0,1
1496672110,0,1
1496673008,0,1
1496683809,0,1
1496685910,0,1
1496697308,20,0
1496698209,13,0
1496698509,31,0
1496699709,2,0
1496701209,0,1
1496715609,0,1
1496737209,0,1
1496737810,0,1
1496752215,0,1
1496754610,0,1
1496763908,0,1
1496766608,0,1
1496773209,0,1
1496774709,0,1
1496804108,0,1
1496804709,0,1
1496805010,0,1
1496806509,0,1
1496815209,0,1
1496817609,0,1
1496819109,0,1
1496819409,0,1
1496821809,0,1
1496822410,0,4
1496822711,0,3
1496823008,0,3
1496823309,0,2
1496823608,0,3
1496823915,0,3
1496824209,0,4
1496824508,0,3
1496841309,0,1
1496841609,0,3
1496843109,0,1
1496843409,0,2
1496847609,0,1
1496847910,0,1
1496853609,0,1
1496859309,0,1
1496863514,0,3
1496870408,0,1
1496872508,0,1
1496873710,0,1
1496888111,0,1
1496890809,0,1
1496900709,0,1
1496901909,0,1
1496926509,0,1
1496945109,0,1
1496945709,0,1
1496952909,2,0
1496953513,19,0
1496954108,0,1
1496955009,21,1
1496955309,0,1
1496955909,0,1
1496956508,40,2
1496956809,11,1
1496957709,0,1
1496962209,0,1
1496968209,0,1
1496973308,0,1
1496987709,0,1
1496997009,0,1
1497000908,0,1
1497022808,0,1
1497025809,0,1
1497038109,0,1
1497038409,0,1
1497039010,0,2
1497039309,0,1
1497039910,0,1
1497049809,0,1
1497075913,0,1
1497096311,0,1
1497097210,0,1
1497097809,0,1
1497108609,0,1
1497111009,0,1
1497135909,0,1
1497137709,0,1
1497142808,0,1
1497148209,0,1
1497149709,0,1
1497158408,0,1
1497178209,0,1
1497207910,0,1
1497211809,0,1
1497215709,0,1
1497221709,0,1
1497223808,0,1
1497229809,0,2
1497230109,0,1
1497230409,0,1
1497231009,0,2
1497234315,0,1
1497261009,0,2
1497261608,0,2
1497262508,0,1
1497264909,71,0
1497265809,1,0
1497283808,0,1
1497287709,0,3
1497289209,0,1
1497289508,16,0
1497290412,0,1
1497291914,5,0
1497292809,16,0
1497295809,0,1
1497305110,0,1
1497306009,0,1
1497321909,0,1
1497331210,0,1
1497338409,0,1
1497342609,0,1
1497363310,0,1
1497364209,0,1
1497366008,0,2
1497368710,0,1
1497371409,24,1
1497372610,6,1
1497374715,0,1
1497378008,0,1
1497383708,0,1
1497384009,0,1
1497384908,0,2
1497385208,0,3
1497385510,0,4
1497385808,0,3
1497386109,0,2
1497386408,0,2
1497386709,0,1
1497387010,0,3
1497387309,0,2
1497387609,11,0
1497387909,0,1
1497392109,0,1
1497396015,12,0
1497398408,0,1
1497407115,0,1
1497408908,0,1
1497411308,0,1
1497414609,0,1
1497415808,0,2
1497416109,0,1
1497427209,0,1
1497430809,0,1
1497432609,0,1
1497439809,0,1
1497445210,0,1
1497457510,0,1
1497459609,0,1
1497467109,0,1
1497468908,0,1
1497470709,0,1
1497471309,0,1
1497471609,0,1
1497472508,0,1
1497481208,0,1
1497485109,0,1
1497513908,0,1
1497519908,0,1
