DateTime,Entries,UniqueIPs
1487880008,2610,2660
1487903409,2612,2662
1487920508,2611,2661
1487922309,2612,2662
1487925909,2613,2663
1487931009,2612,2662
1487942108,2611,2661
1487950508,2610,2660
1487952908,2611,2661
1488023709,2612,2662
1488043509,2613,2663
1488089708,2614,2664
1488126309,2615,2665
1488143108,2616,2666
1488202808,2617,2667
1488221407,2618,2668
1488225909,2619,2669
1488228608,2618,2668
1488253809,2619,2669
1488258008,2620,2670
1488297308,2619,2669
1488306009,2620,2670
1488318009,2621,2671
1488356709,2622,2672
1488359408,2623,2673
1488381009,2622,2672
1488391209,2621,2671
1488397208,2620,2670
1488449109,2619,2669
1488462309,2620,2670
1488464409,2619,2669
1488486608,2618,2668
1488509408,2619,2669
1488525309,2618,2668
1488532208,2618,2669
1488538208,2619,2670
1488538509,2620,2671
1488548108,2619,2670
1488562508,2620,2671
1488564308,2619,2670
1488565808,2621,2672
1488614409,2622,2673
1488648909,2623,2674
1488653709,2624,2675
1488660309,2625,2676
1488687308,2624,2675
1488696309,2625,2676
1488717609,2626,2677
1488722108,2627,2678
1488741909,2628,2679
1488797409,2630,2681
1488809409,2631,2682
1488812709,2632,2683
1488867609,2633,2684
1488909609,2632,2683
1488954908,2633,2684
1488980108,2632,2683
1488994209,2633,2684
1489007708,2634,2685
1489013109,2635,2686
1489067708,2636,2687
1489068908,2637,2688
1489078209,2636,2687
1489080308,2637,2688
1489083309,2636,2687
1489129808,2637,2688
1489131010,2638,2689
1489154109,2637,2688
1489170309,2638,2689
1489261209,2639,2690
1489318208,2640,2691
1489348508,2641,2692
1489355409,2642,2693
1489361409,2643,2694
1489389608,2644,2695
1489395309,2645,2696
1489397410,2646,2697
1489434608,2647,2698
1489444809,2646,2697
1489470908,2647,2698
1489471510,2648,2699
1489471808,2649,2700
1489476610,2650,2701
1489488008,2649,2700
1489522208,2648,2699
1489524309,2647,2698
1489531509,2648,2699
1489538709,2647,2698
1489635909,2646,2697
1489686908,2645,2696
1489687209,2644,2695
1489767009,2643,2694
1489775109,2642,2693
1489784108,2641,2692
1489994409,2640,2691
1490023508,2639,2690
1490025009,2638,2689
1490044508,2637,2688
1490170209,2638,2689
1490170510,2639,2690
1490172008,2640,2691
1490175909,2641,2692
1490177109,2642,2693
1490178908,2643,2694
1490205308,2644,2695
1490210709,2645,2696
1490214909,2646,2697
1490216108,2647,2698
1490282709,2646,2697
1490369109,2645,2696
1490405708,2644,2695
1490433608,2645,2696
1490439611,2646,2697
1490440508,2649,2700
1490442309,2648,2699
1490442908,2649,2700
1490445308,2648,2699
1490450108,2649,2700
1490451908,2648,2699
1490457010,2647,2698
1490459411,2648,2699
1490465107,2649,2700
1490466908,2650,2701
1490469008,2651,2702
1490469609,2652,2703
1490472608,2653,2704
1490484308,2654,2705
1490532908,2653,2704
1490634008,2652,2703
1490648708,2651,2702
1490790909,2650,2701
1490805608,2649,2700
1490851514,2651,2702
1490857208,2652,2703
1490857509,2653,2704
1490858709,2653,2705
1490859009,2654,2706
1490860808,2655,2707
1490866509,2656,2708
1490876709,2655,2707
1490883308,2656,2708
1490895309,2657,2709
1490908208,2658,2710
1490909709,2659,2711
1490911809,2660,2712
1490912408,2661,2713
1490941510,2662,2714
1490948709,2663,2715
1490952009,2664,2716
1490952309,2665,2717
1490953808,2666,2718
1490959209,2667,2719
1490964908,2668,2720
1490969410,2667,2719
1490974809,2668,2720
1490980508,2669,2721
1490989209,2668,2720
1490991008,2669,2721
1490993109,2670,2722
1490996409,2671,2723
1491023408,2672,2724
1491036608,2673,2725
1491064508,2674,2726
1491067808,2675,2727
1491078009,2676,2728
1491081009,2677,2729
1491081610,2678,2730
1491095709,2679,2731
1491096009,2680,2732
1491096309,2681,2733
1491108609,2682,2734
1491108908,2683,2735
1491136209,2682,2734
1491150609,2683,2735
1491157808,2684,2736
1491165909,2685,2737
1491197410,2686,2738
1491217509,2688,2740
1491222608,2687,2739
1491224710,2688,2740
1491226809,2687,2739
1491231308,2688,2740
1491261909,2689,2741
1491272709,2690,2742
1491294009,2688,2740
1491300609,2689,2741
1491313809,2690,2742
1491314409,2690,2742
1491315909,2692,2744
1491378009,2693,2745
1491388509,2694,2746
1491398708,2693,2745
1491401408,2692,2744
1491403209,2693,2745
1491410709,2692,2744
1491411008,2691,2743
1491440108,2692,2744
1491509109,2693,2745
1491510609,2694,2746
1491530709,2695,2747
1491534009,2694,2746
1491557110,2695,2747
1491559809,2696,2748
1491562510,2697,2749
1491582608,2698,2750
1491635409,2697,2749
1491639309,2696,2748
1491793208,2695,2747
1491830708,2694,2746
1491836709,2693,2745
1491911110,2692,2744
1491915909,2691,2743
1491926708,2690,2742
1491932108,2689,2741
1491933908,2688,2740
1491939009,2687,2739
1492016109,2686,2738
1492027808,2685,2737
1492085109,2684,2736
1492087809,2683,2735
1492194008,2682,2734
1492443909,2681,2733
1492444208,2680,2732
1492473908,2679,2731
1492498509,2678,2730
1492740009,2677,2729
1492783509,2676,2728
1492807508,2675,2727
1492817709,2674,2726
1493001909,2673,2725
1493060409,2672,2724
1493588409,2671,2723
1493608208,2672,2724
1493610009,2673,2725
1493624409,2674,2726
1493627408,2675,2727
1493628308,2676,2728
1493629809,2677,2729
1493656808,2678,2730
1493658909,2679,2731
1493663708,2680,2732
1493665809,2681,2733
1493667008,2682,2734
1493678410,2683,2735
1493698808,2684,2736
1493706610,2683,2735
1493715612,2684,2736
1493733009,2685,2737
1493736909,2686,2738
1493737509,2687,2739
1493744109,2688,2740
1493747108,2687,2739
1493748908,2688,2740
1493754008,2689,2741
1493754909,2688,2740
1493755508,2689,2741
1493756409,2690,2742
1493774108,2691,2743
1493786409,2692,2744
1493801109,2692,2745
1493804409,2693,2746
1493807708,2692,2745
1493814609,2693,2746
1493826608,2694,2747
1493831408,2695,2748
1493835609,2694,2747
1493839208,2695,2748
1493862608,2696,2749
1493875808,2697,2750
1493883308,2698,2751
1493886009,2699,2752
1493898009,2700,2753
1493907908,2701,2754
1493908209,2702,2755
1493911209,2701,2754
1493916609,2703,2756
1493917509,2704,2757
1493928010,2703,2756
1493976609,2702,2755
1493979609,2704,2757
1493997909,2705,2758
1494005108,2706,2759
1494007808,2705,2758
1494014709,2706,2759
1494026408,2707,2760
1494072909,2708,2761
1494082209,2707,2760
1494096909,2708,2761
1494100508,2707,2760
1494114309,2708,2761
1494114609,2709,2762
1494123309,2710,2763
1494156309,2713,2766
1494159308,2714,2767
1494179708,2715,2768
1494180608,2714,2767
1494184208,2715,2768
1494187509,2716,2769
1494193509,2717,2770
1494228009,2716,2769
1494244808,2715,2768
1494299109,2714,2767
1494312309,2713,2766
1494422108,2712,2765
1494437708,2711,2764
1494438009,2710,2763
1494561609,2709,2762
1494820509,2708,2761
1494874210,2707,2760
1494912009,2706,2759
1495033810,2705,2758
1495095909,2704,2757
1495109109,2703,2756
1495140009,2702,2755
1495282209,2701,2754
1495409110,2700,2753
1495622108,2699,2752
1495764310,2698,2751
1495838109,2697,2750
1495908908,2696,2749
1496029508,2697,2750
1496029808,2698,2751
1496031308,2699,2752
1496036409,2700,2753
1496038809,2701,2754
1496044208,2702,2755
1496045408,2703,2756
1496060108,2706,2759
1496061309,2708,2761
1496064311,2709,2762
1496068509,2708,2761
1496072108,2709,2762
1496075409,2710,2763
1496093409,2711,2764
1496094908,2712,2765
1496096709,2716,2769
1496097309,2717,2770
1496103309,2718,2771
1496105408,2719,2772
1496105708,2720,2773
1496106309,2721,2774
1496107209,2722,2775
1496107516,2721,2774
1496112909,2722,2775
1496120709,2723,2776
1496135709,2724,2777
1496136309,2723,2776
1496140508,2722,2775
1496142609,2721,2774
1496147112,2722,2775
1496153409,2723,2776
1496154008,2724,2777
1496158509,2725,2778
1496172309,2726,2779
1496206209,2727,2780
1496207409,2729,2782
1496221810,2730,2783
1496228408,2731,2784
1496232908,2732,2785
1496293509,2731,2784
1496310309,2732,2785
1496311808,2733,2786
1496321109,2736,2790
1496324108,2735,2789
1496331909,2736,2790
1496341809,2737,2791
1496344509,2738,2792
1496376909,2739,2793
1496382908,2740,2794
1496387109,2741,2795
1496395808,2742,2796
1496396109,2741,2795
1496396709,2740,2794
1496414112,2741,2795
1496415010,2742,2796
1496426109,2743,2797
1496432108,2744,2798
1496433608,2745,2799
1496434510,2746,2800
1496435409,2747,2801
1496445008,2746,2800
1496463009,2747,2801
1496472609,2749,2803
1496476809,2751,2805
1496482808,2750,2804
1496496909,2751,2805
1496499008,2750,2804
1496511010,2751,2805
1496517009,2752,2806
1496528409,2751,2805
1496536509,2752,2806
1496546713,2753,2807
1496551509,2752,2806
1496571309,2753,2807
1496608209,2754,2808
1496624708,2756,2810
1496647809,2757,2811
1496649008,2758,2812
1496650509,2757,2811
1496651117,2758,2812
1496656808,2759,2813
1496663709,2758,2812
1496692809,2757,2811
1496702409,2758,2812
1496731209,2759,2813
1496733915,2758,2812
1496736909,2759,2813
1496738408,2760,2814
1496742610,2759,2813
1496757308,2758,2812
1496766310,2759,2813
1496770809,2760,2814
1496787309,2761,2815
1496840409,2762,2816
1496847008,2763,2817
1496847309,2764,2818
1496870714,2765,2819
1496910609,2764,2818
1496926509,2763,2817
1496927109,2762,2816
1496929209,2763,2817
1496932210,2764,2818
1496934308,2763,2817
1496946316,2762,2816
1496952309,2761,2815
1496956209,2760,2814
1496962209,2761,2815
1496965509,2762,2816
1496968809,2763,2817
1496980808,2764,2818
1496982009,2765,2819
1497019209,2766,2820
1497036909,2767,2821
1497039010,2768,2822
1497049809,2767,2821
1497054009,2768,2822
1497055509,2769,2823
1497074709,2770,2824
1497078608,2771,2825
1497093008,2770,2824
1497098408,2771,2825
1497130509,2772,2826
1497153909,2771,2825
1497170108,2770,2824
1497171009,2771,2825
1497172809,2772,2826
1497226209,2771,2825
1497233110,2772,2826
1497262508,2771,2825
1497273010,2772,2826
1497273910,2771,2825
1497294608,2772,2826
1497304809,2773,2827
1497308108,2774,2828
1497309310,2775,2829
1497345009,2774,2828
1497357308,2775,2829
1497369009,2776,2830
1497372009,2775,2829
1497372909,2776,2830
1497374109,2777,2831
1497392109,2778,2832
1497418508,2777,2831
1497429308,2778,2832
1497431108,2777,2831
1497432609,2776,2830
1497485411,2777,2831
1497498309,2776,2830
1497509709,2777,2831
1497527108,2776,2830
1497529809,2777,2831
1497531309,2778,2832
1497532808,2777,2831
1497535509,2776,2830
1497540909,2777,2831
1497563709,2778,2833
1497565515,2780,2835
1497571509,2781,2836
1497574210,2782,2837
1497575709,2783,2838
1497576008,2784,2839
1497582609,2785,2840
1497584108,2786,2841
1497591609,2787,2842
1497599709,2788,2843
1497604209,2789,2844
1497635709,2788,2843
1497639608,2789,2844
1497655809,2790,2845
1497659709,2791,2846
1497667208,2792,2847
1497688810,2793,2848
1497703808,2792,2847
1497710709,2793,2848
1497713709,2794,2849
1497725108,2793,2848
1497742509,2794,2849
1497746709,2795,2850
1497780309,2796,2852
1497782409,2797,2853
