DateTime,AddedIPs,RemovedIPs
1496501408,3,0
1496502009,11,0
1496514609,0,2
1496527209,3,0
1496537408,1,0
1496537708,3,0
1496566508,3,0
1496586912,1,0
1496598308,2,0
1496598609,7,0
1496599809,2,0
1496601009,1,0
1496601909,2,0
1496602208,2,0
1496602508,2,0
1496603108,4,0
1496603409,2,0
1496604010,7,0
1496604318,16,0
1496604609,1,0
1496604908,18,0
1496605208,11,0
1496613309,3,0
1496613608,4,0
1496615110,2,0
1496615409,11,0
1496615708,2,0
1496616008,8,0
1496616309,7,0
1496619909,0,1
1496632508,4,0
1496676010,0,1
1496681408,27,0
1496681709,8,0
1496682009,1,0
1496682308,0,1
1496685008,1,0
1496685609,2,0
1496700009,9,0
1496700308,26,0
1496701515,4,0
1496701810,3,0
1496702408,0,1
1496703009,4,0
1496703308,0,1
1496704508,2,0
1496704809,10,0
1496706908,29,0
1496707208,13,0
1496725809,0,1
1496754908,0,1
1496761208,45,0
1496761508,9,0
1496761808,101,0
1496762410,30,0
1496763308,10,0
1496763609,13,0
1496763908,11,0
1496764209,26,0
1496764508,13,0
1496764808,20,0
1496765108,14,0
1496765409,5,0
1496765708,13,0
1496766009,3,0
1496766310,19,1
1496767508,2,0
1496770208,1,0
1496774409,10,0
1496778008,0,1
1496778310,22,0
1496778608,115,0
1496779509,2,0
1496780108,0,2
1496780709,1,0
1496781010,9,0
1496781309,9,0
1496781609,6,0
1496782809,0,1
1496784314,3,0
1496784608,9,0
1496785209,64,0
1496785509,5,0
1496786109,8,0
1496786409,11,0
1496786709,1,0
1496787309,0,1
1496787608,12,0
1496787917,1,0
1496788209,2,0
1496789109,5,0
1496789409,5,0
1496789709,3,0
1496792409,7,0
1496792709,17,0
1496793008,6,0
1496793308,4,0
1496793609,6,0
1496793908,2,0
1496794209,1,0
1496794509,4,0
1496795408,15,0
1496795708,5,0
1496796309,4,0
1496796909,1,0
1496797209,4,0
1496797508,5,0
1496798108,6,0
1496798408,12,0
1496798709,6,0
1496799609,4,0
1496806809,23,0
1496807110,21,0
1496807408,10,0
1496807709,5,0
1496808008,22,0
1496808308,7,0
1496808908,9,0
1496809808,5,0
1496832908,3,1
1496836809,1,0
1496848209,9,0
1496848509,6,1
1496849408,1,1
1496850009,0,1
1496850609,1,0
1496850908,0,1
1496860208,10,0
1496868908,3,0
1496898309,0,1
1496909109,3,0
1496909410,3,0
1496911209,8,0
1496911509,3,0
1496911809,1,0
1496912108,1,0
1496912409,1,0
1496913009,0,1
1496922609,1,0
1496945109,10,0
1496950508,10,0
1496950808,120,0
1496951108,68,0
1496951408,60,0
1496951709,1,0
1496952009,1,0
1496952309,1,0
1496952610,2,0
1496952908,40,0
1496953208,102,0
1496953513,1,0
1496953809,50,0
1496954108,36,0
1496954410,95,0
1496955008,38,0
1496955309,14,0
1496955608,3,0
1496956208,9,0
1496956508,3,0
1496956809,2,0
1496960709,0,1
1496962508,4,0
1496963409,0,1
1496963709,44,0
1496964008,12,0
1496964310,4,0
1496971809,13,0
1496972409,6,0
1496972710,2,0
1496973008,1,0
1496973308,5,0
1496974509,2,0
1496974808,2,0
1496975410,11,0
1496975709,42,0
1496976008,4,0
1496976309,1,0
1496976909,14,0
1496977209,1,0
1496995809,1,0
1497000609,1,0
1497007209,0,1
1497008108,1,0
1497019509,1,0
1497022208,1,0
1497023108,17,0
1497023409,92,0
1497023709,87,0
1497024009,90,0
1497024309,87,0
1497024610,35,0
1497024908,1,0
1497025208,1,0
1497025809,3,0
1497027909,1,0
1497028209,1,0
1497028510,1,0
1497029114,6,0
1497029409,56,0
1497034812,3,0
1497039009,8,0
1497039909,19,0
1497040209,2,0
1497040509,14,0
1497041410,1,0
1497041709,1,0
1497042009,2,0
1497042910,3,0
1497043208,1,0
1497045908,2,0
1497047112,2,0
1497058209,43,0
1497058508,52,0
1497059109,2,0
1497059408,2,0
1497059708,1,0
1497060309,1,0
1497060607,5,0
1497060909,1,0
1497061809,4,0
1497062109,2,0
1497062408,5,1
1497062709,1,0
1497063008,4,0
1497063308,11,0
1497064808,15,0
1497065109,30,0
1497065409,6,0
1497068408,4,0
1497069008,2,0
1497082808,2,0
1497100508,35,0
1497100808,23,0
1497101408,12,0
1497101710,2,0
1497102308,4,0
1497102608,1,0
1497112208,10,0
1497112509,5,0
1497113109,34,0
1497113409,8,0
1497113708,39,0
1497114009,3,0
1497114309,7,0
1497114608,15,0
1497115209,9,0
1497116108,1,0
1497116408,3,0
1497116709,5,0
1497117009,5,0
1497117309,4,0
1497117910,7,0
1497118209,3,0
1497118808,1,0
1497119708,21,0
1497120008,41,0
1497120308,14,0
1497120608,4,0
1497120908,2,0
1497121208,7,0
1497121508,3,0
1497122109,4,0
1497124209,3,0
1497124509,8,0
1497127208,0,1
1497134108,8,0
1497134409,5,0
1497134709,6,0
1497135008,5,0
1497135610,5,0
1497135909,1,0
1497136209,3,0
1497136508,7,0
1497136809,3,0
1497137114,40,0
1497137409,3,0
1497138309,3,0
1497138609,2,0
1497139208,20,0
1497139808,9,0
1497144908,3,0
1497167408,1,0
1497167708,1,0
1497169210,0,1
1497185409,2,0
1497188708,7,0
1497189008,1,0
1497189909,4,0
1497190209,1,0
1497194108,5,0
1497194409,6,0
1497194714,13,0
1497195008,6,0
1497195308,4,0
1497195608,8,0
1497195908,5,0
1497196209,6,0
1497196508,4,0
1497197109,37,1
1497201609,9,0
1497202809,21,0
1497204008,2,0
1497204308,0,1
1497204609,0,1
1497207909,1,0
1497208810,1,0
1497209709,15,0
1497210009,3,0
1497210309,6,0
1497211209,1,0
1497212408,0,1
1497213009,1,0
1497214208,72,0
1497214809,84,0
1497215108,11,0
1497215409,2,0
1497215709,7,0
1497216008,2,0
1497216312,6,0
1497229809,7,0
1497230109,5,0
1497230409,4,0
1497231008,7,0
1497231309,0,1
1497232209,13,0
1497232508,4,0
1497236109,0,1
1497254108,0,1
1497265212,0,1
1497271808,1,0
1497275409,0,1
1497282909,4,0
1497283808,2,0
1497284108,6,0
1497290412,30,0
1497294009,0,1
1497295809,4,0
1497301809,2,0
1497305109,7,0
1497305708,2,0
1497306908,1,0
1497307210,2,0
1497307509,1,0
1497308408,6,0
1497308709,13,0
1497311408,6,0
1497311708,5,0
1497313209,1,0
1497316808,13,0
1497317410,5,0
1497325209,0,1
1497336910,0,1
1497352509,0,1
1497363609,1,0
1497369008,0,1
