DateTime,Entries,UniqueIPs
1493888708,46996,123125
1493889609,47049,123178
1493899208,47051,123180
1493900409,47056,123186
1493903709,47055,123185
1493906409,47054,123184
1493914808,47065,123195
1493929208,47075,123205
1493943609,47085,123215
1493958009,47091,123221
1493972408,47097,123227
1493973308,47098,123228
1493986808,47118,123249
1493993408,47135,123267
1494001208,47153,123286
1494011109,47152,123285
1494015608,47161,123295
1494019809,47160,123294
1494024009,47159,123293
1494030008,47168,123302
1494044409,47176,123309
1494048008,47175,123308
1494055809,47174,123307
1494058809,47184,123317
1494065408,47186,123319
1494065709,47188,123321
1494067509,47187,123320
1494073209,47192,123325
1494087609,47198,123331
1494102008,47214,123348
1494107409,47213,123347
1494116409,47229,123364
1494130809,47236,123372
1494145208,47245,123382
1494159609,47248,123385
1494174008,47254,123391
1494179408,47256,123393
1494179708,47257,123394
1494180008,47258,123395
1494180308,47261,123398
1494188408,47266,123403
1494202808,47274,123411
1494208808,47274,123411
1494217209,47279,123418
1494231608,47283,123422
1494246009,47302,123441
1494247508,47301,123440
1494260408,47311,123450
1494261609,47310,123449
1494266108,47312,123451
1494266408,47313,123452
1494266710,47318,123457
1494267008,47325,123464
1494267608,47327,123466
1494272108,47326,123465
1494274808,47337,123476
1494289208,47344,123483
1494303608,47353,123492
1494318009,47358,123497
1494318313,47359,123498
1494318608,47374,123513
1494318908,47389,123528
1494321909,47390,123529
1494330608,47389,123528
1494332409,47403,123542
1494342609,47402,123541
1494346808,47408,123547
1494348308,47407,123546
1494357908,47408,123547
1494361208,47419,123559
1494375609,47430,123570
1494379209,47429,123569
1494381908,47428,123568
1494390008,47443,123583
1494402309,47444,123584
1494403808,47455,123595
1494404409,47466,123606
1494418809,47475,123615
1494424508,47478,123618
1494425708,47477,123617
1494428107,47476,123616
1494428708,47475,123615
1494432909,47476,123616
1494433208,47480,123621
1494433510,47486,123627
1494436809,47487,123628
1494447611,47493,123634
1494459608,47492,123633
1494462009,47503,123645
1494476409,47508,123651
1494490808,47513,123656
1494491111,47514,123657
1494492009,47515,123658
1494505210,47522,123667
1494510908,47521,123666
1494519609,47531,123676
1494534009,47538,123684
1494548409,47542,123688
1494562809,47548,123695
1494577209,47550,123697
1494591609,47558,123705
1494606009,47565,123712
1494616508,47564,123456
1494620409,47573,123465
1494632408,47589,123481
1494632709,47609,123501
1494633009,47624,123516
1494634809,47629,123521
1494635708,47628,123520
1494649208,47651,123544
1494650409,47650,123543
1494663609,47664,123558
1494678308,47681,123576
1494684008,47680,123575
1494692409,47683,123578
1494699909,47684,123579
1494706809,47701,123597
1494721514,47709,123606
1494735609,47716,123613
1494750008,47729,123627
1494764409,47736,123634
1494778808,47742,123641
1494793209,47751,123652
1494793809,47802,123704
1494794109,47817,123719
1494794408,47850,123752
1494807609,47853,123755
1494816010,47852,123754
1494822009,47866,123770
1494836409,47870,123774
1494850810,47888,123792
1494865208,47896,123800
