DateTime,Entries,UniqueIPs
1491943872,31,7936
1491949826,32,8192
1491979822,31,7936
1492008952,26,6656
1492012812,31,7936
1492026877,31,7936
1492029024,30,7680
1492036227,30,7680
1492037651,31,7936
1492043426,30,7680
1492091503,31,8192
1492097420,28,7424
1492109526,29,7680
1492113157,28,7424
1492121706,27,7168
1492129826,26,6912
1492177949,27,7168
1492185128,28,7424
1492188741,27,7168
1492199548,28,7424
1492203163,27,7168
1492213997,28,7424
1492221147,29,7680
1492252230,28,7424
1492263033,24,6144
1492264329,32,8192
1492267934,32,8448
1492271555,32,8448
1492285969,31,8192
1492299027,31,8192
1492303953,32,8448
1492329161,31,8192
1492350731,28,7680
1492357968,27,7424
1492368701,28,7680
1492379579,29,7936
1492383169,29,7936
1492385427,28,7680
1492407028,27,7424
1492437129,28,7680
1492443020,27,7424
1492454707,26,7168
1492465988,24,6656
1492476720,25,6912
1492492505,24,6656
1492522232,20,5632
1492530711,24,6912
1492537936,25,7168
1492541476,26,7424
1492558228,27,7680
1492613477,29,8192
1492617123,25,7168
1492624369,25,6912
1492627936,26,7168
1492631538,27,7424
1492646016,26,7168
1492699914,22,6144
1492702230,21,5888
1492707172,25,6912
1492712107,24,6656
1492714300,25,6912
1492717919,26,7168
1492745429,27,7424
1492750298,26,7168
1492782690,31,8704
1492786355,30,8960
1492793590,27,8448
1492800792,26,8192
1492803905,25,7936
1492813829,26,8192
1492817425,27,8448
1492869147,25,7424
1492872800,27,7936
1492876312,28,8192
1492882220,26,7168
1492883567,27,7424
1492911028,27,7680
1492925422,26,7424
1492959240,26,7168
1492962767,26,7168
1492969875,27,7424
1492974905,26,7168
1492977143,27,7424
1492984359,27,7424
1492990224,28,7680
1492991602,29,7936
1493041953,33,8960
1493044217,32,8448
1493047818,31,8192
1493052788,30,7936
1493055022,31,8192
1493056340,32,8192
1493069421,31,7936
1493070801,32,8192
1493076628,31,7936
1493077954,30,7680
1493098226,31,7936
1493128370,26,6656
1493131973,29,7680
1493135547,28,7424
1493140505,27,7168
1493142744,26,6912
1493157205,26,6912
1493163026,27,7168
1493164398,28,7424
1493184627,27,7168
1493214749,32,8448
1493217022,29,7680
1493218402,30,7936
1493220622,31,8192
1493221971,31,8192
1493227824,33,8960
1493243606,32,8704
1493249426,31,8448
1493271027,32,8704
1493294031,33,8960
1493301188,27,7168
1493306107,25,6656
1493308376,31,8704
1493313306,29,8192
1493314213,30,8448
1493356506,29,8192
1493360105,28,7936
1493380369,27,7680
1493391198,31,9472
1493393422,28,8448
1493400623,27,8192
1493401969,27,7936
1493407822,27,8192
1493411424,28,8448
1493415026,28,8448
1493476230,23,6656
1493477609,26,7424
1493494226,25,7168
1493496030,25,6912
1493513614,26,7168
1493530229,25,6912
1493542544,25,7168
1493563506,22,6144
1493567575,25,7168
1493573417,24,6912
1493578339,25,7168
1493650812,31,8704
1493653822,29,7936
1493655305,28,7680
1493661045,27,7424
1493664682,26,7168
1493686178,27,7424
1493735426,23,6144
1493743747,28,7424
1493751025,30,8192
1493765446,28,7680
1493829020,24,6656
1493833756,25,6912
1493837348,24,6656
1493848198,25,6912
1493868627,26,7168
1493905726,23,6400
1493912947,27,7424
1493920136,28,7680
1493927308,29,7936
1493937025,28,7680
1493941780,29,7936
1493965830,30,8192
1493992132,36,9728
1493998219,33,8448
1494001818,33,8704
1494006520,32,8448
1494023423,31,8192
1494027907,30,7936
1494031507,29,7680
1494051789,28,7424
1494071106,27,7168
1494078306,22,5888
1494086430,26,6912
1494093625,26,7168
1494116105,25,6912
1494139755,24,6656
1494168600,28,7680
1494172814,26,6912
1494176108,27,7168
1494251109,26,6912
1494254707,22,5632
1494255833,28,7424
1494259688,29,7936
1494261907,28,7680
1494275422,29,7936
1494316844,28,7680
1494341106,22,6144
1494344706,21,5888
1494346523,26,7168
1494350334,27,7424
1494361806,26,7168
1494374434,27,7424
1494403284,28,7680
1494430231,33,8960
1494432020,30,7936
1494435608,29,7680
1494437456,30,7936
1494442868,32,8448
1494446991,34,8960
1494451807,35,9216
1494460855,34,8960
1494462662,35,9216
1494463851,36,9472
1494466330,37,9728
1494489661,36,9472
1494515998,28,7424
1494518447,34,9216
1494522907,33,8960
1494525626,34,9216
1494529225,32,8704
1494532040,33,8960
1494532167,32,8704
1494537334,31,8448
1494541893,32,8704
1494546671,33,8960
1494550000,31,8448
1494563430,32,8704
1494604863,30,8192
1494611358,31,8448
1494612906,29,7936
