DateTime,Entries,UniqueIPs
1493325024,19,5120
1493326522,19,5120
1493328626,19,5120
1493391198,18,5120
1493393422,18,5120
1493400623,18,5120
1493401969,18,5120
1493404223,18,5120
1493405488,18,5120
1493407822,18,5120
1493409188,18,5120
1493411424,18,5120
1493415026,18,5120
1493429428,18,5120
1493443825,18,5120
1493445168,18,5120
1493448773,18,5120
1493477609,20,5120
1493485211,20,5120
1493487022,20,5120
1493488402,20,5120
1493492080,19,5120
1493496030,19,5120
1493499246,19,5120
1493510046,19,5120
1493512224,19,5120
1493513614,19,5120
1493530229,19,5120
1493542544,18,5120
1493567575,18,5120
1493569817,18,5120
1493574779,18,5120
1493578339,18,5120
1493650812,20,5120
1493653822,20,5120
1493661045,20,5120
1493664682,20,5120
1493671849,20,5120
1493679044,19,5120
1493686178,19,5120
1493689756,19,5120
1493693412,19,5120
1493703026,19,5120
1493704171,19,5120
1493711385,19,5120
1493743747,20,5120
1493747380,20,5120
1493751025,19,5120
1493758230,19,5120
1493760623,19,5120
1493761842,19,5120
1493764226,19,5120
1493767824,19,5120
1493775027,19,5120
1493778627,19,5120
1493789423,19,5120
1493797788,20,5120
1493819405,18,5120
1493833756,18,5120
1493840999,18,5120
1493843416,18,5120
1493844614,18,5120
1493848198,18,5120
1493850626,18,5120
1493851795,18,5120
1493854224,18,5120
1493857827,18,5120
1493858974,18,5120
1493868627,18,5120
1493869754,18,5120
1493872226,18,5120
1493912947,20,5120
1493920136,20,5120
1493927308,20,5120
1493937025,20,5120
1493941780,20,5120
1493945307,20,5120
1493965830,20,5120
1493984933,20,5120
1493992132,20,5120
1494001818,19,5120
1494006520,19,5120
1494016216,19,5120
1494028862,19,5120
1494054038,19,5120
1494086430,20,5120
1494093625,19,5120
1494100840,19,5120
1494119179,19,5120
1494120622,19,5120
1494124228,19,5120
1494131433,19,5120
1494135030,19,5120
1494139755,19,5120
1494161582,19,5120
1494165241,19,5120
1494168600,20,5120
1494176108,20,5120
1494203424,20,5120
1494230553,20,5120
1494255833,19,5120
1494259688,18,5120
1494264622,18,5120
1494266871,20,5120
1494275422,19,5120
1494281707,20,5120
1494345759,5,1280
1494346523,19,5120
1494349350,17,4608
1494350334,19,5120
1494352904,14,3840
1494354430,19,5120
1494374434,19,5120
1494403284,19,5120
1494428519,6,1536
1494430231,19,5120
1494437456,19,5120
1494442868,19,5120
1494446991,19,5120
1494451070,18,4864
1494451807,19,5120
1494462662,19,5120
1494463851,19,5120
1494466330,19,5120
1494468051,19,5120
1494481599,20,5120
1494518447,19,5120
1494525626,20,5120
1494527508,8,2048
1494528152,18,5120
1494531128,16,4608
1494532040,18,5120
1494534688,18,5120
1494540094,16,4608
1494541893,17,4864
1494543146,18,5120
1494545548,15,4352
1494546671,18,5120
1494550000,1,256
1494550963,18,5120
1494552627,18,5120
1494563430,18,5120
1494604863,18,5120
1494610290,15,4352
1494611358,18,5120
1494635483,17,4864
1494636855,18,5120
1494687629,19,5120
1494694823,19,5120
1494700219,19,5120
1494702023,19,5120
1494703845,19,5120
1494708578,19,5120
1494718242,19,5120
1494719371,19,5120
1494722531,19,5120
1494743875,19,5120
1494777624,20,5120
1494783089,17,4352
1494783840,20,5120
1494790332,20,5120
1494793822,20,5120
1494794920,20,5120
1494797455,19,5120
1494801053,19,5120
1494804660,18,5120
1494805964,19,5120
1494811827,19,5120
1494853224,19,5120
1494861306,18,5120
1494867625,18,5120
1494871230,18,5120
1494874823,19,5120
1494876461,19,5120
1494883805,19,5120
1494889223,20,5120
1494892832,20,5120
1494895021,19,5120
1494896482,20,5120
1494908337,20,5120
1494910835,20,5120
1494914448,19,5120
1494921656,20,5120
1494957628,19,5120
1494958811,19,5120
1494961331,11,2816
1494962324,18,5120
1494981089,17,4864
1494981735,18,5120
1495029622,19,5120
1495044021,19,5120
1495047627,19,5120
1495051247,19,5120
1495056299,19,5120
1495058437,19,5120
1495060007,19,5120
1495062115,19,5120
1495071023,19,5120
1495094453,19,5120
1495130420,20,5120
1495132219,20,5120
1495135820,20,5120
1495137644,19,5120
1495141419,19,5120
1495143026,19,5120
1495148429,19,5120
1495159226,19,5120
1495160200,19,5120
1495162827,19,5120
1495164006,19,5120
1495180864,20,5120
1495213219,19,5120
1495224038,20,5120
1495231229,20,5120
1495232706,20,5120
1495238435,20,5120
1495258225,20,5120
1495296905,20,5120
1495300923,20,5120
1495303223,20,5120
1495306820,20,5120
1495308120,19,5120
1495315056,19,5120
1495317628,19,5120
1495321242,19,5120
1495323005,19,5120
1495382423,18,5120
1495386024,19,5120
1495388049,19,5120
1495396844,19,5120
1495400502,11,2816
1495404029,19,5120
1495407631,19,5120
1495413019,19,5120
1495414331,19,5120
1495420221,19,5120
1495449088,19,5120
1495469706,19,5120
1495474398,19,5120
1495478153,19,5120
1495490428,20,5120
1495492448,19,5120
1495494031,20,5120
1495496217,20,5120
1495497640,20,5120
1495499733,20,5120
1495501222,20,5120
1495548448,18,5120
1495549819,18,5120
1495553417,18,5120
1495564219,18,5120
1495566584,18,5120
1495584036,18,5120
1495598437,18,5120
1495618228,18,5120
1495620301,18,5120
1495621826,18,5120
1495625427,18,5120
1495627237,18,5120
1495648826,18,5120
1495652426,18,5120
1495653808,18,5120
1495656036,18,5120
1495661010,18,5120
1495668260,18,5120
1495675008,18,5120
1495682541,18,5120
1495724115,20,5120
1495727754,20,5120
1495733421,20,5120
1495737019,20,5120
1495740617,20,5120
1495756834,20,5120
1495762220,20,5120
1495771432,20,5120
1495773021,20,5120
1495776624,20,5120
1495782316,20,5120
1495785927,20,5120
1495814966,19,5120
1495816215,19,5120
1495819818,19,5120
1495821619,19,5120
1495825540,19,5120
1495827019,19,5120
1495832839,19,5120
1495834218,19,5120
1495836040,19,5120
1495844106,19,5120
1495844708,19,5120
1495847010,19,5120
1495866627,19,5120
1495868433,19,5120
1495897570,19,5120
1495901232,19,5120
1495908422,19,5120
1495911712,19,5120
1495913422,19,5120
1495920620,19,5120
1495922424,19,5120
1495929636,19,5120
1495931420,19,5120
1495935022,19,5120
1495987221,20,5120
1495994420,20,5120
1495999817,20,5120
1496002079,20,5120
1496008824,19,5120
1496023225,19,5120
1496035829,19,5120
1496044835,19,5120
1496046629,19,5120
1496050221,19,5120
1496059481,19,5120
1496066759,20,5120
1496074011,20,5120
1496099086,20,5120
1496157306,19,5120
1496158218,19,5120
1496160253,19,5120
1496165419,19,5120
1496166920,19,5120
1496172617,19,5120
1496174134,19,5120
1496179826,19,5120
1496184624,19,5120
1496238755,20,5120
1496242222,20,5120
1496249449,20,5120
1496260432,20,5120
1496268907,20,5120
1496271032,20,5120
1496300192,20,5120
1496341819,20,5120
1496350227,20,5120
1496359824,20,5120
1496364604,20,5120
1496411451,19,5120
1496415113,19,5120
1496422204,20,5120
1496424621,20,5120
1496431819,19,5120
1496433222,20,5120
1496435422,19,5120
1496436577,20,5120
1496439023,19,5120
1496440511,20,5120
1496442620,19,5120
1496446218,20,5120
1496478631,20,5120
1496512422,18,5120
1496518216,19,5120
1496519724,19,5120
1496530944,20,5120
1496559635,18,5120
1496584311,20,5120
1496587842,20,5120
1496597418,20,5120
1496602210,20,5120
1496613306,20,5120
1496615422,20,5120
1496617531,19,5120
1496619027,19,5120
1496621147,20,5120
1496633420,19,5120
1496637023,20,5120
1496640630,20,5120
1496645937,20,5120
1496670715,20,5120
1496677919,20,5120
1496683823,20,5120
1496685213,20,5120
1496699718,20,5120
1496701822,20,5120
1496705425,20,5120
1496727016,20,5120
1496730628,20,5120
1496764340,20,5120
1496766618,20,5120
1496767860,20,5120
1496770219,20,5120
1496771585,20,5120
1496778823,20,5120
1496788224,20,5120
1496796658,20,5120
1496813429,20,5120
1496854240,20,5120
1496860219,20,5120
1496863820,20,5120
1496868650,20,5120
1496871018,20,5120
1496876222,20,5120
1496878220,20,5120
1496879878,19,5120
1496885424,19,5120
1496899817,20,5120
1496937105,20,5120
1496940805,20,5120
1496944817,20,5120
1496947869,20,5120
1496953819,20,5120
1496955036,20,5120
1496957421,20,5120
1496962887,20,5120
1496971820,20,5120
1496973047,20,5120
1496976958,20,5120
1496986221,20,5120
1496987438,20,5120
1497027160,20,5120
1497029413,20,5120
1497030745,20,5120
1497033015,20,5120
1497045278,20,5120
1497072623,20,5120
1497081034,20,5120
1497109978,20,5120
1497113403,20,5120
1497115817,20,5120
1497124436,20,5120
1497130220,20,5120
1497139207,19,5120
1497144619,19,5120
1497159022,20,5120
1497199892,19,5120
1497202216,19,5120
1497203516,19,5120
1497209420,19,5120
1497218044,19,5120
1497221958,20,5120
1497223817,20,5120
1497225274,19,5120
1497228566,20,5120
1497245423,20,5120
1497271926,20,5120
1497274212,20,5120
1497276007,20,5120
1497281415,20,5120
1497282724,20,5120
1497295819,20,5120
1497297268,20,5120
1497303021,20,5120
1497304550,20,5120
1497310221,19,5120
1497311759,19,5120
1497313819,19,5120
1497315615,19,5120
1497338106,19,5120
1497344467,19,5120
1497351054,19,5120
1497358349,19,5120
1497372835,19,5120
1497380051,19,5120
1497382218,19,5120
1497383588,19,5120
1497385817,20,5120
1497394649,20,5120
1497400220,20,5120
1497409061,20,5120
1497451972,20,5120
1497454212,20,5120
1497468618,20,5120
1497487818,19,5120
1497499219,20,5120
1497538391,20,5120
1497544217,20,5120
1497547818,20,5120
1497549212,20,5120
1497552900,20,5120
1497563835,20,5120
1497567395,19,5120
1497569420,19,5120
1497574214,19,5120
1497578335,19,5120
1497580221,19,5120
1497591027,19,5120
1497628452,19,5120
1497631853,19,5120
1497639272,19,5120
1497641418,19,5120
1497655820,19,5120
1497660614,19,5120
1497668359,19,5120
1497681022,20,5120
1497714709,19,5120
1497718289,19,5120
1497722022,19,5120
1497725661,19,5120
1497727821,19,5120
1497729279,19,5120
1497735022,20,5120
1497736513,20,5120
1497740281,19,5120
1497743805,19,5120
1497753021,19,5120
1497774628,19,5120
1497801167,19,5120
1497808368,19,5120
1497810619,19,5120
1497811779,19,5120
