DateTime,AddedIPs,RemovedIPs
1497664321,3,0
1497665043,2,104
1497665522,1,3
1497666122,1,5
1497666722,0,3
1497667322,1,12
1497667922,2,0
1497668889,80,91
1497669122,1,3
1497669721,0,3
1497670322,1,0
1497670803,95,0
1497670922,1,0
1497672202,3,7
1497672721,0,1
1497673322,3,0
1497673921,0,1
1497674643,59,92
1497675122,2,12
1497675722,5,2
1497675742,0,1
1497676322,1,12
1497676802,0,68
1497676922,3,3
1497677522,13,5
1497678121,5,0
1497678722,86,1
1497679343,1,13
1497679922,3,2
1497680523,1,4
1497681121,1,1
1497681722,2,0
1497682322,6,1
1497682564,38,57
1497683002,0,5
1497683522,0,1
1497684121,2,1
1497684721,0,3
1497685322,4,0
1497685922,13,8
1497686521,44,37
1497686542,0,1
1497687121,2,1
1497687723,3,1
1497688322,3,7
1497688922,2,0
1497690244,53,31
1497690721,1,1
1497691322,2,3
1497691922,0,31
1497692162,39,35
1497692521,2,1
1497693122,1,3
1497694084,9,47
1497694922,3,2
1497695522,0,1
1497696004,55,0
1497696121,1,0
1497697322,0,1
1497697402,0,2
1497697925,7,45
1497698521,3,7
1497699121,5,0
1497699843,50,0
1497700321,1,2
1497700923,7,3
1497702122,10,3
1497702721,18,4
1497703322,5,9
1497703924,47,33
1497704602,18,25
1497705121,1,0
1497705842,3,39
1497706322,0,1
1497706921,3,0
1497707763,48,0
1497708202,0,6
1497708722,17,0
1497709685,1,50
1497710521,6,0
1497711121,3,1
1497711722,57,2
1497711742,0,1
1497712321,2,0
1497712921,0,1
1497713523,44,13
1497714123,1,2
1497714722,4,2
1497715444,8,86
1497715922,8,9
1497716521,4,0
1497717122,13,7
1497717362,49,0
1497717721,3,16
1497718322,5,0
1497719002,4,2
1497719522,7,0
1497720122,6,4
1497720721,2,1
1497721204,50,7
1497721322,7,0
1497721921,5,4
1497722522,1,0
1497723124,10,83
1497724322,2,4
1497725284,40,0
1497725521,7,0
1497726143,6,5
1497726722,5,3
1497727321,3,5
1497727921,2,0
1497728522,7,0
1497729124,37,102
1497729744,3,4
1497730321,3,0
1497730922,0,2
1497732121,6,2
1497732964,50,0
1497733402,3,6
1497733922,1,0
1497734522,1,2
1497735122,5,8
1497736322,4,0
1497736921,42,60
1497737521,6,0
1497738964,38,56
1497739321,7,1
1497739922,3,0
1497740522,3,3
1497741122,4,1
1497741721,1,0
1497742803,69,9
1497742922,4,3
1497744123,32,16
1497744205,0,1
1497744724,1,114
1497745321,21,2
1497745922,1,2
1497746643,41,29
1497747805,2,4
1497748922,1,0
1497749521,3,0
1497750122,1,0
1497750482,57,8
1497750721,0,2
1497751346,1,13
1497752403,0,98
1497752522,2,3
1497753122,2,3
1497753721,12,0
1497754323,67,4
1497755005,2,8
1497755521,2,0
1497756243,3,66
1497756721,2,6
1497757322,1,0
1497757922,7,1
1497758165,167,163
1497758521,1,0
1497758605,0,1
1497759121,0,2
1497759721,1,1
1497760321,0,4
1497760922,4,0
1497761521,0,2
1497762005,60,0
1497762122,8,0
1497762205,0,1
1497762722,7,1
1497763322,1,0
1497764164,97,13
1497765122,10,6
1497766083,62,160
1497766921,1,3
1497767524,2,0
1497768004,57,96
1497768121,13,0
1497768722,7,0
1497769406,0,3
1497769922,1,1
1497770521,0,4
1497771843,55,0
1497772321,2,7
1497772923,1,1
1497773522,7,1
1497774004,0,32
1497774122,6,1
1497775321,1,1
1497775922,58,0
1497776548,1,2
1497777122,1,0
1497777844,3,42
1497778923,3,0
1497779521,7,0
1497779763,44,0
1497780121,6,0
1497781321,3,5
1497781924,50,36
1497782521,1,0
1497783121,2,0
1497783748,4,1
1497784322,0,1
1497784922,15,0
1497785522,0,1
1497785763,44,39
1497786121,0,1
1497787684,2,52
1497788521,58,12
1497789603,54,0
1497789721,2,0
1497790321,3,3
1497790948,4,2
1497791521,4,0
1497792722,3,0
1497793444,51,37
1497794523,0,4
1497794608,0,4
1497795122,5,1
1497795721,4,0
1497796321,4,4
1497796922,0,19
1497797523,44,11
1497798208,2,0
1497798721,1,0
1497799444,2,77
1497799922,1,0
1497800522,5,1
1497801364,60,0
1497801722,3,4
1497802321,4,1
1497802922,11,12
1497804122,2,0
1497805445,41,25
1497805922,3,0
1497806521,1,2
1497807121,2,1
1497807363,40,77
1497807721,2,0
1497808322,2,0
1497809008,10,4
1497810122,2,10
1497810722,1,0
1497811203,39,9
1497811322,2,4
1497812522,0,1
1497813126,0,75
1497813722,1,1
1497815042,53,5
1497815521,3,3
1497816208,1,0
1497816721,1,0
1497817206,0,55
1497818522,1,4
1497819122,71,0
1497819748,8,4
1497821286,0,60
1497821521,1,0
1497822122,4,1
1497822722,2,0
1497823322,54,2
1497823408,0,1
1497824522,3,1
1497825127,36,55
1497825722,1,2
1497826321,1,0
1497826950,4,3
1497827521,13,9
1497828964,98,15
1497829321,0,7
1497829922,33,8
1497830522,2,14
1497830884,0,148
1497831722,3,0
1497832381,11,1
1497832921,1,4
1497834122,4,0
1497834208,2,0
1497834721,4,3
1497835203,41,0
1497835322,0,3
1497835922,1,0
1497836521,1,0
1497837123,62,51
1497837808,4,4
1497838322,1,0
1497839043,3,57
1497839522,0,2
1497840122,6,0
1497840722,3,0
1497840963,72,0
1497841348,4,3
1497842521,3,0
1497843122,0,3
1497843721,2,0
1497844816,88,180
1497845009,4,10
1497846121,7,2
1497846723,75,0
1497848549,4,5
1497849122,2,0
1497849722,1,5
1497850563,82,73
1497850922,1,0
1497851522,14,3
1497852148,2,12
1497852722,1,0
1497853322,1,3
1497854403,43,50
1497854522,1,1
1497855122,3,0
1497855721,6,0
1497856322,4,1
1497856921,2,0
1497857522,0,2
1497858722,2,0
1497859321,2,1
1497860164,97,35
1497860522,0,6
1497861121,2,3
1497861721,1,10
1497862322,1,0
1497863522,0,1
1497864004,0,73
1497864122,1,1
1497865322,0,1
1497865923,46,0
1497866614,2,3
1497867122,5,3
1497867844,6,55
1497869763,39,0
1497870209,2,11
1497871322,1,0
1497871922,2,0
1497872522,2,2
1497873122,2,0
1497873615,40,46
1497873810,7,3
1497874922,48,23
1497875525,41,26
