DateTime,Entries,UniqueIPs
1497663722,44480,51775
1497664321,44483,51778
1497665043,44381,51676
1497665522,44379,51674
1497666122,44375,51670
1497666722,44372,51667
1497667322,44361,51656
1497667922,44362,51658
1497668889,44351,51647
1497669122,44349,51645
1497669721,44347,51642
1497670322,44348,51643
1497670803,44443,51738
1497670922,44444,51739
1497672202,44440,51735
1497672721,44439,51734
1497673322,44442,51737
1497673921,44441,51736
1497674643,44408,51703
1497675122,44398,51693
1497675722,44401,51696
1497675742,44400,51695
1497676322,44389,51684
1497676802,44321,51616
1497676922,44322,51616
1497677522,44330,51624
1497678121,44335,51629
1497678722,44420,51714
1497679343,44410,51702
1497679922,44411,51703
1497680523,44408,51700
1497681121,44409,51700
1497681722,44411,51702
1497682322,44415,51707
1497682564,44395,51688
1497683002,44390,51683
1497683522,44389,51682
1497684121,44390,51683
1497684721,44387,51680
1497685322,44391,51684
1497685922,44397,51689
1497686521,44405,51696
1497686542,44404,51695
1497687121,44405,51696
1497687723,44407,51698
1497688322,44403,51694
1497688922,44405,51696
1497690244,44427,51718
1497690721,44426,51718
1497691322,44425,51717
1497691922,44394,51686
1497692162,44398,51690
1497692521,44399,51691
1497693122,44397,51689
1497694084,44360,51651
1497694922,44361,51652
1497695522,44360,51651
1497696004,44415,51706
1497696121,44416,51707
1497697322,44415,51706
1497697402,44413,51704
1497697925,44374,51666
1497698521,44370,51662
1497699121,44375,51667
1497699843,44425,51717
1497700321,44425,51716
1497700923,44431,51720
1497702122,44438,51727
1497702721,44452,51741
1497703322,44451,51737
1497703924,44465,51751
1497704602,44461,51744
1497705121,44462,51745
1497705842,44427,51709
1497706322,44426,51708
1497706921,44429,51711
1497707763,44477,51759
1497708202,44471,51753
1497708722,44488,51770
1497709685,44440,51721
1497710521,44445,51727
1497711121,44446,51729
1497711722,44501,51784
1497711742,44500,51783
1497712321,44502,51785
1497712921,44501,51784
1497713523,44532,51815
1497714123,44532,51814
1497714722,44534,51816
1497715444,44456,51738
1497715922,44456,51737
1497716521,44460,51741
1497717122,44467,51747
1497717362,44516,51796
1497717721,44503,51783
1497718322,44508,51788
1497719002,44510,51790
1497719522,44516,51797
1497720122,44520,51799
1497720721,44521,51800
1497721204,44564,51843
1497721322,44570,51850
1497721921,44573,51851
