DateTime,Entries,UniqueIPs
1496866721,37837,133552
1496868242,37838,133553
1496868930,37842,133557
1496871073,37843,133558
1496871905,37837,133807
1496873772,37838,133808
1496875452,37841,133811
1496876164,37842,133812
1496877525,38060,134031
1496880077,38049,134020
1496880973,38054,134025
1496883843,38053,134024
1496887682,38050,134020
1496888173,38053,134023
1496889057,37465,133431
1496891007,37466,133432
1496891769,37295,132768
1496895388,37298,132771
1496901916,37303,132776
1496902578,37306,132779
1496903042,37305,132778
1496905286,37510,132983
1496905676,37509,132982
1496909777,37511,132984
1496913144,37507,132980
1496915105,37641,133115
1496916975,37645,133119
1496918402,37645,133119
1496919139,37643,133117
1496921472,37721,133196
1496922666,37561,133053
1496924187,37567,133059
1496926082,37568,133060
1496928693,37682,133174
1496931380,37685,133177
1496933764,37686,133178
1496935199,37691,133183
1496935879,37671,133163
1496937688,37673,132655
1496938577,37678,132660
1496940805,37931,132918
1496941443,37930,132917
1496945284,37930,132917
1496945772,37933,132920
1496946057,37932,132919
1496949509,38076,133063
1496952961,38076,133063
1496952980,38081,133068
1496956843,38086,133073
1496960177,38088,133075
1496960644,38192,133180
1496962890,38193,133181
1496967381,38195,133183
1496968322,38270,133259
1496974577,38272,133261
1496975457,37708,132694
1496976003,37706,132692
1496978262,37710,132696
1496979070,37678,132664
1496981786,37684,132670
1496983922,37683,132669
1496988975,37684,132670
1496989185,37690,132676
1496991691,37691,132677
1496993453,37724,132710
1496995257,37723,132454
1496996174,37726,132457
1496997983,37726,132457
1497000257,37727,132458
1497001878,37793,132524
1497003373,37796,132528
1497006744,37796,132528
1497006962,37796,132528
1497009100,37661,132396
1497010815,37664,132400
1497011113,37666,132403
1497011456,37669,132407
1497015064,37668,132406
1497015405,37784,132522
1497017775,37793,132531
1497018483,37792,132530
1497022004,37734,132149
1497024973,37740,132155
1497027160,37912,132328
1497031284,37913,132329
1497032176,37917,132333
1497033057,37916,132332
1497033843,37900,132316
1497035926,37986,132404
1497039374,37987,132405
1497041763,37987,132405
1497044051,37990,132408
1497046569,37992,132410
1497046720,38080,132500
1497049442,38081,132501
1497050450,38078,132498
1497053769,38082,132502
1497055118,38081,132246
1497057122,38079,132244
1497057305,37717,131881
1497060969,37720,131884
1497063657,37721,131885
1497064802,37723,131887
1497065456,37597,131147
1497066156,37601,131151
1497068180,37607,131157
1497072483,37606,131156
1497072893,37680,131485
1497075374,37680,131485
1497076322,37678,131483
1497077204,37678,131483
1497082578,37682,131487
1497084003,37702,131507
1497088195,37708,131513
1497089772,37711,131516
1497091682,37712,131517
1497094257,37769,131573
1497096973,37770,131574
1497099087,37775,131579
1497099363,37775,131579
1497101459,37774,131578
1497103303,37811,131615
1497104174,37814,131618
1497107284,37814,131618
1497107771,37796,131598
1497110123,37797,132110
1497110453,37802,131350
1497111370,37805,131353
1497113171,37958,131508
1497118571,37961,131511
1497119498,37963,131003
1497121237,37968,131008
1497122320,38055,131096
1497125767,38057,131098
1497126656,38057,130843
1497130803,38057,130843
1497132102,38055,130841
1497132970,38060,130847
1497133118,38157,130947
1497133858,38158,130948
1497138482,38160,130951
1497140168,38165,130956
1497142323,38181,130972
1497143706,37683,130470
1497147370,37685,130472
1497150005,37685,130472
1497150972,37462,129603
1497151852,37463,129604
1497153793,37459,129600
1497154578,37461,129602
1497157682,37451,129592
1497159821,37511,129653
1497161767,37512,129659
1497164842,37517,129664
1497165370,37512,129659
1497168967,37514,129661
1497170588,37567,129714
