DateTime,AddedIPs,RemovedIPs
1497442322,3,1
1497442921,9,0
1497443522,2,0
1497443581,18,0
1497444122,2,2
1497444721,2,3
1497445321,8,0
1497446522,25,12
1497447121,19,5
1497447722,1,0
1497448322,1,0
1497448921,14,0
1497449522,2,5
1497450122,4,1
1497450721,6,0
1497451321,4,0
1497451921,50,0
1497453122,12,0
1497453722,4,1
1497454922,1,2
1497456122,7,3
1497456721,1,0
1497457321,68,0
1497458522,0,1
1497459122,24,9
1497459721,11,0
1497460921,4,0
1497462122,41,6
1497462722,3,2
1497463322,4,0
1497464521,16,10
1497465122,8,1
1497466322,30,0
1497466922,15,0
1497467521,7,1
1497468122,14,2
1497468721,19,0
1497469321,12,0
1497469922,57,0
1497470521,9,1
1497471722,11,3
1497472321,39,1
1497472922,7,0
1497473522,36,0
1497474122,9,1
1497474722,10,0
1497475321,1,10
1497475922,6,3
1497476522,4,0
1497477122,2,0
1497477722,3,0
1497478322,2,0
1497478922,2,0
1497479521,18,0
1497480122,15,3
1497481322,15,1
1497481922,2,0
1497482522,68,1
1497483122,24,0
1497483722,3,2
1497484322,3,3
1497484923,2,0
1497486122,22,3
1497486722,33,10
1497487322,2,0
1497488522,11,2
1497489121,12,3
1497489721,8,0
1497490921,54,0
1497491521,3,6
1497492122,15,0
1497492721,7,0
1497493323,31,0
1497493921,1,0
1497494522,5,5
1497495121,21,0
1497495721,7,0
1497496322,12,0
1497496921,5,6
1497498122,19,3
1497499321,7,0
1497499922,36,0
1497500522,4,0
1497501122,7,3
1497501722,4,1
1497502322,5,9
1497502922,15,0
1497503521,1,0
1497504122,6,1
1497504722,4,1
1497505323,10,3
1497505921,20,19
1497506522,48,0
1497507122,61,0
1497507722,31,3
1497509522,5,0
1497510122,4,10
1497510722,15,4
1497511322,15,2
1497511924,5,11
1497511981,1,0
1497512522,18,3
1497513121,23,1
1497513820,36,2
1497514510,4,0
1497514921,11,2
1497515522,1,0
1497516122,14,0
1497516721,30,1
1497517324,38,5
1497517921,40,0
1497518522,37,0
1497519122,42,0
1497519722,13,5
1497520321,15,1
1497520922,2,0
1497521522,6,1
1497522121,10,4
1497522721,4,0
1497523321,16,0
1497523922,31,9
1497525123,15,1
1497525721,14,12
1497526321,7,1
1497526921,13,0
1497528122,3,4
1497528721,20,7
1497529323,19,12
1497529922,2,2
1497529981,14,0
1497530522,17,0
1497531122,1,0
1497531721,2,8
1497532322,18,0
1497532922,7,0
1497533521,7,2
1497534122,22,2
1497535322,19,1
1497535922,18,3
1497536521,3,3
1497537123,3,0
1497537721,20,1
1497538322,23,1
1497539521,2,8
1497540121,23,1
1497541321,2,1
1497542521,3,2
1497543722,25,13
1497544321,2,0
1497544923,15,2
1497545522,1,1
1497546122,6,0
1497546721,4,1
1497547321,4,3
1497547921,21,4
1497548522,22,1
1497549122,13,0
1497549722,10,14
1497550322,24,0
1497550922,7,8
1497551581,6,0
1497552122,1,4
1497553322,18,7
1497553923,27,0
1497554521,23,4
1497555721,12,1
1497556321,7,0
1497556922,16,1
1497557522,2,0
1497558122,7,0
1497558722,4,4
1497559321,4,0
1497559921,8,2
1497560521,6,0
1497561122,5,1
1497561722,40,0
1497562321,1,0
1497562922,8,0
1497563522,31,0
1497564121,1,0
1497564722,3,0
1497565321,24,4
1497565921,10,0
1497566521,1,0
1497567122,9,1
1497567721,20,1
1497568322,14,10
1497568922,20,0
1497569582,39,15
1497570121,6,2
1497570722,32,3
1497571321,1,0
1497571922,40,0
1497572523,36,2
1497573122,3,0
1497573722,5,2
1497574322,18,1
1497574922,11,4
1497575522,3,0
1497576123,35,1
1497576721,9,0
1497577322,5,0
1497577922,5,1
1497578522,10,1
1497579121,39,2
1497579721,31,0
1497580322,1,2
1497580922,3,7
1497582122,5,4
1497582722,19,4
1497583322,18,0
1497584521,5,1
1497585122,6,6
1497585722,15,1
1497586321,9,0
1497586921,16,2
1497587521,2,0
1497588121,7,7
1497588722,6,0
1497589322,9,0
1497589923,1,0
1497590522,7,1
1497591181,17,2
1497591721,7,0
1497592321,4,3
1497592922,5,3
1497594122,8,1
1497594722,6,1
1497595322,2,0
1497596522,4,6
1497597722,0,2
1497598322,3,0
1497598922,7,4
1497599521,1,0
1497600122,3,3
1497600722,1,1
1497601321,7,0
1497601922,1,1
1497602521,4,2
1497603121,1,1
1497603722,1,16
1497604923,2,0
1497605522,1,0
1497606121,5,0
1497607321,2,7
1497608521,3,1
1497609122,3,0
1497609721,9,2
1497610924,12,7
1497611522,2,3
1497612122,9,0
1497612722,2,0
1497613321,7,2
1497613921,3,3
1497614522,2,2
1497615722,3,2
1497616922,7,3
1497617522,3,1
1497618122,6,3
1497618722,16,4
1497619921,3,0
1497620522,21,13
1497621722,3,5
1497622321,2,0
1497622923,11,6
1497623521,5,0
1497624121,3,0
1497624722,2,0
1497625322,1,1
1497625922,3,0
1497627724,1,0
1497628322,4,2
1497628572,8,0
1497628921,2,0
1497630122,5,0
1497630722,5,4
1497632522,1,2
1497633122,3,0
1497633722,2,6
1497634322,3,0
1497634381,1,0
1497634921,8,5
1497635522,3,0
1497636122,5,0
1497636721,3,24
1497637322,13,2
1497637922,1,0
1497638521,6,1
1497640321,5,3
1497640922,2,0
1497641522,3,4
1497642122,3,1
1497642721,2,0
1497643321,4,2
1497643921,1,0
1497644522,6,3
1497645722,5,2
1497646321,2,0
1497646921,2,4
1497648122,1,2
1497648721,1,3
1497649322,5,2
1497649922,2,0
1497650522,1,1
1497651121,1,6
1497651722,2,0
1497652321,1,10
1497652921,4,1
1497654122,7,0
1497655322,24,6
1497655981,15,4
1497656522,3,0
1497657122,4,0
1497657723,2,1
1497658922,8,1
1497659521,0,1
1497660122,3,0
1497660721,2,1
1497661323,3,1
1497661921,2,1
1497662522,6,1
1497663121,8,2
1497663722,3,1
1497664321,3,0
1497664922,2,1
1497665522,1,3
1497666122,1,5
1497666722,0,3
1497667322,1,12
1497667922,2,0
1497668522,4,4
1497669122,1,3
1497669721,0,3
1497670322,1,0
1497670922,1,0
1497672122,3,3
1497672721,0,1
1497673322,3,0
1497673921,0,1
1497674522,1,0
1497675122,2,12
1497675722,5,2
1497676322,1,12
1497676922,3,3
1497677522,13,5
1497678121,5,0
1497678722,1,1
1497679322,1,9
1497679922,3,2
1497680523,1,4
1497681121,1,1
1497681722,2,0
1497682322,6,1
1497682921,0,2
1497683522,0,1
1497684121,2,1
1497684721,0,3
1497685322,4,0
1497685922,13,8
1497686521,0,1
1497687121,2,1
1497687723,3,1
1497688322,3,7
1497688922,2,0
1497690121,0,1
1497690721,1,1
1497691322,2,3
1497691922,0,31
1497692521,2,1
1497693122,1,3
1497693722,9,2
1497694922,3,2
1497695522,0,1
1497696121,1,0
1497697322,0,1
1497697921,7,1
1497698521,3,7
1497699121,5,0
1497700321,1,2
1497700923,7,3
1497702122,10,3
1497702721,18,4
1497703322,5,9
1497703921,2,0
1497704521,18,23
1497705121,1,0
1497705721,3,3
1497706322,0,1
1497706921,3,0
1497708121,0,5
1497708722,17,0
1497709322,1,3
1497710521,6,0
1497711121,3,1
1497711722,0,2
1497712321,2,0
1497712921,0,1
1497713521,1,0
1497714123,1,2
1497714722,4,2
1497715321,8,0
1497715922,8,9
1497716521,4,0
1497717122,13,7
1497717721,3,16
1497718322,5,0
1497718921,4,1
1497719522,7,0
1497720122,6,4
1497720721,2,1
1497721322,7,0
1497721921,5,4
1497722522,1,0
1497723122,10,1
1497724322,2,4
1497724921,1,0
1497725521,7,0
1497726121,6,3
1497726722,5,3
1497727321,3,5
1497727921,2,0
1497728522,7,0
1497729122,6,7
1497729722,3,3
1497730321,2,0
1497730922,0,2
1497732121,6,2
1497733321,3,5
1497733922,1,0
1497734522,1,2
1497735122,5,8
1497736322,4,0
1497736921,2,6
1497737521,6,0
1497738781,4,6
1497739321,7,1
1497739922,3,0
1497740522,3,3
1497741122,4,1
1497741721,1,0
1497742922,4,3
1497744123,32,16
1497744721,1,1
1497745321,21,2
1497745922,1,2
1497746521,2,29
1497747722,2,0
1497748922,1,0
1497749521,3,0
1497750122,1,0
1497750721,0,2
1497751321,1,12
1497752522,2,3
1497753122,2,3
1497753721,12,0
1497754321,5,1
1497754922,1,6
1497755521,2,0
1497756122,3,5
1497756721,2,6
1497757322,1,0
1497757922,7,1
1497758521,1,0
1497759121,0,2
1497759721,1,1
1497760321,0,4
1497760922,4,0
1497761521,0,2
1497762122,8,0
1497762722,7,1
1497763322,1,0
1497763982,2,2
1497765122,10,6
1497766921,1,3
1497767524,2,0
1497768121,13,0
1497768722,7,0
1497769922,1,1
1497770521,0,4
1497771721,9,0
1497772321,2,7
1497772923,1,1
1497773522,7,1
1497774122,6,1
1497775321,1,1
1497775922,4,0
1497776521,1,1
1497777122,1,0
1497777721,3,2
1497778923,3,0
1497779521,7,0
1497780121,6,0
1497781321,3,5
1497781922,2,1
1497782521,1,0
1497783121,2,0
1497783721,4,0
1497784322,0,1
1497784922,15,0
1497785522,0,1
