DateTime,Entries,UniqueIPs
1495655547,27179,27272
1495656507,27179,27272
1495660382,27236,27329
1495665624,27235,27328
1495668028,27236,27329
1495674268,27235,27328
1495674742,27234,27327
1495675222,27235,27328
1495678102,27234,27327
1495692501,27233,27326
1495695865,27232,27325
1495697305,27231,27324
1495698260,27230,27323
1495698743,27229,27322
1495700667,27230,27323
1495701863,27231,27324
1495704040,27268,27361
1495704506,27267,27360
1495704981,27268,27361
1495711223,27267,27360
1495720581,27268,27361
1495733062,27267,27360
1495741223,27266,27359
1495741704,27268,27361
1495747707,27324,27417
1495754665,27325,27418
1495760902,27326,27419
1495761388,27326,27419
1495762347,27327,27420
1495763307,27326,27419
1495764268,27326,27419
1495764739,27327,27420
1495765699,27328,27421
1495777225,27327,27420
1495777708,27328,27421
1495791386,27367,27460
1495792579,27366,27459
1495803862,27365,27458
1495814659,27366,27459
1495826187,27365,27458
1495828347,27366,27459
1495835055,27404,27497
1495844908,27403,27496
1495845383,27404,27497
1495848022,27403,27496
1495848500,27404,27497
1495849939,27402,27495
1495850659,27401,27494
1495858823,27402,27495
1495874182,27401,27494
1495874659,27402,27495
1495878746,27437,27530
1495894823,27436,27529
1495895300,27437,27530
1495913541,27436,27529
1495922500,27489,27582
1495933705,27489,27582
1495934181,27490,27583
1495935143,27491,27584
1495935624,27492,27585
1495944741,27492,27585
1495966358,27528,27621
1495978819,27528,27621
1495979306,27527,27620
1495980948,27528,27621
1496000663,27527,27620
1496010059,27584,27677
1496017225,27583,27676
1496017700,27584,27677
1496020340,27583,27676
1496020829,27584,27677
1496028744,27585,27678
1496034739,27584,27677
1496035221,27585,27678
1496039779,27584,27677
1496046265,27583,27676
1496047222,27584,27677
1496051059,27585,27678
1496053706,27633,27726
1496062101,27632,27725
1496073862,27633,27726
1496082023,27632,27725
1496082502,27633,27726
1496086823,27632,27725
1496087304,27634,27727
1496097414,27691,27785
1496106742,27690,27784
1496107229,27692,27786
1496107703,27693,27787
1496108181,27692,27786
1496108659,27693,27787
1496127861,27692,27786
1496132177,27698,27794
1496141070,27737,27833
1496147054,27737,27833
1496157379,27736,27832
1496157854,27737,27833
1496173695,27731,27827
1496176338,27733,27829
1496183292,27731,27827
1496184776,27778,27874
1496192899,27777,27873
1496193378,27777,27873
1496195802,27776,27872
1496196501,27777,27873
1496207779,27779,27875
1496209698,27778,27874
1496210654,27779,27875
1496219301,27778,27874
1496219777,27779,27875
1496220256,27777,27873
1496228503,27818,27914
1496244019,27818,27914
1496260096,27821,27917
1496272351,27875,27971
1496273538,27874,27970
1496274976,27875,27971
1496279777,27873,27969
1496281216,27870,27966
1496281697,27873,27969
1496282174,27872,27968
1496282656,27871,27967
1496283617,27872,27968
1496291058,27872,27968
1496299457,27871,27967
1496299934,27870,27966
1496309304,27871,27967
1496309776,27870,27966
1496316051,27909,28006
1496320573,27908,28005
1496321053,27909,28006
1496322503,27911,28008
1496325138,27910,28007
1496326095,27911,28008
1496337629,27909,28006
1496347467,27907,28004
1496360456,27960,28057
1496366421,27959,28056
1496366893,27960,28057
1496367860,27960,28057
1496370025,27962,28059
1496370494,27961,28058
1496388974,27961,28058
1496389940,27962,28059
1496390655,27961,28058
1496391136,27962,28059
1496391617,27961,28058
1496392095,27962,28059
1496395225,27961,28058
