DateTime,Entries,UniqueIPs
1496766264,1713,1713
1496768195,1721,1721
1496770365,1743,1743
1496772283,1813,1813
1496774192,1836,1836
1496776123,1836,1836
1496778033,1818,1818
1496779937,1831,1831
1496781853,1854,1854
1496783796,1884,1884
1496785715,1887,1887
1496787721,1885,1885
1496789564,1849,1849
1496791456,2449,2449
1496793381,2441,2441
1496795303,2448,2448
1496797304,2447,2447
1496799158,2441,2441
1496801067,2417,2417
1496802992,2453,2453
1496804901,2444,2444
1496806819,2416,2416
1496810665,2511,2511
1496812588,2507,2507
1496814763,2497,2497
1496816921,2497,2497
1496818902,2513,2513
1496820760,2537,2537
1496822673,2527,2527
1496824588,2508,2508
1496826515,2488,2488
1496828424,2456,2456
1496830358,1446,1446
1496832261,1437,1437
1496834194,1888,1888
1496836359,1890,1890
1496838272,1896,1896
1496840194,1902,1902
1496842112,1901,1901
1496844088,1936,1936
1496845941,1945,1945
1496850044,1942,1942
1496851957,2001,2001
1496853866,2043,2043
1496855809,2062,2062
1496857719,2080,2080
1496859885,2091,2091
1496861795,2100,2100
1496863714,2115,2115
1496865726,2120,2120
1496867548,2103,2103
1496869470,2088,2088
1496871386,2103,2103
1496873552,2114,2114
1496875448,2115,2115
1496877379,2539,2539
1496879303,2571,2571
1496881221,2586,2586
1496883136,2594,2594
1496885312,2603,2603
1496887316,2609,2609
1496889160,2598,2598
1496891074,2601,2601
1496892992,2611,2611
1496894918,2623,2623
1496896847,2617,2617
1496898755,2617,2617
1496900661,2639,2639
1496902598,2660,2660
1496904512,2658,2658
1496906441,2675,2675
1496908358,2693,2693
1496910264,2684,2684
1496912188,2680,2680
1496914107,2715,2715
1496916086,2722,2722
1496917960,1430,1430
1496919870,1447,1447
1496921785,1949,1949
1496923713,1951,1951
1496927552,2011,2011
1496929459,2016,2016
1496931373,2026,2026
1496933295,2017,2017
1496935213,2030,2030
1496937140,2059,2059
1496939048,2079,2079
1496940970,2080,2080
1496942908,2075,2075
1496944890,2081,2081
1496946749,2071,2071
1496950583,2055,2055
1496952493,2056,2056
1496954420,2071,2071
1496956338,2087,2087
1496958252,2098,2098
1496960344,2090,2090
1496962333,2108,2108
1496964265,2571,2571
1496966194,2599,2599
1496968113,2600,2600
1496970097,2605,2605
1496971956,2601,2601
1496973882,2613,2613
1496977714,2593,2593
1496979612,2594,2594
1496981555,2595,2595
1496983460,2588,2588
1496985379,2586,2586
1496987561,2586,2586
1496989462,2594,2594
1496991376,2571,2571
1496993568,2552,2552
1496995480,2546,2546
1496997389,2550,2550
1496999325,2559,2559
1497001237,2573,2573
1497003159,1259,1259
1497005064,1276,1276
1497007002,1915,1915
1497008909,1932,1932
1497010852,1935,1935
1497012759,1945,1945
1497014659,1945,1945
1497016586,1953,1953
1497018519,1960,1960
1497020541,1972,1972
1497022364,1979,1979
1497024272,1983,1983
1497026183,1997,1997
1497028106,2025,2025
1497030025,2024,2024
1497031950,2008,2008
1497033859,2019,2019
1497035781,2016,2016
1497037971,2019,2019
1497039887,2080,2080
1497041794,2087,2087
1497043713,2086,2086
1497045749,2089,2089
1497047560,2082,2082
1497049482,2096,2096
1497051391,2614,2614
1497053320,2618,2618
1497055234,2618,2618
1497057166,2607,2607
1497059066,2622,2622
1497061003,2614,2614
1497062909,2619,2619
1497064846,2616,2616
1497066761,2625,2625
1497068662,2626,2626
1497070588,2627,2627
1497072522,2656,2656
1497074528,2656,2656
1497076358,2634,2634
1497078273,2660,2660
1497080204,2640,2640
1497084026,2641,2641
1497085945,2686,2686
1497087861,2677,2677
1497089783,1520,1520
1497091723,1502,1502
1497093654,2022,2022
1497095559,2043,2043
1497097466,2062,2062
1497099400,2086,2086
1497101567,2125,2125
1497103724,2150,2150
1497105628,2154,2154
1497107544,2179,2179
1497109452,2204,2204
1497111386,2217,2217
1497113320,2235,2235
1497115266,2260,2260
1497117148,2268,2268
1497119078,2268,2268
1497120997,2288,2288
1497123181,2312,2312
1497125076,2301,2301
1497126997,2294,2294
1497128921,2291,2291
1497130844,2283,2283
1497132879,2292,2292
1497134685,2259,2259
1497136600,2701,2701
1497138527,2704,2704
1497140433,2752,2752
1497142357,2753,2753
1497144256,2771,2771
1497146199,2768,2768
1497148112,2758,2758
1497150162,2757,2757
1497151963,2750,2750
1497153880,2755,2755
1497155794,2756,2756
1497157715,2752,2752
1497159616,2755,2755
1497161548,2777,2777
1497163452,2807,2807
1497165387,2824,2824
1497167311,2843,2843
1497169235,2857,2857
1497171153,2874,2874
1497173074,2873,2873
1497174992,2861,2861
1497176915,1474,1474
1497178927,1468,1468
1497180753,2040,2040
1497183163,2016,2016
1497185066,2031,2031
1497186979,2038,2038
1497188919,2054,2054
1497190846,2053,2053
1497192755,2048,2048
1497194666,2043,2043
1497196592,2035,2035
1497198770,2035,2035
1497200679,2057,2057
1497202592,2025,2025
1497204521,2026,2026
1497206428,2037,2037
1497208355,2063,2063
1497210263,2095,2095
1497212174,2135,2135
1497214363,2155,2155
1497216265,2156,2156
1497218185,2171,2171
1497220360,2170,2170
1497224193,2671,2671
1497226104,2660,2660
1497228022,2667,2667
1497229956,2665,2665
1497231851,2653,2653
1497234042,2648,2648
1497235948,2636,2636
1497237866,2632,2632
1497239791,2612,2612
1497241704,2603,2603
1497243714,2592,2592
1497245547,2549,2549
1497249627,2545,2545
1497251555,2515,2515
1497253466,2510,2510
1497255645,2503,2503
1497257552,2502,2502
1497259469,2506,2506
1497261769,2506,2506
1497263777,1150,1150
1497265725,1777,1777
1497269540,1746,1746
1497271479,1751,1751
1497273408,1716,1716
1497275323,1714,1714
1497277242,1711,1711
1497279178,1715,1715
1497281084,1731,1731
1497282990,1726,1726
1497284915,1733,1733
1497286937,1738,1738
1497288754,1744,1744
1497290936,1716,1716
1497292842,1700,1700
1497295006,1678,1678
1497296916,1671,1671
1497298835,1640,1640
1497300753,1628,1628
1497302916,1611,1611
1497304905,1607,1607
1497306753,1602,1602
1497308674,1606,1606
1497310584,2175,2175
1497312524,2125,2125
1497314679,2118,2118
1497316588,2071,2071
1497318524,2072,2072
1497320436,2094,2094
1497322363,2114,2114
1497324275,2175,2175
1497326210,2198,2198
1497328115,2210,2210
1497330141,2233,2233
1497333874,2225,2225
1497335788,2199,2199
1497337703,2184,2184
1497339630,2157,2157
1497341549,2133,2133
1497345391,2170,2170
1497347315,2163,2163
1497349237,1119,1119
1497351148,1137,1137
1497353054,1513,1513
1497354976,1517,1517
1497356915,1510,1510
1497358931,1511,1511
1497360772,1522,1522
1497362678,1525,1525
1497364615,1529,1529
1497366505,1551,1551
1497368436,1582,1582
1497370364,1591,1591
1497372271,1598,1598
1497374197,1609,1609
1497376114,1619,1619
1497378045,1631,1631
1497380201,1651,1651
1497382114,1685,1685
1497384154,1686,1686
1497387877,1697,1697
1497389790,1683,1683
1497391723,1688,1688
1497393614,1684,1684
1497395810,2037,2037
1497397751,2033,2033
1497399627,2016,2016
1497401549,1999,1999
1497403468,2014,2014
1497405393,2027,2027
1497407319,2024,2024
1497409342,2064,2064
1497413075,2086,2086
1497415000,2105,2105
1497418819,2098,2098
1497420757,2093,2093
1497422664,2088,2088
1497424602,2105,2105
1497426508,2134,2134
1497428439,2128,2128
1497430350,2128,2128
1497432258,2133,2133
1497434194,2164,2164
1497436110,1190,1190
1497438146,1167,1167
1497439952,1739,1739
1497441876,1742,1742
1497443793,1740,1740
1497447625,1755,1755
1497449555,1740,1740
1497451466,1700,1700
1497453407,1666,1666
1497455335,1645,1645
1497457248,1660,1660
1497459170,1659,1659
1497461081,1663,1663
1497463349,1735,1735
1497467071,1773,1773
1497468987,1783,1783
1497472831,1782,1782
1497474754,1783,1783
1497476655,1793,1793
1497478582,1789,1789
1497480512,1782,1782
1497482434,2268,2268
1497484355,2283,2283
1497486262,2281,2281
1497488181,2282,2282
1497490102,2283,2283
1497492078,2292,2292
1497493943,2254,2254
1497497786,2210,2210
1497499694,2188,2188
1497501611,2174,2174
1497503546,2158,2158
1497505461,2256,2256
1497507374,2255,2255
1497509295,2260,2260
1497511236,2243,2243
1497513148,2248,2248
1497515046,2254,2254
1497516975,2253,2253
1497519160,2257,2257
1497521069,2258,2258
1497522993,1149,1149
1497524899,1671,1671
1497532815,1699,1699
1497534729,1682,1682
1497536647,1670,1670
1497538571,1637,1637
1497561847,1340,1340
1497563788,1297,1297
1497565709,1285,1285
1497567667,1268,1268
1497569811,1754,1754
1497571730,1748,1748
1497573618,1741,1741
1497575555,1706,1706
1497577450,1689,1689
1497579398,1676,1676
1497581312,1642,1642
1497583257,1610,1610
1497585192,1575,1575
1497587069,1552,1552
1497588990,1541,1541
1497590919,1531,1531
1497592981,1521,1521
1497594781,1502,1502
1497596671,1494,1494
1497598591,1411,1411
1497600495,1395,1395
1497602436,1382,1382
1497604356,1350,1350
1497606249,1305,1305
1497608178,182,182
1497610103,168,168
1497612064,622,622
1497613985,580,580
1497616157,569,569
1497618176,532,532
1497622089,507,507
1497624034,484,484
1497625957,467,467
1497627856,447,447
1497629833,437,437
1497631727,417,417
1497633676,409,409
1497635818,387,387
1497637695,369,369
1497639752,348,348
1497641573,314,314
1497643482,305,305
1497645388,287,287
1497647331,248,248
1497649235,213,213
1497651472,189,189
1497653320,167,167
1497655276,615,615
1497657182,580,580
1497659072,569,569
1497661381,549,549
1497663371,531,531
1497665297,496,496
1497667234,484,484
1497669415,467,467
1497671317,449,449
1497673252,436,436
1497675166,418,418
1497677052,411,411
1497678971,390,390
1497681177,370,370
1497683069,343,343
1497684982,314,314
1497686910,288,288
1497688855,265,265
1497690773,238,238
1497692659,208,208
1497694586,1,1
1497696508,39,39
1497698455,96,96
1497700366,143,143
1497702261,179,179
1497704194,227,227
1497706115,244,244
1497708093,281,281
1497709961,331,331
1497711783,382,382
1497713776,434,434
1497715692,468,468
1497717635,489,489
1497719563,538,538
1497721448,558,558
1497723390,577,577
1497725318,613,613
1497727288,678,678
1497729184,699,699
1497731072,720,720
1497732989,798,798
1497734912,843,843
1497736986,934,934
1497740924,971,971
1497742820,989,989
1497744845,1077,1077
1497746667,1112,1112
1497748625,1136,1136
1497750516,1153,1153
1497752456,1175,1175
1497754376,1220,1220
1497756265,1255,1255
1497758189,1283,1283
1497760105,1292,1292
1497762110,1312,1312
1497764219,1345,1345
1497766119,1363,1363
1497768051,1375,1375
1497769979,1399,1399
1497771863,1431,1431
1497774068,1477,1477
1497775982,1510,1510
1497777871,1539,1539
1497779794,1552,1552
1497781988,1571,1571
1497783880,1602,1602
1497785795,1699,1699
1497787719,1752,1752
1497789660,1766,1766
1497791566,1788,1788
1497793456,1811,1811
1497795663,1885,1885
1497797574,1918,1918
1497799472,1956,1956
1497801389,1965,1965
