DateTime,AddedIPs,RemovedIPs
1497531602,116,390
1497532502,285,443
1497533402,173,284
1497534301,985,244
1497535202,193,315
1497536102,376,342
1497537002,304,350
1497537901,134,361
1497538801,145,339
1497539701,10,351
1497540601,11,472
1497541501,12,426
1497542401,11,320
1497543302,7,349
1497544201,7,447
1497545101,7,346
1497546002,8,569
1497546901,7,223
1497547801,15,258
1497548701,7,412
1497549601,9,346
1497550501,8,398
1497551402,6,138
1497552301,7,216
1497553202,34,233
1497554101,7518,95
1497555001,887,287
1497555902,3726,140
1497556801,1289,941
1497557702,897,185
1497558602,171,367
1497559502,78,307
1497560402,93,126
1497561302,65,149
1497562202,69,9
1497563102,106,12
1497564002,112,11
1497564902,80,11
1497565802,62,5
1497566702,95,10
1497567602,63,8
1497568501,75,9
1497569402,83,7
1497570302,93,18
1497571202,98,10
1497572102,51,11
1497573002,72,11
1497573902,81,6
1497574802,79,7
1497575702,112,20
1497576602,92,331
1497577502,121,112
1497578402,137,161
1497579302,143,84
1497580202,234,119
1497581102,95,83
1497582002,86,86
1497582902,106,91
1497583802,272,73
1497584702,335,68
1497585602,51,99
1497586502,76,115
1497587402,109,77
1497588302,127,60
1497589202,149,91
1497590102,68,63
1497591002,100,80
1497591902,100,84
1497592802,95,94
1497593702,3616,94
1497594603,11045,55
1497595503,8596,2248
1497596404,7421,6523
1497597304,9808,8386
1497598204,7716,7717
1497599105,8701,8700
1497600006,6757,6757
1497600907,7689,7690
1497601806,6639,6640
1497602706,6498,6498
1497603606,5704,5706
1497604506,6281,6281
1497605406,5610,5609
1497606306,5086,5085
1497607209,5449,5449
1497608109,5402,5403
1497609008,4584,4584
1497609911,4856,4855
1497610809,4974,4973
1497611709,4334,4334
1497612609,4894,4894
1497613509,5124,5124
1497614408,4827,4827
1497615308,5052,5052
1497616209,4810,4810
1497617110,6187,6187
1497618009,5845,5845
1497618911,6385,6385
1497619811,6282,6283
1497620709,6690,6690
1497621609,6100,6101
1497622508,3879,3880
1497623409,5880,5881
1497624310,4143,4144
1497625208,1813,1814
1497626108,711,711
1497627007,669,669
1497627907,889,892
1497628807,944,946
1497629707,731,735
1497630606,622,622
1497631507,626,627
1497632407,704,706
1497633306,590,590
1497634206,588,587
1497635106,546,546
1497636005,465,465
1497636905,424,424
1497637804,498,498
1497638704,442,442
1497639604,495,496
1497640503,1014,1016
1497641403,679,678
1497642304,1120,1122
1497643203,699,4279
1497644103,471,5756
1497645003,563,3487
1497645902,439,5817
1497646803,448,4022
1497647702,429,1670
1497648602,434,564
1497649503,383,580
1497650403,387,725
1497651302,253,834
1497652202,297,662
1497653102,378,557
1497654002,291,568
1497654902,332,662
1497655802,310,538
1497656702,722,523
1497657601,1619,458
1497658503,1584,387
1497659403,919,354
1497660302,786,419
1497661202,715,363
1497662102,617,388
1497663002,647,749
1497663902,611,520
1497664802,574,680
1497665703,649,557
1497666602,614,569
1497667503,636,685
1497668402,609,487
1497669302,443,537
1497670202,535,535
1497671103,692,467
1497672002,575,413
1497672902,506,481
1497673802,1085,321
1497674702,1067,300
1497675603,854,374
1497676503,787,284
1497677403,711,331
1497678303,668,292
1497679203,682,600
1497680103,743,373
1497681003,649,208
1497681903,678,192
1497682803,512,219
1497683703,443,264
1497684603,624,252
1497685503,554,394
1497686403,1075,214
1497687303,682,289
1497688203,646,235
1497689103,749,235
1497690003,684,247
1497690903,603,227
1497691803,603,190
1497692704,681,182
1497693603,616,261
1497694503,475,237
1497695403,487,177
1497696304,696,524
1497697203,818,320
1497698103,621,342
1497699004,684,282
1497699904,723,196
1497700803,739,238
1497701703,725,1433
1497702603,703,1573
1497703503,772,907
1497704403,595,778
1497705304,505,673
1497706203,629,523
1497707103,563,661
1497708004,497,662
1497708903,1472,777
1497709803,960,674
1497710703,902,632
1497711603,709,683
1497712503,672,607
1497713403,661,519
1497714304,697,545
1497715203,444,623
1497716103,503,601
1497717003,612,524
1497717903,442,595
1497718803,441,1128
1497719703,469,987
1497720603,79,857
1497721502,115,778
1497722403,140,721
1497723303,114,781
1497724203,172,846
1497725102,76,758
1497726003,459,802
1497726903,454,516
1497727803,541,510
1497728702,391,695
1497729602,323,619
1497730503,385,715
1497731402,349,1533
1497732302,372,1009
1497733202,340,990
1497734102,318,927
1497735003,377,774
1497735902,403,753
1497736803,323,872
1497737702,409,659
1497738602,178,459
1497739502,325,428
1497740403,330,526
1497741302,314,569
1497742203,156,440
1497743102,415,539
1497744002,436,613
1497744902,564,645
1497745802,578,637
1497746703,367,706
1497747602,310,636
1497748502,453,612
1497749402,326,415
1497750302,356,445
1497751203,333,490
1497752103,456,430
1497753003,438,900
1497753903,276,906
1497754802,291,836
1497755702,227,639
1497756603,353,602
1497757503,312,558
1497758402,302,579
1497759302,275,398
1497760202,303,457
1497761102,269,568
1497762002,290,422
1497762902,361,434
1497763802,311,468
1497764702,328,87
1497765603,318,136
1497766502,310,113
1497767402,277,196
1497768301,267,197
1497769203,354,106
1497770103,279,440
1497771002,313,443
1497771902,302,538
1497772802,266,364
1497773702,292,318
1497774602,335,351
1497775503,348,351
1497776403,338,363
1497777302,295,330
1497778202,313,299
1497779102,310,342
1497780003,283,348
1497780902,258,340
1497781802,289,380
1497782702,365,186
1497783602,236,300
1497784502,285,289
1497785402,278,290
1497786302,297,120
1497787202,276,335
1497788102,241,364
1497789003,249,442
1497789902,268,434
1497790802,233,326
1497791702,423,315
1497792602,287,436
1497793503,345,329
1497794403,363,302
1497795302,324,310
1497796202,434,435
1497797102,331,385
1497798002,311,304
1497798902,365,277
1497799803,642,194
1497800702,760,343
1497801602,686,310
1497802502,645,256
1497803403,648,255
1497804303,583,275
1497805203,590,341
1497806102,531,276
1497807002,493,353
1497807902,446,295
1497808803,489,311
1497809702,454,307
1497810602,459,300
1497811503,414,268
1497812403,378,248
1497813303,369,287
1497814202,376,270
1497815102,379,298
1497816002,364,346
1497816903,310,293
1497817802,337,330
1497818703,336,463
1497819602,370,367
1497820503,368,343
1497821403,399,348
1497822303,330,386
1497823203,335,377
1497824102,352,357
1497825002,425,331
1497825903,347,340
1497826802,286,340
1497827702,332,328
1497828602,315,373
1497829502,335,370
1497830403,446,357
1497831302,294,379
1497832202,496,301
1497833103,515,318
1497834003,359,317
1497834903,340,306
1497835802,346,472
1497836703,401,292
1497837603,463,342
1497838503,413,368
1497839403,350,303
1497840302,443,334
1497841202,407,300
1497842103,323,329
1497843003,339,395
1497843902,310,626
1497844802,366,681
1497845703,350,644
1497846603,356,608
1497847502,427,707
1497848402,354,586
1497849302,401,527
1497850202,437,458
1497851103,367,451
1497852003,368,412
1497852902,468,521
1497853802,410,404
1497854703,385,433
1497855603,452,440
1497856502,507,341
1497857402,493,348
1497858303,447,393
1497859203,454,421
1497860103,536,446
1497861003,701,375
1497861902,689,364
1497862802,619,460
1497863703,691,434
1497864602,624,326
1497865503,783,353
1497866403,848,333
1497867303,1559,309
1497868204,9414,306
1497869106,39342,29443
1497870006,11965,12192
1497870907,9267,9429
1497871807,18610,18730
1497872709,5398,5648
1497873609,11530,11267
1497874509,5972,6113
1497875410,10266,10516
