DateTime,Entries,UniqueIPs
1497530702,8697,8697
1497531602,8423,8423
1497532502,8265,8265
1497533402,8154,8154
1497534301,8895,8895
1497535202,8773,8773
1497536102,8807,8807
1497537002,8761,8761
1497537901,8534,8534
1497538801,8340,8340
1497539701,7999,7999
1497540601,7538,7538
1497541501,7124,7124
1497542401,6815,6815
1497543302,6473,6473
1497544201,6033,6033
1497545101,5694,5694
1497546002,5133,5133
1497546901,4917,4917
1497547801,4674,4674
1497548701,4269,4269
1497549601,3932,3932
1497550501,3542,3542
1497551402,3410,3410
1497552301,3201,3201
1497553202,3002,3002
1497554101,10425,10425
1497555001,11025,11025
1497555902,14611,14611
1497556801,14959,14959
1497557702,15671,15671
1497558602,15475,15475
1497559502,15246,15246
1497560402,15213,15213
1497561302,15129,15129
1497562202,15189,15189
1497563102,15283,15283
1497564002,15384,15384
1497564902,15453,15453
1497565802,15510,15510
1497566702,15595,15595
1497567602,15650,15650
1497568501,15716,15716
1497569402,15792,15792
1497570302,15867,15867
1497571202,15955,15955
1497572102,15995,15995
1497573002,16056,16056
1497573902,16131,16131
1497574802,16203,16203
1497575702,16295,16295
1497576602,16056,16056
1497577502,16065,16065
1497578402,16041,16041
1497579302,16100,16100
1497580202,16215,16215
1497581102,16227,16227
1497582002,16227,16227
1497582902,16242,16242
1497583802,16441,16441
1497584702,16708,16708
1497585602,16660,16660
1497586502,16621,16621
1497587402,16653,16653
1497588302,16720,16720
1497589202,16778,16778
1497590102,16783,16783
1497591002,16803,16803
1497591902,16819,16819
1497592802,16820,16820
1497593702,20342,20342
1497594603,31332,31332
1497595503,37680,37680
1497596404,38578,38578
1497597304,40000,40000
1497598204,39999,39999
1497599105,40000,40000
1497600006,40000,40000
1497600907,39999,39999
1497601806,39998,39998
1497602706,39998,39998
1497603606,39996,39996
1497604506,39996,39996
1497605406,39997,39997
1497606306,39998,39998
1497607209,39998,39998
1497608109,39997,39997
1497609008,39997,39997
1497609911,39998,39998
1497610809,39999,39999
1497611709,39999,39999
1497612609,39999,39999
1497613509,39999,39999
1497614408,39999,39999
1497615308,39999,39999
1497616209,39999,39999
1497617110,39999,39999
1497618009,39999,39999
1497618911,39999,39999
1497619811,39998,39998
1497620709,39998,39998
1497621609,39997,39997
1497622508,39996,39996
1497623409,39995,39995
1497624310,39994,39994
1497625208,39993,39993
1497626108,39993,39993
1497627007,39993,39993
1497627907,39990,39990
1497628807,39988,39988
1497629707,39984,39984
1497630606,39984,39984
1497631507,39983,39983
1497632407,39981,39981
1497633306,39981,39981
1497634206,39982,39982
1497635106,39982,39982
1497636005,39982,39982
1497636905,39982,39982
1497637804,39982,39982
1497638704,39982,39982
1497639604,39981,39981
1497640503,39979,39979
1497641403,39980,39980
1497642304,39978,39978
1497643203,36398,36398
1497644103,31113,31113
1497645003,28189,28189
1497645902,22811,22811
1497646803,19237,19237
1497647702,17996,17996
1497648602,17866,17866
1497649503,17669,17669
1497650403,17331,17331
1497651302,16750,16750
1497652202,16385,16385
1497653102,16206,16206
1497654002,15929,15929
1497654902,15599,15599
1497655802,15371,15371
1497656702,15570,15570
1497657601,16731,16731
1497658503,17928,17928
1497659403,18493,18493
1497660302,18860,18860
1497661202,19212,19212
1497662102,19441,19441
1497663002,19339,19339
1497663902,19430,19430
1497664802,19324,19324
1497665703,19416,19416
1497666602,19461,19461
1497667503,19412,19412
1497668402,19534,19534
1497669302,19440,19440
1497670202,19440,19440
1497671103,19665,19665
1497672002,19827,19827
1497672902,19852,19852
1497673802,20616,20616
1497674702,21383,21383
1497675603,21863,21863
1497676503,22366,22366
1497677403,22746,22746
1497678303,23122,23122
1497679203,23204,23204
1497680103,23574,23574
1497681003,24015,24015
1497681903,24501,24501
1497682803,24794,24794
1497683703,24973,24973
1497684603,25345,25345
1497685503,25505,25505
1497686403,26366,26366
1497687303,26759,26759
1497688203,27170,27170
1497689103,27684,27684
1497690003,28121,28121
1497690903,28497,28497
1497691803,28910,28910
1497692704,29409,29409
1497693603,29764,29764
1497694503,30002,30002
1497695403,30312,30312
1497696304,30484,30484
1497697203,30982,30982
1497698103,31261,31261
1497699004,31663,31663
1497699904,32190,32190
1497700803,32691,32691
1497701703,31983,31983
1497702603,31113,31113
1497703503,30978,30978
1497704403,30795,30795
1497705304,30627,30627
1497706203,30733,30733
1497707103,30635,30635
1497708004,30470,30470
1497708903,31165,31165
1497709803,31451,31451
1497710703,31721,31721
1497711603,31747,31747
1497712503,31812,31812
1497713403,31954,31954
1497714304,32106,32106
1497715203,31927,31927
1497716103,31829,31829
1497717003,31917,31917
1497717903,31764,31764
1497718803,31077,31077
1497719703,30559,30559
1497720603,29781,29781
1497721502,29118,29118
1497722403,28537,28537
1497723303,27870,27870
1497724203,27196,27196
1497725102,26514,26514
1497726003,26171,26171
1497726903,26109,26109
1497727803,26140,26140
1497728702,25836,25836
1497729602,25540,25540
1497730503,25210,25210
1497731402,24026,24026
1497732302,23389,23389
1497733202,22739,22739
1497734102,22130,22130
1497735003,21733,21733
1497735902,21383,21383
1497736803,20834,20834
1497737702,20584,20584
1497738602,20303,20303
1497739502,20200,20200
1497740403,20004,20004
1497741302,19749,19749
1497742203,19465,19465
1497743102,19341,19341
1497744002,19164,19164
1497744902,19083,19083
1497745802,19024,19024
1497746703,18685,18685
1497747602,18359,18359
1497748502,18200,18200
1497749402,18111,18111
1497750302,18022,18022
1497751203,17865,17865
1497752103,17891,17891
1497753003,17429,17429
1497753903,16799,16799
1497754802,16254,16254
1497755702,15842,15842
1497756603,15593,15593
1497757503,15347,15347
1497758402,15070,15070
1497759302,14947,14947
1497760202,14793,14793
1497761102,14494,14494
1497762002,14362,14362
1497762902,14289,14289
1497763802,14132,14132
1497764702,14373,14373
1497765603,14555,14555
1497766502,14752,14752
1497767402,14833,14833
1497768301,14903,14903
1497769203,15151,15151
1497770103,14990,14990
1497771002,14860,14860
1497771902,14624,14624
1497772802,14526,14526
1497773702,14500,14500
1497774602,14484,14484
1497775503,14481,14481
1497776403,14456,14456
1497777302,14421,14421
1497778202,14435,14435
1497779102,14403,14403
1497780003,14338,14338
1497780902,14256,14256
1497781802,14165,14165
1497782702,14344,14344
1497783602,14280,14280
1497784502,14276,14276
1497785402,14264,14264
1497786302,14441,14441
1497787202,14382,14382
1497788102,14259,14259
1497789003,14066,14066
1497789902,13900,13900
1497790802,13807,13807
1497791702,13915,13915
1497792602,13766,13766
1497793503,13782,13782
1497794403,13843,13843
1497795302,13857,13857
1497796202,13856,13856
1497797102,13802,13802
1497798002,13809,13809
1497798902,13897,13897
1497799803,14345,14345
1497800702,14762,14762
1497801602,15138,15138
1497802502,15527,15527
