DateTime,Entries,UniqueIPs
1490515220,2511,2511
1490529621,2520,2520
1490544023,2557,2557
1490558424,2542,2542
1490572814,2552,2552
1490587228,2524,2524
1490601623,2513,2513
1490616025,2492,2492
1490630420,2465,2465
1490644818,2455,2455
1490659223,2427,2427
1490673617,2431,2431
1490688023,2467,2467
1490702420,2429,2429
1490716820,2471,2471
1490731220,2480,2480
1490745624,2475,2475
1490760028,2483,2483
1490774423,2496,2496
1490788820,2509,2509
1490803221,2522,2522
1490817622,2508,2508
1490832018,2449,2449
1490846428,2429,2429
1490860821,2435,2435
1490875217,2433,2433
1490889622,2463,2463
1490904017,2397,2397
1490907619,2404,2404
1490986807,72,72
1491001209,766,766
1491015609,1145,1145
1491030011,1476,1476
1491044412,1821,1821
1491058812,2145,2145
1491073213,2499,2499
1491087615,2623,2623
1491102016,2859,2859
1491116417,3201,3201
1491130818,3500,3500
1491145219,3699,3699
1491159617,3722,3722
1491174018,3664,3664
1491188418,3647,3647
1491202817,3629,3629
1491217218,3654,3654
1491231618,3650,3650
1491246017,3673,3673
1491260419,3773,3773
1491274827,3754,3754
1491289217,3798,3798
1491303617,3765,3765
1491318018,3777,3777
1491332416,3808,3808
1491346817,3942,3942
1491361250,4066,4066
1491375642,4170,4170
1491390019,4170,4170
1491404419,4105,4105
1491418817,4105,4105
1491433220,4232,4232
1491447620,4292,4292
1491462021,4314,4314
1491476419,4322,4322
1491490819,4334,4334
1491505219,4319,4319
1491519622,4179,4179
1491534019,4064,4064
1491548419,4078,4078
1491562819,4128,4128
1491577220,3737,3737
1491591619,3938,3938
1491606015,3778,3778
1491620420,3710,3710
1491634819,3658,3658
1491649218,3633,3633
1491663619,3590,3590
1491678018,3591,3591
1491692867,3590,3590
1491706814,3566,3566
1491721218,3596,3596
1491735617,3649,3649
1491750019,3713,3713
1491764418,3714,3714
1491778819,3774,3774
1491793217,3777,3777
1491807618,3799,3799
1491822019,3834,3834
1491836423,3886,3886
1491850818,3863,3863
1491865219,3884,3884
1491879618,3826,3826
1491894016,3831,3831
1491908419,3861,3861
1491922819,3877,3877
1491937219,3921,3921
1491951619,3943,3943
1491966018,3950,3950
1491980418,3929,3929
1491994819,3915,3915
1492009219,3926,3926
1492023618,3973,3973
1492038018,4030,4030
1492052422,4018,4018
1492066819,3972,3972
1492081222,4019,4019
1492095622,4014,4014
1492110027,4085,4085
1492124415,4098,4098
1492135222,4088,4088
1492149623,4086,4086
1492164020,4104,4104
1492178420,4050,4050
1492192819,4019,4019
1492207219,4023,4023
1492221620,4013,4013
1492236018,4008,4008
1492250419,4020,4020
1492264819,4008,4008
1492279219,4022,4022
1492293619,4034,4034
1492308019,4037,4037
1492322422,4066,4066
1492336822,4068,4068
1492351217,4077,4077
1492365620,4097,4097
1492380020,4124,4124
1492394418,4100,4100
1492408822,4123,4123
1492423219,4158,4158
1492437620,4236,4236
1492452019,4314,4314
1492466422,4286,4286
1492480820,4257,4257
1492495224,4276,4276
1492509620,4258,4258
1492524019,4241,4241
1492538417,4282,4282
1492552820,4283,4283
1492567221,4238,4238
1492581619,4183,4183
1492596019,4159,4159
1492610419,4099,4099
1492624818,4090,4090
1492639216,4080,4080
1492653622,4068,4068
1492668020,4044,4044
1492682418,4053,4053
1492696819,4027,4027
1492711220,4063,4063
1492725619,4093,4093
1492740021,4087,4087
1492754419,4126,4126
1492768818,4107,4107
1492783220,4126,4126
1492797619,4121,4121
1492812019,4093,4093
1492826421,4102,4102
1492840829,4121,4121
1492855219,4132,4132
1492869619,4117,4117
1492884019,4085,4085
1492898418,4017,4017
1492912817,3925,3925
1492927221,3919,3919
1492941617,3911,3911
1492956018,3925,3925
1492970417,3942,3942
1492984817,3941,3941
1492999217,3864,3864
1493013622,3820,3820
1493028018,3804,3804
1493042418,3828,3828
1493056823,3886,3886
1493071218,3938,3938
1493085617,3996,3996
1493100022,4061,4061
1493114420,4183,4183
1493128818,4304,4304
1493143219,4441,4441
1493157619,4580,4580
1493172019,4641,4641
1493186423,4650,4650
1493200820,4704,4704
1493215219,4685,4685
1493229618,4682,4682
1493244020,4642,4642
1493258420,4603,4603
1493272826,4532,4532
1493287220,4449,4449
1493301620,4394,4394
1493316020,4326,4326
1493330420,4300,4300
1493344820,4306,4306
1493359224,4317,4317
1493373620,4349,4349
1493388019,4360,4360
1493402418,4373,4373
1493416820,4331,4331
1493431218,4303,4303
1493445623,4318,4318
1493460019,4331,4331
1493474419,4330,4330
1493488819,4346,4346
1493503223,4343,4343
1493517619,4302,4302
1493532023,4261,4261
1493546419,4190,4190
1493560818,4160,4160
1493575225,4137,4137
1493589629,4144,4144
1493604037,4064,4064
1493618421,4061,4061
1493632817,4044,4044
1493647217,4025,4025
1493661618,4015,4015
1493676016,3974,3974
1493690415,3937,3937
1493704821,3956,3956
1493719216,3864,3864
1493733617,3844,3844
1493748019,3890,3890
1493762418,3920,3920
1493776819,3918,3918
1493791220,3952,3952
1493805619,3918,3918
1493820018,3879,3879
1493834419,3947,3947
1493848818,3947,3947
1493863218,3918,3918
