DateTime,Entries,UniqueIPs
1490403611,304,304
1490418007,329,329
1490432415,303,303
1490446808,299,299
1490461208,301,301
1490475608,311,311
1490490008,287,287
1490504414,294,294
1490518809,268,268
1490533209,254,254
1490547609,259,259
1490562008,263,263
1490576407,271,271
1490590810,314,314
1490605211,279,279
1490619609,275,275
1490634009,263,263
1490648411,285,285
1490662813,287,287
1490677209,310,310
1490691607,297,297
1490706007,286,286
1490720410,270,270
1490734808,246,246
1490749208,237,237
1490763614,267,267
1490778007,233,233
1490792407,252,252
1490806808,245,245
1490821208,256,256
1490835608,271,271
1490850017,304,304
1490864408,289,289
1490878808,299,299
1490893209,319,319
1490907608,319,319
1490986808,10,10
1491001210,100,100
1491015611,147,147
1491030014,168,168
1491073217,256,256
1491087619,266,266
1491102020,314,314
1491116421,339,339
1491130822,347,347
1491145223,352,352
1491159622,368,368
1491174023,315,315
1491188422,349,349
1491202821,358,358
1491217222,331,331
1491246021,421,421
1491260423,448,448
1491274841,480,480
1491289221,488,488
1491303620,456,456
1491318022,465,465
1491332421,460,460
1491346821,365,365
1491361255,394,394
1491375645,356,356
1491390023,291,291
1491404423,282,282
1491418821,293,293
1491433224,249,249
1491447624,237,237
1491490822,231,231
1491505222,237,237
1491519625,189,189
1491534022,210,210
1491548422,201,201
1491562823,176,176
1491577223,190,190
1491591623,194,194
1491606021,209,209
1491620423,231,231
1491634822,227,227
1491649222,187,187
1491663623,177,177
1491678021,217,217
1491688822,201,201
1491703224,213,213
1491717625,216,216
1491732022,207,207
1491746421,232,232
1491760822,225,225
1491775222,209,209
1491789622,211,211
1491804026,205,205
1491818423,160,160
1491832826,122,122
1491847222,169,169
1491861623,162,162
1491876022,172,172
1491890433,182,182
1491933622,221,221
1491948027,241,241
1491962422,255,255
1491976826,267,267
1491991222,237,237
1492005623,221,221
1492020022,295,295
1492034422,306,306
1492048822,315,315
1492063228,334,334
1492077622,335,335
1492092022,339,339
1492106454,336,336
1492120822,330,330
1492135226,339,339
1492149626,335,335
1492164023,277,277
1492178423,247,247
1492192822,314,314
1492207223,321,321
1492221623,341,341
1492236025,373,373
1492264823,354,354
1492279223,410,410
1492293623,403,403
1492308023,396,396
1492322426,392,392
1492336826,359,359
1492351221,349,349
1492365624,327,327
1492380023,293,293
1492394422,264,264
1492408826,240,240
1492423223,148,148
1492437623,98,98
1492452023,72,72
1492466427,38,38
1492480823,19,19
1492524022,18,18
1492538421,29,29
1492552824,50,50
1492567226,76,76
1492581622,111,111
1492596024,139,139
1492610423,189,189
1492624822,247,247
1492639221,317,317
1492653627,407,407
1492668024,479,479
1492682424,504,504
1492696824,574,574
1492711224,631,631
1492725624,640,640
1492740027,656,656
1492754426,681,681
1492768822,658,658
1492783224,636,636
1492797623,591,591
1492812024,490,490
1492826426,482,482
1492840833,457,457
1492855223,373,373
1492869623,308,308
1492884024,292,292
1492898422,262,262
1492912823,251,251
1492927225,247,247
1492941622,207,207
1492956022,215,215
1492970421,227,227
1492984821,203,203
1492999222,227,227
1493013626,251,251
1493028021,247,247
1493042421,260,260
1493056827,266,266
1493071221,239,239
1493085620,254,254
1493100026,276,276
1493114425,265,265
1493128822,294,294
1493143224,296,296
1493157623,262,262
1493172024,262,262
1493186426,266,266
1493200824,239,239
1493215224,276,276
1493229623,296,296
1493244023,298,298
1493258425,313,313
1493272830,310,310
1493287224,291,291
1493301623,302,302
1493316024,315,315
1493330423,301,301
1493344824,308,308
1493359228,322,322
1493373623,263,263
1493388023,270,270
1493402423,261,261
1493416823,219,219
1493431222,244,244
1493445627,243,243
1493460023,219,219
1493474423,205,205
1493488823,213,213
1493503227,209,209
1493517623,235,235
1493532027,234,234
1493546422,197,197
1493560821,196,196
1493575229,203,203
1493589634,188,188
1493604044,198,198
1493618425,211,211
1493632822,217,217
1493647222,211,211
1493661621,192,192
1493676022,162,162
1493690419,185,185
1493704827,214,214
1493719218,233,233
1493733618,267,267
1493748020,247,247
1493762420,234,234
1493776820,237,237
1493791221,258,258
1493805621,255,255
1493820019,258,258
1493834421,253,253
1493848819,242,242
1493863219,217,217
1493877624,186,186
1493892022,148,148
1493906497,169,169
1493920819,174,174
1493935222,173,173
1493949622,147,147
1493964026,152,152
1493978422,144,144
1493992822,138,138
1494007222,137,137
1494021621,142,142
1494036021,135,135
1494050425,130,130
1494064824,106,106
1494079224,118,118
1494093622,116,116
1494108021,137,137
1494122423,149,149
1494136826,149,149
1494151223,139,139
1494165620,156,156
1494180023,157,157
1494194422,180,180
1494208823,178,178
1494223236,178,178
1494237623,146,146
1494252023,160,160
1494266422,151,151
1494280822,144,144
1494295222,153,153
1494309627,152,152
1494324022,147,147
1494338432,154,154
1494352823,146,146
1494367223,175,175
1494381622,177,177
1494396027,169,169
1494410423,137,137
1494424823,152,152
1494439223,145,145
1494453626,145,145
1494468022,139,139
1494482428,137,137
1494496821,118,118
1494511222,100,100
1494525623,114,114
1494540022,128,128
1494554423,135,135
1494568827,144,144
1494583222,129,129
1494597622,120,120
1494612027,125,125
1494626427,145,145
1494640823,153,153
1494655227,158,158
1494669624,141,141
1494684023,145,145
1494698424,142,142
1494712823,149,149
1494727223,160,160
1494741627,159,159
1494756023,158,158
1494770422,145,145
1494784822,137,137
1494799223,139,139
1494813622,140,140
1494828025,142,142
1494842423,153,153
1494856822,169,169
1494871222,160,160
1494885623,201,201
1494900024,202,202
1494914427,210,210
1494928822,218,218
1494943222,230,230
1494957656,238,238
1494972024,250,250
1494986423,249,249
1495000828,221,221
1495015224,213,213
1495029623,199,199
1495044026,178,178
1495058424,192,192
