DateTime,AddedIPs,RemovedIPs
1490522424,187,236
1490536826,189,247
1490551224,191,200
1490565622,188,283
1490580024,192,200
1490594426,212,212
1490608822,198,576
1490623220,210,393
1490637620,522,218
1490652023,196,214
1490666431,202,217
1490680825,202,186
1490695224,202,194
1490709626,187,191
1490724023,231,177
1490738418,229,194
1490752818,181,213
1490767225,262,191
1490781619,208,209
1490796022,178,527
1490810420,105,215
1490824817,209,201
1490839222,18,215
1490853632,364,206
1490868021,90,245
1490882417,199,232
1490897308,0,1447
1490907618,1578,159
1490986814,1070,1050
1491001217,127,119
1491015618,190,165
1491030020,180,86
1491044421,196,207
1491058821,213,195
1491073224,202,200
1491087626,184,174
1491102027,179,183
1491116428,198,182
1491130829,164,203
1491145232,186,167
1491159631,186,176
1491174032,162,188
1491188428,198,184
1491202828,169,194
1491217228,178,205
1491231632,208,204
1491246028,206,186
1491260433,227,183
1491274868,208,197
1491289228,189,160
1491303627,178,188
1491318029,170,188
1491332428,198,166
1491346828,201,195
1491361266,178,177
1491375652,193,176
1491390030,180,211
1491404430,176,211
1491418826,187,220
1491433232,223,216
1491447630,238,188
1491462032,216,178
1491476430,208,171
1491490830,203,194
1491505230,201,197
1491519633,235,170
1491534031,185,199
1491548431,192,180
1491562831,178,169
1491577230,182,187
1491591632,169,167
1491606030,222,276
1491620430,198,213
1491634831,203,201
1491649231,193,205
1491663630,195,212
1491678030,194,237
1491688831,141,141
1491703233,162,190
1491717632,207,187
1491732029,64,407
1491746426,0,280
1491760829,838,158
1491775229,169,272
1491789627,0,449
1491804031,362,192
1491818428,206,190
1491832832,203,195
1491847227,207,203
1491861628,220,173
1491876027,181,216
1491890441,182,214
1491904827,194,216
1491919240,139,184
1491933627,263,141
1491948038,217,0
1491962428,155,81
1491976832,83,197
1491991228,186,233
1492005628,441,203
1492020028,192,221
1492034428,190,184
1492048828,184,175
1492063236,194,195
1492077631,195,188
1492092035,183,205
1492106467,207,206
1492120831,300,200
1492135233,182,189
1492149632,201,234
1492164030,201,213
1492178431,157,308
1492192831,247,189
1492207230,211,178
1492221630,211,193
1492236031,92,327
1492250429,217,208
1492264831,216,208
1492279229,196,304
1492293628,193,186
1492308028,253,220
1492322432,267,215
1492336832,241,237
1492351227,220,243
1492365630,204,162
1492380029,210,183
1492394430,209,83
1492408833,203,0
1492423229,218,207
1492437630,233,187
1492452029,211,186
1492466434,234,242
1492480830,221,258
1492495234,198,233
1492509630,228,209
1492524029,214,192
1492538428,210,210
1492552831,214,201
1492567232,210,206
1492581628,213,211
1492596030,226,238
1492610430,223,219
1492624828,195,242
1492639228,201,236
1492653638,194,201
1492668030,189,231
1492682430,243,209
1492696830,220,207
1492711230,191,209
1492725630,194,213
1492740036,224,212
1492754434,213,227
1492768828,242,227
1492783230,219,190
1492797629,205,197
1492812029,204,200
1492826435,220,192
1492840840,194,226
1492855230,210,205
1492869630,237,191
1492884030,222,201
1492898429,226,223
1492912829,200,205
1492927233,193,240
1492941628,200,228
1492956028,191,211
1492970427,202,208
1492984827,199,209
1492999228,164,200
1493013633,199,203
1493028027,190,242
1493042428,179,218
1493056833,224,228
1493071228,228,200
1493085627,214,191
1493100033,240,195
1493114432,261,195
1493128828,239,199
1493143230,259,197
1493157630,257,164
1493172031,254,204
1493186435,217,191
1493200830,249,190
1493215233,221,224
1493229630,227,228
1493244030,252,212
1493258433,222,237
1493272837,249,244
1493287231,221,232
1493301630,241,261
1493316031,230,263
1493330432,208,250
1493344832,195,220
1493359235,207,256
1493373630,225,217
1493388029,242,217
1493402428,168,436
1493416831,488,217
1493431229,235,239
1493445634,220,231
1493460030,250,252
1493474429,253,242
1493488832,216,225
1493503235,204,212
1493517629,248,210
1493532034,213,226
1493546429,212,234
1493560828,245,228
1493575239,186,246
1493589650,210,236
1493604068,189,228
1493618431,198,228
1493632828,182,255
1493647228,211,209
1493661627,197,217
1493676028,168,244
1493690427,203,223
1493704833,215,215
1493719224,204,242
1493733624,187,196
1493748027,198,209
1493762426,212,187
1493776827,219,198
1493791228,191,189
1493805628,194,208
1493820026,187,202
1493834430,237,179
1493848826,203,204
1493863226,192,219
1493877630,193,190
1493892028,180,188
1493906505,218,195
1493920840,217,201
1493935228,214,215
1493949629,239,182
1493964032,244,189
1493978428,197,236
1493992827,95,501
1494007227,255,176
1494021627,207,166
1494036026,216,171
