DateTime,Entries,UniqueIPs
1496439616,5069,5069
1496440095,5070,5070
1496442016,5071,5071
1496442494,5070,5070
1496442973,5071,5071
1496443454,5070,5070
1496445855,5071,5071
1496446339,5070,5070
1496452095,5069,5069
1496452574,5072,5072
1496453056,5073,5073
1496453539,5073,5073
1496454018,5072,5072
1496454495,5071,5071
1496454978,5071,5071
1496516658,5072,5072
1496518816,5071,5071
1496519297,5072,5072
1496520734,5073,5073
1496521218,5072,5072
1496525053,5073,5073
1496525540,5072,5072
1496526016,5073,5073
1496526495,5072,5072
1496527933,5073,5073
1496528417,5072,5072
1496528893,5073,5073
1496529377,5072,5072
1496529853,5073,5073
1496530338,5072,5072
1496531774,5072,5072
1496532255,5073,5073
1496533223,5072,5072
1496534655,5073,5073
1496535618,5072,5072
1496536095,5073,5073
1496538497,5066,5066
1496538979,5067,5067
1496539458,5056,5056
1496539935,5058,5058
1496540416,5059,5059
1496540898,5058,5058
1496541375,5060,5060
1496541854,5060,5060
1496542819,5060,5060
1496562017,5059,5059
1496562496,5060,5060
1496564416,5059,5059
1496565143,5060,5060
1496565616,5059,5059
1496566096,5060,5060
1496586016,5059,5059
1496586739,5060,5060
1496587217,5059,5059
1496587697,5060,5060
1496590097,5058,5058
1496590577,5060,5060
1496594417,5059,5059
1496594899,5060,5060
1496610737,5060,5060
1496616979,5059,5059
1496617455,5060,5060
1496624897,5060,5060
1496625380,5062,5062
1496625862,5061,5061
1496626338,5059,5059
1496626815,5061,5061
1496627293,5059,5059
1496627784,5060,5060
1496628256,5059,5059
1496628743,5060,5060
1496629217,5059,5059
1496629703,5060,5060
1496632097,5059,5059
1496632576,5060,5060
1496639055,5059,5059
1496639536,5060,5060
1496640017,5059,5059
1496640498,5060,5060
1496643615,5060,5060
1496647218,5060,5060
1496648656,5061,5061
1496649134,5060,5060
1496662817,5059,5059
1496663294,5060,5060
1496668816,5059,5059
1496669294,5060,5060
1496677217,5059,5059
1496677696,5060,5060
1496682497,5061,5061
1496684417,5060,5060
1496686333,5059,5059
1496688735,5060,5060
1496694505,5059,5059
1496694975,5060,5060
1496697854,5061,5061
1496698339,5060,5060
1496706017,5059,5059
1496706496,5060,5060
1496710335,5058,5058
1496711295,5058,5058
1496711781,5058,5058
1496712260,5058,5058
1496712736,5058,5058
1496713215,5055,5055
1496713701,5061,5061
1496714176,5060,5060
1496714659,5062,5062
1496720416,5061,5061
1496720897,5062,5062
1496722816,5061,5061
1496723297,5062,5062
1496726417,5061,5061
1496726893,5062,5062
1496727376,5059,5059
1496730017,5058,5058
1496730495,5059,5059
1496734818,5060,5060
1496735296,5059,5059
1496736255,5058,5058
1496736741,5059,5059
1496743455,5060,5060
1496743935,5059,5059
1496744417,5058,5058
1496744898,5059,5059
1496751628,5059,5059
1496754978,5059,5059
1496767218,5058,5058
1496767694,5059,5059
1496769616,5060,5060
1496770342,5059,5059
1496776575,5060,5060
1496777060,5059,5059
1496785216,5058,5058
1496785701,5059,5059
1496790253,5060,5060
1496790738,5059,5059
1496791219,5059,5059
1496794578,5059,5059
1496796017,5058,5058
1496796498,5059,5059
1496797697,5054,5054
1496798180,5055,5055
1496798653,5055,5055
1496799138,5052,5052
1496799617,5055,5055
1496800097,5057,5057
1496800576,5056,5056
1496801056,5056,5056
1496801537,5057,5057
1496803460,5056,5056
1496805138,5057,5057
1496809217,5056,5056
1496809699,5057,5057
1496812816,5056,5056
1496813296,5057,5057
1496820019,5056,5056
1496820738,5054,5054
1496821215,5056,5056
1496829856,5056,5056
1496834418,5055,5055
1496834897,5056,5056
1496850977,5057,5057
1496852417,5056,5056
1496852899,5057,5057
1496855782,5057,5057
1496856736,5056,5056
1496860816,5055,5055
1496861295,5056,5056
1496863219,5057,5057
1496863701,5056,5056
1496869456,5054,5054
1496869933,5056,5056
1496883856,5053,5053
1496884339,5053,5053
1496884827,5052,5052
1496885295,5056,5056
1496885777,5058,5058
1496886253,5055,5055
1496886744,5059,5059
1496887456,5060,5060
1496899218,5060,5060
1496902575,5060,5060
1496911217,5059,5059
1496911703,5060,5060
1496917217,5059,5059
1496917939,5060,5060
1496925616,5059,5059
1496926102,5060,5060
1496927056,5059,5059
1496927534,5060,5060
1496934508,5059,5059
1496938334,5060,5060
1496939294,5060,5060
1496946016,5059,5059
1496946493,5060,5060
1496946974,5059,5059
1496950573,5060,5060
1496952255,5058,5058
1496952733,5059,5059
1496954175,5060,5060
1496963776,5060,5060
1496970255,5058,5058
1496970984,5053,5053
1496971455,5051,5051
1496971940,5053,5053
1496972416,5052,5052
1496972902,5052,5052
1496973376,5051,5051
1496973861,5052,5052
1496975773,5053,5053
1496979374,5052,5052
1496981059,5053,5053
1496983945,5052,5052
1496985615,5051,5051
1496987053,5052,5052
1496989455,5052,5052
1496992816,5051,5051
1496993542,5052,5052
1496995934,5051,5051
1496997378,5052,5052
1496999774,5051,5051
1497000261,5052,5052
1497001219,5051,5051
1497003134,5052,5052
1497003617,5051,5051
1497004101,5052,5052
1497010099,5051,5051
1497013454,5052,5052
1497022816,5052,5052
1497023299,5052,5052
1497024733,5050,5050
1497028333,5051,5051
1497029775,5050,5050
1497031697,5049,5049
1497033617,5047,5047
1497034102,5048,5048
1497035057,5047,5047
1497035538,5048,5048
1497036016,5047,5047
1497036740,5048,5048
1497037216,5048,5048
1497037945,5049,5049
1497038655,5048,5048
1497040817,5048,5048
1497041295,5049,5049
1497046097,5048,5048
1497049461,5049,5049
1497051377,5045,5045
1497051854,5047,5047
1497053298,5049,5049
1497056658,5046,5046
1497057139,5047,5047
1497057616,5047,5047
1497058100,5050,5050
