DateTime,Entries,UniqueIPs
1494812424,173,173
1494815309,174,174
1494830182,173,173
1494839305,174,174
1494839779,174,174
1494852264,174,174
1494864502,173,173
1494877465,174,174
1494885141,174,174
1494896909,173,173
1494898107,171,171
1494898581,170,170
1494899058,171,171
1494900507,170,170
1494928104,170,170
1494930025,169,169
1494938179,170,170
1494960744,169,169
1494961461,169,169
1494968902,170,170
1494976583,169,169
1494978502,170,170
1494983544,171,171
1494984026,171,171
1494984503,171,171
1494986903,172,172
1495022671,172,172
1495032503,171,171
1495034901,172,172
1495044261,171,171
1495051461,172,172
1495060345,171,171
1495068742,172,172
1495070662,171,171
1495071140,174,174
1495085300,173,173
1495104499,174,174
1495115060,173,173
1495117221,174,174
1495141940,173,173
1495150099,174,174
1495155865,173,173
1495156343,173,173
1495156824,172,172
1495157304,173,173
1495157783,172,172
1495158264,173,173
1495158741,172,172
1495159704,171,171
1495169062,170,170
1495177939,171,171
1495178900,172,172
1495196429,171,171
1495199062,172,172
1495208662,171,171
1495224504,172,172
1495243225,171,171
1495245858,170,170
1495249701,169,169
1495264820,167,167
1495279462,168,168
1495286425,170,170
1495289308,169,169
1495299379,170,170
1495299862,169,169
1495308982,170,170
1495328663,169,169
1495329139,169,169
1495329629,169,169
1495330099,169,169
1495393461,168,168
1495411715,169,169
1495433784,168,168
1495441941,170,170
1495442426,169,169
1495450106,168,168
1495453461,167,167
1495453950,167,167
1495456822,168,168
1495464982,168,168
1495501706,167,167
1495502179,167,167
1495504582,166,166
1495505063,167,167
1495513939,168,168
1495525464,167,167
1495532180,169,169
1495546100,170,170
1495548986,169,169
1495570108,169,169
1495572024,168,168
1495575622,169,169
1495576106,168,168
1495576579,169,169
1495577305,170,170
1495578741,171,171
1495579221,170,170
1495588340,169,169
1495589301,170,170
1495589782,169,169
1495590259,170,170
1495610184,167,167
1495622186,167,167
1495656507,167,167
1495665624,166,166
1495668028,167,167
1495674268,166,166
1495674742,165,165
1495675222,166,166
1495678102,165,165
1495692501,164,164
1495695865,163,163
1495697305,162,162
1495698260,161,161
1495698743,160,160
1495700667,161,161
1495701863,162,162
1495704506,161,161
1495704981,162,162
1495711223,161,161
1495720581,162,162
1495733062,161,161
1495741223,160,160
1495741704,161,161
1495754665,162,162
1495760902,163,163
1495761388,163,163
1495762347,164,164
1495763307,163,163
1495764268,163,163
1495764739,164,164
1495765699,165,165
1495777225,164,164
1495777708,165,165
1495792579,164,164
1495803862,163,163
1495814659,164,164
1495826187,163,163
1495844908,162,162
1495845383,163,163
1495848022,162,162
1495848500,163,163
1495849939,161,161
1495850659,160,160
1495858823,161,161
