DateTime,AddedIPs,RemovedIPs
1497495121,80,80
1497495721,80,80
1497496322,80,80
1497496921,80,80
1497498122,80,80
1497499321,80,80
1497499922,80,80
1497500522,80,80
1497501122,80,80
1497501722,80,80
1497502322,80,80
1497502922,80,80
1497503521,80,80
1497504122,80,80
1497504722,80,80
1497505323,80,80
1497505921,80,80
1497506522,80,80
1497507122,80,80
1497507722,80,80
1497508321,80,80
1497508922,80,80
1497509522,80,80
1497510122,79,79
1497510722,80,80
1497511322,80,80
1497511924,80,80
1497512522,80,80
1497513121,80,80
1497513820,80,80
1497514510,80,80
1497514921,80,80
1497515522,80,80
1497516122,79,79
1497516721,80,80
1497517324,79,79
1497517921,80,80
1497518522,80,80
1497519122,80,80
1497519722,80,80
1497520321,79,79
1497520922,80,80
1497521522,80,80
1497522121,80,80
1497522721,80,80
1497523321,80,80
1497523922,80,80
1497525123,78,78
1497525721,80,80
1497526321,80,80
1497526921,80,80
1497528122,80,80
1497528721,78,78
1497529323,80,80
1497529922,80,80
1497530522,80,80
1497531122,80,80
1497531721,80,80
1497532322,80,80
1497532922,80,80
1497533521,80,80
1497534122,79,79
1497535322,80,80
1497535922,80,80
1497536521,80,80
1497537721,80,80
1497538322,80,80
1497538922,80,80
1497539521,80,80
1497540121,80,80
1497541321,80,80
1497542521,80,80
1497543722,80,80
1497544321,80,80
1497544923,80,80
1497545522,80,80
1497546122,80,80
1497546721,80,80
1497547321,80,80
1497547921,80,80
1497548522,80,80
1497549122,80,80
1497549722,80,80
1497550322,79,79
1497550922,80,80
1497551521,80,80
1497552122,80,80
1497553322,80,80
1497553923,80,80
1497554521,80,80
1497555721,80,80
1497556321,80,80
1497556922,80,80
1497558122,80,80
1497558722,80,80
1497559321,80,80
1497559921,80,80
1497560521,80,80
1497561122,80,80
1497561722,80,80
1497562922,80,80
1497563522,80,80
1497564121,80,80
1497564722,80,80
1497565321,80,80
1497565921,80,80
1497566521,80,80
1497567122,80,80
1497567721,80,80
1497568322,80,80
1497568922,80,80
1497569521,80,80
1497570121,80,80
1497570722,80,80
1497571321,80,80
1497571922,80,80
1497572523,80,80
1497573122,80,80
1497573722,80,80
1497574322,80,80
1497574922,80,80
1497575522,80,80
1497576123,80,80
1497576721,80,80
1497577322,80,80
1497577922,80,80
1497578522,80,80
1497579121,80,80
1497579721,80,80
1497580322,80,80
1497580922,80,80
1497582122,80,80
1497582722,80,80
1497583322,80,80
1497584521,80,80
1497585122,80,80
1497585722,80,80
1497586321,80,80
1497586921,80,80
1497587521,76,76
1497588121,80,80
1497588722,80,80
1497589322,80,80
1497590522,80,80
1497591122,80,80
1497591721,80,80
1497592321,80,80
1497592922,79,79
1497594122,78,78
1497594722,78,78
1497595322,80,80
1497596522,80,80
1497597121,80,80
1497597722,17,17
1497598322,78,78
1497598922,80,80
1497599521,79,79
1497600122,78,78
1497600722,79,79
1497601321,80,80
1497602521,79,79
1497603121,75,75
1497603722,80,80
1497604923,54,54
1497605522,80,80
1497606121,77,77
1497607321,79,79
1497608521,79,79
1497609122,78,78
1497609721,80,80
1497610924,80,80
1497611522,80,80
1497612122,77,77
1497612722,80,80
1497613321,80,80
1497613921,75,75
1497614522,77,77
1497615722,76,76
1497616922,75,75
1497617522,79,79
1497618122,77,77
1497618722,80,80
1497619321,80,80
1497619921,80,80
1497620522,80,80
1497621722,80,80
1497622321,77,77
1497622923,80,80
1497623521,78,78
1497624121,80,80
1497624722,74,74
1497625322,80,80
1497625922,80,80
1497626522,80,80
1497627724,80,80
1497628322,80,80
1497628921,80,80
1497629522,80,80
1497630122,80,80
1497630722,80,80
1497631321,80,80
1497631921,80,80
1497632522,80,80
1497633122,80,80
1497633722,38,38
1497634322,79,79
1497634921,80,80
1497635522,80,80
1497636122,80,80
1497636721,80,80
1497637322,80,80
1497637922,80,80
1497638521,80,80
1497639121,80,80
1497639722,80,80
1497640321,78,78
1497640922,80,80
1497641522,79,79
1497642122,38,38
1497642721,80,80
1497643321,80,80
1497643921,80,80
1497644522,74,74
1497645722,80,80
1497646921,80,80
1497648122,80,80
1497648721,80,80
1497649322,80,80
1497649922,80,80
1497650522,80,80
1497651121,80,80
1497651722,79,79
1497652321,78,78
1497652921,80,80
1497653522,72,72
1497654122,80,80
