DateTime,Entries,UniqueIPs
1496023245,3642,3642
1496026845,3765,3765
1496030445,3887,3887
1496034046,4005,4005
1496037646,4130,4130
1496041246,4326,4326
1496044846,4545,4545
1496048445,4695,4695
1496052045,4961,4961
1496055645,5302,5302
1496059246,5443,5443
1496062845,5586,5586
1496066445,5695,5695
1496070045,5797,5797
1496073645,5955,5955
1496077246,6078,6078
1496080845,6213,6213
1496084445,6308,6308
1496088046,6422,6422
1496091646,6540,6540
1496095246,6632,6632
1496098845,6886,6886
1496102445,4543,4543
1496106046,4662,4662
1496109645,4795,4795
1496113245,4965,4965
1496116845,5053,5053
1496120446,5187,5187
1496124045,5301,5301
1496127645,5475,5475
1496131246,5660,5660
1496134846,5790,5790
1496138445,5946,5946
1496142045,6078,6078
1496145646,6224,6224
1496149246,6375,6375
1496152845,6485,6485
1496156446,6614,6614
1496160046,6730,6730
1496163646,6840,6840
1496167246,6962,6962
1496170845,7046,7046
1496174446,7201,7201
1496178046,7304,7304
1496181646,7426,7426
1496185245,7513,7513
1496188846,4169,4169
1496192446,4271,4271
1496196046,4371,4371
1496199645,4483,4483
1496203245,4600,4600
1496206846,4740,4740
1496210446,4886,4886
1496214045,5042,5042
1496217646,5210,5210
1496221246,5394,5394
1496224846,5576,5576
1496228446,5775,5775
1496232046,5970,5970
1496235645,6109,6109
1496239246,6235,6235
1496242846,6348,6348
1496246446,6473,6473
1496250046,6567,6567
1496253646,6659,6659
1496257246,6756,6756
1496260846,6839,6839
1496266246,6963,6963
1496269846,7049,7049
1496273446,7129,7129
1496277046,4147,4147
1496280646,4246,4246
1496284246,4326,4326
1496287846,4429,4429
1496291446,4534,4534
1496295046,4670,4670
1496298646,4816,4816
1496302246,4945,4945
1496305846,5104,5104
1496309446,5281,5281
1496313046,5446,5446
1496316646,5613,5613
1496320246,5759,5759
1496323846,5950,5950
1496327446,6070,6070
1496331947,6240,6240
1496337346,6398,6398
1496341846,6518,6518
1496347247,6663,6663
1496352646,6792,6792
1496358046,6967,6967
1496361646,4056,4056
1496365247,4172,4172
1496368846,4273,4273
1496372447,4483,4483
1496376046,4642,4642
1496379646,4782,4782
1496383246,4921,4921
1496386846,5095,5095
1496390446,5204,5204
1496394047,5335,5335
1496397646,5467,5467
1496401246,5572,5572
1496404847,5685,5685
1496408447,5789,5789
1496412047,5980,5980
1496415647,6092,6092
1496419247,6192,6192
1496422847,6290,6290
1496426447,6373,6373
1496430047,6460,6460
1496433647,6725,6725
1496437247,6814,6814
1496440847,6888,6888
1496444447,6976,6976
1496448047,4166,4166
1496451647,4301,4301
1496456147,4433,4433
1496460647,4612,4612
1496464246,4692,4692
1496468747,4848,4848
1496472347,4969,4969
1496475947,5098,5098
1496479547,5221,5221
1496483146,5345,5345
1496486747,5465,5465
1496490347,5591,5591
1496493946,5704,5704
1496497547,5815,5815
1496501147,5917,5917
1496504747,6012,6012
1496508347,6098,6098
1496511946,6176,6176
1496515547,6262,6262
1496519147,6348,6348
1496522747,6527,6527
1496526347,6610,6610
1496529947,6693,6693
1496533547,6803,6803
1496537147,3803,3803
1496540747,3894,3894
1496544347,3988,3988
1496547947,4077,4077
1496551547,4162,4162
1496555147,4272,4272
1496558747,4362,4362
1496562347,4475,4475
1496565947,4604,4604
1496569548,4717,4717
1496573147,4818,4818
1496576747,4919,4919
1496580347,5031,5031
1496583948,5128,5128
1496587547,5233,5233
1496591148,5352,5352
1496594748,5443,5443
1496598347,5537,5537
1496601947,5623,5623
1496605547,5715,5715
1496609147,5784,5784
1496612747,5856,5856
1496616347,5923,5923
1496619947,5991,5991
1496623547,3487,3487
1496627147,3585,3585
1496630748,3693,3693
1496634347,3811,3811
1496637948,3929,3929
1496641548,4115,4115
1496645147,4275,4275
1496648748,4424,4424
1496652347,4563,4563
1496655948,4715,4715
1496659548,4876,4876
1496663147,5015,5015
1496666748,5136,5136
1496670348,5284,5284
1496673948,5378,5378
1496677547,5474,5474
1496681148,5562,5562
1496684747,5668,5668
1496688348,5778,5778
1496691948,5874,5874
1496695548,5961,5961
1496699148,6075,6075
1496702748,6218,6218
1496706348,6281,6281
1496709948,4125,4125
1496713548,4231,4231
1496717148,4330,4330
1496720748,4452,4452
1496724347,4589,4589
1496727948,4704,4704
1496731548,4878,4878
1496735148,5040,5040
1496738748,5182,5182
1496742348,5318,5318
1496745948,5509,5509
1496749548,5655,5655
1496753148,5808,5808
1496756748,5932,5932
1496760348,6028,6028
1496763948,6155,6155
1496767548,6273,6273
1496771148,6344,6344
1496774748,6494,6494
1496778348,6582,6582
1496781948,6671,6671
1496785548,6763,6763
1496789148,6854,6854
1496792748,6940,6940
1496796348,4188,4188
1496799948,4384,4384
1496803548,4548,4548
1496807148,4639,4639
1496810748,4811,4811
1496814348,4925,4925
1496817948,5070,5070
1496821548,5246,5246
1496825148,5399,5399
1496828749,5548,5548
1496832348,5701,5701
1496835948,5871,5871
1496839548,6006,6006
1496843148,6153,6153
1496846749,6264,6264
1496850349,6395,6395
1496853949,6506,6506
1496857549,6696,6696
1496861148,6938,6938
1496864748,7043,7043
1496868349,7127,7127
1496871948,7215,7215
1496875549,7312,7312
1496879148,7395,7395
1496882748,4612,4612
1496886348,4714,4714
1496889949,4818,4818
1496893548,4919,4919
1496897148,5065,5065
1496900748,5172,5172
1496904349,5337,5337
1496907949,5554,5554
1496911548,5698,5698
1496915149,5807,5807
1496918749,5939,5939
1496922348,6102,6102
1496925949,6225,6225
1496929549,6338,6338
1496933149,6591,6591
1496936749,6719,6719
1496940348,6808,6808
1496943949,6936,6936
1496947548,7047,7047
1496951148,7134,7134
1496954749,7226,7226
1496958349,7307,7307
1496961949,7416,7416
1496965549,7509,7509
1496969149,4319,4319
1496972749,4420,4420
1496976349,4543,4543
1496979949,4642,4642
1496983549,4761,4761
1496987148,4900,4900
1496990748,5017,5017
1496994348,5155,5155
1496997949,5303,5303
1497001549,5436,5436
1497005149,5560,5560
1497008748,5732,5732
1497012349,5867,5867
1497015949,5982,5982
1497019549,6131,6131
1497023149,6324,6324
1497026749,6413,6413
1497030349,6509,6509
1497033949,6604,6604
1497037549,6700,6700
1497041149,6794,6794
1497044749,6896,6896
1497048349,7000,7000
1497051949,7103,7103
1497055549,4166,4166
1497059149,4252,4252
1497062749,4362,4362
1497066349,4529,4529
1497069949,4656,4656
1497073549,4816,4816
1497077149,4945,4945
1497080749,5091,5091
1497084349,5238,5238
1497087949,5347,5347
1497091549,5482,5482
1497095149,5624,5624
1497098749,5728,5728
1497102349,5830,5830
1497105949,5920,5920
1497109550,6014,6014
1497113149,6118,6118
1497116749,6230,6230
1497120349,6335,6335
1497123949,6449,6449
1497127549,6535,6535
1497131149,6614,6614
1497134749,6690,6690
1497138349,6772,6772
1497141949,3990,3990
1497145549,4095,4095
1497149149,4210,4210
1497152749,4327,4327
1497156349,4420,4420
1497159949,4523,4523
1497163550,4620,4620
1497167149,4729,4729
1497170750,4822,4822
1497174349,4918,4918
1497177950,5044,5044
1497181549,5144,5144
