DateTime,Entries,UniqueIPs
1494994603,21576,21576
1495001781,21574,21574
1495008986,21573,21573
1495016182,21571,21571
1495023384,21568,21568
1495030582,21568,21568
1495035083,21567,21567
1495037787,21567,21567
1495039586,22200,22200
1495044985,22194,22194
1495045886,22105,22105
1495052186,22107,22107
1495057583,22110,22110
1495059393,22112,22112
1495066584,22112,22112
1495067491,21620,21620
1495070184,21619,21619
1495073788,21614,21614
1495080985,21607,21607
1495088190,21604,21604
1495095383,21603,21603
1495102585,21605,21605
1495109789,21606,21606
1495116986,21607,21607
1495122385,22134,22134
1495124189,22135,22135
1495125992,22168,22168
1495131381,22169,22169
1495132286,22168,22168
1495135890,22161,22161
1495137697,21776,21776
1495138582,21778,21778
1495145788,21784,21784
1495152984,21756,21756
1495153885,21140,21140
1495160182,21139,21139
1495167381,21138,21138
1495174584,21140,21140
1495181782,21140,21140
1495188986,21144,21144
1495194381,20865,20865
1495196180,20866,20866
1495203384,20872,20872
1495210586,20870,20870
1495212380,20868,20868
1495214186,20869,20869
1495215080,20850,20850
1495217779,20850,20850
1495224983,20873,20873
1495232183,20879,20879
1495233984,20477,20477
1495235797,20479,20479
1495236681,21123,21123
1495239381,21125,21125
1495246587,21125,21125
1495253791,21126,21126
1495260986,21121,21121
1495268178,21125,21125
1495275388,21122,21122
1495282585,21130,21130
1495289785,21130,21130
1495293383,21131,21131
1495296986,21127,21127
1495298782,21125,21125
1495301481,20550,20550
1495304182,21142,21142
1495311385,21146,21146
1495318583,21147,21147
1495325788,21157,21157
1495332981,21151,21151
1495340178,21152,21152
1495347387,21150,21150
1495354584,21150,21150
1495361787,21153,21153
1495368984,21167,21167
1495376184,21165,21165
1495383388,21167,21167
1495389705,21819,21819
1495390582,21818,21818
1495397780,21818,21818
1495406787,21819,21819
1495409481,21282,21282
1495412190,21283,21283
1495419382,21279,21279
1495426589,21277,21277
1495430181,21278,21278
1495433779,21275,21275
1495440978,21279,21279
1495448181,21279,21279
1495455387,21279,21279
1495458099,21280,21280
1495462579,21282,21282
1495469784,21278,21278
1495471581,20759,20759
1495476101,21230,21230
1495476988,21230,21230
1495484204,21231,21231
1495491385,21236,21236
1495498589,21241,21241
1495505791,21237,21237
1495512978,21238,21238
1495516580,21239,21239
1495517479,21238,21238
1495520184,21238,21238
1495521092,21237,21237
1495527384,21241,21241
1495534586,21239,21239
1495541783,21241,21241
1495548983,21239,21239
1495556182,21241,21241
1495559785,21829,21829
1495563386,21266,21266
1495570584,21270,21270
1495577792,21278,21278
1495584987,21279,21279
1495588580,21278,21278
1495592181,21275,21275
1495599385,21274,21274
1495606582,21272,21272
1495609301,21273,21273
1495613787,21270,21270
1495620979,21272,21272
1495628178,21271,21271
1495635385,21272,21272
1495642585,21267,21267
1495643509,21542,21542
1495644378,21203,21203
1495649779,21204,21204
1495656994,21208,21208
1495664185,21210,21210
1495671383,21208,21208
1495678584,21206,21206
1495685782,21205,21205
1495692981,21199,21199
1495693889,21198,21198
1495700187,21189,21189
1495707382,21188,21188
1495714585,21185,21185
1495721785,21178,21178
1495725386,21179,21179
1495728987,21176,21176
1495729882,20520,20520
1495736187,20522,20522
1495743383,20518,20518
1495750582,20525,20525
1495757782,20528,20528
1495764090,20527,20527
1495764990,20527,20527
1495772182,20529,20529
1495775784,21165,21165
1495779381,21164,21164
1495786582,21166,21166
1495793786,21165,21165
1495800980,21164,21164
1495803695,21163,21163
1495808182,21161,21161
1495814510,21456,21456
1495815388,21456,21456
1495817185,20713,20713
1495822581,20708,20708
1495829779,20710,20710
1495836979,20708,20708
1495844180,20704,20704
1495850494,20703,20703
1495851378,20700,20700
1495858581,20695,20695
1495865777,20692,20692
1495872981,20693,20693
1495880177,20691,20691
1495887375,20690,20690
1495894576,20693,20693
1495901781,20692,20692
1495902680,21391,21391
1495903578,20720,20720
1495908979,20719,20719
1495909882,20718,20718
1495916173,20715,20715
1495923374,20720,20720
1495930575,20721,20721
1495937770,20720,20720
1495943174,20718,20718
1495944976,20716,20716
1495952176,20718,20718
1495959373,20717,20717
1495966575,20717,20717
1495973771,20714,20714
1495980977,20718,20718
1495985473,20715,20715
1495988183,20716,20716
1495989086,19923,19923
1495989975,20614,20614
1495995370,20614,20614
1496002577,20615,20615
1496009771,20615,20615
1496016979,20610,20610
1496024171,20609,20609
1496031372,20612,20612
1496038574,20614,20614
1496045773,20614,20614
1496052970,20614,20614
1496060173,20613,20613
1496067374,20616,20616
1496074582,20616,20616
1496075486,20617,20617
1496076370,20438,20438
1496081775,20438,20438
1496088086,20437,20437
1496088978,20441,20441
1496096172,20439,20439
1496103388,20441,20441
1496110577,20437,20437
1496117772,20437,20437
1496124972,20436,20436
1496132176,20435,20435
1496139371,20438,20438
1496146574,20437,20437
1496153772,20438,20438
1496160986,20447,20447
1496161884,21039,21039
1496162774,20676,20676
1496168172,20675,20675
1496175377,20680,20680
1496182572,20678,20678
1496189772,20682,20682
1496196979,20682,20682
1496204172,20678,20678
1496211377,20681,20681
1496218577,20679,20679
1496225775,20677,20677
1496232975,20679,20679
1496240176,20677,20677
1496246485,20676,20676
1496247381,20677,20677
1496249187,19949,19949
1496250091,21363,21363
1496254575,21356,21356
1496259977,21355,21355
1496261777,21353,21353
1496268976,21358,21358
1496276178,21362,21362
1496283376,21373,21373
1496290579,21370,21370
1496297780,21377,21377
1496304978,21377,21377
1496312175,21379,21379
1496319373,21376,21376
1496326578,21375,21375
1496327475,21371,21371
1496331974,21348,21348
1496334674,21922,21922
1496337377,21369,21369
1496339178,21367,21367
1496341874,21370,21370
1496349982,21368,21368
1496355377,21373,21373
1496362581,21377,21377
1496369778,21371,21371
1496376973,21369,21369
1496384175,21370,21370
1496391382,21373,21373
1496398578,21360,21360
1496405785,21357,21357
1496412980,21362,21362
1496416580,21363,21363
1496420188,21360,21360
1496427372,21360,21360
1496434574,21368,21368
1496441774,21364,21364
1496446274,20837,20837
1496448977,20839,20839
1496449875,20837,20837
1496452578,20836,20836
1496457977,20835,20835
1496464276,20835,20835
1496470572,20829,20829
1496477773,20829,20829
1496484972,20829,20829
1496488571,20830,20830
1496492176,20831,20831
1496499376,20827,20827
1496502978,21587,21587
1496507477,21584,21584
1496512885,20864,20864
1496513782,20867,20867
1496520087,20864,20864
1496520977,20860,20860
1496528172,20852,20852
1496535375,20853,20853
1496542582,20848,20848
1496549778,20846,20846
1496556973,20843,20843
1496564173,20842,20842
1496571377,20841,20841
1496578573,20834,20834
1496585775,20838,20838
1496589375,21529,21529
1496593880,21529,21529
1496599288,20834,20834
1496600177,20833,20833
1496607377,20830,20830
1496614573,20833,20833
1496618177,20829,20829
1496621774,20831,20831
1496628977,20833,20833
1496636172,20827,20827
1496643372,20825,20825
1496650573,20819,20819
1496657772,20824,20824
1496664974,20823,20823
1496672172,20828,20828
1496674890,21630,21630
1496679383,21627,21627
1496683873,21626,21626
1496686574,21219,21219
1496690174,21218,21218
1496693778,21219,21219
1496700974,21216,21216
1496708178,21217,21217
1496711774,21216,21216
1496715373,21217,21217
1496722573,21214,21214
1496729774,21214,21214
1496736979,21215,21215
1496744171,21217,21217
1496751377,21219,21219
1496758579,21217,21217
1496763984,21933,21933
1496765787,21937,21937
1496769373,21369,21369
1496772978,21373,21373
1496780175,21375,21375
1496787375,21376,21376
1496790973,21368,21368
1496794570,21367,21367
1496801771,21365,21365
1496808973,21362,21362
1496816177,21367,21367
1496818886,21366,21366
1496823376,21366,21366
1496824270,21367,21367
1496830573,21369,21369
1496837773,21369,21369
1496844975,21366,21366
1496852176,21916,21916
1496853072,21654,21654
1496853973,21274,21274
1496859371,21295,21295
1496866581,21296,21296
1496871073,21298,21298
1496873772,21293,21293
1496880973,21298,21298
1496888173,21298,21298
1496895388,21295,21295
1496902578,21295,21295
1496909777,21293,21293
1496916975,21295,21295
1496924171,21296,21296
1496931380,21294,21294
1496938577,21295,21295
1496945772,21285,21285
1496952980,21286,21286
1496960177,21283,21283
1496967381,21281,21281
1496974577,21281,21281
1496981786,21281,21281
1496985375,20911,20911
1496988975,20909,20909
1496996174,20912,20912
1497003373,20916,20916
1497010572,20918,20918
1497017775,20925,20925
1497021378,20926,20926
1497024973,20207,20207
1497032176,20207,20207
1497039374,20207,20207
1497046569,20204,20204
1497053769,20205,20205
1497060969,20205,20205
1497068180,20204,20204
1497075374,20201,20201
1497082578,20204,20204
1497089772,20205,20205
1497096973,20202,20202
1497104174,20202,20202
1497111370,20201,20201
1497112270,19372,19372
1497113171,19371,19371
1497118571,19369,19369
1497125767,19368,19368
1497132970,19370,19370
1497140168,19357,19357
1497147370,19353,19353
1497154578,19341,19341
1497161767,19344,19344
1497168967,19340,19340
1497176172,19349,19349
1497179772,19350,19350
1497183369,19347,19347
1497190571,19343,19343
1497197770,19340,19340
1497199570,18457,18457
1497204084,18456,18456
1497204972,18461,18461
1497212170,18466,18466
1497219369,18465,18465
1497226570,18473,18473
1497233770,18467,18467
1497240977,18469,18469
1497248170,18463,18463
1497255369,18467,18467
1497262566,18469,18469
1497266165,18468,18468
1497269774,18464,18464
1497276968,18468,18468
1497278770,18469,18469
1497284169,18464,18464
1497285972,17735,17735
1497288668,17736,17736
1497291372,17740,17740
1497298571,17740,17740
1497305770,17734,17734
1497312970,17735,17735
1497320169,17737,17737
1497327381,17738,17738
1497334565,17734,17734
1497338172,17733,17733
1497341765,17733,17733
1497348973,17731,17731
1497356167,17730,17730
1497363373,17730,17730
1497370578,18694,18694
1497371468,17806,17806
1497372376,17715,17715
1497377771,17719,17719
1497384972,17719,17719
1497392170,17717,17717
1497395771,17718,17718
1497399370,17725,17725
1497406568,17722,17722
1497413781,17726,17726
1497420976,17722,17722
1497428168,17728,17728
1497435373,17725,17725
1497442569,17726,17726
1497449775,17728,17728
1497456973,17731,17731
1497458771,17722,17722
1497459679,15939,15939
1497463292,15968,15968
1497464166,15970,15970
1497471367,15975,15975
1497478566,15971,15971
1497485766,15975,15975
1497492974,15970,15970
1497500176,15968,15968
1497507367,15966,15966
1497514566,15967,15967
1497521767,15964,15964
1497525366,15962,15962
1497528966,15966,15966
1497536171,15967,15967
1497543368,14801,14801
1497545165,14796,14796
1497550566,14795,14795
1497557771,14797,14797
1497564970,14799,14799
1497572166,14800,14800
1497579364,14799,14799
1497582965,14800,14800
1497586581,14798,14798
1497593769,14799,14799
1497600966,14804,14804
1497608169,14807,14807
1497615369,14809,14809
1497622568,14806,14806
1497629768,14811,14811
1497631563,14804,14804
1497636965,14803,14803
1497644168,14804,14804
1497649568,14802,14802
1497651364,14799,14799
1497658565,14798,14798
1497665768,14795,14795
1497672996,14792,14792
1497680167,14791,14791
1497687369,14791,14791
1497694568,14796,14796
1497701765,14789,14789
1497705366,14789,14789
1497708965,14788,14788
1497709864,14784,14784
1497712569,13230,13230
1497716166,13229,13229
1497723365,13230,13230
1497730565,13229,13229
1497737765,13231,13231
1497744963,13235,13235
1497752163,13234,13234
1497759381,13237,13237
1497766564,13235,13235
