DateTime,AddedIPs,RemovedIPs
1495900962,2,2
1495904562,4,0
1495908164,3,7
1495915363,5,0
1495918964,4,3
1495922563,0,1
1495926163,2,0
1495929764,1,3
1495933363,0,2
1495936963,3,5
1495940563,0,1
1495944165,1,3
1495947763,4,3
1495951363,2,1
1495954963,2,2
1495958564,4,3
1495962163,2,0
1495965823,1,1
1495969364,1,3
1495972963,2,0
1495976563,1,1
1495980163,2,7
1495983764,5,0
1495987365,1,2
1495994563,3,0
1495998164,0,3
1496001825,6,0
1496005365,1,2
1496008964,1,0
1496012564,1,5
1496016165,0,1
1496019765,3,0
1496023364,2,5
1496026964,1,0
1496030564,3,3
1496034224,2,2
1496037764,2,0
1496041366,3,4
1496044965,1,3
1496048565,1,1
1496052165,3,1
1496055825,4,2
1496059425,2,0
1496062965,2,1
1496066565,3,2
1496070165,1,4
1496073825,3,3
1496077365,1,4
1496080965,2,0
1496084565,2,4
1496088225,1,0
1496091765,3,0
1496095425,3,3
1496098965,2,0
1496102625,2,0
1496106225,1,2
1496109825,0,2
1496113426,1,0
1496116967,4,5
1496120566,1,0
1496124166,3,4
1496127767,1,2
1496131366,0,2
1496134966,3,0
1496138566,0,1
1496142166,3,7
1496145766,1,3
1496149366,2,3
1496152967,5,3
1496156566,6,1
1496160166,7,0
1496163768,3,0
1496167368,0,12
1496170966,5,0
1496174566,3,2
1496178166,1,0
1496181766,0,4
1496185366,3,0
1496188966,2,1
1496192627,1,3
1496196166,3,4
1496199767,0,4
1496203367,2,0
1496206967,4,9
1496210568,1,1
1496214168,1,1
1496217827,1,0
1496221367,1,4
1496224967,1,1
1496228567,4,0
1496232167,3,2
1496235767,0,4
1496239367,0,1
1496242968,4,2
1496246567,0,1
1496250167,1,7
1496253769,1,1
1496257369,3,3
1496260969,2,0
1496264567,3,5
1496268167,3,1
1496271768,4,1
1496275368,4,0
1496278968,4,4
1496282568,12,0
1496286168,2,5
1496289768,3,1
1496293368,3,0
1496296968,6,6
1496300568,2,0
