DateTime,Entries,UniqueIPs
1495814558,1203,1273
1495818218,1204,1273
1495821759,1203,1272
1495825358,1206,1275
1495832618,1204,1273
1495839818,1205,1274
1495843418,1205,1274
1495846960,1202,1271
1495850559,1202,1271
1495854159,1204,1273
1495857759,1204,1273
1495861359,1205,1274
1495864959,1202,1271
1495868559,1198,1267
1495872159,1197,1266
1495875759,1198,1267
1495879359,1199,1268
1495883020,1197,1266
1495886559,1196,1265
1495890222,1196,1265
1495893822,1199,1268
1495897364,1199,1268
1495900962,1199,1268
1495904562,1197,1266
1495908164,1197,1266
1495915363,1199,1268
1495918964,1198,1267
1495922563,1193,1262
1495926163,1195,1264
1495929764,1196,1265
1495936963,1199,1268
1495940563,1193,1262
1495944165,1194,1263
1495947763,1195,1264
1495951363,1197,1266
1495954963,1197,1266
1495958564,1200,1269
1495962163,1201,1270
1495965823,1201,1270
1495969364,1198,1267
1495972963,1199,1268
1495976563,1200,1269
1495980163,1202,1271
1495983764,1202,1271
1495987365,1201,1270
1495991025,1199,1268
1495994563,1202,1271
1495998164,1198,1267
1496001825,1204,1273
1496005365,1204,1273
1496008964,1205,1274
1496012564,1204,1273
1496016165,1202,1271
1496019765,1204,1273
1496023364,1206,1275
1496026964,1202,1271
1496030564,1205,1274
1496034224,1203,1272
1496037764,1205,1274
1496041366,1205,1274
1496044965,1204,1273
1496048565,1200,1269
1496052165,1202,1271
1496055825,1204,1273
1496059425,1204,1273
1496062965,1202,1271
1496066565,1203,1272
1496070165,1204,1273
1496073825,1205,1274
1496077365,1206,1275
1496080965,1208,1277
1496084565,1210,1279
1496088225,1207,1276
1496091765,1208,1277
1496095425,1209,1278
1496098965,1208,1277
1496102625,1209,1278
1496106225,1206,1275
1496109825,1203,1272
1496113426,1204,1273
1496116967,1204,1273
1496120566,1200,1269
1496124166,1202,1271
1496127767,1196,1265
1496131366,1189,1258
1496134966,1188,1257
1496142166,1188,1257
1496145766,1189,1258
1496149366,1185,1254
1496152967,1182,1251
1496156566,1185,1254
1496160166,1189,1261
1496163768,1184,1255
1496167368,1183,1254
1496170966,1184,1255
1496174566,1186,1257
1496178166,1185,1255
